episode,service_level,anticipated_demand_shortfall,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty
0,0.9125832183770167,-21.721160096994613,-0.32959914977848753,-128.14764015095415,-96.73684120033401
1,0.9213161659513591,-28.76116306026472,0.0,-161.1639054766508,-126.53778981396913
2,0.9240510127531882,-25.78174372228006,0.0,-166.8006683140482,-132.58372451561755
3,0.9090006916669173,-29.091619842233026,0.0,-188.09209798992575,-149.71317386952512
4,0.9140260743028539,-28.96003813027499,0.0,-187.79254154509582,-157.7058323653767
5,0.9201133835228139,-28.66229965547079,-1.1950780647615091,-167.5581284666208,-145.5884098386001
6,0.9069403007564114,-30.460157749025118,0.0,-175.37856171758952,-149.95562308014317
7,0.916556211591758,-32.48546365209292,0.0,-188.32452505400025,-162.49432245944655
8,0.919956372890599,-29.293270215566675,0.0,-173.586279159003,-149.31304310144606
9,0.9150929005095036,-29.302519013305517,-0.6731169458553065,-179.91755089044872,-157.55104231166203
10,0.9227999639953194,-27.833047449674424,0.0,-172.09957220016085,-151.31283428730407
11,0.9210342205323194,-27.679507134425428,-0.6655135802837185,-185.86937374883897,-161.34466556485316
12,0.9130723291307233,-30.11144200098696,0.0,-196.9746931663481,-168.69814637764193
13,0.9152159306090037,-34.58143876589952,0.0,-205.07172785784334,-176.22508997435608
14,0.9151460130125586,-29.978636632211664,-0.08757344061850941,-197.56071205789135,-169.39129098303178
15,0.9124460149195132,-29.107979709896743,0.0,-208.0249336050323,-180.80067694254436
16,0.9107940147218535,-33.79507611067139,0.0,-220.24197449928522,-187.83386711077978
17,0.9144530177803532,-33.68780945135257,-1.4565777436429495,-214.17251582693578,-187.74956665341392
18,0.9195657389635317,-33.42509347760786,0.0,-208.13168613656597,-180.3955667644953
19,0.9126257318720913,-34.81248624530622,0.0,-210.6319013522275,-181.5995709485486
20,0.9066245106895513,-37.21643989693738,0.0,-224.93760007578913,-192.60557497358306
21,0.9252160155774614,-33.22621191513126,0.0,-193.77677693807007,-174.8723935054035
22,0.9167946979966862,-33.48431261019658,-2.6142096233398284,-195.30168221689127,-182.20985833197102
23,0.8997875569044006,-48.682786794451154,0.0,-265.97476360140587,-237.67706011801982
24,0.9164096883326847,-42.74202784174629,0.0,-225.44551376181266,-210.8400499331043
25,0.9045085743156893,-42.891285255184265,-0.3942270606782322,-217.58256198950812,-206.65999514492583
26,0.92088081671415,-44.725350092674674,-0.7958982138145639,-213.210321731362,-202.15278177492186
27,0.9059395540082236,-46.57508761304074,0.0,-226.79476845918103,-211.0020706785537
28,0.9174219843056147,-46.80677888051326,0.0,-224.76192682108578,-208.09756274671932
29,0.9174270485138676,-49.59814071168976,0.0,-233.99939778214528,-215.28175189314788
30,0.9112983902749568,-49.45911169850029,0.0,-232.73959271473086,-213.5184297385453
31,0.9183400267737617,-48.67990773194067,-0.4755888635747498,-230.928943678579,-210.07614278347975
32,0.9188545591559909,-46.75566553138172,-0.034386044207328645,-218.99310138261475,-205.1305126428374
33,0.9201445841686411,-47.703893034981554,-0.40702299273228104,-222.56607270076216,-206.92391960336099
34,0.8996415770609318,-56.99583430088061,0.0,-260.0504396908955,-239.88695930745777
35,0.9163577176959942,-55.37128872869381,0.0,-248.2710005580714,-230.06610823701456
36,0.9184448462929475,-54.57247978765063,0.0,-248.40518971538668,-229.14574718552288
37,0.9023599624344876,-64.12305144241046,0.0,-294.03492921448674,-266.1048787736515
38,0.913950136465393,-67.36091212186517,0.0,-295.09500726947397,-266.32391590529795
39,0.9096866436315978,-67.4122727191662,0.0,-301.38007708683296,-271.9440439908003
40,0.9134444410958078,-67.58615994539586,0.0,-298.87881123638175,-271.47238000885267
41,0.9262581860590293,-65.04894355508647,-0.31363670079556694,-266.50451231583605,-248.45930899981997
42,0.919892586669885,-64.28711559883048,-0.520288406793317,-260.0404940049404,-245.36775449583655
43,0.9258867285537178,-66.4151906411986,0.0,-252.9714331407749,-241.21448392522382
44,0.8893526275704493,-79.64907160355688,0.0,-310.28253970421036,-283.0287204825291
45,0.9226226166206979,-77.29681771598733,0.0,-284.7214249505132,-265.19642289965736
46,0.911659491905657,-78.03666384627802,0.0,-283.50392677236454,-266.3282448043577
47,0.9213524215656412,-76.76258967685065,0.0,-265.780804352688,-254.48960970020113
48,0.9240514001697175,-77.20842914411581,0.0,-258.41387006162637,-250.23049811156636
49,0.9135802469135803,-79.62445789255784,0.0,-276.1467638391546,-261.10965517428644
50,0.9179324007924596,-81.16413743768298,0.0,-283.1292966435322,-267.0355414221739
51,0.912211320754717,-82.0696575707669,-0.0933098763932869,-283.9526620669016,-269.6409959101683
52,0.9163452266152363,-84.71102179782308,0.0,-296.5258126704848,-281.2860307393148
53,0.9135824812234187,-87.21416462360372,0.0,-305.3908957654908,-287.5988042551768
54,0.9126557020195912,-87.47795255442158,-0.07707531978113624,-313.12809677786333,-289.8469258396779
55,0.9234774185736772,-90.22256106493472,0.0,-312.9887106988396,-292.49514169158516
56,0.9033800344963234,-97.28091154688823,0.0,-337.40736777106144,-305.99953758507553
57,0.9166891264636301,-100.54599749755785,0.0,-338.5281329735863,-302.84959962370084
58,0.8846537195324534,-111.33703343456766,-28.6391448572108,-400.59622180559666,-346.0967836267688
59,0.8897866355447825,-121.01452531485,0.0,-443.7719077942526,-377.9634216428018
60,0.9289966988917708,-119.0787309129259,0.0,-418.5368215711467,-359.7287029145704
61,0.9192663331817492,-117.09042166231701,-0.0228567968532635,-409.29298252115876,-352.5932614191311
62,0.9174935353899814,-117.28590998832125,0.0,-411.714105045066,-348.2483516950038
63,0.9172826152274502,-118.33635335532864,-0.8079706145877651,-412.4374128249869,-348.2435926688106
64,0.9138817867348473,-121.97593596370255,-0.4531930483726289,-418.16231592980813,-354.1024016668716
65,0.9186085069182769,-121.95558140500039,0.0,-418.2281925028434,-356.1075238968093
66,0.9196331930246542,-120.66099038286157,0.0,-407.84035640195316,-347.44930628629413
67,0.9265868263473054,-119.31242317240125,-0.008421501436962847,-392.15813485322286,-335.13719750560347
68,0.9251589464123524,-119.37661130203055,-1.963263975671512,-389.71871429034485,-336.4749825184707
69,0.9228427619880044,-119.99807169752808,0.0,-396.334059713061,-340.6816802887333
70,0.9113475177304965,-120.08547110016691,-2.4802974029640987,-407.040340268838,-350.8518067549739
71,0.9085224915545547,-124.53290110694022,0.0,-432.69636649260707,-370.68348701960485
72,0.9193766521177844,-125.18150298163599,0.0,-432.18065212842185,-368.9106757218068
73,0.9201534696836954,-123.16087122350675,-1.1024341147332195,-428.4649590648652,-368.06557938018835
74,0.9232836550207671,-121.64090579348805,0.0,-421.18205311529863,-365.7707451330121
75,0.9125237707144798,-124.85748579046924,0.0,-432.48157535844854,-376.01517237357916
76,0.9362358276643991,-125.1227313350477,-0.0195669500560434,-425.08421059216363,-371.0011291304416
77,0.9299636603898249,-124.59251515725681,0.0,-421.4531088568785,-367.5234585979664
78,0.9225127455949436,-125.3265412066071,-1.9024461269717639,-424.14746862265855,-370.5147939775578
79,0.9207096307023895,-125.72008092467254,0.0,-430.82371397621483,-372.8659695608678
80,0.8884958935315629,-128.9949734430271,-0.12430846997597109,-462.87642301069815,-396.2034358646622
81,0.9241572179834028,-128.2351183092783,-1.0376666694057413,-459.34775079541294,-390.86062672997906
82,0.9146472557510981,-129.88519713333721,0.0,-470.5731152217573,-396.56067917906336
83,0.8719469959343472,-139.38953301551513,-0.5153105026825249,-521.0118824832003,-436.49850087026675
84,0.8547655522513592,-143.84626890938932,-31.93189579145801,-563.0773842157838,-468.50086351990944
85,0.8829761472333212,-148.26478774071123,-16.92845958256988,-580.2270100906829,-481.6419812065902
86,0.8948622801460162,-148.53775988609726,-0.5266450175926367,-585.8271264992047,-487.2235468230444
87,0.8992259735566064,-146.62773744987143,0.0,-584.0897043623614,-488.5509591352171
88,0.893020457280385,-150.24781506262215,-32.387638632649384,-595.961636397159,-496.2854116418917
89,0.8748983831632192,-153.80304065829205,-0.12528863047477792,-611.2963459120162,-512.8938490684277
90,0.9046542750929368,-152.85049229149567,-0.9384438358177364,-614.3212551822611,-515.1198287396167
91,0.9227657004830918,-152.82056249637242,0.0,-615.7154288044217,-516.3619144235436
92,0.9062697719261246,-152.75804315861956,-0.5667342757063316,-622.5854948631262,-524.4459289260129
93,0.8947384372916287,-152.1314869271262,-1.458267488990595,-613.7966045473157,-520.5678635406953
94,0.9283523158694001,-152.88202498578275,0.0,-603.7819357199096,-514.3067361343253
95,0.9166943145830192,-151.66715464839166,-0.11308617002476196,-597.5108738104827,-509.8283904745092
96,0.9304620906235981,-151.01077918026033,-1.8467647283107893,-588.771178390743,-501.66111786032
97,0.8947669517042033,-153.00224678548332,-3.609768167965618,-603.3897805118465,-513.9148104756306
98,0.9359662002217362,-152.57653835215265,-0.1398984113501163,-594.705709306941,-508.4997480535471
99,0.9201161946259986,-152.8976667200532,0.0,-597.1660326635694,-509.745111570161
100,0.8912096168294515,-153.129273285875,-2.8237069160749337,-606.5679252387856,-517.0368085233772
101,0.8715813437977413,-153.70966169156696,-35.811116703043815,-621.9828437835756,-529.8279734944211
102,0.8960532488857612,-153.338030086946,0.0,-627.5769758792048,-532.779789618871
103,0.9199346899283404,-151.3874835357524,-2.1617838471805055,-619.5623272271874,-529.8650181963848
104,0.9101235311840916,-151.1970952212739,-0.8810444390330203,-627.9118236873378,-535.7339338181389
105,0.9103598296021028,-151.79897889205424,-0.8491472371351291,-625.4165225001434,-536.8470857256083
106,0.9356384086648615,-149.31189669634924,0.0,-614.5226708746735,-529.5458288017652
107,0.9145780360818501,-148.1381538285673,-0.6680768959184629,-613.5716671169517,-532.3887161988795
108,0.9270029496767274,-147.748465236454,-0.9333565225789997,-612.5465821579411,-530.3854270265728
109,0.8904856142487441,-147.64562832319695,-30.462097974547312,-618.6243538578292,-533.7142980818205
110,0.8965779236566983,-149.67016763340825,-2.928671149874414,-624.9459504276791,-537.9544875089225
111,0.940019397466206,-148.1504301074094,-3.309124122053075,-614.6481469898885,-531.2420743901479
112,0.8994118717031467,-148.50692718514338,-3.840438386262225,-619.3348990218856,-534.6487837641658
113,0.8799757281553398,-150.17476869158241,-26.53260540526811,-630.2215418961462,-540.1824969653853
114,0.9204250365638897,-148.73116019394877,-0.07043051382246412,-627.9185679945675,-540.6800230031857
115,0.9257797078562969,-147.34302306284152,0.0,-622.6913688659223,-536.0895527868998
116,0.894939991556601,-148.53338081541804,-8.830633728512543,-626.9503129948969,-540.9046199246978
117,0.9330039763826967,-148.20484103381443,-0.005442877830138298,-623.6643593020981,-538.5971698715041
118,0.918667861409797,-148.49115877230525,-0.22298002471755668,-627.654225540364,-542.7573965554031
119,0.910957276130489,-146.5977299827956,-0.20316520646388653,-623.577637324825,-540.1363094868404
120,0.9286312264545835,-145.70793942433198,0.0,-621.4426209033281,-538.2596836249089
121,0.9089889683598011,-145.21528451334422,-31.531720086777874,-620.8111685354186,-535.179214136021
122,0.849116218069093,-146.71351574726282,-43.297203620830985,-636.4192768625838,-546.4594883251867
123,0.8416865073385371,-146.41381347247003,-36.29374919957313,-643.714903405747,-550.8309587561091
124,0.8349491032476976,-149.67140617398667,-33.355169648271804,-655.222380027838,-559.3510447347585
125,0.9038449948773579,-148.49962489477042,-0.15115850162324726,-651.0769889133641,-557.9815918313154
126,0.9268031421090217,-146.9113713414456,0.0,-650.7665702482243,-557.2641496441146
127,0.8984037445991359,-144.95865704287993,-31.0023090520427,-648.3600407880646,-554.47495863073
128,0.8542568542568543,-145.64994659494332,-30.13017968774642,-660.266972859462,-562.745833247158
129,0.9044128874637349,-145.22206135230232,-1.1896760437917666,-657.9177095685787,-561.3629882455435
130,0.9337632064904792,-143.7612165829943,-0.0008598007641402928,-648.2833897619328,-554.3973522766014
131,0.9324651726226529,-142.8618040694144,-0.4003240149060995,-643.6700303006266,-553.3811396008513
132,0.9308200897731409,-142.78868122651758,0.0,-638.7945953531213,-547.8578443136386
133,0.9325846088820458,-143.0106475336586,0.0,-637.8660880790737,-546.9687453711057
134,0.9333052174960839,-142.31291373250608,0.0,-635.9318241704761,-544.5536242765018
135,0.9289260200992856,-140.94248497108444,0.0,-635.1591468881337,-544.1810439998252
136,0.9195827320827321,-140.69214651786072,-0.20974691647606739,-630.2461090831762,-540.2840211125298
137,0.9261533852606351,-139.59615477727885,-2.266353775918422,-627.5898473452443,-538.1747204513106
138,0.9280615046677649,-138.65278502270158,-3.391631526802468,-623.2495371438338,-536.6362563321575
139,0.9187432610518749,-137.88470705676667,-1.913131441601787,-619.178255791198,-535.132439224823
140,0.921096843873755,-139.15575755906414,-1.5035697060347264,-619.9179679845764,-536.7712880619649
141,0.9270662037882941,-137.5466491959281,-0.5980851419414679,-615.0733503741191,-533.6696692070549
142,0.9293439077144917,-136.50895330899348,-2.674933770928898,-615.6307847626732,-533.7005749962028
143,0.9388802208353336,-135.6375503496096,-1.6133786297527466,-612.5905077517139,-532.009557248175
144,0.9272180451127819,-134.95651094260202,0.0,-613.0595614595138,-532.6228475406078
145,0.926738813229572,-136.2881845927691,-0.2507178083486208,-618.8175708514711,-537.458427308982
146,0.9281861193984872,-136.4245112419534,-2.083478457014866,-618.9416942707874,-539.8024061212969
147,0.9296524748006619,-136.6866718002105,-0.6903398248548877,-619.2964870158181,-540.1171095104936
148,0.9350092886678253,-136.19075663241892,0.0,-619.9461227195786,-539.5517174128929
149,0.9323941139599439,-135.78901878853253,-0.21595241582931607,-618.3287010722752,-537.1238246145786
150,0.9279359961788763,-136.4886308841114,-2.1732713923677625,-615.8513819228849,-535.0213309642085
151,0.9311436249626754,-136.252090425811,0.0,-615.363551257212,-535.3600272331092
152,0.9152659382879097,-136.60355830438178,-0.2958249897419977,-618.737063430272,-537.7762539416196
153,0.9326555413937221,-137.5056406841411,-2.1353502151817865,-621.388600458977,-538.5564919681306
154,0.9312595890617009,-136.77316734618964,-0.3324633709099012,-622.2844662594155,-538.9432703133556
155,0.9312760034721183,-136.93768625754498,-0.9236009152090654,-623.9740602245307,-539.71964963143
156,0.9314641744548287,-137.14257677478213,-1.4962686483595324,-623.4354952773717,-538.3866117410637
157,0.9215585203153427,-136.22006487450372,-1.0929598161904621,-625.4290905293411,-540.5548351812342
158,0.9320287734698854,-135.42876965546463,-0.3482839992113353,-621.4787026438037,-536.569890501672
159,0.9325890162945082,-135.67528271434617,-1.0292367643427833,-619.3319884209818,-536.0276648027024
160,0.936998406925366,-135.17985645887353,-0.6317931145386573,-617.7236164073157,-534.5255116628966
161,0.9298394169413615,-134.81700227354912,-0.24904112158742095,-618.5438139561517,-535.0179460052279
162,0.9362728934983964,-134.54433259301163,-2.6088647637895788,-617.9661929550831,-535.3403406264171
163,0.9362730561651148,-134.33585640984143,-1.2205652716578919,-617.653995214944,-535.6336320246463
164,0.9381343056821635,-133.8357733763704,-1.1511186540448206,-616.1923330538787,-534.9421457196771
