episode,service_level,anticipated_demand_shortfall,squared_starvation_penalty,squared_congestion_penalty,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity
0,0.9136910372912032,0.25636728106659434,-0.16880681594570027,0.2664399575011685,-0.015013346980101375,-0.04656314116108328,0.44504875518351467,0.30087697046793266
1,0.9217638152914459,0.23130641711164399,-0.29113994202383886,0.06891752826802416,-0.10559652610127321,-0.040436937482710475,0.42896845384534793,0.2906004518488826
2,0.8982348770384745,0.19117814588513232,-0.48980090353473743,-0.18812653514641783,-0.22623245628519695,-0.04221450856044712,0.40961354738038613,0.25978895032227306
3,0.9095851868750238,0.16456887767825495,-0.6087834746350101,-0.3510860292451736,-0.21881623218838658,-0.04909813848282535,0.40578750278994596,0.24146603545168746
4,0.9207988457741666,0.14841279560039725,-0.6665646500152147,-0.4513242983957095,-0.18426433097524667,-0.03245819887976356,0.4047345792248241,0.22660103320977631
5,0.9135407652658114,0.12642545750083456,-0.7637213242673435,-0.6060839475440184,-0.18285538548826827,-0.03203709606345558,0.4035035315926681,0.2117460006357082
6,0.9175022448368751,0.11123541443236894,-0.8364793297778251,-0.6985155344382805,-0.18462916182655079,-0.020788560922387404,0.4018429997151655,0.1989160137379588
7,0.9148792560371981,0.0963552230910333,-0.9202173512182341,-0.7878223534631451,-0.18336050338588436,-0.027314672280440693,0.40051832600475523,0.1888410540581114
8,0.9209625827568251,0.08147988507217588,-0.9810168418597698,-0.8638578683688399,-0.15720624725830498,-0.01964552660316221,0.4010553967462683,0.17892426733702282
9,0.9175527874829106,0.07550675808887689,-1.0296531121980785,-0.9377932554897753,-0.16966400749255323,-0.019067380787991448,0.39850662022025973,0.1751286657953122
10,0.9115740050678194,0.06272987791362077,-1.0909161537055816,-1.0244122257138626,-0.1785072871578329,-0.02801470714715988,0.39643040342642666,0.16366503624922524
11,0.9173271644734347,0.052430045957631025,-1.1122675564768005,-1.096536441128796,-0.1600771873771735,-0.03192993030968584,0.39424770667414194,0.15504398104928227
12,0.9165026495079485,0.04294808719749041,-1.1686848145568043,-1.1674460902695867,-0.17372536930576896,-0.018457839568432523,0.39146560854004225,0.14674108519170045
13,0.921656554998681,0.03797496024229411,-1.193297445610987,-1.2022041641222545,-0.14749327910556442,-0.019676191111443482,0.39368062780161084,0.1391555064027665
14,0.918102971027865,0.030205657961179737,-1.233084302248537,-1.2252291014160142,-0.13367024259420254,-0.013517724408701902,0.39269185896795417,0.12888810563301845
15,0.9110617637095864,0.01744688313553537,-1.282855763716991,-1.2898922844573455,-0.13633153217065327,-0.029615591472744517,0.38863688936284196,0.11578524864883245
16,0.9146800030081973,0.008637887086384922,-1.3271969022721424,-1.3281230654062557,-0.15308017544233607,-0.01273124300663775,0.38606020023510546,0.11011874526744925
17,0.9114641605131648,0.005854045086878932,-1.343163859399056,-1.3780528825370022,-0.1287516206104007,-0.017535020068481105,0.38759438957864384,0.10350444455774153
18,0.9281778599776519,-0.0026117291983128264,-1.3508393632170788,-1.385109805829428,-0.09727204310611773,-0.005833117664494802,0.390034382720174,0.0993217422454673
19,0.9188356291538262,-0.006349790170528313,-1.3746039421469984,-1.4243979539574982,-0.10335323517778762,-0.014177685417860587,0.3861716093868078,0.09240803764739075
20,0.9187980751013604,-0.009361171247308363,-1.3949203704048108,-1.444853185427187,-0.0930191819113635,-0.006045463107258523,0.3850903559044446,0.0872589272404472
21,0.9193335595009235,-0.01329387925341925,-1.432863271345986,-1.4716014226610836,-0.1177694543552634,-0.016008654243837087,0.37880160297461457,0.08457175966200249
22,0.9115956096468304,-0.018574351823927606,-1.4616819713783031,-1.5057702679759604,-0.15790675137818766,-0.018577596962813914,0.37101585682960936,0.08341878077940246
23,0.9132414804523176,-0.02588990101525079,-1.4745966269487847,-1.5400525400781666,-0.15050632853647888,-0.018506690956573042,0.3688993530791813,0.0770787131656186
24,0.909608327716618,-0.03237656563836116,-1.4907656083302974,-1.579045439880929,-0.1374410566061938,-0.013833196524077093,0.3684258589969562,0.07261487546751226
25,0.9232889123787232,-0.03309724369342866,-1.4943086206230953,-1.5921422359555866,-0.1291552287738785,-0.009207295743814044,0.3665607867904229,0.0698211531967648
26,0.9223563931836136,-0.033849719301917915,-1.5128381968591944,-1.5973592975634887,-0.12847985852008695,-0.0170556043691693,0.36441085790204225,0.06627525154958291
27,0.9082845749636641,-0.03940500559411322,-1.5321871357465666,-1.6360968887602836,-0.12191270490254413,-0.02320757594163951,0.3630317176943153,0.0631311820854167
28,0.9243797798918112,-0.04050155011701028,-1.5436560732760256,-1.6360481035565364,-0.10842264938604505,-0.008185637118531486,0.3610340204638912,0.05983926129562038
29,0.9141393365992296,-0.0418900243107607,-1.5544401341239698,-1.6455515061767028,-0.10157183973363991,-0.004218018726919748,0.35967122233643706,0.05592370013021855
