episode,service_level,squared_starvation_penalty,squared_congestion_penalty,work_ratio,imbalance_concentration
0,0.9201502483945232,-34.23729635837408,-25.636428289956886,-149.38144316963502,-4.824623172140739
1,0.9278388166905074,-30.306916398888717,-25.975852630367186,-123.23908532020707,-3.8763965820264756
2,0.9172588985998125,-39.49130853058884,-31.486879441222488,-144.68437832962945,-3.6386466041067353
3,0.905908029949377,-41.628007011170624,-30.340656298871288,-140.54751743853407,-3.7699382101893506
4,0.9097872340425532,-48.30921472395378,-37.752964078991276,-162.36473824217876,-3.0226662135312496
5,0.9175998811822368,-54.37485769792261,-41.40599863903027,-150.1545283000533,-2.2901916326733374
6,0.9215327372021844,-52.25833090754346,-40.03799324249402,-112.56458249132434,-0.28519161526464376
7,0.9136021667168222,-61.83276006592248,-49.018920257099396,-122.6265737424977,0.0
8,0.9174234424498416,-58.63035288219538,-50.47780160568209,-108.73406510311403,-0.14980058583556102
9,0.9120676968359087,-73.34038609120562,-58.99117398878647,-137.64335590978442,-1.384598966221537
10,0.9130421586183871,-68.52425437753931,-58.99554980317407,-109.89275852958704,0.0
11,0.9236422407221053,-68.61501991096746,-60.302781224505495,-100.67548301327545,0.0
12,0.9187860138172383,-72.8549910681419,-66.94232185952367,-94.51942179873836,0.0
13,0.916304248654238,-79.53405446123561,-76.70906641646003,-120.54277636574481,-0.9766078112005107
14,0.9141081759466161,-80.01635500034604,-76.04145030259834,-100.8984155019709,0.0
15,0.9152669917524532,-79.73752542048287,-74.66907728268231,-85.19026433400825,-0.02422700911753925
16,0.915007197696737,-83.15623455115617,-80.20683434115405,-111.41435025144034,-1.341993041654327
17,0.9192465836255895,-84.71509472430662,-84.17426849586617,-107.59851142845069,-1.1116469888159146
18,0.912771372960024,-86.99925383409706,-81.27294366000335,-85.03375881071725,-0.23857534351099519
19,0.9196699429680864,-87.39814431024115,-77.24178416125633,-81.05683858310206,0.0
20,0.9160397231417394,-91.31464998510262,-83.3531815187649,-97.75278795703242,-1.4351134432268111
21,0.9155193803140791,-94.44453108020623,-88.48493362765377,-93.75206531913803,0.0
22,0.9202940024701027,-100.28745428974233,-89.99067010491095,-99.39259233331396,-1.6808589882314178
23,0.9077888007719447,-104.03578290180164,-95.86089727122356,-98.92866260037187,-1.393557140232439
24,0.9132074342321851,-103.22761761546606,-96.40183189889564,-100.38415197121878,-0.3316237763574594
25,0.9161102703344313,-106.8341543615436,-100.28004299151497,-84.1760104380978,-0.9423455360580736
26,0.91032981451661,-111.21111835373625,-101.67723456373203,-88.26553350979697,-0.8387118672802175
27,0.9246925605746986,-113.9373124743892,-101.15153265750519,-77.41547370484088,-0.5388611297782103
28,0.9131268922929344,-110.478796732696,-103.64380797372692,-77.07292119908354,0.0
29,0.9242019279858253,-107.45444901969412,-101.95792219050287,-70.90375113652392,-1.053177421543056
30,0.9125093632958802,-107.73835788915379,-102.70489181365669,-78.28865947751382,-0.9569271645235032
31,0.9198111789290117,-111.09079135986157,-102.53797288889078,-73.25309993777242,0.0
32,0.9183978925941447,-112.93608980437544,-103.35288955347545,-82.97993231593232,-1.9900159330477054
33,0.9242767067909615,-111.21801379471644,-102.38222067493233,-79.38865504772329,-2.644591280412721
34,0.9197108869146213,-108.18035129621288,-100.36775227632663,-73.15122841027016,-2.103031371760487
35,0.9182072488445634,-108.51908137768157,-99.19495095100089,-74.67103692886633,-0.9454720979741066
36,0.9155782872103997,-102.37058250609346,-97.92982108289182,-82.24210523278462,-1.110441897178002
37,0.919102217085855,-107.94094038540926,-99.38708400415145,-104.52871740324616,-2.1160869075860593
38,0.9192501802451334,-103.89782346375806,-97.05951071476062,-64.19223594084973,-0.2666005384345744
39,0.9141659784038421,-113.02251091441907,-103.52172964008294,-88.79502062174625,-1.029713159573849
40,0.9176953490477772,-115.4068371744035,-102.96470134799732,-89.68985515400836,-1.088427086602811
41,0.9143947488932987,-116.0270545732603,-103.86211601668442,-91.24125409406945,-0.8511465916820276
42,0.9180113128907413,-113.53501007975301,-106.79347039189221,-78.57047428381291,0.0
43,0.9127468365844129,-129.831521131568,-114.29257141549526,-120.7643510175787,-1.7513530878402284
44,0.9183654757174731,-125.12488314507765,-109.33389200669292,-89.93748604841625,-1.677291277540951
45,0.9087011273686736,-132.29481260099342,-113.88162938536,-108.14522851484212,-0.9036459965755923
46,0.9112007465157581,-131.30833107735114,-114.6082052968755,-97.17931688403398,0.0
47,0.914577059542622,-127.44644065914927,-113.85468046700515,-81.41794644428053,0.0
