episode,service_level,squared_starvation_penalty,squared_congestion_penalty,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-4.237528153732419,-3.246929753124714,-0.9752141465456226,-0.6977054445509566
1,0.9425004556223802,-5.75571464724175,-4.2938895539304145,-1.2261363320835184,-0.8725438342714957
2,0.9453743428605959,-7.058873281635599,-5.2551429022500695,-1.4182604011435005,-0.9948628021915129
3,0.9342220082448169,-8.67082110056538,-6.35872598337137,-1.677496046813105,-1.1537580066704651
4,0.9426061228186704,-9.927057037833391,-7.2688695204128875,-1.8619495390151726,-1.2726800771839173
5,0.9296921608399953,-11.553663947504443,-8.480504968217438,-2.107919186531085,-1.4544647396235615
6,0.9349546653728356,-12.904080615931415,-9.412813493207455,-2.3301651444649996,-1.5697013315820123
7,0.942102698422367,-14.102467974948196,-10.227294144942212,-2.4981341037165716,-1.6841944732390093
8,0.938028840424264,-15.308733237882246,-11.103333834080338,-2.6881580862578103,-1.8071384248321598
9,0.9387997442377372,-16.519245682608148,-11.902401044977166,-2.8884084843397084,-1.9299289515379565
10,0.9379200672107537,-17.63727522423433,-12.682592471615214,-3.070531128216064,-2.0172026083486854
11,0.9366733347266593,-18.84748972551765,-13.504982532414182,-3.257536749939569,-2.1530150075600014
12,0.9437748583825479,-19.757518521514246,-14.1798709954777,-3.387354268378961,-2.2366747985659368
13,0.9416265916583492,-20.67967332614467,-14.837099472851246,-3.5071192146379606,-2.322550165967357
14,0.9369811549415258,-21.69173854664253,-15.550618520383457,-3.6572397283643046,-2.434764795492167
15,0.948076923076923,-22.484590403690113,-16.10761563920248,-3.756707017187612,-2.505595372951522
16,0.9460123816460306,-23.27803800873948,-16.6536054640988,-3.8610329489149997,-2.5726038746897304
17,0.9413578380992684,-24.152770831731186,-17.22776801028894,-4.012894559347307,-2.6543651506484607
18,0.9374906935882545,-25.04935851047619,-17.86751698161713,-4.1445312605406315,-2.7355285842866612
19,0.9419553456675733,-25.875313545035375,-18.405634623266295,-4.279333682659515,-2.806026880761341
20,0.9367455335586673,-26.724210724211105,-19.04411015483307,-4.402171590811181,-2.895087262476864
21,0.9441330735800989,-27.46993788988237,-19.590333275961374,-4.520173386916582,-2.967995245606487
22,0.9431845380564864,-28.203837345971202,-20.110953516941283,-4.615344727061412,-3.047975709956271
23,0.9417115499700778,-28.939806190609733,-20.617250279440352,-4.718474770008496,-3.121764226832031
24,0.9344677006474928,-29.80628720130997,-21.22362018544946,-4.845025855481521,-3.2070076685832696
25,0.9431143060836502,-30.465101158138726,-21.71012045587091,-4.931739791899554,-3.2679189198320473
26,0.9395169716691048,-31.19349547310435,-22.204346343829474,-5.037198680583308,-3.3287964653388715
27,0.9444644033291419,-31.812423975027613,-22.643525366687403,-5.110262373552383,-3.384846141663123
28,0.9420613643133751,-32.503968899705875,-23.100728430874284,-5.2227825645485515,-3.450756839618074
29,0.9426911041573536,-33.16958667250057,-23.56475180880958,-5.3160414207312385,-3.5014836060977608
30,0.9381666967998553,-33.823922046575355,-24.048692990311594,-5.417306028622547,-3.576505104909412
31,0.9389667224718771,-34.513954108159645,-24.515428908758054,-5.501470847441081,-3.6341093846214414
32,0.9421925101337044,-35.14108764177097,-24.947448808927756,-5.601562801305544,-3.6861790693013923
33,0.9437934158864392,-35.68306560552361,-25.3332639464592,-5.675508222426493,-3.7352581854151587
34,0.9386658795749705,-36.27175120715231,-25.771526786193466,-5.7526858127445974,-3.794254811452664
35,0.936864406779661,-36.921826716113245,-26.233285360995993,-5.851037471983119,-3.866739886429047
36,0.9441711165776685,-37.466032689551824,-26.602224410171818,-5.934177350414433,-3.916552194395747
37,0.9406270847231488,-38.0284122116047,-27.01065345347243,-6.009910404645457,-3.9735276472405516
38,0.9300448974639,-38.71373125391413,-27.488416774800594,-6.123139442276125,-4.045795519414543
39,0.9397338743361776,-39.27502081337983,-27.899665611268755,-6.202316328913707,-4.117713863289991
40,0.9406479144127899,-39.835003252673836,-28.304345371873925,-6.276765308253849,-4.173101319138912
41,0.9406177906941906,-40.359501881044864,-28.672939886978405,-6.350109293849736,-4.21857642997832
42,0.9341166469320217,-40.9586968534095,-29.095724612224174,-6.440850102831798,-4.284329272076484
43,0.9422914657666345,-41.444928544722345,-29.44259661915968,-6.505089909699566,-4.341197170655935
44,0.9378740039091866,-41.99693155135485,-29.841867619297812,-6.596097815859693,-4.397753456320932
45,0.9390549139048883,-42.51329047842122,-30.215587992463078,-6.672559648736273,-4.4540699698409645
46,0.9467244989530362,-42.94821515751276,-30.50291212397764,-6.7447427084293645,-4.488203552775319
47,0.9460112325623528,-43.37841158772101,-30.81476831895034,-6.807293124060097,-4.526815876657842
48,0.9439616150642767,-43.828292796114326,-31.121265448859745,-6.875715618138117,-4.566355568428043
49,0.9424082187641638,-44.253761363071554,-31.43281034713758,-6.929485030249881,-4.6155994956490405
50,0.9455347497299244,-44.67862856881331,-31.71942294537485,-6.993559985043286,-4.648302509986161
51,0.940125457085947,-45.15094122474402,-32.047919900653056,-7.066675055239056,-4.691451856277353
52,0.9355830069297981,-45.67068715228973,-32.40126187514459,-7.149999410839979,-4.734679416824695
53,0.9373060585063115,-46.151802466351675,-32.74158259957185,-7.217000407227325,-4.780815414879761
54,0.9439537738391066,-46.568463631837844,-33.030738426033615,-7.275736166868034,-4.816480985222728
55,0.941243961352657,-46.98959898013552,-33.33340905414398,-7.336561494568282,-4.850095125518606
56,0.9414738777386242,-47.387163744167935,-33.620187925568935,-7.3893501726708335,-4.8852534455687895
57,0.9441744660427166,-47.768839322651445,-33.890377359164525,-7.437246188857247,-4.9165504209761925
58,0.937798038568815,-48.20058564807682,-34.19954115487558,-7.499033380943486,-4.956743751435076
