episode,service_level,starvation_severity_max,congestion_severity_max,imbalance_hotspot_distance
0,0.9036916198417014,-50.30365701723909,-48.17319764575849,-7.499182452181686
1,0.920635397273437,-94.50821753062986,-85.9085033911149,-5.550109834180294
2,0.922571064913025,-106.3011789917865,-91.61550514731019,-1.806703419180083
3,0.9133173819547505,-112.97967752491769,-93.32440464043893,-1.4003451498345285
4,0.9215739813719244,-118.98356681347101,-93.80671367710256,-0.7664855669417918
5,0.9109785130940542,-119.7847839862681,-89.65086909314489,-0.002792710638979417
6,0.9179998199117567,-121.27190481816079,-87.57216768448846,-0.09226957377213459
7,0.919865990583122,-122.31903176875244,-85.46577510723951,-0.1380149911462464
8,0.9140676444178389,-123.68101682313949,-85.014801972293,0.0
9,0.9267691938003124,-124.93763031591867,-83.65039440543973,-0.039978842739463005
10,0.9176569946311154,-127.72796509395862,-84.33337876083509,-0.211348356421605
11,0.9144582657292231,-129.83213268811016,-84.49236956338184,-0.21526597028445596
12,0.9187763069602879,-131.78358709671951,-84.13245197557178,0.0
13,0.9267706717756896,-133.6891885772009,-84.10644915010563,-0.23861974531456637
14,0.9170596058517713,-134.0740699336213,-82.54395009990134,-0.024649396944237158
15,0.9227041434456021,-135.22208243983815,-81.75386529333663,-0.31919858721657807
16,0.9159722222222222,-136.80135571412964,-81.41648164961506,-0.34024934009411417
17,0.9216757741347905,-138.3337253488647,-81.86643435548358,-0.6565605627045837
18,0.9160020312453326,-139.82534006034186,-81.85962664316384,-0.08647289674846947
19,0.9262624128459751,-140.88173491921793,-81.58536842809237,-0.3864927475925497
20,0.9220996622126566,-139.64625553379352,-79.99376839464051,-0.4071803492714685
21,0.9186819830713422,-139.8476323360841,-79.1309989968861,-0.15450081498051443
22,0.915860264134867,-141.13206361304302,-79.28693511596069,-0.31056367493076703
23,0.9166210379022937,-143.40348924579288,-79.57423885449556,-0.7845766269046736
24,0.9343504954106133,-142.65657068333746,-77.94389157018311,-0.5586270574867729
25,0.9209029452931892,-142.97671990496477,-77.39668151191039,-0.705925101296614
26,0.9257673740777849,-141.9061972265087,-76.07345075667037,-0.31419539745632435
27,0.9176310620939719,-144.02912590628654,-77.56988862616772,-0.6125713564517731
