episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,projected_starvation_risk
0,0.9000390355223253,-68.06359088542858,-48.02272021480711,-9.215524317526695
1,0.9283702335160675,-218.38604383559678,-156.02807605917266,-26.87207312295693
2,0.9328594234766108,-315.6847236177751,-226.2627330741742,-37.58933302117847
3,0.9428220858895705,-376.2108887389167,-270.25809632376627,-44.44180863815811
4,0.9318961147389451,-416.2418249556672,-300.1345313245533,-48.89321575757621
5,0.9317572798189722,-445.57126818587034,-322.08769053979023,-51.60860606173187
6,0.9289703993548194,-464.56240371030276,-335.27814808692796,-53.99543841926042
7,0.935458337138856,-473.8618497877104,-341.07080451457824,-55.144317685598246
8,0.933482076453964,-483.2034890903044,-346.9083396832483,-55.48729967160866
9,0.9354944628518551,-489.0829231470893,-350.0204174214497,-55.83240849752781
10,0.9381294096363746,-495.7041457620857,-353.35580780637605,-55.84082661992318
11,0.9358829112955082,-495.86837547552574,-352.4083761417084,-55.65043779706158
12,0.9299385951774749,-493.95509956820155,-349.65334353001197,-55.165314474856565
13,0.9311155306454529,-495.85255306627727,-349.20509156483996,-55.181561477207545
14,0.941913474021073,-499.40087511850777,-350.2621630380703,-54.79453494587299
15,0.9356931279620853,-501.68080083108435,-350.94155756113923,-54.58538541560486
16,0.9333754626703982,-502.9215745640475,-349.1862457983526,-53.86027811140582
17,0.9452226572057744,-505.3600882860175,-348.8195466168127,-53.65237203059547
18,0.9374831742993031,-504.08674347226344,-346.4709483495841,-53.23216746899972
19,0.937356944946392,-506.58298442984716,-346.64349689915497,-52.863500413622944
20,0.9309014800418598,-506.36042727488825,-345.19121154950903,-52.107213623708404
21,0.9383452305653445,-510.0292812597871,-346.472496604822,-51.69357947855147
22,0.9377691387559809,-511.3764390103139,-345.62886562162805,-51.04454491442611
23,0.9391563007030828,-513.6300315428205,-346.42628814755665,-50.97190279799947
24,0.9371236857082946,-513.0519388522298,-345.13369554387936,-49.92786490943787
25,0.9350111209286737,-511.5699746902195,-342.7993618981166,-49.370212893484386
26,0.9355044312249605,-510.11557500833857,-340.70280303503023,-48.83471516537735
