episode,service_level,starvation_count,congestion_count,hotspot_imbalance_mass
0,0.8946330973927068,-56.45873529144088,-35.512130680268,-62.475924431368334
1,0.9256579542371348,-156.03486404009018,-99.86613958143057,-188.8886619520345
2,0.9326177516951987,-210.53584791535377,-135.61693499773386,-274.30527354423776
3,0.9197775773970545,-240.74524955026823,-156.84595245717344,-336.0661432382052
4,0.9292642889121027,-256.27997468191916,-168.83622567310505,-383.2966206278542
5,0.9258992805755396,-264.35593666658787,-175.65355327778084,-422.29834182848464
6,0.9296519749160401,-268.3812261060366,-181.3004796587594,-457.5451952379383
7,0.9327886215766379,-263.9530439432514,-179.53090803110658,-476.37485927787515
8,0.9240906218972832,-261.7840874890678,-179.84579942294812,-502.2538203915974
9,0.9255771116194778,-255.19039802649522,-176.7770631760495,-518.5381707342995
10,0.9169297074177492,-251.55707830789137,-175.63540201065564,-538.353526666998
11,0.935739357393574,-243.76636626113574,-172.57010363359055,-551.707816738348
12,0.9306631569501361,-234.3428951226891,-168.2982775721228,-562.6698279831146
13,0.9284232365145229,-227.7986020263075,-165.08493542464237,-573.9362458287833
14,0.9235494263948691,-220.00315987177888,-161.50354966127966,-582.0987686189627
15,0.9254506386534559,-213.93259892705586,-158.63490584165928,-591.8099006815146
16,0.9205953845692164,-207.72147658273087,-155.87650096590184,-600.3880440673113
17,0.9313083545531708,-202.51456087797655,-153.7612817756184,-608.2041742825797
18,0.928241369937483,-198.85030956443006,-152.39427469937095,-618.037319790294
19,0.9341854367774997,-196.2218735579399,-151.6849181333048,-629.8532264619337
20,0.9247272837155894,-190.68047765251947,-148.19550346286073,-636.5768664473894
21,0.9230403376831842,-188.32235294661243,-147.02604126838202,-647.5746869078074
22,0.9264513831176541,-182.86176480579584,-143.58787892994164,-653.1191506755837
23,0.9293053719504867,-178.92255269349798,-141.15832018639392,-658.20694952732
24,0.9364068526325231,-176.20816184052208,-139.55663844282773,-664.8023202534877
25,0.9271726378485696,-172.26174633861314,-137.74792312476197,-667.8412220613461
26,0.9261308365758755,-171.07714993135622,-135.7931280478576,-674.3274404079299
27,0.9239720245990595,-168.7806908695609,-133.49660269891905,-679.7772135997824
28,0.9259593951442858,-166.0727505868595,-131.6067053220847,-684.4871786498838
29,0.9292774061351172,-163.81942108258838,-130.0134721951455,-689.1359420764958
30,0.9238043280596472,-161.90549976667637,-129.00703644831293,-693.4984422133215
31,0.934066265969978,-160.97885669906898,-128.89352531955277,-698.8756795481477
32,0.9286038970877906,-159.95935582306836,-127.38753417892181,-704.6812448139735
33,0.9216628368498015,-159.20021690034656,-127.28128138201157,-710.6973899616771
34,0.9362662842847118,-159.14453612834004,-126.10628033995823,-716.8594559985803
35,0.9214241866175568,-160.17783405568704,-127.04885632030715,-725.5030676488424
36,0.9367154174283974,-159.9621284467114,-126.71803052386194,-731.9278650171732
37,0.9287693033125074,-159.29379727366856,-126.21288070684216,-735.5330318751621
38,0.9252344877344877,-158.43203794834807,-125.40018246595443,-740.3094107615578
39,0.9239578284052351,-157.17469248212925,-124.46212266899688,-744.2334394637311
40,0.9297437890519896,-154.71411914286332,-122.70116294536828,-745.5633309899662
41,0.9214658108067384,-155.1055992888325,-122.25932921557427,-751.2016812706597
42,0.9197886939097699,-153.06091710525376,-120.95136993427006,-753.0979969339096
43,0.9286097052694254,-151.6001397804113,-119.18457904188597,-754.7619327594974
44,0.9233774038461539,-152.2598546927369,-120.17422456128618,-763.6236183033425
45,0.9275956696118934,-151.87488830818296,-120.55159979309059,-769.3781950665887
46,0.9275080130605398,-150.2746010112943,-119.08615240158214,-770.5807294728697
47,0.9313802240154161,-149.72759569192274,-118.3385674469521,-773.8064929677623
48,0.9239935491578067,-149.5496573038254,-118.7506682964507,-778.2230879154233
49,0.9251770378182914,-148.63635828986534,-118.42466198583298,-783.1411971878845
50,0.9304726665075197,-147.14538093691314,-117.58970502222128,-785.3566854595139
51,0.9316092989727879,-146.75398835952967,-117.0907980427717,-788.6408444525157
52,0.923423958209664,-147.3953766342085,-118.17189087206268,-794.1890552226342
53,0.9238952039389703,-146.76444355626128,-117.90935525380664,-798.8334089789346
54,0.9337736469322495,-145.72082865841188,-117.03201891598138,-800.7432241444611
55,0.9174542232722978,-144.62443346574946,-116.25324762056019,-802.5724443151154
56,0.9254337504106072,-145.21569175547552,-116.9452124016827,-808.5567280829976
57,0.9316361208884574,-142.79013073447376,-115.46635173512222,-809.1445282166887
58,0.9266033040506101,-142.93376233526365,-115.89581080765493,-813.8938182482268
59,0.9253306144480763,-141.67202989778536,-115.25560492548426,-816.1915093587753
60,0.9274254693233858,-140.97553199651884,-114.59601419591966,-818.7872386416182
61,0.9253556636052584,-139.3446696762475,-114.05230694730838,-821.4304765020138
62,0.93106911348489,-139.45210214238406,-114.14162045194617,-826.0510225948361
63,0.9334559488632937,-139.78093701615006,-114.34676585446425,-831.9952271043387
64,0.9377613477971032,-138.36962483529254,-113.78236696156807,-833.7348900553021
65,0.9238857073599369,-137.70864446353252,-113.33808352477274,-837.4288546694494
66,0.928729499499803,-137.8220867102587,-113.35911047262753,-842.1322626234906
67,0.9221856802341369,-138.19309074243233,-113.83436780348902,-848.0542919161826
68,0.9272027193694913,-139.5324999776438,-115.3465842385739,-854.3345318280782
69,0.9264657566978286,-138.462898029813,-114.5545779545833,-856.0932426169712
70,0.9272363549504359,-138.66517830863665,-114.63118898109715,-859.383905568684
71,0.9336831059811123,-137.54162507144108,-113.61458862464416,-860.1830545216721
72,0.926543284301905,-137.11029312351806,-113.42934471032585,-863.4347879435636
73,0.9307930156420516,-136.85749442465527,-113.53153866271293,-867.3586913064546
74,0.9267281521314628,-137.19914565854396,-114.35067252069273,-872.1116522855505
75,0.9121512635163391,-138.95550679217814,-115.49669515574229,-878.5183631338524
76,0.9192357144992973,-139.73387864497997,-116.02069940428613,-883.5885350654067
77,0.9263887208035823,-139.1220402139461,-115.57572217651236,-885.4668785293779
78,0.9233661593554163,-140.46225582039733,-116.61766484322249,-891.6057179586918
79,0.9222386127585273,-141.18714263501903,-117.04171122476706,-895.6354479839227
80,0.9257562687765847,-142.75496106279198,-118.2040447531314,-902.4670667146802
81,0.9202998916054438,-143.48401701482322,-118.68054098403923,-906.906711796725
82,0.920518059979566,-143.23543306621104,-118.79825653800371,-910.2912576216542
83,0.9197812762889076,-143.57642205552926,-119.26139940315582,-915.4814289183781
84,0.9315733896515311,-143.93166349534758,-119.74481877241251,-920.5888282405858
85,0.9220226134421018,-144.6523624076777,-120.38606520017828,-925.9979725434862
86,0.9252216484074152,-144.3399461793755,-120.45310221778594,-929.2366799995968
87,0.9331368243751316,-145.02101491532437,-121.07510209091161,-933.9763311775758
88,0.9247573544878152,-145.70145177272983,-121.36384685241168,-938.5125628667583
89,0.9287311178247735,-146.12875590501673,-121.48603107919075,-942.5267569582405
90,0.932465736955999,-146.49044767197134,-122.05347315420165,-947.7635726716389
91,0.9311091458022018,-145.48584175899688,-121.81648497427184,-950.6378352133917
92,0.9351411882206955,-145.04026265968065,-121.82451827480978,-953.8065168493904
93,0.9247819333253674,-145.7576924835334,-122.60075321983558,-959.334442622396
94,0.9251106664241101,-146.10961802134028,-122.74270339761247,-963.372053852345
95,0.9255599472990778,-146.12472332657308,-122.89386255779546,-967.4362148065992
96,0.9253274978266735,-145.80051825542756,-122.86362601792149,-970.7277754175727
97,0.9307086614173228,-146.22384145591977,-123.5099193527447,-975.0924621722985
98,0.9303271281402494,-146.27491121386706,-123.53707840602969,-978.8258506875786
99,0.9228491085317698,-146.4391533299512,-123.87339166267111,-982.6183062094617
100,0.928793893129771,-146.86909946786176,-124.60176882944344,-986.5769930186676
101,0.9295884650045059,-147.39383721177816,-125.1625722819301,-991.3835635831009
102,0.9295258685403718,-148.10804803109917,-125.84690962063685,-996.7727855319242
103,0.9256441865359752,-147.6590858158979,-125.97384396901263,-1000.4322160657472
104,0.9265622218265979,-148.63104329532177,-126.65778028087381,-1004.8809376640683
105,0.9259171033825632,-148.72517147214202,-126.96854481163575,-1007.7892868513696
106,0.9251574993942331,-148.67087112015201,-126.7373279087221,-1011.8040396111261
107,0.9291369515290705,-148.8234650666989,-126.98431330298718,-1014.9606561900179
108,0.9251291912029804,-148.95701454265742,-127.18777135845441,-1018.7787255945102
109,0.9220399841767337,-148.91791545278994,-127.20356854192458,-1022.0724029890158
110,0.9263930152185775,-149.63724626638069,-127.73402519466458,-1027.292501784695
111,0.9231874083605135,-150.132997744869,-127.78815916562208,-1030.7057532274407
112,0.9297588737456942,-150.29551640493267,-128.01645540234784,-1034.0527966740856
113,0.9347052689689014,-150.98849843084074,-128.85232800956842,-1038.2578182960497
114,0.9296673622192217,-151.61458471432468,-129.25537096139118,-1041.9948007937537
115,0.9196618603675171,-151.55805409825385,-129.30229382863095,-1045.046780609242
116,0.9304871863719084,-152.0203931863,-129.6530608960868,-1048.5582140461372
117,0.9317539004288191,-151.57308691239757,-129.4859496204297,-1050.6462492525682
118,0.9245930250052659,-151.48823137920547,-129.64496740264462,-1053.6800846719123
119,0.9262248527785251,-152.052461234351,-130.18707005510728,-1057.1873018164067
120,0.933108873130326,-152.09796060842513,-130.41294158657786,-1060.0340031752753
121,0.9205456250189032,-152.98745269493105,-131.00689447225298,-1064.3290893569445
122,0.9311828604098336,-153.07702583841888,-130.9259216058203,-1066.8985924089097
123,0.9243588584516168,-153.0389983885904,-131.13256736265535,-1069.7603242246848
124,0.9281218946671084,-152.990690675332,-131.32720448847522,-1072.7970728983848
125,0.924871396100012,-152.91748688814283,-131.40064529326366,-1075.6087155466912
126,0.9241414505283382,-152.06854046148462,-131.22399758021956,-1077.391645008834
127,0.9305593164244668,-152.37475214968848,-131.39724849572784,-1080.4623671615211
128,0.9298590626024255,-151.9628798014578,-131.16816245268677,-1083.2138891413545
129,0.9340799417281253,-151.53343740691457,-131.08556309740231,-1085.4881706211595
130,0.9255208967954185,-151.55307393819706,-131.3054874474854,-1088.4759348447367
131,0.9290820446863877,-151.31675027298368,-131.17020873829347,-1091.3579960828083
132,0.9304501694508592,-151.40409443379764,-131.3399462756737,-1094.3555213414238
133,0.9277090295968446,-151.67549134413383,-131.49373401635512,-1097.2708577910141
134,0.9278322603934781,-151.86864310313752,-131.68667151733857,-1100.3861648790362
135,0.9329415625093219,-151.84734360536666,-131.76189368794513,-1102.87585663133
136,0.9335403914000543,-151.95125041355953,-131.89700642855794,-1105.3444726307246
137,0.9268519630207708,-151.67084217245656,-131.69559582986926,-1107.603449696739
138,0.9320534878807087,-151.30812110565003,-131.76219938417378,-1110.2990112148457
139,0.9224021389731727,-150.87491908589558,-131.55962065821961,-1112.573523031405
140,0.932216252314604,-150.32255170062803,-131.3293983582401,-1114.6394255848625
141,0.9308705526116579,-150.56973615783565,-131.5724093134413,-1117.8742384658267
142,0.934329259091595,-150.18531848564174,-131.4142602342901,-1120.0155058079743
143,0.928680180314655,-149.6226690174073,-131.1119596024018,-1121.0130900248625
144,0.922486076259257,-149.30280637249393,-130.89180493751596,-1123.0548751065119
145,0.926572068707991,-148.94365375307413,-130.62083283064743,-1125.011842685304
146,0.9291803278688524,-148.89714859420081,-130.72881063654464,-1127.5751244207495
147,0.9263061411549037,-148.76726746852722,-130.63833210028676,-1130.0036619603654
148,0.9334009062723587,-148.3534608352239,-130.3544982147966,-1131.7283772183512
149,0.9324199791116299,-148.53535285020916,-130.55523057095024,-1134.2759835196819
150,0.932851768246802,-148.49944324050327,-130.7575856989884,-1136.6967917375239
151,0.921704984862564,-148.15418854751854,-130.60588062754732,-1139.0763284802354
152,0.9294850573328919,-147.97895814844927,-130.38547176005343,-1140.9173186045266
153,0.9236941801151448,-147.4677034822218,-130.07525907501912,-1142.4538767545716
154,0.926039970392302,-147.12399293213556,-129.96568718138747,-1144.5558311415984
155,0.9265942116008166,-146.9279043382653,-130.05863804334157,-1146.5226001794751
156,0.917174398262653,-146.73647576461576,-130.08619842010262,-1148.1525910599973
157,0.9240647179117045,-146.3466409466357,-129.88284208616872,-1150.1119952514396
158,0.9191416669164144,-146.27986478918058,-129.8710162436994,-1152.138364394525
159,0.9272946859903382,-146.0176884455278,-129.87324429781134,-1153.9454574656686
160,0.9295884885156085,-146.11614821467913,-129.9746945726914,-1156.3503940574785
161,0.921610041639008,-145.7286949351167,-129.61837423334035,-1157.9316710663318
162,0.9368580518103318,-145.61761249571575,-129.6539989635747,-1159.9175988441684
163,0.9243367377772406,-145.71405155171018,-129.65968823840132,-1161.9995703790178
164,0.9334978370803632,-145.6421223421182,-129.69375253108433,-1163.8365962088749
165,0.9329128964445663,-145.16554604411766,-129.38350358381655,-1165.2266976960989
166,0.9239801476818787,-144.88251691482225,-129.25672333044545,-1166.5778233271067
167,0.9288650205514386,-144.51488862550966,-128.9805124136091,-1167.814806349646
168,0.9255300035932447,-144.35661671507577,-128.68485056368363,-1169.2650439365877
