episode,service_level,squared_starvation_penalty,squared_congestion_penalty,imbalance_hotspot_distance,projected_starvation_risk,projected_congestion_risk
0,0.9038998468882284,-83.10257258039303,-56.76859939707277,-16.092355908668345,-8.372884300926518,-4.980395260736836
1,0.9283628399342946,-227.7058590761662,-157.08983559143928,-12.25106075266048,-21.266371324927267,-12.865253954061888
2,0.93840667311412,-310.76926080827934,-214.71716955946854,-7.9187782973128975,-27.974134368823975,-17.267741991658642
3,0.9365174787339565,-372.8739448018788,-257.29251837399374,-7.181148800708582,-32.468238582408034,-20.309863259356796
4,0.934685023950833,-412.2855603074071,-283.876066680633,-5.521122875150349,-34.78453332055901,-22.395540510385874
5,0.9338576938261107,-437.34781349144157,-299.90521867173373,-3.884445353903554,-35.97995417332824,-23.692970387349877
6,0.9377702518823138,-454.64890808305825,-309.5554210759616,-2.531928692605725,-37.55947271774142,-24.58605631714174
7,0.9406998270158721,-469.3037223925504,-317.25547241021144,-1.7329887999415556,-38.79982962081633,-25.399934157527067
8,0.9367269267364415,-478.81100207365813,-321.4562217745546,-3.4947757570448537,-39.24701678264682,-26.020386584606225
9,0.9407784957980644,-483.7835500640355,-322.2169114931926,-3.4971021080913007,-39.51116010118595,-26.293519217742986
10,0.934484205478631,-488.13962818910113,-322.5320373655816,-3.5267589491577893,-39.87988576178264,-26.6729726487461
11,0.9335072881050926,-490.44254226762797,-322.5834080725179,-1.668064019570115,-39.4230339903479,-26.919660816745758
12,0.9420774913312226,-492.9693648107597,-321.8088764522426,-4.5840651901544245,-39.30557558126337,-27.221001740763043
13,0.9401844212569764,-494.7081861290345,-320.7096079495336,-2.869555777038518,-39.008863688598204,-27.378727773040108
14,0.9385588709432126,-497.7354056525774,-321.1207709435663,-4.499647687154445,-38.67552634834183,-27.67630478575528
15,0.9325475376402136,-499.1936456676178,-321.4043278932334,-4.126993113205111,-37.94382982070882,-27.98350347173559
16,0.9411084747825029,-497.3414728616017,-318.6967512816515,-0.6372163013963333,-37.12822370193001,-28.113487651821117
17,0.939226685969357,-497.137542349039,-316.6391850340807,-5.482953225102921,-36.77338929367704,-28.229698196046776
18,0.9346817869004518,-497.4140739425172,-315.22440092764845,-5.003185372106966,-35.75012951772991,-28.157880922736005
19,0.9410178833538029,-496.197276278551,-313.1523832458257,-2.8444890585569818,-35.177527199540386,-28.353086022913377
20,0.9390758837012909,-495.2705484528378,-311.34013742697124,-3.3956663779880256,-34.43973482000185,-28.36758438557749
21,0.9397052119738641,-496.29652820721327,-310.9799147726182,-3.1146053292118743,-34.003935792746184,-28.68761812833817
22,0.9355128974205159,-500.59476441235824,-313.799946522406,-5.603012376377544,-33.37045328062968,-28.967954504105226
23,0.9404772624943719,-499.2180933741655,-311.45410232584555,-1.5168701337412311,-32.770792856861675,-28.968746623364307
24,0.9374719252537957,-505.5472063041411,-314.9384953139067,-8.547829040551626,-32.197995871096076,-29.14933665453516
25,0.9359945146673027,-503.5204278400394,-312.62826000754245,-2.271196978886677,-31.413252307703544,-29.26537683590738
26,0.9427807647253177,-504.3065653722604,-312.065097975477,-2.0339971651395214,-30.786184589173104,-29.42076255268535
27,0.9410131852879945,-508.1789520023573,-312.886850276604,-3.6816712199229262,-30.055393891046087,-29.4739422663564
28,0.9411977346668273,-506.20714433947103,-309.6933112862244,-3.965142378630569,-29.4139263431002,-29.47157167207711
29,0.9433996113021379,-506.5108040309608,-308.37557422063645,-5.514678496940906,-28.73142810444805,-29.45955674010487
30,0.9379289584587598,-501.7867457425719,-303.72460155483714,-3.1851762093715927,-27.786228285766875,-29.32531305275001
31,0.9377852510208984,-501.234707221701,-301.8623265282766,-3.6576686075645592,-27.233696478804692,-29.549104720786005
32,0.9422168747180028,-501.95760705830605,-301.5874027267809,-2.6761214814133742,-27.13540811640743,-29.8899257358521
33,0.9425830125120308,-502.265734533545,-300.3905793744337,-3.753441913597874,-26.920278171257927,-30.081995995934715
34,0.9402122962470136,-503.426217506048,-300.1776387930419,-4.987187059283396,-26.012441403356704,-30.181311903578532
35,0.9380289298361443,-504.2276361840493,-299.8831634137201,-4.851567624830875,-25.404895359867563,-30.527783988459305
36,0.9407884874831359,-504.5803905977105,-298.9122999680945,-3.4813401094270278,-25.204688014183535,-30.940460197753282
37,0.9478488407472768,-504.94314587257185,-298.31446968830215,-5.369901019767296,-24.831774304866112,-31.290951611864863
38,0.9395737793363906,-507.0125897609157,-298.821055743444,-6.280312561458863,-24.376200294970694,-31.843196420305794
39,0.9440439202437332,-510.3227487849051,-300.3879997544062,-6.29848827160722,-24.188386773926545,-32.37155641336431
40,0.9431197142246511,-510.96630912607947,-299.7090174926671,-4.949181393510394,-23.674162516742044,-32.66989988527904
