episode,service_level,squared_starvation_penalty,squared_congestion_penalty,imbalance_hotspot_distance,projected_starvation_risk,projected_congestion_risk
0,0.8889786393825166,-181.7917120813664,-136.04226091288658,-24.753749262653077,-17.55319050382738,-13.636713492940169
1,0.9299732381801963,-397.26062514370545,-295.0284790391343,-8.967678889884121,-36.27444237917873,-28.166249858947744
2,0.9376940402995069,-474.20927334877325,-349.00265406704455,-2.873842653122725,-40.84444562638901,-33.466102495489054
3,0.9388277836371854,-509.08358299057653,-370.20893298693363,0.0,-42.17572107436505,-36.224761818053054
4,0.9426180334753135,-518.6475205664702,-372.42301608320247,-2.7887398821814027,-40.59896602799594,-37.05778029043871
5,0.9414916286149163,-516.9936102929727,-366.8043240527733,0.0,-38.10330271662421,-37.08617657439341
6,0.9402136302091169,-507.5806644192329,-354.4640307333013,-2.663887914039696,-36.08152145733403,-37.25702208486253
7,0.9356920942297832,-496.7973710193989,-342.9956827061397,0.0,-33.67395298248419,-36.952636516306754
8,0.9426095882139838,-502.4822298205631,-342.5136566306531,-0.02308755243325106,-33.08402733129071,-38.061468610983745
9,0.9408438061041293,-500.30303149727564,-335.8037158652124,-1.0373455806232628,-33.06140792654912,-39.55390808030089
10,0.9375977910722504,-499.69127884760553,-332.72191825592415,-1.5516773020302088,-32.32369642204723,-40.69929854291327
11,0.9357740017505206,-492.05051271411475,-322.54943369035294,-1.1712034092282402,-31.34032623719288,-41.46564682600926
12,0.9327771586904798,-493.64202010553964,-319.5038083561712,-3.970313667192391,-31.54476104822366,-42.555314511261564
13,0.9388407120036513,-492.42082722758397,-315.2865969822288,0.0,-30.639666617232535,-44.00187765848587
14,0.9341560052021898,-500.0127109387279,-318.57099116279363,-0.28170057538962007,-30.48317906945271,-45.89245625428075
15,0.9370012599748005,-501.78195675447085,-316.7978625083702,-2.56777404908372,-29.548990803243644,-47.00300996948448
16,0.947306931879456,-509.57761532065564,-318.16964199507044,-1.237474787057673,-30.04034102040597,-48.84342253673582
17,0.9371564180359879,-505.5519310135469,-310.09413786349586,-1.394607671240573,-29.846935826066755,-49.78985692768142
18,0.9388592284257835,-502.0632350909729,-304.7007157041592,-2.772919608849755,-29.057269977528154,-51.328393359857316
19,0.9373366559290099,-505.4011363508539,-304.20302338792544,-1.4191041915354525,-27.986523769867617,-52.68717324365782
20,0.9268336529242569,-502.9898551079259,-299.4448529092431,-2.5520792063406565,-26.59957970841583,-53.720548832362596
21,0.9427660086663456,-505.3980275389208,-300.0405034757207,-1.4200533724417201,-25.401936764834687,-55.390374727652194
22,0.9372009931569066,-507.09713844203094,-298.34620880621526,-1.0845721143630462,-24.82883610657823,-56.72416198740513
23,0.938163759834864,-509.75590965337557,-296.9449883118325,-7.187182678622868,-24.532723613108146,-58.02212121987547
24,0.9402867687095409,-512.1775867542977,-295.4399163739531,0.0,-23.739669931098444,-59.44120655570872
25,0.9439156933977843,-507.2155869774674,-288.42280068239074,-2.4790820607781283,-23.435005739573633,-60.68074154395603
26,0.9290262228793869,-514.1993148645846,-290.74629473803145,-2.6209579968758008,-23.113421512264917,-62.12453993382843
27,0.940034693145113,-512.6132136754004,-288.24509104650156,-2.411093362432044,-21.988185677264763,-63.14710030967374
28,0.9368449831404356,-510.35375449325363,-284.21871873380877,-4.099941853070487,-21.66499956252096,-64.05828317577365
29,0.9389722601182355,-511.2874920969719,-281.958363864623,-1.0479227178604333,-21.05185674561807,-65.31880894087904
30,0.934185460578873,-506.5586312903693,-275.96012635124197,-0.8019070054862256,-20.571466834764728,-66.31348169555945
31,0.9374415870240285,-515.7190325798837,-281.01355478663345,-3.111108422791397,-21.310742893812915,-67.86337021248612
32,0.9379461166965344,-510.83181597342156,-275.4530954685979,-0.4647199834414393,-20.5262878251858,-68.8046321547225
33,0.9355061165747182,-516.5984985731692,-277.2155661659054,-4.573863673221266,-19.959395827699066,-69.92321347338469
34,0.9261850199010976,-523.7756051787879,-280.21435653902165,-2.596541380448275,-19.176103978768165,-71.22133147471477
35,0.9419598066340337,-529.2669707295084,-282.31717867988283,-3.4385915278712766,-18.82486146517471,-72.36705772470727
36,0.9377909945630951,-525.5263805713456,-278.3650747398397,-5.87622332613778,-17.981590086264216,-73.19160151245845
37,0.9378003283092076,-533.0745842369522,-282.4156434917486,-4.065752958167955,-17.273816435657654,-74.49963161059885
38,0.9383208898369648,-527.4167708225668,-277.7698426537518,-2.6177475301001927,-16.153703345780784,-75.42301768147841
39,0.9420537750570159,-526.1022795094226,-275.81818132380675,-0.870998919444154,-15.194456645186767,-76.53926944614112
40,0.9348547968363219,-529.7808935453718,-276.87411612267755,-4.0809814270433575,-14.236681986073815,-77.20465163023455
41,0.9377180632919141,-526.2533576175503,-272.83924849909056,-1.3662039801534422,-13.632528129503665,-78.19251333811252
42,0.9426130531908471,-527.1187480315547,-271.32863497484783,-3.6975186506412743,-12.41408526725917,-78.84475810410743
43,0.9356633681234398,-528.17860987898,-271.2119228256912,-5.671281491684489,-11.362703952555535,-79.64133682517635
44,0.9365112972989322,-529.8947806029613,-272.2180144814504,-2.2193917846180984,-10.155880398501697,-80.55292675858075
45,0.9389716772964967,-525.3177952977351,-267.26749382276154,-1.9236503546323374,-9.112639462936427,-81.38067094461125
46,0.9307752686873566,-529.9976083466844,-269.627402288341,-3.1508485011830323,-8.282922753477324,-82.17672446346995
47,0.9367042780425994,-527.6076689819012,-267.08724028948365,-2.1213513832029878,-7.338732548148097,-82.82545959354279
48,0.9471591598883089,-529.163850342521,-266.6385053424343,-5.515198659599298,-6.937021892819329,-83.62300180902736
49,0.9373430550933349,-528.9453137156414,-265.69892639226134,-6.42319433825485,-6.1071814639803454,-84.32403776166473
50,0.9379356123464985,-535.6966890001099,-270.0724033065987,-4.157163692138689,-5.138971606322755,-85.18710520529653
51,0.9353606448896108,-541.0396071526854,-272.83021608578645,-6.39197011793464,-4.656827730209125,-86.05195669492902
52,0.9322152981427175,-540.1817437594615,-271.16182453786143,-6.220476691381157,-4.395483900045343,-86.81911576251807
53,0.9421440384904526,-545.1574091455918,-274.43411236439385,-7.691553024242645,-3.6318931257717,-87.68885700437373
54,0.9364987159104806,-538.9196522517341,-269.38244351009274,-0.029647688977718023,-3.193981179499957,-88.2597061341436
55,0.9333192081845147,-538.6949902439266,-268.2322275705691,-4.709275427173214,-2.7339622140578648,-88.99113431773925
56,0.9361160981448234,-545.8296434226448,-271.74063437122095,-6.268314573698587,-2.152164127835,-89.70551869166853
57,0.938175398009193,-543.6853499402785,-269.0489896013962,-3.2348988634314075,-1.2430539290121514,-89.97531698116802
58,0.9367592508821134,-545.8874072954472,-269.8673282765582,-6.256095698263424,-0.42848210566163086,-90.49589379330617
59,0.9304502227037439,-549.4395075176857,-271.8806646726972,-3.9237831292727727,-0.021430782550426936,-91.0584922693725
60,0.9373368146214099,-551.0379535119869,-271.7041122873068,-5.617578066484641,0.0,-91.81470163371385
61,0.937662882305365,-547.6508070649019,-267.77529703059776,-2.588940340527554,0.0,-92.2123332185204
62,0.9421256976462024,-549.9573501246014,-268.9352890907277,-4.959695820009197,0.0,-93.04576304126748
63,0.9389164949703066,-553.3858783251162,-270.20691986279655,-6.837149403630587,-0.01932740572528477,-93.53454850593158
64,0.9389009939408411,-551.6016808578581,-268.1273964792138,-3.234120050394147,0.0,-93.921083949516
65,0.9381042739676516,-553.0372044951608,-268.20909713657034,-3.2246795257919953,0.0,-94.48772077794838
66,0.9340692575230607,-552.4536659377782,-267.53309322189216,-5.5541770757308,0.0,-94.93659881612075
67,0.9344594186257328,-552.6119506682744,-268.01655132360173,-5.6294543310669,-0.01949645224299506,-95.17817647969186
68,0.9332182445938579,-550.2445020654077,-265.51194379835005,-3.341269875915039,-0.09375894399359935,-95.51076254781947
69,0.9332192808691998,-553.3981749046221,-267.53433585596713,-5.8296998949633325,-0.036314053830347436,-95.94492244117396
70,0.941103664795025,-555.4092732201836,-268.8939756620504,-2.7320113010207385,0.0,-96.23945132161856
71,0.9338421624230723,-557.2717643833704,-269.6551754652806,-5.988782576398862,0.0,-96.60850579229381
72,0.9427603203943314,-560.7012824007991,-272.76322865781714,-6.356030466664089,-0.007456999125956099,-97.11525268259811
73,0.9343087851375145,-560.267740837808,-273.11671108845354,-2.7916936500099623,0.0,-97.47032056261611
74,0.9430225196707968,-565.8534478167063,-277.1946030623601,-7.266870781509759,0.0,-97.97600475507726
75,0.9378960709759189,-563.9478976765321,-274.9394123494869,-0.9893161554205864,0.0,-98.23437883142493
76,0.9389482530916077,-563.0499676951205,-273.91612595515323,-6.174674248545182,0.0,-98.54911433296635
77,0.9332462323772485,-558.9035069794508,-270.78371759943593,-3.336852840190581,0.0,-98.72923232859262
78,0.9376601195559351,-564.2215471236249,-275.0673066867383,-6.096942034369754,-0.06850251659401799,-99.3114235110472
79,0.9287676140434679,-562.9854291977923,-273.7334423212207,-3.735134900200388,0.0,-99.50074653127255
80,0.9373151445644957,-563.9158874775839,-273.4297264719698,-7.72032716455708,-0.0032560480199301666,-99.92181646966408
81,0.9415413195901001,-565.9311151722948,-273.6536226676676,-7.665816816193662,-0.09756721499800837,-100.40729742484638
82,0.9351261105479697,-563.0124826966778,-270.6612902190907,-5.52249075745124,-0.06024594489173895,-100.53315901063952
83,0.942846818633503,-564.3233582187963,-271.3493202050906,-4.861195180682549,0.0,-100.6226990522654
84,0.9433865467604189,-566.9754744067316,-273.1340740811439,-7.3659302377465705,-0.016187697861963644,-101.00272786865636
85,0.932621646959204,-563.9372868305735,-270.68668956899927,-5.82900666391283,0.0,-101.09629770106514
86,0.9334491434048161,-569.4920330659679,-274.9892094146568,-9.69288494903059,-0.06003143972537037,-101.56203687691135
87,0.9365189567737262,-573.0882929090803,-277.82999462282174,-8.31189256451049,-0.11742883289493351,-102.0059295406525
88,0.9424580672118427,-569.6510147407812,-274.8418847265426,-5.097545173806686,-0.04155197932356395,-102.10783939434192
89,0.9378594008730995,-571.5292247323922,-275.61265324448215,-6.364065377656531,-9.559118618963382e-05,-102.39968843879932
90,0.932633103947845,-574.5889950728202,-277.35440438377384,-7.7267110394525,0.0,-102.61609762642944
91,0.9356214026859945,-577.1786166051083,-278.7183441799517,-7.075160049509471,0.0,-102.85146658372312
92,0.9417083902291002,-573.9887630397284,-276.7549739061769,-7.092273241730264,0.0,-103.06138674064105
93,0.94471059688451,-575.2623175345532,-277.550319732957,-6.100240692265922,0.0,-103.2692945577042
94,0.9420733555622915,-584.5110325785943,-283.9702343901883,-12.018482506056857,-0.20370295849306985,-103.67967095338956
95,0.9358568976420634,-591.3900139012184,-289.31761027327906,-11.387146315845081,-0.014809205235368975,-103.93999113036675
96,0.9408118619348566,-588.0714139245775,-286.44267014579447,-7.486804576826975,0.0,-103.78006404026583
97,0.9369158176299102,-591.7025503139056,-289.39415896560394,-12.147043290773745,-8.289859559664059e-05,-104.06249457090695
98,0.9407398467201737,-590.6836993733887,-288.3990629668075,-6.453125326144797,-0.017142431989830724,-104.26327498610226
99,0.9489589924372533,-592.5176927057089,-289.33573705613276,-8.508867606074064,-0.01950068053202133,-104.47549833178515
100,0.9398735134808001,-592.2187949445935,-289.5388721571437,-9.679408465389367,-0.04201306746197304,-104.60267739685432
101,0.9396564645223178,-591.9578693461053,-289.30552545637585,-7.247450950829532,-0.0275245204730738,-104.91570535249292
102,0.9322685419708573,-589.1344200141768,-287.1504893174641,-6.596979799257017,-0.016330159815741284,-104.81091155731191
103,0.9406766803216507,-594.0543492851821,-291.6336661044922,-11.983283169881771,0.0,-105.1286531394726
104,0.9344044855756187,-591.9919309549966,-290.0498016406323,-4.413096470840395,0.0,-105.20146786477815
105,0.9389195547914216,-598.6296128577328,-295.0477478998137,-10.042505795276908,0.0,-105.39326963915191
106,0.9338050877821569,-596.0749228876954,-292.63257130450125,-6.225935910654354,-0.00015965469285979098,-105.44195105798056
107,0.9378955336866011,-598.3188959522311,-295.23431055070216,-8.111714947063462,-0.025160629091443728,-105.51934205164457
108,0.9347505344614736,-599.3603220946856,-296.24519481319203,-6.831287944580701,0.0,-105.72335252452936
109,0.937018033426351,-602.7900047106747,-299.10787335590396,-8.556110553169349,-0.16901886931054186,-105.93479336038888
110,0.9420174983995366,-604.9544392459134,-300.9359842513287,-11.103600221168836,-0.03808928874880419,-106.21152659859062
111,0.9356796116504854,-607.6068440794648,-303.66979075830375,-9.547762708213018,-0.009075105753373156,-106.43729894573858
112,0.9351217769308641,-607.599387135101,-303.65993954810955,-7.616227162833919,0.0,-106.48650961174692
113,0.9364996945632255,-606.5952378425997,-303.52736446671526,-7.580430039729885,-0.0101051588136549,-106.62672065049199
114,0.9408269961977186,-605.5974513855634,-302.5730406713909,-6.913231160119667,-0.04851835426897819,-106.75965493107806
115,0.9452859164684272,-603.221901494755,-301.010523763475,-8.826860245646197,0.0,-106.76798107775991
116,0.933805363061163,-607.0610340026942,-304.2050681731091,-9.026692959888836,0.0,-107.0808488889443
117,0.9419957793186614,-609.7042451803957,-306.1388993828167,-8.000343464836543,-0.1281072339177024,-107.23197225829225
118,0.9352286401925392,-611.8797091766706,-307.88393193585483,-9.911643136957201,-0.0434559429517525,-107.43462095343911
119,0.9376960193003618,-612.2038064007568,-307.85735812072033,-8.079077689472012,-0.012605947768682926,-107.42643757174203
120,0.9403889642695613,-614.497092484214,-309.3924151395198,-10.845790397314913,-0.1435510340181882,-107.40456799728803
121,0.9319658325312801,-616.3727741809546,-311.60133838697914,-11.533422852487192,0.0,-107.55747901270007
122,0.9391369945684973,-617.4098400032234,-312.1250699770032,-10.08570376390789,-0.07624600637010066,-107.57587584937554
123,0.9398980815347722,-619.8262304340276,-314.6388277971612,-11.866571835028607,0.0,-107.60720761869081
124,0.9390609091453554,-618.2949648333022,-313.59207681200473,-8.790949542056984,-0.009481165223750566,-107.64610628781008
125,0.9402356902356902,-617.4189771095745,-313.2987214265826,-7.904286460506154,-0.07856251443168442,-107.84295504053142
126,0.9290919536754256,-619.6242580398466,-315.4424255127502,-8.911987020846924,-0.05862466732144157,-107.98400791008956
127,0.9379304122936276,-620.4156041406712,-316.18781570352786,-8.996199811317585,0.0,-108.12993133008031
128,0.9331769517623,-622.6982715030049,-317.48975733944957,-10.573406253618135,-0.12273124718416603,-108.39509325617442
129,0.9417744916820703,-623.1764606551376,-317.8966772897431,-10.128147162044664,-0.10188330346586781,-108.47682317295308
130,0.9405916947786369,-624.5605819442525,-319.0116488612458,-7.211474749731709,-0.0039045263914108713,-108.63309741382216
131,0.9383429089809495,-628.8321484154354,-322.32319499813684,-11.825060444845667,-0.0803034189552853,-108.75700956180732
132,0.9381651376146789,-631.0219750765208,-323.8508840672301,-10.530373673294989,-0.06555851060701466,-108.84200429695613
133,0.9392091813861742,-629.0049912074394,-322.7532014749711,-8.58170211010593,-0.004339399069042016,-108.77913673896171
134,0.9390148317858434,-628.9776294596733,-322.11174023488894,-9.095986585994645,0.0,-108.78802245204946
135,0.9335457581421,-630.9622041813936,-323.722267797234,-10.171646086841905,0.0,-108.90415271865054
136,0.9377525063594194,-633.2101080770865,-325.33038979591475,-10.127501646681914,-0.019227427475763618,-108.9889659704722
137,0.9353437949209391,-630.1224669923758,-323.09338378929453,-7.368539117991594,0.0,-108.93030611103453
138,0.9425713338756817,-629.5857004654708,-323.23883115544237,-9.682079673543537,-0.022103493373147272,-108.945580400547
139,0.9382918467729915,-630.44554041498,-324.0022298869374,-9.650558075805213,-0.022282454409193124,-109.02757168409295
140,0.9401415875884922,-630.5352504101281,-323.8732380481014,-9.754076708186078,-0.03336377904853592,-109.09098202906155
141,0.9395896542401394,-630.7837108360332,-324.09266770396925,-10.602928913906835,-0.008463569767624001,-109.09520206639618
142,0.9435491213693891,-632.2281903431044,-325.0496907416616,-11.68346150761226,-0.02585024106531622,-109.15036291372346
