episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,demand_weighted_depot_backlog,demand_weighted_onsite_backlog,fleet_broken_fraction,depot_idle_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.923173403347994,-2.539924430062459,-0.03992443006245886,-0.02175158273895504,-0.008706891651426851,-0.004247752249758923,-0.03836011452390812,-0.006489195343783286,-0.00423458034536452,-0.014254401768470416,-0.013255826208379586,-0.013125316139089408,-0.0005239166281200596,0.01,0.01,0.0,0.97,100,11,0,11
1,0.9208924608245342,-2.581387151846587,-0.08138715184658704,-0.044159615115364835,-0.01768490457987134,-0.008810552657332537,-0.0782578518576739,-0.012867596738113937,-0.008507787356405304,-0.026701235467855546,-0.02263660775003968,-0.02585182003788968,-0.0008812173078010454,0.009708,0.01,0.0,0.97,100,12,0,12
2,0.9193472724835813,-2.6209435455763646,-0.12094354557636376,-0.06587771145663163,-0.026180717933860273,-0.013327000371973432,-0.11644610940594682,-0.018483903463476583,-0.012928698322859321,-0.040777466965053424,-0.034563938108459424,-0.038417517347495454,-0.0009888664756403148,0.009432,0.01,0.0,0.97,100,11,0,11
3,0.9222224081106855,-2.6587846840172005,-0.1587846840172011,-0.08676996990653632,-0.034267373562889,-0.017701396873700148,-0.15262668495173476,-0.023962146577800714,-0.01680936499504942,-0.05230562046343752,-0.042900240766365776,-0.048751724120405175,-0.0015122493295820696,0.009172,0.01,0.0,0.97,100,11,0,11
4,0.924209793916904,-2.6948368523696957,-0.1948368523696955,-0.1062314127487379,-0.041987393280002984,-0.021574170391375425,-0.1872226988068543,-0.029356055715028275,-0.020500743309828103,-0.06578711390628536,-0.05115758572111314,-0.059910616269906763,-0.001871908873270616,0.008925,0.01,0.0,0.97,100,12,0,12
5,0.9152187740617991,-2.732762545127044,-0.23276254512704408,-0.12754665832614961,-0.05040021344937866,-0.026000998163482645,-0.2239431703718061,-0.03503494375105505,-0.02455879276207722,-0.0807141504433316,-0.061529944417911556,-0.07146130935792687,-0.0022987262266188197,0.008692,0.01,0.0,0.97,100,11,0,11
6,0.9206857605232548,-2.768032393199915,-0.2680323931999154,-0.14692212165257157,-0.0579224775610541,-0.03006017952365038,-0.2576205768761818,-0.04023810661560742,-0.028251548511349252,-0.09256194785597556,-0.06983938435552106,-0.08071901199845567,-0.0028273407674551747,0.00847,0.01,0.0,0.97,100,12,0,12
7,0.9194047838240463,-2.802283317775055,-0.30228331777505507,-0.16572990410496538,-0.06543757540847277,-0.0337649267007587,-0.2905943188236286,-0.045321732326438935,-0.03197155834959015,-0.10528498334039003,-0.0806480761595482,-0.09208025799155092,-0.0030372352967013854,0.00826,0.01,0.0,0.97,100,11,0,11
8,0.928756718265204,-2.831104882407205,-0.3311048824072045,-0.18144494908620498,-0.07164219928074225,-0.03696424262021089,-0.31832669061241825,-0.04958743047773595,-0.03497830599800817,-0.11440486192562499,-0.08869987426012856,-0.10070860021804512,-0.0032031867510121884,0.008059,0.01,0.0,0.97,100,11,0,11
9,0.9274280153030405,-2.860299626283817,-0.36029962628381595,-0.19708592323182744,-0.07774563362318944,-0.0401132446740724,-0.3461123034805143,-0.053760897150345356,-0.037985872356029196,-0.12466195669914422,-0.09643236690412534,-0.10950194017031062,-0.0034276472658559647,0.007868,0.01,0.0,0.97,100,12,0,12
