,mean,std,variance,min,max
rebalancing_imbalance,0.5179110169410706,0.07850641012191772,0.0061632562,0.29377806186676025,0.9185374975204468
squared_starvation_penalty,0.1653764694929123,0.048839252442121506,0.0023852726,0.0037762802094221115,0.36265692114830017
squared_congestion_penalty,0.1347748041152954,0.03552352264523506,0.0012619207,0.04222322627902031,0.3267926275730133
exponential_starvation_penalty,0.14450766146183014,0.046381138265132904,0.00215121,0.00388251431286335,0.3405398428440094
exponential_congestion_penalty,0.11463140696287155,0.03315756097435951,0.001099424,0.0336630642414093,0.30376332998275757
starvation_severity_max,0.8906764984130859,0.11485068500041962,0.01319068,0.114772729575634,1.0
congestion_severity_max,0.8157118558883667,0.11259965598583221,0.012678682,0.41999998688697815,1.0
starvation_count,0.07096802443265915,0.044945843517780304,0.002020129,0.0,0.2985074520111084
congestion_count,0.04143759608268738,0.03201790526509285,0.0010251463,0.0,0.23880596458911896
gross_starvation_risk,0.12137321382761002,0.07803122699260712,0.006088873,0.0,0.5748825073242188
gross_congestion_risk,0.09017621725797653,0.0602155402302742,0.0036259112,0.0,0.4224417507648468
net_starvation_shortfall,0.03558705374598503,0.02413100190460682,0.00058230525,0.0,0.24586255848407745
net_congestion_shortfall,0.019322717562317848,0.012698139064013958,0.00016124273,0.0,0.13331183791160583
