,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall
rebalancing_imbalance,1.0,0.492058875193639,0.7513990929228326,0.27228195194872723,0.6118140118213957,0.5198231295628062,0.5567868108175134,0.10243529600953985,0.09824668659441418,0.24336028335955923,0.39625836704862283
squared_starvation_penalty,0.492058875193639,1.0,0.1281796362846895,0.6590919083922406,0.24843112047651345,0.8113628387587157,0.25134321209121346,0.2947745925821871,0.34692503219163734,0.11331955234337955,0.3817216836738084
squared_congestion_penalty,0.7513990929228326,0.1281796362846895,1.0,0.104116680742869,0.837821799042026,0.28321019760262806,0.7579095163291072,0.03817409649755234,0.051633253773061896,0.3254279521860413,0.4539895764766646
starvation_severity_max,0.27228195194872723,0.6590919083922406,0.104116680742869,1.0,0.18893083951628442,0.6765025180808067,0.15706450918583187,0.230558510094848,0.2470197661096683,0.16633935803896713,0.2541572999353106
congestion_severity_max,0.6118140118213957,0.24843112047651345,0.837821799042026,0.18893083951628442,1.0,0.3119126852496853,0.8010267537833963,0.09482156839711212,0.14393912515578586,0.2663097177969027,0.5135507977289566
starvation_count,0.5198231295628062,0.8113628387587157,0.28321019760262806,0.6765025180808067,0.3119126852496853,1.0,0.3084819057736999,0.24904017431409203,0.2366888161521155,0.25996106007386727,0.33917188103262214
congestion_count,0.5567868108175134,0.25134321209121346,0.7579095163291072,0.15706450918583187,0.8010267537833963,0.3084819057736999,1.0,0.0900736743932529,0.1321073168356854,0.260929032728533,0.5113008277731791
gross_starvation_risk,0.10243529600953985,0.2947745925821871,0.03817409649755234,0.230558510094848,0.09482156839711212,0.24904017431409203,0.0900736743932529,1.0,0.7645626655444757,0.6992248111442186,0.40388973203561107
gross_congestion_risk,0.09824668659441418,0.34692503219163734,0.051633253773061896,0.2470197661096683,0.14393912515578586,0.2366888161521155,0.1321073168356854,0.7645626655444757,1.0,0.31385120183906334,0.6580907546026072
net_starvation_shortfall,0.24336028335955923,0.11331955234337955,0.3254279521860413,0.16633935803896713,0.2663097177969027,0.25996106007386727,0.260929032728533,0.6992248111442186,0.31385120183906334,1.0,0.297729362607681
net_congestion_shortfall,0.39625836704862283,0.3817216836738084,0.4539895764766646,0.2541572999353106,0.5135507977289566,0.33917188103262214,0.5113008277731791,0.40388973203561107,0.6580907546026072,0.297729362607681,1.0
