episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,projected_starvation_risk
0,0.8957455770850885,-0.4074810007528868,-0.29460088157793507,-1.5344562761019915,-0.12028701397302939
1,0.9329826375163438,-0.4799492796321896,-0.35570656638062154,-1.840108525610286,-0.1455200282997682
2,0.936654890973322,-0.5154078364885273,-0.3872370615575734,-1.9524076343979708,-0.16319348717950966
3,0.9380937972768533,-0.5370909447388544,-0.4027092779915824,-1.995355107229723,-0.1775055953611305
4,0.9250802604338564,-0.6139806488777461,-0.4610044097507112,-2.2686057263974715,-0.20714499097579384
5,0.9263952547856565,-0.661530702600359,-0.5020029206584186,-2.4218508192144474,-0.23455207652249174
6,0.935119083328334,-0.683795280581122,-0.5298249306548544,-2.47773910081785,-0.245384584194104
7,0.9278749466756049,-0.7174805284006217,-0.5566014988625475,-2.561864544850359,-0.2663670353831034
8,0.9318052604805649,-0.7403991250539019,-0.5762999360996666,-2.5909164635824884,-0.2798063853520949
9,0.9226352462693262,-0.7827935617700493,-0.6139498487738407,-2.71630012581336,-0.3022664206726552
10,0.9338720863613063,-0.7627824997194715,-0.602377187586833,-2.5404034760762677,-0.2994302611376881
11,0.9331173894787356,-0.7853669587282032,-0.6271494714324178,-2.602572850122073,-0.3110571346626672
12,0.9297637889330188,-0.8147286975190798,-0.654353205136552,-2.6547224364106023,-0.3267253839037809
13,0.9359122401847575,-0.8144935134584532,-0.6573118662753853,-2.5967237143035273,-0.3379080002411469
14,0.934825543120474,-0.8049764783325711,-0.6457366166741442,-2.483896658622407,-0.3481486010067664
15,0.9267135909132103,-0.8512046814843764,-0.6807756720848596,-2.6399926342311257,-0.3732385211694241
16,0.9337205125134714,-0.8553923222391405,-0.6916986276033371,-2.604333186418175,-0.3788323879828263
17,0.9303766999638946,-0.8692041836425498,-0.7066775028486029,-2.610528712453803,-0.38566553325686476
18,0.9271977188618576,-0.8840341493664391,-0.7246222561787004,-2.6185780702554533,-0.39798186404302194
19,0.9304888301705501,-0.9047580728160074,-0.743475814216287,-2.6543606097547565,-0.4096719508057361
20,0.9299042918196593,-0.9084142707774314,-0.7544691946996913,-2.625541474893955,-0.41683392029129174
21,0.9303133800707053,-0.9367139553502204,-0.7797615716142748,-2.7094527928693064,-0.43013366169964024
22,0.9322139487970572,-0.9477421358730932,-0.789011871909357,-2.7067782558699647,-0.4399514525633146
23,0.929648091215712,-0.9610284163087214,-0.8009182953001531,-2.736488899568604,-0.45085361831948734
24,0.9252778363400898,-0.9717803439278074,-0.8120852999940809,-2.7334988567449554,-0.46195832053699387
25,0.938790714307,-0.9839107934682434,-0.8256555750765049,-2.738306117172523,-0.47038035163750963
26,0.9271900228943246,-1.0053970441168887,-0.8375903106869459,-2.782877890681259,-0.48354240498095064
27,0.9354344889689329,-1.0083605488781642,-0.8403613634322012,-2.7557506654179216,-0.49238287575776646
28,0.9371823355753721,-0.9848180621256463,-0.8273209885817814,-2.5989344428859003,-0.49605150020145267
29,0.9333637469586374,-0.9966015438046233,-0.8401518470775611,-2.619978321478438,-0.502658428889776
30,0.9365398071248212,-1.0110267338314443,-0.8546164244464685,-2.6360885236124494,-0.5113532454872599
31,0.9281981573780396,-1.0245194166888987,-0.8671916738387999,-2.667519624287855,-0.523185841176017
32,0.9330425627913972,-1.03220785456436,-0.8737113817684837,-2.6556482136187456,-0.529622316517305
33,0.9315380411682554,-1.0443594449971485,-0.8835889584043118,-2.6749567787761275,-0.5382763556347278
34,0.9308444073654729,-1.0499136986975852,-0.889872041421817,-2.6536524592216972,-0.5472614500210219
35,0.9308542235951052,-1.0661691232702153,-0.9037570058498301,-2.701665173297858,-0.5559884463944768
36,0.9384434545904479,-1.0708527398663397,-0.9054793832781807,-2.6891402778440154,-0.562026146953578
37,0.9331534772182254,-1.073662420052108,-0.9111653834446132,-2.657395444133451,-0.5680740770408341
38,0.9305954198473283,-1.0818346725325603,-0.9207387560703969,-2.654642079662005,-0.5775925375936805
39,0.9330400192864031,-1.0879569974755934,-0.9265240417062409,-2.6440925364519323,-0.5815625085609993
40,0.9310228802153432,-1.0968748923648866,-0.9331997988884999,-2.629971693254308,-0.5924130524728701
41,0.9313834086758674,-1.1054558987450829,-0.9407461357011387,-2.6392812802055676,-0.6002552878516152
42,0.9360193149237965,-1.1115447061970916,-0.9486436766826098,-2.6273392692353923,-0.6065024392726823
43,0.9381776448914259,-1.114323169560483,-0.9492484418189425,-2.5982529314245815,-0.6090842201453223
44,0.9299107142857143,-1.1230371514908974,-0.9575071129698095,-2.600013244156266,-0.615726793486236
45,0.9274070071151941,-1.1419168212861082,-0.9782307708015244,-2.645968350927249,-0.6216032613109744
46,0.9321453256002644,-1.1544009894243812,-0.9922386566694062,-2.671541882891912,-0.6304860706634184
