episode,service_level,starvation_severity_max,congestion_severity_max,projected_starvation_risk,projected_congestion_risk
0,0.8957455770850885,-3.068912552203983,-3.00473257470876,-0.24057402794605878,-0.2263644312060933
1,0.9213727064561216,-1.4174613175567008,-1.380518468668119,-0.19528097176963355,-0.19436227866372607
2,0.9208034260208697,-1.9703567191951992,-1.712193085092833,-0.2439171207986982,-0.2327163839856908
3,0.9260497052925807,-2.0509218624089627,-1.693456075513383,-0.2843704476453902,-0.2599969294835267
4,0.9383403707363819,-1.5583242096411707,-1.1646194519911366,-0.29026535882375865,-0.258317649097189
5,0.9268795364258192,-2.042524874649642,-1.5526555914630455,-0.34455358697438615,-0.297423938159058
6,0.9252075919335706,-2.1209359788011817,-1.5611518627793752,-0.37001126734608075,-0.3121104363066258
7,0.9339239123839573,-1.9618777139481485,-1.3271513329470226,-0.3853659792005208,-0.3087837778625799
8,0.9340695615640848,-2.058035828321825,-1.3759311738302193,-0.4065903282962678,-0.3230816887594375
9,0.9229059879707268,-2.2179663188562944,-1.490674377386409,-0.441187822895571,-0.3579111499642691
10,0.9346222182070045,-1.973898910531055,-1.2305538106738045,-0.4458771843336892,-0.3639876841522807
11,0.9314572135998551,-2.1583985796092864,-1.3313865376845917,-0.4842849324204247,-0.3844252556870268
12,0.927464389165945,-2.345620665131491,-1.4799100995213077,-0.5172559815728671,-0.419412792022815
13,0.9254759746146872,-2.1131698041330957,-1.2604366257849502,-0.5151265247031037,-0.4183574815079089
14,0.9332526475037821,-2.0428606233720794,-1.2043783976991012,-0.527397966620449,-0.4226255404515157
15,0.9259135506211841,-2.270537511477539,-1.4121053655357019,-0.580475508821849,-0.46627622719248885
16,0.93050633671692,-2.1122976879642428,-1.2653989504854437,-0.5750341432227247,-0.46462798604497924
17,0.9323851994696879,-2.1467330695155074,-1.2844342908788366,-0.5950237100518343,-0.4802883350975396
18,0.9369081367995657,-2.1546902224526,-1.2708509673955266,-0.6041881017501247,-0.48765058676453704
19,0.9277797965116279,-2.282191017600748,-1.3376465156700197,-0.6299813904621495,-0.5049778161761432
20,0.9344942459115687,-2.204084644436824,-1.2593184736146434,-0.6445310529820578,-0.5265353242109718
21,0.9325418569254186,-2.1686189081119487,-1.1976305266015885,-0.6614476361728794,-0.5365704038397672
22,0.9324969599905093,-2.2030040856573447,-1.1795578648126965,-0.6757478647982174,-0.5428839990293527
23,0.9309386423370896,-2.160002602466428,-1.112130028955657,-0.6861710771216343,-0.5541284804391149
24,0.9372488594821595,-2.1559974045015697,-1.106467079354878,-0.7034385192153476,-0.5633536195108066
25,0.9363755765295214,-2.1405498426534684,-1.1220524149222513,-0.7088992478875102,-0.5699289400585726
26,0.9302688430148824,-2.219297380341724,-1.1703147296426457,-0.7360054751249226,-0.5917710743050942
27,0.9385421344110163,-2.094318239491841,-1.0501753894761725,-0.7426132225197012,-0.5949751323283751
28,0.9387048787152008,-2.262972705933307,-1.1708811174913183,-0.7553678304869778,-0.6062802842486079
29,0.934478447249345,-2.300167834432631,-1.2052431434445918,-0.773888552886022,-0.6185527647467823
30,0.9297960435516025,-2.426588029745599,-1.3472056624777176,-0.7987429551240411,-0.6385245661912841
31,0.9257158374317352,-2.4980286077730494,-1.3268434700095746,-0.8225680429338098,-0.6523913944851699
32,0.9279909912651794,-2.522532930271738,-1.3199443275442018,-0.8321181134639313,-0.6621520825416055
33,0.9256719692814043,-2.6806261260038626,-1.4250223775546265,-0.8545289721305939,-0.6793092761735915
34,0.9283470275495408,-2.6700545553138357,-1.3979850086101866,-0.8781814847898108,-0.7004097182225802
35,0.9216842356024061,-2.7975881522209467,-1.4995340050218684,-0.9034444238941003,-0.7198958046900109
36,0.929519576204104,-2.631297495867217,-1.2963090429237647,-0.9032858194324098,-0.7174331544894533
37,0.9301463943611061,-2.6172634189332533,-1.2803419301194665,-0.9121057816447005,-0.7262645579164957
38,0.9307403822888942,-2.4935928900985527,-1.1860524521264233,-0.9197478203057231,-0.7321167726634693
39,0.9289906462065171,-2.5462595477176073,-1.2319314607253655,-0.9369183835682166,-0.7433710131718393
40,0.9368982014170654,-2.5050883313620798,-1.2092438824819947,-0.9434535507609193,-0.7488219818189911
41,0.9385887841972915,-2.468146796899738,-1.1322622576899182,-0.9521630057798051,-0.7533774550210302
42,0.9269084026797249,-2.5595812286473953,-1.2097801658411271,-0.9678523646277516,-0.7680486598097613
43,0.9350614243234313,-2.504262472720109,-1.187834258415169,-0.9739938361326239,-0.7780704529632394
44,0.9195772337969993,-2.76337059044529,-1.3997973181764076,-1.0053629395217638,-0.8038120249398033
45,0.9239334865808878,-2.7942041410409364,-1.3764034596774535,-1.0145546647540749,-0.8106950848159235
46,0.9300406565276313,-2.7526759688027878,-1.3469821645600573,-1.0224980335578175,-0.8213875892055463
47,0.932760015581458,-2.6590091647435368,-1.2469590169750546,-1.0308184178940387,-0.8295498562541004
48,0.9332198937249985,-2.660246787345996,-1.2391304374590721,-1.038529113266388,-0.8316979623435387
49,0.9372079703373225,-2.600344835822038,-1.1571415291581537,-1.054042463295899,-0.840832318206437
50,0.9249947370003909,-2.71120522893011,-1.2404825363249772,-1.0817901827925815,-0.8615753766271769
51,0.9350688121324298,-2.705689509352923,-1.234122373134564,-1.09516455356209,-0.874202661276631
52,0.9379798283907873,-2.616599933976164,-1.1654951640544338,-1.0972948132293399,-0.8747016986572375
53,0.9304874010295933,-2.6549205066655865,-1.1961740401788121,-1.1165752207755064,-0.8851763439421942
54,0.9397419237859237,-2.5958692234335476,-1.1608259191101167,-1.123141480489392,-0.8905633983460687
55,0.9338045887497753,-2.6306890142157173,-1.201691299070549,-1.13803276014794,-0.9029945604343194
56,0.9294302764005582,-2.7219730167847525,-1.2683720232975646,-1.1551476894520072,-0.9191257902579726
57,0.938042282781376,-2.5383926855162993,-1.1043739710630962,-1.1561740067839974,-0.9140039377878343
58,0.931941785920457,-2.6439192408783754,-1.1837734692802815,-1.1670823676243183,-0.9244070592454989
59,0.9324909856679696,-2.6142093563068536,-1.134806091089668,-1.1829820129601045,-0.9365799911058843
60,0.9351826914444744,-2.6192078575474484,-1.133319971467563,-1.1912894903238966,-0.9422552546140988
61,0.9349293302260827,-2.6299214929671555,-1.1243385868988505,-1.2045254608951268,-0.9517490726806649
62,0.9336438422453424,-2.6526273685014994,-1.1512149486219843,-1.2150600550208388,-0.9625846609749464
63,0.9357070435975428,-2.6362285107818946,-1.143483464316216,-1.2259769320525333,-0.9728713794663963
64,0.9318071998067166,-2.6886447806060385,-1.1883141918977187,-1.239507969872552,-0.9844386563221675
65,0.9252370094803792,-2.8126865020657084,-1.292599076151114,-1.2581309856340597,-1.0000851961064134
66,0.9308994901675164,-2.882880347390021,-1.3455844608982224,-1.2703940490842576,-1.0087798161751271
67,0.9358689116055322,-2.807351781950378,-1.2915148052059282,-1.272333376522895,-1.0107487045360657
68,0.9381658595641647,-2.7693113969718337,-1.2517820089760257,-1.279302798004522,-1.0168261835996613
69,0.9403247304010662,-2.6316477572824164,-1.1017417733445667,-1.285692646606454,-1.0198809741172388
70,0.9350562277146253,-2.656080337540048,-1.1211220491968614,-1.2990309066109245,-1.0309085596336385
71,0.9339471698113208,-2.666606561355256,-1.1384729243177996,-1.3080868974663096,-1.040810750620199
72,0.9395289435385666,-2.6703791528336005,-1.15765303761883,-1.315002187235612,-1.0483368348080173
73,0.9310583283223091,-2.7416606544354396,-1.2278489363250245,-1.3264621233890683,-1.0596024682029614
74,0.938311298076923,-2.7654500062460032,-1.2473427305545028,-1.3367163408507539,-1.0654243961369112
75,0.9328282828282828,-2.792557457760379,-1.2504305135265192,-1.345410420616859,-1.0724316961426874
76,0.9358059914407989,-2.7626089768465527,-1.221870891537208,-1.3503054401943506,-1.0730327931377708
77,0.9297637048237422,-2.72467880766776,-1.1651528494873364,-1.3600548762699614,-1.0815932154488808
78,0.9328585360087474,-2.789317130921257,-1.2194894213831797,-1.3705632197996476,-1.09103868491589
79,0.9372324389508592,-2.7402638170639184,-1.1761212640780234,-1.3742122680313547,-1.0942420780522188
80,0.9279795857099971,-2.7560070031255037,-1.180546904127598,-1.390115625323606,-1.106575207957173
81,0.9275670177118238,-2.8461027195723925,-1.278781351464041,-1.4075883258610813,-1.1197292824201324
82,0.9315342179812136,-2.8840623706108657,-1.321746312548746,-1.4139058696982767,-1.1269831643317978
83,0.9321113168037389,-2.9295092918420913,-1.357605896912091,-1.4233559796548183,-1.1350117139647071
84,0.928042614662333,-2.9887781994186504,-1.412087119066486,-1.4355219703984217,-1.1459555459031012
85,0.9373809451818704,-2.9050002709431153,-1.3117965102529985,-1.4384772463309596,-1.146897888952523
86,0.93215859030837,-2.919409426966472,-1.311270826144504,-1.4465495051282635,-1.1533237844485429
87,0.9291343301471249,-3.007199060568478,-1.3767503717713137,-1.463739401651049,-1.1687000220432164
88,0.929440536215694,-3.0424491119086956,-1.3988418214864695,-1.4779057978758192,-1.1794856320063123
89,0.9292682926829269,-3.1330604534105464,-1.4617242742153829,-1.493044746941124,-1.1897311539634177
90,0.9389242024466299,-3.0847395358823806,-1.4035390407095347,-1.4931077283696415,-1.1883907166564551
91,0.9374550682961897,-3.0701490476303075,-1.399799731294677,-1.4988125349654964,-1.1957294422603197
92,0.9356716282171764,-3.021806203603904,-1.3525095117716788,-1.5047236386146414,-1.2010389406094095
93,0.9284602490421456,-3.0347212931662617,-1.3579913135240942,-1.5190298276036236,-1.2111999072117174
