episode,service_level,exponential_starvation_penalty,exponential_congestion_penalty,gross_starvation_risk,gross_congestion_risk
0,0.9026908357314505,-0.6710438448702917,-0.5575903371558525,-0.505664797166537,-0.40224052390403814
1,0.9370954752885734,-0.9566504807728833,-0.7986404195505614,-0.7074989590481828,-0.5814951674228556
2,0.9306379048356821,-1.2747466675217791,-1.0672629575138857,-0.9489457614050261,-0.7765921221496791
3,0.942778310940499,-1.4709666226884344,-1.2310215771890842,-1.0903374371932526,-0.9156471195349349
4,0.9374981309249678,-1.6995368391084706,-1.412043492743727,-1.2359423584749791,-1.0539179352263053
5,0.938467609738328,-1.896886520781699,-1.5715267166828155,-1.389953464785648,-1.2008574579434508
6,0.9280965500718735,-2.1412487367803124,-1.768106332572267,-1.5625816122610414,-1.3786138301840425
7,0.9368364225301422,-2.320829694913086,-1.9184231863894765,-1.7013436526780126,-1.5047741995798318
8,0.9366032298733266,-2.484291951446019,-2.064647421953077,-1.8093367256239201,-1.6165277634579995
9,0.9419731535544453,-2.607341337414771,-2.16620156421307,-1.8772188381323653,-1.6939509641273645
10,0.9397312745010025,-2.7337648137917734,-2.2738109628794505,-1.9577421451083064,-1.7850641452114762
11,0.9391294019834907,-2.821167214878202,-2.366688145510343,-2.01965211315067,-1.842528160368942
12,0.9416200365061791,-2.941265042897739,-2.4659865170765882,-2.091155188042473,-1.9217555420786994
13,0.9357877221132703,-3.0614281464121134,-2.5612478783081665,-2.177936242262503,-2.0009533302166314
14,0.9378213559727371,-3.1726324669891772,-2.657703499012162,-2.2459894700816294,-2.0681596042778576
15,0.9350688300392886,-3.2705119321688687,-2.740596362259643,-2.328810385907154,-2.1276458885559446
16,0.9474046372475692,-3.3310143837772612,-2.792512556016288,-2.358185789961556,-2.16791724567132
17,0.938728463965057,-3.4266532589185967,-2.869110111161831,-2.4144526025471857,-2.2129300697593206
18,0.9397365694834986,-3.498169383086999,-2.929071820276874,-2.4757324101728826,-2.266325767388323
19,0.9385206532180596,-3.568708580846299,-2.9915946942241796,-2.5180175749163185,-2.3175032983131456
20,0.9409271444661805,-3.6518649495844464,-3.061109096342902,-2.580511498864245,-2.368142499834871
21,0.9455074508420774,-3.7133251966360454,-3.1190684286523154,-2.6182492296134035,-2.3964999781870064
22,0.9312129957454405,-3.799158405624692,-3.1942418429602064,-2.6719275163764427,-2.4502092871177785
23,0.9397536594073546,-3.8740886906643013,-3.2667568279515184,-2.717448461534968,-2.500888042828364
24,0.9445500346939392,-3.9053385305446495,-3.2931413886143286,-2.7244879349310698,-2.5195187623247786
25,0.9383873479901755,-3.9762019235377437,-3.3581444565820537,-2.766370483844989,-2.5633502588461967
26,0.9352937657053967,-4.060389787645728,-3.4196120275444684,-2.8036251050699175,-2.593163122181864
27,0.9329100529100529,-4.145634447327311,-3.4868564020395434,-2.8823843147257557,-2.658088251803378
28,0.9364872470894925,-4.194599781236933,-3.529664243068418,-2.915146457542534,-2.6894913287840465
29,0.9294803503787878,-4.284218269181824,-3.6049888697206587,-2.965519686746467,-2.7437440139958635
