episode,service_level,squared_starvation_penalty,squared_congestion_penalty,net_starvation_shortfall,net_congestion_shortfall
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-1.0171835939167069,-0.7918211130192504
1,0.9339648419710356,-1.081836104622183,-0.8893643670867968,-1.4671245499620589,-1.2334931500415385
2,0.9249559003797052,-1.4625104962965327,-1.1912070976306752,-1.9301701888512355,-1.6987124574833392
3,0.9302457354169151,-1.7638572661718572,-1.4157210807609188,-2.2134561016296668,-2.0635595730186114
4,0.9173710842668694,-2.1261133709720674,-1.703576908051247,-2.598603651592378,-2.4950588094538046
5,0.9326348209432936,-2.36178700017801,-1.8904125333770314,-2.75476140683004,-2.768098475944939
6,0.9327773792443806,-2.5757155880036513,-2.0631184805214935,-2.8287768157314064,-2.988767612675807
7,0.9362868439971244,-2.7555697097855587,-2.206114585492859,-2.915204384436881,-3.206050270620351
8,0.9356832710167652,-2.9204065054081165,-2.328453359527108,-2.9526243681454303,-3.3819970338149865
9,0.9380750605326876,-3.063481531394547,-2.4243888929340294,-2.9464023987560437,-3.5376047980985676
10,0.9365145848915483,-3.217547634375677,-2.5398569038994925,-2.9605770701351393,-3.693530708307792
11,0.9316594016838837,-3.3663710775980924,-2.6433066895942186,-2.9640464054076774,-3.8481395332046464
12,0.9347653142402546,-3.518380186229169,-2.756498555872163,-2.9990155388505806,-3.999993989684746
13,0.9358134503275437,-3.6333450127739555,-2.8399611818267596,-2.9728329773868767,-4.116425552932349
14,0.9408021133525456,-3.7457392546126678,-2.9102826580283874,-2.899164298679299,-4.209396511213887
15,0.9290669185583139,-3.886842426433594,-3.006784002599844,-2.9489586679242077,-4.367305425000656
16,0.9280884149066102,-4.027928369738046,-3.119530095805473,-3.012541065321404,-4.5320073666254315
17,0.9307301017354878,-4.1376786420044995,-3.215566788097013,-2.999696739341423,-4.637840071168094
18,0.933692770546007,-4.228810481423952,-3.292064866307882,-2.973516750641553,-4.732876999988899
19,0.9283746556473829,-4.354453647674889,-3.37946140195678,-2.9645897392891807,-4.834798932995453
20,0.9331769874725405,-4.438561262629842,-3.450809647737806,-2.9342114917168334,-4.923138902630561
21,0.9363045885839145,-4.515640344905781,-3.5118525353418146,-2.879188396864788,-5.002518449666533
22,0.9344213561639764,-4.599470860516011,-3.5594948962335073,-2.865712670742564,-5.087102370709012
23,0.9280732609618534,-4.688768119342121,-3.6294565810466253,-2.8693473868908743,-5.174656075572847
24,0.9318583275949822,-4.763504150173466,-3.6748220563336003,-2.8413314556722957,-5.254848694919839
25,0.9328515507377296,-4.841207529246444,-3.7276196890514255,-2.8012657404961296,-5.315001973627327
26,0.9372855853144748,-4.893603910186991,-3.768125995491454,-2.753825718317013,-5.355463603836994
27,0.9362150447006412,-4.947779225637214,-3.807754804744822,-2.713934610496469,-5.409688531148304
28,0.9281941086937058,-5.0395152518209025,-3.880385587591941,-2.7335336998288406,-5.504208212450609
29,0.9269588712098469,-5.112568820510593,-3.9442613370264654,-2.7328859927818794,-5.59933358437129
30,0.9315023063704061,-5.173092224971236,-3.996661316998347,-2.728353542049658,-5.665471935373657
31,0.930015457824387,-5.2286421115378605,-4.03004711375265,-2.6909291218711457,-5.717215047661155
32,0.9290871121718377,-5.296217566390729,-4.088005953860668,-2.7135773209471754,-5.803017673617481
33,0.9406342620035566,-5.332584632215039,-4.1072848193064395,-2.6511039191591768,-5.846461751201773
34,0.9415247964470762,-5.370906464864465,-4.136298751118479,-2.594066143476749,-5.875471283519108
35,0.9346040879937662,-5.407247117990415,-4.168132713782719,-2.56548606981641,-5.929511705142874
36,0.9279580152671756,-5.470276969139065,-4.218552798497152,-2.5680024241916213,-5.997738079685601
37,0.9339218833600856,-5.519109653400437,-4.258082043650473,-2.570911081036565,-6.062839700606841
38,0.9332596420996027,-5.564437025407524,-4.2927891329541055,-2.5314404282116274,-6.108577978528826
39,0.9316295850871918,-5.6210610951450795,-4.339076795825804,-2.550694226480061,-6.168551031082899
40,0.9368702197401967,-5.655847241133405,-4.358562061516216,-2.5036291455697044,-6.206094592437788
41,0.941234084231146,-5.6736756998470055,-4.379409814599499,-2.4521547545945577,-6.217601765153941
