episode,service_level,squared_starvation_penalty,squared_congestion_penalty,starvation_severity_max,gross_starvation_risk
0,0.9026908357314505,-0.746724383556284,-0.6268014024943114,-3.2140302363317463,-0.505664797166537
1,0.9274782765567215,-0.7966834109111808,-0.6802400707356671,-3.2218395417386345,-0.5839242386010124
2,0.9339057329398086,-0.7501848105090314,-0.5990557462305952,-2.593325763950922,-0.6217800309552675
3,0.9361241322019819,-0.7704208191300643,-0.6001458621998638,-2.4924859913392075,-0.6679389491660666
4,0.9317098041567945,-0.838630848769013,-0.6489562775763932,-2.5945563463081904,-0.7286460672312928
5,0.9290235891310838,-0.9120819299690726,-0.6960780190986877,-2.717598090697558,-0.7820181050186492
6,0.9359671378518787,-0.8798643738948198,-0.6542002926051897,-2.3019370717773433,-0.8332433414780646
7,0.9276268549545237,-0.9990573825801822,-0.7427257313970486,-2.71317785137198,-0.9450355561581189
8,0.9270302667066227,-1.0897988115436712,-0.802671110627103,-2.9455760298050437,-1.017695235621993
9,0.920990990990991,-1.1406365852898113,-0.8596423431385076,-2.986995297441154,-1.0722112917400353
10,0.9238287731153277,-1.1705125864803576,-0.851277784469784,-2.8008267673930205,-1.109439944471085
11,0.929924469488071,-1.2240760603467713,-0.890317015051496,-2.863090666022855,-1.18482047827742
12,0.9230356023754812,-1.2818139781131308,-0.9381757548865782,-2.970041874719051,-1.2591213298010586
13,0.9295139519399552,-1.3002752159672792,-0.9252754989354844,-2.8230896128629714,-1.3054898958907035
14,0.9261507792678507,-1.3305209347381663,-0.9606773915542661,-2.79797087941888,-1.3566070234385517
15,0.9284756769638655,-1.3984535660609478,-1.0061719763950425,-2.9176459039965366,-1.4212872098632972
16,0.9299402798823424,-1.3908807629087998,-1.0049739297159124,-2.7622821543159706,-1.425103242615913
17,0.9336927223719677,-1.4020906362162082,-1.0224399363820214,-2.6439425319786016,-1.4697047952370537
18,0.9268753939903341,-1.4828135976606132,-1.08829914188509,-2.8572306958518574,-1.5649909444303851
19,0.9303030303030303,-1.4963218934070837,-1.0806362084783496,-2.703263144456243,-1.6013471415693257
20,0.9300688828990715,-1.5354262265763963,-1.0784360941911793,-2.675743704635269,-1.6532511127200518
21,0.9271189972907797,-1.5574243898371842,-1.1012043422352886,-2.6194694960160523,-1.6971151101436028
22,0.9302840722004371,-1.5732231980718443,-1.0993079102728125,-2.561242432310677,-1.7337563334558337
23,0.9247428262046562,-1.6412847189501392,-1.1577519752368688,-2.7405574843030696,-1.794284916420568
24,0.9302563793570934,-1.6712099495402826,-1.1796616186596465,-2.768752022335729,-1.8647672529850563
25,0.9288484136310223,-1.6873771193339788,-1.1924886815774427,-2.695408266866167,-1.896139675391178
26,0.9235663082437275,-1.7225173478640499,-1.2088983403248452,-2.6476999083557784,-1.9315007007294038
27,0.9334763309202491,-1.7203451582932203,-1.21640243475958,-2.482870980898933,-1.9360240190670386
28,0.9286935140483973,-1.7428949665129039,-1.2235983842076574,-2.4716827805939405,-1.9794869999542593
29,0.9313910885238151,-1.7726932237170074,-1.2531857906855564,-2.49964938893743,-2.0132876299924973
30,0.9448610900258084,-1.7708652089532835,-1.2565556034186738,-2.396850494189962,-2.0452255145576634
31,0.9367803870340553,-1.7902395486004097,-1.2881908443631767,-2.4553945549785223,-2.082339952817052
32,0.9319623120130458,-1.8315783275393605,-1.3290949369633012,-2.588897945581259,-2.1322442750312844
33,0.933065953654189,-1.8168162968689765,-1.325339474411425,-2.4535234952767357,-2.146042653060856
34,0.9315137356950646,-1.8435300320038681,-1.3431196438950166,-2.458130994260484,-2.176053039166683
35,0.925359765928226,-1.8947576163836088,-1.3829607222141775,-2.60723938239046,-2.2506824181115377
36,0.928858015450027,-1.9422196719388263,-1.4421162006882942,-2.7930664769385767,-2.2917744592673346
37,0.9311874363124139,-1.9508539364073108,-1.452082511830804,-2.7696242679858645,-2.323905406737689
38,0.9348336653090347,-1.9553234246119324,-1.4577791096868895,-2.686561640031044,-2.334644562859768
39,0.9242779078844653,-1.9880556425563032,-1.4899514317705076,-2.7547155907268093,-2.3573441081698214
40,0.9306269270298048,-1.993519344461499,-1.4977526994814427,-2.668527335377855,-2.358386706794001
41,0.9317420561875736,-1.9963767203208247,-1.4972351828883268,-2.573966214496072,-2.390488066072818
42,0.926672111806879,-2.034912061326864,-1.5353276800557136,-2.7018040837127275,-2.4303251953762666
43,0.9320115852019946,-2.0308423453663007,-1.5345155045117076,-2.5915061950617755,-2.4627302733762706
44,0.9336237671688752,-2.0504207594461854,-1.5480755739827308,-2.583629665509126,-2.48849393234779
45,0.930574657657119,-2.060825696133702,-1.5568012714894084,-2.5356551265614633,-2.5218927813317036
46,0.9371398015566514,-2.0640690618349993,-1.5843729280080627,-2.531565687712031,-2.5396542833055893
47,0.9297421101163033,-2.0787098140353164,-1.5932336416609687,-2.504634983109524,-2.5635666452560986
48,0.9326530003282308,-2.092224853712762,-1.6102971284124947,-2.486787707025516,-2.580536418994336
49,0.9366359102989041,-2.0871382454164853,-1.6033865417753552,-2.3766704501317983,-2.5862516482385107
50,0.9282607382347611,-2.1171978047692703,-1.633776162956658,-2.4435482340504433,-2.614905556260528
51,0.9295620545879292,-2.1395882066536602,-1.6607759489118625,-2.490032560308852,-2.6487622434281364
52,0.9285778999184611,-2.176970665853904,-1.6932276032047024,-2.6066087896125434,-2.673273095436946
53,0.9311832374691865,-2.2235135004135804,-1.7420026606889165,-2.7305490504847514,-2.7211877836714655
54,0.9332941522186307,-2.2575652238458863,-1.7738827153184407,-2.824616636534667,-2.760426512529237
55,0.9321668193775308,-2.2636000158279916,-1.7862507135724,-2.7893333029108582,-2.790157135316881
56,0.9339233391137953,-2.2717451535379274,-1.8002410860420386,-2.7655450741332332,-2.808557805777628
57,0.9227256446991404,-2.299031729571392,-1.8234061260463543,-2.8021890549141686,-2.8365498141505303
58,0.9347655542815763,-2.318632852488402,-1.8344562051253006,-2.8204805807152304,-2.866825756342261
59,0.9414458913336327,-2.291585516345561,-1.8050985404002506,-2.6431659621246917,-2.869789182222445
60,0.9332893196891037,-2.30256819821985,-1.825779385445277,-2.6586260671244073,-2.8976802041093945
61,0.9310877902309956,-2.336791389758043,-1.8571725799453997,-2.7693326554584408,-2.9354494706135084
62,0.9366814814814814,-2.3225639601181256,-1.8461474385794223,-2.5845126281243154,-2.94111000437719
63,0.9369208406516868,-2.30346669981886,-1.8320451292055202,-2.4353051178732334,-2.9291742533783687
64,0.9357975478649514,-2.310219213453979,-1.8351200312948264,-2.4169213932552194,-2.9433550782576137
65,0.9361670035295182,-2.3138772423981475,-1.8395030962954386,-2.3773586165242793,-2.9573777010347113
66,0.9315519323671497,-2.3292770351356755,-1.8586745699135168,-2.4110971520620352,-2.9572945650226226
