episode,service_level,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-0.7366727717511822,-0.6277983749285341,-0.5056497116267565,-0.39665094546508045,-0.1788964731109445,-0.10846960122980819,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.9278029190517577,-1.1153739490314205,-0.9530886900789695,-0.7660408494090428,-0.606145771510987,-0.2597989090277863,-0.160224958888473,0.098228,0.1,0.198803,0.2,1562,847,1545,33367,37829,37821,0,0,0,0,3492,3506,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9352191686808105,-1.396019883702024,-1.1907764075980785,-0.9373277466256841,-0.7474575311744521,-0.3106401036895896,-0.19419176420696618,0.096518,0.1,0.197613,0.2,1421,750,1363,33513,38117,38114,0,0,0,0,3360,3366,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9350041721301705,-1.6613061668526103,-1.4162611347677803,-1.1116430767084415,-0.9006804176247912,-0.3641135319156879,-0.22615808068838456,0.094867,0.1,0.19643,0.2,1364,817,1287,33556,38341,38338,0,0,0,0,3446,3456,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.93301934599219,-1.9249208613700464,-1.6300356203010267,-1.28354709344623,-1.044807818599586,-0.412748964570699,-0.2596870484435475,0.093271,0.1,0.195254,0.2,1416,831,1315,33547,38238,38233,0,0,0,0,3479,3482,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9331190880426874,-2.145801611258637,-1.8231394515072328,-1.424186996988729,-1.1768631473758036,-0.4623106454869098,-0.28788016865477617,0.091728,0.1,0.194086,0.2,1463,743,1456,32984,37734,37722,0,0,0,0,3454,3455,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.9426561178886339,-2.2936246762010066,-1.9540847361756433,-1.4973977153418658,-1.2537537166633326,-0.48462883829350056,-0.304438481500772,0.090235,0.1,0.192924,0.2,1284,615,1239,33116,38064,38062,0,0,0,0,3510,3501,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9327499400623351,-2.5132925364491836,-2.1306070995523325,-1.6199197829087362,-1.367386627686456,-0.5202203982024359,-0.3300961769397063,0.08879,0.1,0.191769,0.2,1444,800,1510,33368,37942,37939,0,0,0,0,3542,3528,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9350430437661791,-2.6834495184315026,-2.2800198583797604,-1.7214142342300307,-1.4650570114998334,-0.54198291773531,-0.3470524104751932,0.087391,0.1,0.190621,0.2,1439,719,1383,33222,37909,37904,0,0,0,0,3399,3398,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9293911572843682,-2.8731573364831604,-2.444168760199754,-1.8371864569574414,-1.5710929446420416,-0.572091579330604,-0.3673455263767524,0.086034,0.1,0.189481,0.2,1433,905,1240,33112,37777,37771,0,0,0,0,3475,3459,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9363756808479317,-3.0181329310898533,-2.564729841031119,-1.9339501360262532,-1.6541645867701948,-0.6013031407811915,-0.38118744867919324,0.08472,0.1,0.188346,0.2,1453,708,1260,33965,38696,38688,0,0,0,0,3457,3453,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9388524191587649,-3.0907258474853645,-2.6338028478267064,-1.9613367866523341,-1.6891193344066466,-0.6059917340863917,-0.38863167277211974,0.083445,0.1,0.187219,0.2,1339,673,1135,32904,37615,37614,0,0,0,0,3472,3464,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9411817826073869,-3.2055591814700524,-2.7303028617087013,-2.0031798016641,-1.7464159664387156,-0.6118949937031437,-0.39974505962525664,0.082208,0.1,0.186098,0.2,1278,676,1240,33221,38126,38120,0,0,0,0,3557,3549,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.93669636983434,-3.29320625769477,-2.8103114646733305,-2.0614950308327713,-1.7933853369030213,-0.6207473050954495,-0.4028399530769348,0.081006,0.1,0.184985,0.2,1345,772,1368,33442,38264,38258,0,0,0,0,3427,3412,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.935748502994012,-3.4097716019855935,-2.9099503506221716,-2.128458554322587,-1.8619593376136576,-0.6381645888986858,-0.4146583087005256,0.07984,0.1,0.183877,0.2,1387,759,1349,33400,38117,38111,0,0,0,0,3522,3525,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9348806643367088,-3.5026395346077797,-3.007566604937733,-2.138467347981652,-1.900940463477935,-0.635382812019537,-0.4203498315636296,0.078707,0.1,0.182777,0.2,1391,789,1333,33477,38161,38153,0,0,0,0,3401,3391,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
16,0.9341566247047215,-3.658475219713937,-3.1177281453994388,-2.2274722988014255,-1.9781094504139674,-0.6591920782679268,-0.432264805106271,0.077605,0.1,0.181683,0.2,1507,695,1313,33443,38002,37991,0,0,0,0,3509,3522,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
17,0.9409139593002499,-3.7273948183770242,-3.193757449045269,-2.2557533761518807,-2.0194044440115153,-0.667383637537763,-0.438005097191065,0.076534,0.1,0.180595,0.2,1203,783,1394,33612,38517,38512,0,0,0,0,3485,3483,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
18,0.9298688042270857,-3.811007309529119,-3.2568673512612043,-2.3028667220999233,-2.0744290036642643,-0.6748417501730254,-0.44499144175246436,0.075492,0.1,0.179514,0.2,1575,761,1261,33309,37895,37885,0,0,0,0,3388,3386,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
19,0.9367497134584062,-3.88574290303238,-3.3246543276558946,-2.3476125090982918,-2.130410900790363,-0.6820294412915501,-0.4511811393904172,0.074478,0.1,0.17844,0.2,1329,768,1194,33154,37836,37830,0,0,0,0,3405,3407,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
20,0.9338050877821569,-3.977628997813759,-3.3981698225636827,-2.404337458647395,-2.1838913201527577,-0.6944505801600874,-0.4585717735099361,0.07349,0.1,0.177372,0.2,1408,809,1323,33492,38109,38099,0,0,0,0,3460,3468,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
21,0.9385029134917078,-4.0645166156694605,-3.4785064950902638,-2.471805302010035,-2.2527288463574195,-0.7087784578178354,-0.4680904645282984,0.072529,0.1,0.17631,0.2,1451,607,1329,33465,38150,38141,0,0,0,0,3443,3452,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
22,0.9300344879292248,-4.143366035597363,-3.5545493390073593,-2.5166966582777235,-2.3011579218653173,-0.7178744515525541,-0.4729500451360469,0.071593,0.1,0.175255,0.2,1564,769,1443,33345,37844,37840,0,0,0,0,3452,3472,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
23,0.9315767486273574,-4.231187806637821,-3.6409987515187785,-2.5487169051658154,-2.3409784450534596,-0.7306953415201484,-0.47995318211369753,0.07068,0.1,0.174206,0.2,1480,813,1488,33512,38270,38262,0,0,0,0,3577,3576,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
24,0.9361536387332594,-4.256981020801046,-3.668400115787609,-2.5838201119177535,-2.3695897760089917,-0.7298746063997783,-0.4817173581221529,0.06979,0.1,0.173163,0.2,1338,793,1403,33377,38119,38114,0,0,0,0,3429,3438,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
25,0.9377690100430416,-4.317308346222353,-3.7235842312455856,-2.6198444130681002,-2.3949617992080867,-0.7336946345091166,-0.48370630115135477,0.068923,0.1,0.172127,0.2,1384,698,1258,33456,38090,38084,0,0,0,0,3426,3439,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
26,0.937035937035937,-4.359704748882554,-3.762804233315423,-2.6550751398199286,-2.431925728869862,-0.7374264299891423,-0.48622644001504556,0.068076,0.1,0.171096,0.2,1358,762,1184,33670,38237,38231,0,0,0,0,3524,3519,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
27,0.9260043544394405,-4.472537745427624,-3.867696449646999,-2.717691957894232,-2.4889614306225756,-0.7486198163715021,-0.49221912626595843,0.067251,0.1,0.170072,0.2,1672,809,1313,33529,38041,38033,0,0,0,0,3538,3536,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
28,0.9297211107434038,-4.5249324532429585,-3.917393126501371,-2.736445136701133,-2.512670184007855,-0.7450710322888614,-0.4928717167890179,0.066445,0.1,0.169054,0.2,1484,852,1485,33239,37910,37899,0,0,0,0,3487,3495,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
29,0.9357581906069106,-4.581281308393241,-3.962088890170683,-2.755256564471246,-2.5407110052867345,-0.7440216734964551,-0.49730473362773964,0.065658,0.1,0.168042,0.2,1365,788,1379,33514,38231,38227,0,0,0,0,3485,3483,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
30,0.939449762932987,-4.57823961565858,-3.9546916133547323,-2.714737652292511,-2.529267587640008,-0.7240510279776493,-0.48813533058809955,0.064889,0.1,0.167037,0.2,1212,793,1528,33113,38041,38033,0,0,0,0,3472,3487,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
31,0.9377773752377502,-4.6038531008101815,-3.9909677775723043,-2.713197206556782,-2.5481665940501474,-0.7186954101333912,-0.4873145000620717,0.064139,0.1,0.166037,0.2,1349,712,1440,33123,38022,38016,0,0,0,0,3511,3526,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
32,0.9331937799043062,-4.658041275768204,-4.0463055486761705,-2.7681266037299186,-2.6014284673846406,-0.7264003621939319,-0.4936141331390608,0.063405,0.1,0.165043,0.2,1517,717,1159,33440,38068,38063,0,0,0,0,3509,3508,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
33,0.9349471407976935,-4.707513766927335,-4.09233071920601,-2.797978425956424,-2.632129763042758,-0.7318763943820022,-0.493347549641437,0.062688,0.1,0.164055,0.2,1381,785,1385,33296,38245,38240,0,0,0,0,3554,3557,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
34,0.9359063972040723,-4.742218822879253,-4.119340968803194,-2.805787073228318,-2.6541496479978544,-0.7284438763182147,-0.4916549219608831,0.061988,0.1,0.163073,0.2,1389,720,1334,32905,37690,37681,0,0,0,0,3435,3433,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
35,0.9381849933758882,-4.750265855944406,-4.120257882996567,-2.7995486919452888,-2.665015046457427,-0.7265377575054189,-0.48746986391390135,0.061302,0.1,0.162097,0.2,1334,719,1307,33212,38180,38174,0,0,0,0,3435,3445,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
36,0.9454447245228664,-4.776205854843494,-4.141777129129516,-2.799454524145506,-2.667718678044691,-0.7228250329760436,-0.4850543458301407,0.060632,0.1,0.161127,0.2,1211,607,1151,33324,38164,38157,0,0,0,0,3348,3350,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
37,0.9328318426819878,-4.8215977887499095,-4.17582811866814,-2.8195527915541163,-2.697112227008154,-0.7179301587432452,-0.4856863446656597,0.059976,0.1,0.160162,0.2,1488,780,1411,33766,38276,38269,0,0,0,0,3469,3477,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
38,0.9297239473449618,-4.880606721167888,-4.226174397248834,-2.831760542193321,-2.7291118679005493,-0.7148803692065526,-0.488199935887181,0.059334,0.1,0.159204,0.2,1591,774,1567,33653,38243,38240,0,0,0,0,3459,3479,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
39,0.9440682065546016,-4.886609359568363,-4.24259643895686,-2.8222236307923447,-2.7314276665136012,-0.7082441438427607,-0.48399886135390824,0.058706,0.1,0.158251,0.2,1176,674,1173,33076,37980,37975,0,0,0,0,3446,3446,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
40,0.9359536392024982,-4.9062491596970315,-4.274345074440938,-2.8171746855386592,-2.739951585481903,-0.7116469436379342,-0.48483004576199507,0.058091,0.1,0.157304,0.2,1386,747,1383,33304,38145,38139,0,0,0,0,3484,3480,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
