episode,service_level,starvation_severity_max,congestion_severity_max,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,epsilon_initial,starvations,long_congestions,short_congestions,total_trips,bike_departures,bike_arrivals,total_onsite_repairs,total_depot_pickups,total_depot_deliveries,total_depot_visits,total_functional_pickups,total_functional_deliveries,broken_ratio_start_onsite,broken_ratio_start_depot,functional_ratio_start,broken_ratio_end_onsite,broken_ratio_end_depot,functional_ratio_end,new_breakdowns_onsite,new_breakdowns_depot,restored_onsite,restored_depot
0,0.9026908357314505,-3.1979898182209583,-3.147713040513918,-0.5056497116267565,-0.39665094546508045,0.1,0.1,0.2,0.2,2219,1061,2040,33707,37637,37634,0,0,0,0,1356,1370,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
1,0.93278772071829,-1.3153238196373136,-1.1652944382756256,-0.29108841075110825,-0.2369440242733404,0.098228,0.1,0.198803,0.2,1568,674,1526,33357,37813,37808,0,0,0,0,3091,3111,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
2,0.9167038790152124,-2.459441975225218,-2.1322538718607644,-0.5113787911208826,-0.3848388880838769,0.096518,0.1,0.197613,0.2,1990,808,1267,33591,37626,37623,0,0,0,0,2925,2913,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
3,0.9253562945368171,-2.2408761104528687,-1.8691942514853643,-0.5131207727279589,-0.4245739362377907,0.094867,0.1,0.19643,0.2,1701,813,1469,33680,38128,38124,0,0,0,0,2948,2968,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
4,0.9255815353134121,-2.23079846689133,-1.717903188786478,-0.5960222825622495,-0.46908973964854256,0.093271,0.1,0.195254,0.2,1765,708,1195,33231,37573,37569,0,0,0,0,3093,3093,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
5,0.9376564548813923,-1.711186863156064,-1.1657920218132964,-0.626941342987463,-0.4685150334331098,0.091728,0.1,0.194086,0.2,1403,689,1217,33556,38366,38362,0,0,0,0,3044,3045,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
6,0.922093023255814,-2.369538962223659,-1.7871212504801508,-0.7585668892885643,-0.6018019392616958,0.090235,0.1,0.192924,0.2,1720,893,1569,33540,38052,38049,0,0,0,0,2954,2942,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
7,0.9230176146136053,-2.432559804085183,-1.7522864035398154,-0.8485331361901828,-0.6534382976266566,0.08879,0.1,0.191769,0.2,1740,856,1443,33722,38000,37993,0,0,0,0,3030,3022,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
8,0.9328760558317858,-1.8872534082181402,-1.1849177211640853,-0.8264316848851794,-0.6494103554919695,0.087391,0.1,0.190621,0.2,1717,524,1074,33386,37795,37793,0,0,0,0,3069,3068,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
9,0.9276998725186669,-2.206051413212618,-1.407091566217443,-0.9117069206121756,-0.7178170069256591,0.086034,0.1,0.189481,0.2,1550,832,1452,32946,37494,37490,0,0,0,0,3025,3027,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
10,0.9303679621693512,-2.118477658583732,-1.331236593409109,-0.9767598418303364,-0.7517814243294225,0.08472,0.1,0.188346,0.2,1639,717,1332,33835,38380,38373,0,0,0,0,3053,3037,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
11,0.9313152023156245,-2.308068093279959,-1.4563809250435695,-1.0491023382793463,-0.81739283223549,0.083445,0.1,0.187219,0.2,1584,694,1240,33166,37632,37629,0,0,0,0,3059,3039,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
12,0.9260215707124412,-2.1451108856936933,-1.2399442182196079,-1.1185368001158107,-0.8596912016582638,0.082208,0.1,0.186098,0.2,1627,808,1286,32915,37471,37464,0,0,0,0,2985,2979,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
13,0.9248579120550404,-2.137635640909421,-1.2108915441603405,-1.1640156063957081,-0.9029692366411004,0.081006,0.1,0.184985,0.2,1911,601,1297,33430,37686,37676,0,0,0,0,3092,3097,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
14,0.9261773185968285,-2.058595672414415,-1.0734818508292088,-1.2010252332996594,-0.9323110027326874,0.07984,0.1,0.183877,0.2,1684,774,1309,33296,37716,37709,0,0,0,0,3019,3004,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
15,0.9318949067958315,-2.363279138874935,-1.3763922318727269,-1.271853839922824,-1.022599859735337,0.078707,0.1,0.182777,0.2,1533,787,1393,34065,38607,38605,0,0,0,0,2994,3004,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0
