episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9170914944995976,-2.5447534099822153,-0.022390707133080886,-0.010812867852645886,-0.002999558443586897,0.01,0.01,0.0,0.97,100,15,1,16
1,0.925431488195686,-2.583365267644673,-0.041745224315390836,-0.020083412396420294,-0.005734795545007608,0.009708,0.01,0.0,0.97,100,13,1,14
2,0.912031373074796,-2.6280695240231715,-0.06430937014990144,-0.031141834089924422,-0.008745028131764877,0.009432,0.01,0.0,0.97,100,13,1,14
3,0.915722344040306,-2.6698951604168033,-0.0854181721463207,-0.04099876092018622,-0.012094833608371495,0.009172,0.01,0.0,0.97,100,13,1,14
4,0.9174468508177435,-2.7097609826079068,-0.10529436457755302,-0.05073362915132434,-0.014808561139576805,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.9080792529870477,-2.751908710029919,-0.12631569932784542,-0.06130731085164342,-0.017482272012527462,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9148480026798426,-2.790394894610481,-0.14538050810869022,-0.07041911376882007,-0.02026249423911019,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9150100066711141,-2.8279534926720156,-0.16461998150043386,-0.07960605758722526,-0.023083734618853286,0.00826,0.01,0.0,0.97,100,13,1,14
8,0.9196661804118466,-2.8616809119155318,-0.18147348533156837,-0.08791058585231419,-0.025352056229871817,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.9152454085661956,-2.897059572447016,-0.19930067889457473,-0.09646088460774276,-0.027953174279604996,0.007868,0.01,0.0,0.97,100,13,1,14
10,0.9071330175049558,-2.9337396776499225,-0.21808260740609972,-0.10584537651545346,-0.030648273499188222,0.007686,0.01,0.0,0.97,100,14,1,15
11,0.9153164067100769,-2.9677331798498856,-0.23515107397965748,-0.11427991790679136,-0.03284751790057872,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.918451678191938,-2.989980802577791,-0.2464488205263924,-0.12034102229261211,-0.034530266652810844,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9197713517148621,-3.0200626259538157,-0.26162032166708166,-0.1274776580089034,-0.03690294093674531,0.007188,0.01,0.0,0.97,100,13,1,14
14,0.9222520554341844,-3.0487284631313067,-0.2761505691319502,-0.13438495526712982,-0.03909077087690408,0.007035,0.01,0.0,0.97,100,13,1,14
15,0.924911008126805,-3.075495910537922,-0.28961326303308427,-0.1410467963811108,-0.04092470244166985,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9194386082864107,-3.104137876355416,-0.30403179948377,-0.14826225078274594,-0.04287364706159423,0.006749,0.01,0.0,0.97,100,14,1,15
17,0.9090479006505027,-3.1357825265275183,-0.31987099807069463,-0.15585030312533757,-0.045303920908431106,0.006615,0.01,0.0,0.97,100,13,1,14
18,0.9151872780917137,-3.1642592710956667,-0.33402011683513455,-0.16287280774950536,-0.04715555007465786,0.006486,0.01,0.0,0.97,100,14,1,15
19,0.9164147161735231,-3.191395496179186,-0.34742685971088727,-0.16947885748106406,-0.04901968100368226,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9213102158081112,-3.2172848313064217,-0.36037925099388163,-0.175652866751463,-0.05095168010942032,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9109436779853722,-3.246121122734457,-0.3747133452105921,-0.1829152167314556,-0.05282314379375104,0.006127,0.01,0.0,0.97,100,14,1,15
22,0.9197640216592018,-3.271178642329571,-0.38732231489650415,-0.1888645475184348,-0.054719038501360645,0.006016,0.01,0.0,0.97,100,13,1,14
23,0.9147562537927314,-3.297209686826716,-0.4004282506366851,-0.195192318416089,-0.056574769687353095,0.005909,0.01,0.0,0.97,100,14,0,14
24,0.9147324253221886,-3.3232461887661704,-0.4133551350551925,-0.20144634891212654,-0.058298905697478184,0.005806,0.01,0.0,0.97,100,13,1,14
