episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9334585457472498,-2.534883390333165,-0.017295552461851,-0.007370978314820923,-0.0029506062274090934,-0.005340183354472355,-0.0037469663803587306,0.01,0.01,0.0,0.97,100,15,1,16
1,0.9316970476683765,-2.5661562201344323,-0.033306803067821515,-0.01453643187067366,-0.00570471553875753,-0.010375074512753569,-0.007305676884395212,0.009708,0.01,0.0,0.97,100,14,1,15
2,0.9323266687894887,-2.5978528322638232,-0.04918279761088165,-0.021263095627536203,-0.008630795698834008,-0.015392383348641013,-0.010795169138944146,0.009432,0.01,0.0,0.97,100,14,1,15
3,0.9369633262474265,-2.6277221792869976,-0.06425748278867818,-0.027649887205603504,-0.011413051692043283,-0.019830947562753692,-0.01386759921589707,0.009172,0.01,0.0,0.97,100,14,1,15
4,0.9382591260832822,-2.656678241793897,-0.07854043850715704,-0.03370577279807027,-0.013965503561472012,-0.024144501294485848,-0.016999285008971493,0.008925,0.01,0.0,0.97,100,13,1,14
5,0.9368285417852003,-2.682413932753794,-0.0914928851004806,-0.03927475774396116,-0.016343069179274063,-0.028226799220592676,-0.019949168470934274,0.008692,0.01,0.0,0.97,100,14,1,15
6,0.9370404488736287,-2.709982904878995,-0.10528695713354909,-0.04509620427243207,-0.018808562680032077,-0.03226704238868128,-0.022914776340197243,0.00847,0.01,0.0,0.97,100,14,1,15
7,0.9376084056037358,-2.7365357492151556,-0.11878783858360943,-0.0507020173667898,-0.021331210346217634,-0.03616718317885042,-0.025845984791492194,0.00826,0.01,0.0,0.97,100,14,1,15
8,0.9332869695016454,-2.7641124982129734,-0.1324813021244547,-0.0566009707836344,-0.023748463246978425,-0.04067610452089088,-0.02888597696844883,0.008059,0.01,0.0,0.97,100,13,1,14
9,0.93705576932771,-2.788929372680425,-0.14465791803966063,-0.06172444880756389,-0.026069386809168045,-0.04443799547309694,-0.03170091523722491,0.007868,0.01,0.0,0.97,100,14,1,15
10,0.9284850317508315,-2.8175792920551173,-0.1595378615843182,-0.06795921315904645,-0.029061194749857244,-0.048593918118971284,-0.03504703877690646,0.007686,0.01,0.0,0.97,100,13,1,14
11,0.9268588158093988,-2.846081932623767,-0.1739377316875658,-0.07410207968239658,-0.031641630345793065,-0.05281667103026933,-0.03818547419616157,0.007513,0.01,0.0,0.97,100,14,1,15
12,0.935655253837072,-2.8702084721706944,-0.1858994457611436,-0.07919137887067014,-0.03382469140837017,-0.05634525565135273,-0.04088661423383628,0.007346,0.01,0.0,0.97,100,14,1,15
13,0.9360289172831204,-2.893331658738573,-0.1975455181920009,-0.08417408130166922,-0.03601492745067763,-0.05981806337067492,-0.04328275542417295,0.007188,0.01,0.0,0.97,100,14,1,15
14,0.9368944182245719,-2.905957915059924,-0.20433720150927612,-0.08793792108563794,-0.037438392118755964,-0.06310601306868709,-0.04551423505966573,0.007035,0.01,0.0,0.97,100,14,1,15
15,0.9415004365639063,-2.925843047467157,-0.2140453295154175,-0.09204409922732569,-0.039160634288370445,-0.0660060673988967,-0.04765250124755767,0.006889,0.01,0.0,0.97,100,14,1,15
16,0.9388183880998403,-2.9467788305419016,-0.22470061810605568,-0.09651667286922677,-0.04123544045972153,-0.06909245198608019,-0.0500164026049382,0.006749,0.01,0.0,0.97,100,13,1,14
17,0.942215088282504,-2.964424397539469,-0.23331994293677677,-0.10008604116433237,-0.042939788948823804,-0.07173156129572793,-0.05199206762084832,0.006615,0.01,0.0,0.97,100,14,1,15
18,0.9362571052324515,-2.9855332369098657,-0.24393730985111098,-0.1044899257134506,-0.04496320970303028,-0.07481741179026266,-0.05412201548919079,0.006486,0.01,0.0,0.97,100,13,1,14
19,0.9382070183782315,-3.0051662903873364,-0.2534843970865924,-0.10849902064906942,-0.04668081827739206,-0.07770477985921695,-0.056084036576081214,0.006362,0.01,0.0,0.97,100,14,1,15
20,0.9364101022248947,-3.0251622603695383,-0.26355938724467975,-0.11273513860435484,-0.0485926706463713,-0.08069336896190459,-0.05836929826591695,0.006242,0.01,0.0,0.97,100,14,1,15
21,0.9386889307471703,-3.0438069788685183,-0.2727451379813991,-0.11659227887990518,-0.05023361806479305,-0.08335927739862194,-0.06038078949909672,0.006127,0.01,0.0,0.97,100,13,1,14
22,0.9383147269202486,-3.0591865468819797,-0.2804972284121537,-0.12012218835250545,-0.05167775657068914,-0.08609546641625168,-0.062352427215403274,0.006016,0.01,0.0,0.97,100,14,1,15
23,0.9322028184208752,-3.0794692606076355,-0.29073528064902665,-0.12448812720299157,-0.05350914704302557,-0.08903724998279913,-0.06456563948684096,0.005909,0.01,0.0,0.97,100,14,0,14
24,0.9324652835592261,-3.096849203469515,-0.299739875137884,-0.12858446996243494,-0.05512894481015728,-0.09195156533778447,-0.06680171081727405,0.005806,0.01,0.0,0.97,100,14,1,15
25,0.9345983384169462,-3.113587873475876,-0.3082175759379192,-0.13222767648711112,-0.05670429289213977,-0.09463247150626745,-0.06872001509772403,0.005706,0.01,0.0,0.97,100,14,1,15
26,0.9323295607652924,-3.1327819615711903,-0.3178715673266539,-0.13630851190989413,-0.058530325542118636,-0.097639234705424,-0.0708024287877836,0.00561,0.01,0.0,0.97,100,13,1,14
