,family,high_means,expected_sign,priority,count,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max,fraction_zero,p99_abs,near_constant,sparse,poor_scaling,max_abs_target_corr,weak_signal,vif,vif_flag,vif_serious,recommendation_flag
rebalancing_imbalance,,,,,366940.0,0.5346184372901917,0.06516570597887039,0.34637588262557983,0.4053880572319031,0.43745991587638855,0.49134060740470886,0.5285439491271973,0.5721616148948669,0.650416910648346,0.7248235940933228,0.8685054779052734,0.0,0.7248235940933228,False,False,False,0.05290396621595524,False,3.4102421674416235,False,False,
squared_starvation_penalty,,,,,366940.0,0.21513956785202026,0.04346049204468727,0.029152942821383476,0.0949687810242176,0.13906897753477096,0.188374862074852,0.21750202775001526,0.2442622035741806,0.28233832120895386,0.3081830143928528,0.356585294008255,0.0,0.3081830143928528,False,False,False,0.17507756375022504,False,2.268398794501246,False,False,
squared_congestion_penalty,,,,,366940.0,0.12505996227264404,0.03101440519094467,0.03646034747362137,0.06233055517077446,0.07734832912683487,0.10265804827213287,0.1230802908539772,0.1456049680709839,0.17885321378707886,0.20269758999347687,0.3523831367492676,0.0,0.20269758999347687,False,False,False,0.3501002424484424,False,3.389628235606956,False,False,
gross_starvation_risk,,,,,366940.0,0.15714490413665771,0.08209715783596039,0.002817718544974923,0.022873312700539827,0.04147193264216185,0.09710811823606491,0.14499611407518387,0.2074236460030079,0.30865669846534716,0.3759063419699668,0.5651765465736389,0.0,0.3759063419699668,False,False,False,0.041525806008972245,False,244.46495286039354,True,True,vif;vif_serious;
gross_congestion_risk,,,,,366940.0,0.09974956512451172,0.060381922870874405,0.00044329481897875667,0.011505916845053433,0.021633470430970192,0.055550239980220795,0.08820737898349762,0.12903662025928497,0.2224020272493362,0.26501005977392195,0.3982227146625519,0.0,0.26501005977392195,False,False,False,0.1419897308131257,False,4.623730643874404,False,False,
global_onsite_backlog,onsite_backlog,many on-site broken bikes remain in the system,negative,medium,366940.0,0.07391691207885742,0.02524643950164318,0.0,0.00434027798473835,0.02604166604578495,0.0564236119389534,0.0737847238779068,0.0911458358168602,0.1128472238779068,0.1258680522441864,0.1388888955116272,0.004733743936338366,0.1258680522441864,False,False,False,0.790872299009021,False,30.14117374832218,True,True,vif;vif_serious;
global_depot_backlog,depot_backlog,many depot-bound broken bikes remain at stations,negative,medium,366940.0,0.11108309775590897,0.04233908653259277,0.0,0.00434027798473835,0.0347222238779068,0.0868055522441864,0.1128472238779068,0.1345486044883728,0.1736111044883728,0.2300347238779068,0.2560763955116272,0.00462200904780073,0.2300347238779068,False,False,False,0.9022921797026154,False,14.249456852267802,True,False,vif;
demand_weighted_depot_backlog,demand_weighted_backlog,depot-bound broken bikes are located at high-departure stations,negative,high,366940.0,0.0018216680036857724,0.0009512966498732567,0.0,0.00010430895534227601,0.0004456624446902424,0.0011266663204878569,0.001705894130282104,0.0023964738938957453,0.003628247417509556,0.004401250276714563,0.0061294618062675,0.00462200904780073,0.004401250276714563,False,False,False,0.5493552476191922,False,7.557578212100458,False,False,
demand_weighted_onsite_backlog,demand_weighted_backlog,on-site broken bikes are located at high-departure stations,negative,high,366940.0,0.0011424209224060178,0.0006355428486131132,0.0,4.723114034277387e-05,0.0003032361273653805,0.0006911625969223678,0.0010395024437457323,0.0014835057081654668,0.002368804533034563,0.0030626605800352907,0.004824294708669186,0.004733743936338366,0.0030626605800352907,False,False,False,0.4245602833730474,False,6.770512351471944,False,False,
fleet_broken_fraction,fleet_availability,a large share of the fleet is unavailable due to maintenance,negative,medium,366940.0,0.3281468451023102,0.10734942555427551,0.0,0.01953125,0.1106770858168602,0.2799479067325592,0.3450520932674408,0.3971354067325592,0.4752604067325592,0.5598958134651184,0.6510416865348816,0.0008748024200141713,0.5598958134651184,False,False,False,0.9800076537137085,False,197.95018309965295,True,True,vif;vif_serious;
depot_idle_fraction,depot_pipeline,many repaired bikes are waiting idle at the depot,negative,medium,366940.0,0.011966601014137268,0.018715875223279,0.0,0.0,0.0,0.0,0.0,0.0217013880610466,0.0520833320915699,0.0694444477558136,0.1171875,0.5714176704638361,0.0694444477558136,False,False,False,0.15705828898790838,False,38.43777388914329,True,True,vif;vif_serious;
fleet_failure_risk,degradation,the functional fleet has high expected component failure risk,negative,medium,366940.0,0.6451125741004944,0.04617713764309883,0.5497493147850037,0.5546896177530288,0.5653055906295776,0.6085439324378967,0.6518148183822632,0.6846129894256592,0.7107154130935669,0.7157130837440491,0.7184482216835022,0.0,0.7157130837440491,False,False,False,0.8112470453542359,False,18.573094137252205,True,False,vif;
fleet_low_health_fraction,degradation,many bikes are below the low-health threshold,negative,medium,366940.0,0.14215949177742004,0.1632230579853058,0.0,0.0,0.0,0.001303780940361321,0.07170795649290085,0.25557011365890503,0.47192513942718506,0.5053476095199585,0.5308310985565186,0.23371395868534364,0.5053476095199585,False,False,False,0.5867882403886978,False,7.186056609395099,False,False,
maintenance_restoration_value,immediate_repair_opportunity,the candidate action restores valuable broken bikes,positive,high,366940.0,0.002384892199188471,0.006539592985063791,0.0,0.0,0.0,0.0,0.0,0.0,0.013139406219124794,0.0318240188062191,0.08508145064115524,0.837183190712378,0.0318240188062191,False,False,False,0.06836978365977493,False,1.0316106467814679,False,False,
onsite_shortage_pressure,immediate_repair_opportunity,"on-site broken bikes remain at shortage-prone, high-demand stations",negative,high,366940.0,0.07389264553785324,0.03629287704825401,0.0,0.00016981163120362907,0.017476756125688553,0.04895039647817612,0.07154745608568192,0.09646162949502468,0.13708651065826416,0.16943244636058807,0.2616512179374695,0.004733743936338366,0.16943244636058807,False,False,False,0.5775459848814798,False,2.528170994885337,False,False,
depot_shortage_pressure,depot_backlog,"depot-bound broken bikes remain at shortage-prone, high-demand stations",negative,high,366940.0,0.09781929850578308,0.051388438791036606,0.0,0.00046997019671835005,0.021367521956562996,0.06228604447096586,0.0922749824821949,0.12875020503997803,0.18934204280376435,0.2431144267320633,0.33909428119659424,0.00462200904780073,0.2431144267320633,False,False,False,0.7313111971865116,False,3.6331436724271025,False,False,
current_station_onsite_shortage_pressure,immediate_repair_opportunity,the current station still has unrepaired on-site bikes and shortage pressure,negative,high,366940.0,0.0031382222659885883,0.01694279909133911,0.0,0.0,0.0,0.0,0.0,0.0,0.013725490309298038,0.07999999821186066,0.3472222089767456,0.8438464054068785,0.07999999821186066,False,False,False,,True,1.1585785873991983,False,False,weak_signal;
current_station_depot_shortage_pressure,depot_removal_opportunity,the current station still has depot-bound bikes and shortage pressure,negative,medium,366940.0,0.0045279208570718765,0.019755646586418152,0.0,0.0,0.0,0.0,0.0,5.863176193088293e-05,0.03333333507180214,0.095238097012043,0.5,0.7474328228048183,0.095238097012043,False,False,False,0.04695088762939521,False,1.1704633650128748,False,False,
broken_cargo_distance_pressure,vehicle_logistics,the vehicle is carrying broken bikes far from the depot,negative,high,366940.0,0.0008634122787043452,0.0010750670917332172,0.0,0.0,0.0,0.0,0.0004903598455712199,0.0012905447511002421,0.0030656836461275816,0.004890224896371365,0.010697782970964909,0.28758107592521936,0.004890224896371365,False,False,False,0.18543966262538988,False,2.4368241076019888,False,False,
late_broken_cargo_pressure,vehicle_logistics,the vehicle carries broken bikes late in the shift while not routing to the depot,negative,high,366940.0,0.08979925513267517,0.10831180959939957,0.0,0.0,0.0,0.0,0.04354660399258137,0.14498630166053772,0.32376428246498107,0.4151144936680791,0.6390765905380249,0.28758107592521936,0.4151144936680791,False,False,False,0.19594920387446715,False,6.102348475816687,False,False,
repaired_idle_away_pressure,depot_pipeline,repaired bikes wait at depot while the candidate route avoids depot,negative,high,366940.0,0.010863209143280983,0.018144074827432632,0.0,0.0,0.0,0.0,0.0,0.0173611119389534,0.0520833320915699,0.0694444477558136,0.1041666641831398,0.610252357333624,0.0694444477558136,False,False,False,0.15628043582463716,False,17.172085668913834,True,False,vif;
depot_pipeline_pressure,depot_pipeline,many bikes are unavailable in the depot pipeline,negative,medium,366940.0,0.17022185027599335,0.06111513823270798,0.0,0.0086805559694767,0.0520833320915699,0.1345486044883728,0.1779513955116272,0.2083333283662796,0.2604166567325592,0.3211805522441864,0.3689236044883728,0.004592031394778438,0.3211805522441864,False,False,False,0.9228836051974788,False,136.4439001190605,True,True,vif;vif_serious;
