episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,alpha,alpha_initial,epsilon
0,0.8702443266384601,-0.046806931473963684,-0.02331223235496603,-0.008627917217144362,-0.01672544414016031,-0.008255111616091255,-0.0199431949768513,0.05,0.05,0.2
1,0.9259196987019974,-0.09279011928328179,-0.04185979620624174,-0.01853894647866476,-0.030341614002898885,-0.017892307479989017,-0.026716609811098004,0.048539,0.05,0.198006
2,0.9157954697761694,-0.145298435677013,-0.06339722618001113,-0.029430480537011215,-0.045478911636694874,-0.02845506086157941,-0.03788115240074044,0.047161,0.05,0.196032
3,0.9216033995282151,-0.19363564348929496,-0.08284145198949054,-0.04020064586422993,-0.05928041421482605,-0.038483904572137954,-0.046472372152995,0.045859,0.05,0.194078
4,0.9182128420913127,-0.2421946313119473,-0.10342511827736596,-0.049903713555130305,-0.07446232608246177,-0.04751071313340564,-0.05946670030329984,0.044627,0.05,0.192143
5,0.9198219008402799,-0.28818931446719676,-0.12203827549419666,-0.05960204754936485,-0.08782893381384622,-0.056454591559129824,-0.06789917542279932,0.043459,0.05,0.190228
6,0.9272770182566039,-0.3275336487187838,-0.13808166375127104,-0.06728189449947097,-0.09979067588729032,-0.06332606756475415,-0.07809567585795536,0.042351,0.05,0.188331
7,0.9203588704952882,-0.37035542320590015,-0.1559571143848269,-0.07546720798936139,-0.11300624547229135,-0.07112549255466041,-0.0902080260342077,0.041298,0.05,0.186454
8,0.9291805835777623,-0.4069622332794084,-0.17079153514124232,-0.08335554640723447,-0.12325741800219485,-0.07804271499759566,-0.09834570147457879,0.040296,0.05,0.184595
9,0.9203134438552923,-0.4482168042784066,-0.1877177981342449,-0.09215957445312409,-0.13525667379650405,-0.08596656672270668,-0.10708567590502768,0.039342,0.05,0.182755
10,0.9120971398821021,-0.49289609373683596,-0.20711213514284033,-0.10043700138949367,-0.1499898805881873,-0.09521413645516374,-0.1192322289525259,0.038432,0.05,0.180933
11,0.9242495704612067,-0.5302184882781861,-0.22214864306735296,-0.10847612357378815,-0.16056725060313523,-0.10237725943843494,-0.1266440209158472,0.037563,0.05,0.179129
12,0.9242219899524596,-0.5666140086875965,-0.23686322111031075,-0.11619452340132443,-0.1712480504589413,-0.10938505907729977,-0.13512977404670862,0.036732,0.05,0.177343
13,0.9233691358647236,-0.6024226024737289,-0.2512984820791374,-0.123633787724649,-0.18176330647479505,-0.11639223622227164,-0.142585071066233,0.035938,0.05,0.175575
14,0.9231349918639178,-0.6377930230043687,-0.26564102610558277,-0.13076326434915816,-0.191957535650994,-0.12311004713627068,-0.1518470617599501,0.035176,0.05,0.173825
15,0.9278347057541046,-0.6693087751215803,-0.27845454975524114,-0.13728439464676315,-0.2019659424366286,-0.12906210165889723,-0.1581029925922365,0.034447,0.05,0.172092
16,0.919834197586803,-0.7054293645953533,-0.29370867455829197,-0.1446135119640429,-0.21321980541398025,-0.13571673124602693,-0.1672071703089228,0.033747,0.05,0.170376
17,0.9220077350492307,-0.7383984185203221,-0.30725135638164786,-0.15151791062807457,-0.22302672740035887,-0.14242835460641404,-0.17386091736201445,0.033075,0.05,0.168678
18,0.9199893319109215,-0.7718870895874704,-0.3207869992968382,-0.15837871569655124,-0.23272271221872495,-0.14906856745485944,-0.1806598056181453,0.03243,0.05,0.166996
19,0.9188106713732944,-0.8048756252845528,-0.3343603111662286,-0.16555597481038303,-0.24267228011007727,-0.15574911050471726,-0.1878964512639967,0.031809,0.05,0.165332
20,0.9237980092416237,-0.8362036825974288,-0.34688993619762737,-0.1717584317686847,-0.2515154144626442,-0.161613346333217,-0.19615837159551483,0.031211,0.05,0.163683
21,0.9235570481181838,-0.8654960269274433,-0.35922027729149025,-0.17742748186670096,-0.26054384509624484,-0.16740268142284698,-0.20282016970731803,0.030635,0.05,0.162052
22,0.929595609764259,-0.8926092796526814,-0.37007524100470957,-0.18303697916670394,-0.2685820578981704,-0.17296712696395794,-0.2075728108799766,0.03008,0.05,0.160436
23,0.924626588893759,-0.9211303716564465,-0.381612852717477,-0.1890012878192656,-0.27668493316479476,-0.17867200396422706,-0.21348126541528273,0.029545,0.05,0.158837
24,0.9230782029950083,-0.9499838200798573,-0.3934167349133292,-0.1949264481508118,-0.28550377659237264,-0.1843801435548267,-0.22033324084290018,0.029029,0.05,0.157253
25,0.917104731095835,-0.9806699352179613,-0.4060119114860307,-0.2014205603575775,-0.2946248089221601,-0.19061735279084185,-0.22791081937828278,0.028531,0.05,0.155686
26,0.9261481729802212,-1.006941535342405,-0.4168614254969131,-0.20655172989656043,-0.3025616787951915,-0.19549844175729708,-0.23472303019362192,0.028049,0.05,0.154133
27,0.9242162018238701,-1.0342710231962324,-0.42805063081077976,-0.2121591839667551,-0.3107943689771791,-0.20049342233189085,-0.24111084045009037,0.027583,0.05,0.152597
28,0.9255489189871288,-1.0606119475061866,-0.43867472596714585,-0.21766866823497366,-0.3183424674758323,-0.20538416825118405,-0.2462634820989922,0.027132,0.05,0.151076
29,0.9283302252910639,-1.0846031170722978,-0.4484036191793233,-0.22259781352642727,-0.32574993286742615,-0.20991898228640402,-0.25173265782678333,0.026696,0.05,0.14957
30,0.9226643128734383,-1.1101638537951726,-0.45905975003130917,-0.22769710812489452,-0.3332354000309246,-0.21527303959952285,-0.2589117142171817,0.026274,0.05,0.148078
31,0.9252661234542909,-1.1351989578652184,-0.4690597488808246,-0.2330221182075042,-0.34026963421696166,-0.22037730756478144,-0.2639301348222108,0.025865,0.05,0.146602
32,0.9202105298558914,-1.1616248606269877,-0.48008384704149154,-0.23831023565133785,-0.348166958006152,-0.22545600120959472,-0.27013162962361514,0.025468,0.05,0.145141
33,0.9240510615243964,-1.1862926382130112,-0.49014570742103264,-0.24359634816898434,-0.3553525318478847,-0.23010193881816593,-0.275216864169003,0.025084,0.05,0.143694
34,0.9244863871722064,-1.2110346852970664,-0.5001314146705093,-0.24885895423742652,-0.36255472336503025,-0.23491567825835236,-0.2797633709788894,0.024711,0.05,0.142261
35,0.9261038741329725,-1.2339706632450684,-0.5093258635967561,-0.2536987139369823,-0.3691978006688381,-0.2395223224469585,-0.28366371286217834,0.024349,0.05,0.140843
36,0.923888101505028,-1.257436164908803,-0.5190872455716815,-0.2583011473534639,-0.3759454263449323,-0.2440215438747677,-0.28901011712193314,0.023997,0.05,0.139439
37,0.9255746447497215,-1.2797508903904118,-0.5281855912798207,-0.2628743380426525,-0.38299519635366674,-0.24876277627565402,-0.2939443282953676,0.023655,0.05,0.138049
38,0.9244028275654126,-1.3027701366695301,-0.5376217727030644,-0.267575631395811,-0.3897765055308396,-0.25295410526043877,-0.29967600209037415,0.023323,0.05,0.136673
39,0.9261880009389987,-1.3249073089550913,-0.5467121642297544,-0.2721028108494149,-0.3965596464969451,-0.2574375683309046,-0.3046910626151717,0.023,0.05,0.13531
40,0.9231560660493515,-1.347239154945027,-0.5556304050588006,-0.276783378139007,-0.4029703947424267,-0.26169441135418586,-0.30938539693842637,0.022686,0.05,0.133961
