episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,maintenance_restoration_value,alpha,alpha_initial,epsilon
0,0.8702443266384601,-2.5059317076404293,-0.0035984998780489957,-0.0017980345790171472,-0.0006623138399890472,-0.00127560700651951,-0.0006276643178187458,-0.0015229156231810854,-1.388958247581933e-05,0.02,0.02,0.2
1,0.9267099334185218,-2.5123224053629327,-0.00694010951609152,-0.0032024836521136013,-0.0013547995045626912,-0.0022744771071542165,-0.0012502341252347603,-0.0022090791822987213,-3.9543454599018745e-05,0.019416,0.02,0.198006
2,0.9212236965554215,-2.5191713750637383,-0.010551970107675543,-0.004687889999761565,-0.0020951329880038103,-0.0033017838123896226,-0.0019623413621366174,-0.002838409882562243,-7.521352022815388e-05,0.018864,0.02,0.196032
3,0.9221722182256202,-2.525752970025526,-0.014089143616798762,-0.006163515377144096,-0.0028614098695054703,-0.004335319870441534,-0.0026520246814536576,-0.003441758250525027,-0.00010138087307615465,0.018344,0.02,0.194078
4,0.9218408322841428,-2.532275237461452,-0.01752551844526901,-0.007609906820921709,-0.0035767617997900193,-0.005349139993991996,-0.0032959589068938867,-0.00421261874822004,-0.0001294834439941016,0.017851,0.02,0.192143
5,0.923454186334572,-2.5385024340064763,-0.020806398330328518,-0.008974991510445863,-0.004268188329892496,-0.006279010037297819,-0.003923758432451006,-0.004888878438837978,-0.00015817766873699787,0.017384,0.02,0.190228
6,0.921343200552924,-2.5445795166016763,-0.02401604781523772,-0.010307929572069531,-0.004949193373982584,-0.007192029673460567,-0.004499350897302493,-0.005608097887560936,-0.0001824916090840067,0.016941,0.02,0.188331
7,0.9255979780057915,-2.550197741516355,-0.02698982332407921,-0.011573824513477238,-0.005575977123674574,-0.00805787692207131,-0.005063757437858264,-0.006342228830377385,-0.00020645476620964257,0.016519,0.02,0.186454
8,0.9276716230650548,-2.555480797791604,-0.029754222955044783,-0.01274111054209133,-0.006151111517064357,-0.008870375980454169,-0.005588325279706021,-0.006846237866708047,-0.00022905466338483542,0.016119,0.02,0.184595
9,0.9197429357675012,-2.5614058900794503,-0.032915390910355925,-0.014073971605302209,-0.006801136475226923,-0.00980813580207258,-0.006169624920898683,-0.0075851292081704404,-0.00025281086540323704,0.015737,0.02,0.182755
10,0.9082847689904775,-2.568068232002636,-0.036525135441948825,-0.01563024161124616,-0.00753721318838525,-0.010842180640209819,-0.006846876106417383,-0.008579833309846642,-0.00028036240867574015,0.015373,0.02,0.180933
11,0.9243506384125594,-2.573259733653372,-0.03928775205991393,-0.016772504326532045,-0.008123245997281791,-0.011588719315342624,-0.00733162213705978,-0.009222561416291014,-0.0003036150730688045,0.015025,0.02,0.179129
12,0.9253683536194747,-2.5782870741462958,-0.041944810162486065,-0.017884483038317557,-0.0086951941429263,-0.01236089211446408,-0.007844754087033367,-0.009833541291994104,-0.00032375927858342013,0.014693,0.02,0.177343
13,0.9277225892121762,-2.582991489044122,-0.044418301622089026,-0.018944275128793802,-0.009192847586008999,-0.013083108054666611,-0.008311224148866469,-0.010426801238238515,-0.0003438581963283727,0.014375,0.02,0.175575
14,0.9212225931455604,-2.588153120653205,-0.04712463051638484,-0.020074197854707685,-0.009745102981546724,-0.013875958097919593,-0.008813788042984686,-0.011082397333732784,-0.00036616922398247196,0.014071,0.02,0.173825
15,0.9212437318664364,-2.5932103630756087,-0.04980537557752905,-0.02119122622257635,-0.010288501950632831,-0.01466876294985063,-0.009333622213051188,-0.011586230342217197,-0.00038656296240945244,0.013779,0.02,0.172092
16,0.9247512124721006,-2.597943356477607,-0.0523434563033512,-0.022275758645299047,-0.010825146273895025,-0.015412562880597749,-0.009791991384450121,-0.012124820966336611,-0.000407163161940077,0.013499,0.02,0.170376
17,0.9215686274509804,-2.6028382463184787,-0.05490792254718295,-0.02333680333524139,-0.011371119454592451,-0.016136051431341673,-0.010274973745740573,-0.012667857859321688,-0.00042690070670807685,0.01323,0.02,0.168678
18,0.9215062008267769,-2.607530614509835,-0.05737706080613891,-0.024377832996447794,-0.011861615149682429,-0.01684729037770583,-0.010725526726844212,-0.013301689694779692,-0.0004452997865498582,0.012972,0.02,0.166996
19,0.9230025117099994,-2.6120380689282854,-0.05977474649289022,-0.025385045715288424,-0.012371452087606573,-0.017537672150654764,-0.01117507810270288,-0.013846954981875456,-0.00046465006005970145,0.012723,0.02,0.165332
20,0.9237980092416237,-2.616557330501793,-0.06213637374241675,-0.026373739946070875,-0.012850513681445967,-0.018225389512984837,-0.011594637373379976,-0.014412276963979103,-0.000482644094950967,0.012484,0.02,0.163683
21,0.9214369307484862,-2.6210064476886763,-0.06449922162630307,-0.02739588070307313,-0.013343168822609986,-0.0189251367558633,-0.012067543866931514,-0.014918809474734838,-0.0005033829436063065,0.012254,0.02,0.162052
22,0.924977831317238,-2.6252319433531706,-0.06675858477804886,-0.02833011182364203,-0.013836529807424114,-0.019573369887083816,-0.012519103746413714,-0.015333885329881471,-0.0005196675374499896,0.012032,0.02,0.160436
23,0.9179507063623183,-2.629716579857563,-0.06916749766415305,-0.02933888881903444,-0.01435757266933136,-0.02022540380244692,-0.013000285767039535,-0.015768144973753388,-0.0005387287856973969,0.011818,0.02,0.158837
24,0.9284692179700499,-2.6334789994715098,-0.07111972155155877,-0.030142490944255484,-0.014770146438808234,-0.020783886924767642,-0.013379550552455781,-0.01616094692546946,-0.0005518738291111695,0.011612,0.02,0.157253
25,0.9186379565979242,-2.637765354867578,-0.0734126759345624,-0.031115303980903536,-0.01524615778054989,-0.021462345857638666,-0.013789842992852804,-0.016685959617760884,-0.0005689695296060326,0.011412,0.02,0.155686
26,0.925058665772712,-2.641597771393376,-0.07543533991820373,-0.031971485366779545,-0.015658441696920492,-0.02205297228236607,-0.014157384524821365,-0.017090564496309347,-0.0005839917148809675,0.01122,0.02,0.154133
27,0.9241163549224523,-2.645423392489441,-0.07749807227527387,-0.03281870449229504,-0.01611101616032972,-0.02263599688336846,-0.01454361034940648,-0.0174946787730265,-0.0005995513848843249,0.011033,0.02,0.152597
28,0.925952721460419,-2.6490602989099896,-0.07940107910137348,-0.03360283435427545,-0.016517180388955013,-0.02316817602018136,-0.014897304834533434,-0.01794850502640997,-0.0006121054366227736,0.010853,0.02,0.151076
29,0.9243653713690506,-2.6528022692514095,-0.08137652131646912,-0.034437069534737574,-0.016935759549733066,-0.023737191486486668,-0.015273518353898374,-0.018398823832203242,-0.0006284434765308515,0.010679,0.02,0.14957
30,0.9216967680608366,-2.65656209563308,-0.08336810081343203,-0.03525154989475585,-0.017370083585540357,-0.024286835735682424,-0.015684206488085356,-0.01882884664563643,-0.0006426857357833112,0.01051,0.02,0.148078
31,0.9225331916257571,-2.6602917326024866,-0.08534282105697116,-0.036080568661566816,-0.01777818165904819,-0.024887952793704825,-0.016077004365890213,-0.01926941424456633,-0.0006597638962359747,0.010346,0.02,0.146602
32,0.9263986278565303,-2.6637335193857306,-0.087149522845473,-0.03683992552742784,-0.018147838434437707,-0.02540130685452702,-0.016406417737039113,-0.01963616143612437,-0.000674175507329266,0.010187,0.02,0.145141
33,0.9233738529780245,-2.6672066144116933,-0.08899212348941427,-0.037613253023386306,-0.01853631913041443,-0.02591922941582909,-0.0167473631694841,-0.01998645865610684,-0.0006898875167570138,0.010034,0.02,0.143694
34,0.9228662101219308,-2.6707976174753973,-0.09089034334524453,-0.03840070319644869,-0.01893981016278732,-0.026442934211766723,-0.017088792885876763,-0.02037352885107984,-0.0007036185339586349,0.009884,0.02,0.142261
35,0.925850109964473,-2.6740624116324585,-0.09257758183832172,-0.03909919587548158,-0.01928512500022993,-0.026913972544651308,-0.017409838038490128,-0.020727518009635525,-0.00071599122994444,0.009739,0.02,0.140843
36,0.9211041371397719,-2.6776179984096746,-0.09450385978985062,-0.03990499949870464,-0.019697136023502863,-0.02747781452145673,-0.017771448950914398,-0.021118572085289295,-0.0007289671410149354,0.009599,0.02,0.139439
37,0.927414183008742,-2.6807591924828253,-0.09611715674306918,-0.04057582232011444,-0.020038647546828787,-0.02793132862103946,-0.01809301541855354,-0.02144094856048295,-0.0007408249594263677,0.009462,0.02,0.138049
38,0.9265134510368856,-2.683862374141968,-0.0977368489155011,-0.04124258126318259,-0.020391168237376685,-0.02838979926699596,-0.018399575520069544,-0.021780144804591027,-0.0007535302546711425,0.009329,0.02,0.136673
39,0.923957879204534,-2.68715486566328,-0.09945092860376849,-0.04196668543437191,-0.020725568590670717,-0.028898013959137166,-0.01873042095608575,-0.022235026232895045,-0.0007660279228851558,0.0092,0.02,0.13531
40,0.9207610180640591,-2.690461256798321,-0.10117479908689177,-0.04270772973530401,-0.0210555582666157,-0.029421031790618803,-0.01903747415986968,-0.022650006922989564,-0.0007794684275976335,0.009074,0.02,0.133961
41,0.9197902309476585,-2.693849377614036,-0.10296878608293257,-0.04346934567570019,-0.02141015684347382,-0.0299430556827367,-0.01936261272741999,-0.023151168994521312,-0.000794462157466106,0.008952,0.02,0.132626
42,0.9227623198122695,-2.6969653715114705,-0.10464362889513654,-0.044180297526352316,-0.021753041621779816,-0.03042471093233434,-0.019674175603519115,-0.0235886926432376,-0.0008074340895815825,0.008833,0.02,0.131304
43,0.925633990188742,-2.699898201100862,-0.10618395378067336,-0.04482762545075643,-0.022069868687990837,-0.030869105335974225,-0.019951622101832586,-0.023953636885850612,-0.0008189272786019615,0.008717,0.02,0.129995
44,0.9202916771435755,-2.703042640725748,-0.10787481172762436,-0.04555119364153983,-0.022404151077338993,-0.031343661528516774,-0.0202594738662037,-0.024402169113118675,-0.0008322659819006455,0.008604,0.02,0.128699
45,0.9199919285678253,-2.7061866364687726,-0.10954010317605149,-0.04627244392135351,-0.02273837481891758,-0.03183449826625111,-0.020569726755587374,-0.024763564946270047,-0.0008466240798616345,0.008494,0.02,0.127416
46,0.928347341755163,-2.708929665007235,-0.11097224219396414,-0.04688017749030251,-0.023028733400099442,-0.03226125151070239,-0.020833234594225546,-0.025145668155113765,-0.0008566976303901888,0.008387,0.02,0.126145
47,0.920851006756417,-2.7119699275618374,-0.11252992842815351,-0.04753255740098724,-0.02334357121574909,-0.0327089956016679,-0.021131767602935912,-0.025455785897820885,-0.0008683392486004136,0.008283,0.02,0.124888
48,0.922933084012288,-2.7148605472232212,-0.11407165250400399,-0.04817113913428389,-0.02367433232267127,-0.0331407287938765,-0.021434589141911743,-0.025731244860469207,-0.0008818111123001116,0.008181,0.02,0.123643
49,0.9220811969404051,-2.7177885440720138,-0.11560637920539431,-0.04882123476167759,-0.02399069629851514,-0.03359917408612709,-0.021737143933560844,-0.026086771936325383,-0.0008949969107844224,0.008081,0.02,0.12241
50,0.9270646281907128,-2.720455996063165,-0.11697589985570096,-0.049401634541367666,-0.024258733723100664,-0.033993989638657886,-0.022008421675127135,-0.0264106295968058,-0.0009059459883540356,0.007984,0.02,0.12119
51,0.9257614746791799,-2.7231599148227743,-0.11839987860757699,-0.05000299989972076,-0.024545336312099684,-0.03442990226219734,-0.022271522801554575,-0.02679735229194702,-0.0009182046259049964,0.007889,0.02,0.119982
52,0.9295052377658947,-2.7256157530823857,-0.1196658443806536,-0.05052763267875712,-0.02479867239673347,-0.03479934058450482,-0.022508158937286787,-0.02704192945791246,-0.0009275800607800123,0.007797,0.02,0.118786
53,0.9219805955168953,-2.7284261303288813,-0.12113781211951453,-0.051154534840753996,-0.02509252986103932,-0.035241398937956005,-0.022782722163966766,-0.027443387021550195,-0.0009396766161511483,0.007706,0.02,0.117601
54,0.9211806953953551,-2.731145970206113,-0.12258920839246153,-0.05178585620285116,-0.025360846287977357,-0.035678804549470575,-0.023033938784987013,-0.027893562645622236,-0.0009529861682381327,0.007618,0.02,0.116429
55,0.9216779703592062,-2.733849964742746,-0.1240106064919192,-0.05237088953251912,-0.025672288183962434,-0.036060400897268176,-0.023300855876806626,-0.028086396046101816,-0.0009622440854687924,0.007531,0.02,0.115268
56,0.926760087793348,-2.7363404061472703,-0.12530832168695885,-0.052915923722033104,-0.02592413465292229,-0.03643648548813752,-0.023527973123771487,-0.02840733539690659,-0.0009739767983832318,0.007447,0.02,0.114119
57,0.9231826486314343,-2.7389481428712377,-0.1266493898814789,-0.0534862402224293,-0.02618209302087696,-0.036828872669143024,-0.023766693908440092,-0.028759761452860213,-0.0009844140014921103,0.007365,0.02,0.112982
58,0.9239768047735104,-2.7415212873003387,-0.12799017171069238,-0.054034029223844766,-0.026462650396041117,-0.03721650222028901,-0.024029614322510915,-0.029081290588905212,-0.0009959249228902764,0.007284,0.02,0.111855
59,0.9251607676338043,-2.744010544882038,-0.12928990643558222,-0.05458293679666872,-0.026710578354037003,-0.03759384513160199,-0.024280712680060237,-0.02934146456385787,-0.0010103848541371334,0.007205,0.02,0.11074
60,0.9268413416403516,-2.7463453677116156,-0.13051186842298623,-0.05510119110979547,-0.026953987667889718,-0.03794299134454372,-0.02449158197724279,-0.02959815902545146,-0.0010213195952548148,0.007128,0.02,0.109636
61,0.9245210407429097,-2.748810074747582,-0.13182255300845017,-0.05564021029661444,-0.027231909013344553,-0.03830377245034858,-0.024734189412322836,-0.02989280511170156,-0.001031104355521132,0.007052,0.02,0.108543
62,0.9171146877896689,-2.7514833963961705,-0.13325563845764637,-0.056242814603481225,-0.027521636184355013,-0.038710674918139565,-0.02497916312686518,-0.03021173788515799,-0.0010433730327534345,0.006978,0.02,0.107461
63,0.9244414693331102,-2.7538947197458294,-0.13451173690376364,-0.056798667550176325,-0.027752020755330984,-0.03909577396569874,-0.025207749517820562,-0.030483122893006056,-0.0010552722383792255,0.006905,0.02,0.10639
64,0.9296594158069855,-2.7560904184776147,-0.1356410585004848,-0.05726561777392692,-0.027982084877055665,-0.03941053504579246,-0.025417245173446564,-0.03075347579757437,-0.0010651111005774482,0.006834,0.02,0.105329
65,0.9220351513929496,-2.7585458419359012,-0.13695129674815143,-0.05781469265578253,-0.02826227296637948,-0.039793027511270056,-0.02565331675201601,-0.03101721456527082,-0.0010755033142567417,0.006765,0.02,0.104279
66,0.9208755056481528,-2.7609685078182755,-0.13821459815254375,-0.05836027905857397,-0.028508172413979564,-0.04016943846204521,-0.02588064607222832,-0.03134087909919321,-0.0010861484015908902,0.006697,0.02,0.10324
67,0.9267519147069739,-2.763184441011129,-0.13938245723148515,-0.05885679439316778,-0.02873963302695258,-0.04052373875521675,-0.026096110910661344,-0.03160066005131654,-0.0010966676052287737,0.00663,0.02,0.10221
68,0.9225655917949407,-2.7655303009076038,-0.14062841209131743,-0.059379310094073656,-0.029008571269635523,-0.04089091597145025,-0.026332293406904152,-0.031845013413678146,-0.0011058490855445624,0.006564,0.02,0.101191
69,0.926353016107135,-2.7676995152916937,-0.14175940565812029,-0.05986539747196061,-0.02923848339814391,-0.041234515090619914,-0.026570456223024088,-0.03206604471826197,-0.0011146659603214325,0.0065,0.02,0.100183
70,0.9245594806508726,-2.76992317759716,-0.1429224163225722,-0.06035634355667593,-0.029468590313529323,-0.04158421382277876,-0.02678605200735753,-0.0323046099707111,-0.0011246224693871984,0.006437,0.02,0.099184
71,0.9267648484645861,-2.772057381449933,-0.14402395746845428,-0.060813136023190266,-0.029687398903383552,-0.041899008465490786,-0.02698742602507051,-0.0325779341067435,-0.0011330271999606771,0.006375,0.02,0.098195
72,0.922824302134647,-2.77430074511475,-0.14521879403721968,-0.06131537267978523,-0.029928524806640672,-0.042229573485816116,-0.027204522586936966,-0.032875660858631896,-0.0011416742432191816,0.006315,0.02,0.097216
73,0.9264438304467956,-2.776406836896766,-0.14633103061071348,-0.061788936404487106,-0.03014626583985101,-0.04254008583897415,-0.027396880902642282,-0.03315992831883522,-0.0011519306344480206,0.006255,0.02,0.096247
74,0.92643305103369,-2.778500996331516,-0.1474404924769335,-0.06224534757507637,-0.030383133557052057,-0.042846459543285365,-0.027597012316069678,-0.03340380797407978,-0.0011608699947604178,0.006197,0.02,0.095288
75,0.9256701730573464,-2.780565284065335,-0.1485245729094251,-0.06271310537537146,-0.030581559277869402,-0.04318090592244184,-0.02779454801138895,-0.03366899777946961,-0.0011709583493483091,0.00614,0.02,0.094338
76,0.9258101773218289,-2.782608154222472,-0.1496160080944464,-0.06316871438574573,-0.030816793443123856,-0.04349220345001406,-0.028009865352891065,-0.03391817666686866,-0.0011802299310972322,0.006083,0.02,0.093397
77,0.9201621783962358,-2.7848462550386768,-0.1508080226408322,-0.0636743428219806,-0.03105824224347588,-0.04383473250653208,-0.02823509253835997,-0.034210242214922804,-0.0011900159018994484,0.006028,0.02,0.092466
