episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,global_depot_backlog,maintenance_restoration_value,alpha,alpha_initial,epsilon
0,0.8702443266384601,-2.5059317076439815,-4.187782311559651e-05,-6.684747763933492e-05,2.072729634207339e-05,-2.637350097471403e-05,-1.60989980239748e-05,-6.167470174992432e-05,1.1522812012119561e-05,0.02,0.02,0.2
1,0.9247931938933351,-2.5126957623876325,-0.00016098510398188218,-0.00016975649200168795,-3.66133875556643e-05,-6.883896769136527e-05,-6.555745302147112e-05,0.00011418279471368475,2.2419892857950165e-06,0.019416,0.02,0.198006
2,0.9142038600723763,-2.5201549973016255,-0.0002601443201406668,-0.00032723247218564334,1.269393149360642e-05,-0.00013886948452740573,-4.7915986687711215e-05,-0.00017255465400146933,-7.040018319063828e-06,0.018864,0.02,0.196032
3,0.9180231877269001,-2.5270907036247703,-0.00041869655025039275,-0.0004369666343666766,-5.184594560645867e-05,-0.000107136426087037,-9.739236267920277e-05,9.765161637631176e-05,-1.5326970265885955e-05,0.018344,0.02,0.194078
4,0.9060698429527533,-2.535167733105418,-0.000508475163637769,-0.000607881541206879,-3.203814639337373e-05,-0.00020253873459237168,-0.00012227300470258527,-0.00018370498783794155,-2.1468325693803407e-05,0.017851,0.02,0.192143
5,0.9173947976298081,-2.542025676547434,-0.0006029950510249726,-0.0006909609974045351,-9.024286300800084e-05,-0.0002480101007942399,-0.00018858423259110046,0.0001003832910081492,-3.256048110569597e-05,0.017384,0.02,0.190228
6,0.9124930463073785,-2.5487437972303595,-0.000698973186989363,-0.0008144208273732198,-7.818357030112594e-05,-0.00021577899596725555,-0.00017069138565574448,-7.507813918217559e-05,-3.9787596232773206e-05,0.016941,0.02,0.188331
7,0.9176639941080964,-2.555039660210087,-0.0007843471962632146,-0.0009180735435276634,-0.00010101812302282988,-0.00026940689986951194,-0.0002298289571588191,7.520727451699755e-05,-4.8392982479656774e-05,0.016519,0.02,0.186454
8,0.9171597633136095,-2.5610858256736124,-0.0008825253042493916,-0.0010702815910082822,-9.532665314946596e-05,-0.00031207589257315106,-0.00021830698509452996,-0.0001092418776968447,-5.036673584961118e-05,0.016119,0.02,0.184595
9,0.9219578495201021,-2.566824425385905,-0.0010063067457084544,-0.001189278645713349,-0.00013391835802782534,-0.000377540446019194,-0.0002700010425565325,4.8061588902439196e-05,-5.6249925379643664e-05,0.015737,0.02,0.182755
