episode,service_level,rebalancing_imbalance,projected_starvation_risk,projected_congestion_risk
0,0.8910293185180712,-1.8831978171365336,-0.19504282880734536,-0.1395410893049757
1,0.9348499574778277,-2.3880166112736347,-0.232145474299211,-0.16509388134364
2,0.9436675381528546,-2.730138107253508,-0.25478941395088844,-0.17298581388769052
3,0.9414797864225782,-3.0332312180087966,-0.27647386678525077,-0.18895666709623576
4,0.9440943464169967,-3.2558380248705485,-0.2875581548076613,-0.1959956644787627
5,0.9377665645461645,-3.5095985362356217,-0.2998004004224614,-0.20884498623573067
6,0.939107516131964,-3.7003630625050348,-0.31378019810982183,-0.21769524666874915
7,0.9391322789795795,-3.8974562274923263,-0.33307230037503904,-0.22723510442313113
8,0.9405821505893673,-4.080391039590882,-0.34469935560854403,-0.23219746934346114
9,0.9406725792293489,-4.229944638972375,-0.34685138095177087,-0.23617253521217604
10,0.9364314953045991,-4.384507409114528,-0.37008324803610876,-0.2435425595226765
11,0.9401609669987733,-4.47633903667856,-0.3771716337629016,-0.24656429187606796
12,0.9432547537640213,-4.545367976618479,-0.3731356847634112,-0.24775163883181744
13,0.9505492842659565,-4.577093754938364,-0.3725658170627519,-0.25225821242044394
14,0.9372554920252784,-4.7022570344898975,-0.3809153204572002,-0.25757471318702246
15,0.9424277316526272,-4.783929259551868,-0.3855612360398181,-0.25763640816933475
16,0.9457282490648002,-4.801838081517714,-0.39011102889029897,-0.2565297995024207
17,0.9428803954666024,-4.9175449490114636,-0.39722449302487806,-0.2622110962813655
18,0.9423809095542165,-4.954424873712951,-0.3964331357966732,-0.2637889390725069
19,0.940155075891387,-5.035351265208501,-0.40254192017286156,-0.26702651546532885
20,0.9347138600012164,-5.13144122251041,-0.41288360444220745,-0.27083321252779297
21,0.9437604499164006,-5.152375919483982,-0.4124046779772529,-0.27212219158663364
22,0.9429226463407372,-5.23058108139582,-0.4135250631776613,-0.27321067161866835
23,0.9428734733168883,-5.269615728442118,-0.413515718935851,-0.27195625476221275
24,0.9331380578055415,-5.342097706110144,-0.41643096220813314,-0.27406424924848316
25,0.9413701067615659,-5.370681498152531,-0.4149136529539365,-0.27488592209997026
26,0.9358871327797125,-5.441512592609231,-0.41819689512896335,-0.2746519809245784
27,0.9437018304431599,-5.483775732456302,-0.42007096278402084,-0.27611086035347476
28,0.9303976418215725,-5.60348555559153,-0.4223423174411273,-0.2826453909265427
29,0.9398069784706756,-5.661105723596451,-0.43070084144828286,-0.2871287315700515
30,0.9412948061448427,-5.700827751656014,-0.4350638207538731,-0.287257820527017
31,0.9429624482644029,-5.710653766637438,-0.43349668623006743,-0.28587400241259836
32,0.9404833473608272,-5.753845150931758,-0.4365801519853851,-0.2860405962490703
33,0.9361561561561562,-5.7868530732027255,-0.44078327290243396,-0.288187892920213
34,0.9408373786407767,-5.825385486239377,-0.4440616074943718,-0.2895012691343613
35,0.9425858951175407,-5.856031417699365,-0.44117973539732586,-0.2891532372478773
36,0.9402138207011885,-5.913275339370644,-0.4440577968057541,-0.2901496479987955
37,0.9435086652477956,-5.918287033408789,-0.4413160048599237,-0.2891973961094095
38,0.9382771401243424,-5.944947534588925,-0.4390493303015244,-0.2920161783553757
39,0.9469285415796072,-5.958432700057344,-0.4385011516603627,-0.2916912018956017
40,0.9417463969964879,-5.970733213679464,-0.43827755248122935,-0.2929637465809755
41,0.9474915676562643,-5.955588704184726,-0.43568586374795426,-0.2924742434605353
42,0.9479981870373169,-5.95393117062494,-0.4313577466032139,-0.291739972077533
43,0.9393146979260595,-5.980887655753034,-0.4319748320041154,-0.2914271901244997
44,0.9431256631802334,-5.9972483214938945,-0.4312652765163837,-0.29122522397907186
45,0.9401458528762066,-6.006387091907419,-0.42812180782946335,-0.29092203096944563
46,0.9370694303001258,-6.060157652433758,-0.428436687038864,-0.29071056182834326
47,0.9433266872092321,-6.074382546101473,-0.4301318027843301,-0.2895385750765026
48,0.9362422137038812,-6.116753872956418,-0.43412987235836153,-0.2903587369701638
49,0.943710273466371,-6.1445553758832006,-0.4341689959962663,-0.2899422922172985
50,0.9418423574508864,-6.189465088865917,-0.4356952402359099,-0.28982030943360304
51,0.9508142835798595,-6.181604991953267,-0.43590288635634955,-0.2899126739587495
52,0.9380280833991854,-6.231842446987758,-0.43921693023164965,-0.28967808827375074
53,0.9435908229846348,-6.2392094268333445,-0.43659926540379246,-0.2903598820307423
54,0.9477005767430625,-6.2626937981768425,-0.4368127355838424,-0.29202079281943943
55,0.9385002424830262,-6.288695219158109,-0.435638271422169,-0.2950022802304618
56,0.9424713559678826,-6.314629691688742,-0.43655961461961323,-0.29593989999539805
57,0.9397951237045468,-6.351332528372753,-0.4396409908539119,-0.29576575526546517
58,0.9470786824416801,-6.349568420294632,-0.4399679411392651,-0.29429025556432004
59,0.9468170829975826,-6.344852021645802,-0.4366739985876303,-0.29294644767918204
60,0.9395774945001959,-6.393585375058345,-0.441296600886133,-0.29447227687347016
61,0.9460487687975556,-6.41986010114625,-0.44190183254364457,-0.2944090667054283
62,0.9383117861555615,-6.4578836848805095,-0.44351468817783163,-0.2942622133442007
63,0.9395674869500373,-6.515165109562807,-0.4505868678349238,-0.2969848782466387
64,0.939359756097561,-6.557272817989902,-0.4515574050335016,-0.2967192880814921
65,0.9444863478654397,-6.560146970494499,-0.45015124403807905,-0.294588829602465
66,0.947043035073434,-6.584011386216113,-0.4497368272458612,-0.2941644246048525
67,0.9411764705882353,-6.584312251819703,-0.44966553122391834,-0.29433175219387453
68,0.9469784742972133,-6.592746003498037,-0.44633297916532116,-0.2932929250823072
69,0.9454779665078937,-6.602002118776479,-0.4479879814778356,-0.29446300305026735
70,0.9423408698810497,-6.632254182838362,-0.4487723130779027,-0.29445960224146295
71,0.9347780787664097,-6.669849193726205,-0.4494641974156117,-0.29530257874555715
72,0.9417267058182479,-6.6996681734583765,-0.45201194892273555,-0.29709782123200895
73,0.9454880963184802,-6.71150463758156,-0.45390678545849455,-0.2977795241893353
74,0.940318545188259,-6.727986890322673,-0.4526596528339948,-0.2976340482158705
75,0.9502138057422114,-6.719047700479271,-0.45095951097767156,-0.29767311049462836
76,0.941208247051409,-6.73617293521938,-0.4493890267966066,-0.2984667010340668
77,0.9358810263911745,-6.762986858392614,-0.45258029019895013,-0.30200805892239185
78,0.9415881561238223,-6.781449316051775,-0.45322249503789735,-0.3016986648454489
79,0.9437484943387136,-6.796179542033126,-0.45300120177079456,-0.3012580234380501
80,0.9438235732379675,-6.814691445970569,-0.45336184974428184,-0.3022050430633054
81,0.9371577340874405,-6.842379890136559,-0.4548318033474138,-0.3040698663335825
82,0.9376261853777914,-6.880871093981752,-0.45755002933768407,-0.30507453744913965
83,0.947326948721057,-6.889553619029059,-0.45938018214851,-0.3066497944641063
84,0.9443947525342874,-6.905419303402085,-0.45826901496019296,-0.3060015848882674
