rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,exponential_starvation_penalty,exponential_congestion_penalty,starvation_severity_max,congestion_severity_max,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,net_starvation_shortfall,net_congestion_shortfall,time_remaining_fraction,functional_bikes_time_penalty,reachable_imbalance_fraction,recoverable_imbalance_fraction,imbalance_hotspot_distance,destination_starv_ratio,destination_cong_ratio,destination_travel_penalty,destination_roi_starvation,cur_station_func_deficit,functional_load_late_pressure,non_depot_late_load_pressure
0.59140474,0.17758714,0.11936284,0.15358426,0.09969138,0.9823529,0.6666667,0.07462686,0.029850746,0.113601044,0.044957776,0.035764884,0.025608366,1.0,0.0,1.0,0.04338395,0.29969397,0.0,0.0,0.003920783,0.0,0.0,0.017877735,0.017877735
0.6170622,0.19491254,0.12424568,0.17190096,0.10215264,1.0,0.78333336,0.104477614,0.014925373,0.14078234,0.043047346,0.044832963,0.019999063,1.0,0.0,1.0,0.04158004,0.35397747,0.0,0.64,0.0041304072,0.0,0.0,0.055439208,0.055439208
0.67350864,0.20453146,0.14897296,0.17806807,0.12599225,1.0,0.8686957,0.07462686,0.014925373,0.11006184,0.04933027,0.031834833,0.022251751,1.0,0.0,1.0,0.03809524,0.221101,0.0,0.8695652,0.0017245605,0.0,0.0,0.060776003,0.060776003
0.64913404,0.19092266,0.14627853,0.1642311,0.12401039,0.975,0.8830918,0.07462686,0.029850746,0.087412186,0.044933084,0.027440261,0.019703481,1.0,0.0,1.0,0.03952569,0.069144666,0.0,0.0,0.0034474358,0.0,0.0,0.0067876442,0.0067876442
0.53239256,0.14938913,0.12015572,0.1271989,0.10420241,0.8233333,0.84821427,0.04477612,0.04477612,0.123145856,0.064753465,0.04894251,0.0217123,1.0,0.0,1.0,0.04819277,0.27178833,0.0,0.0,0.0035732377,0.0,0.0,0.08152895,0.08152895
0.55291855,0.15978827,0.12685712,0.13647921,0.11038581,0.85,0.89880955,0.04477612,0.05970149,0.12624322,0.08234232,0.04635704,0.03571654,1.0,0.0,1.0,0.046403714,0.24353875,0.0,0.9166667,0.0017245605,0.0,0.0,0.10187102,0.10187102
0.5721616,0.17023438,0.13477807,0.14853771,0.11891916,0.975,0.92467946,0.07462686,0.05970149,0.12678596,0.087175205,0.049803156,0.037617926,1.0,0.0,1.0,0.044843048,0.29689026,0.0,1.0,0.0008643187,0.0,0.0,0.10632722,0.10632722
0.5593329,0.15832715,0.13861555,0.13635726,0.12167206,0.89880955,0.92467946,0.05970149,0.05970149,0.11788186,0.075198874,0.045052003,0.022556469,1.0,0.0,1.0,0.04587156,0.23958924,0.0,0.0,0.010611966,0.0,0.0,0.018114258,0.018114258
0.52341247,0.13761385,0.1441202,0.115920655,0.12907746,0.82564104,0.96,0.029850746,0.05970149,0.13564834,0.064329185,0.053733394,0.017949488,1.0,0.0,1.0,0.04901961,0.30730253,0.0,0.5,0.009748512,0.0,0.0,0.14443137,0.14443137
0.5516357,0.14976342,0.15393764,0.12431001,0.13456061,0.77521366,0.9714286,0.029850746,0.07462686,0.17263009,0.07726423,0.0792396,0.018901711,1.0,0.0,1.0,0.04418605,0.15596697,0.0,1.0,0.0008643187,0.0,0.0,0.15105629,0.15900661
