episode,service_level,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,gross_starvation_risk,gross_congestion_risk,alpha,alpha_initial,epsilon
0,0.884247160518645,-0.2041589402826751,-0.09165184313916706,-0.04326451411058177,-0.06503245228590941,-0.03635524452253621,0.2,0.2,0.2
1,0.9299177432377876,-0.3957898977800663,-0.1675341664541125,-0.08296053944083956,-0.1217939165482042,-0.07127894507340736,0.194972,0.2,0.198291
2,0.9282469685783289,-0.5896438324781517,-0.24730248946011607,-0.12246626155689197,-0.17908781704727272,-0.10791863224915754,0.190191,0.2,0.196596
3,0.9280358690328172,-0.7773359500598307,-0.32370031751810435,-0.16053696828549796,-0.23217255947140159,-0.1426203981340502,0.185638,0.2,0.194915
4,0.9243742789787832,-0.9710883621406032,-0.40228709543556973,-0.20070002827989863,-0.28893645008884855,-0.17965477317527262,0.181299,0.2,0.19325
5,0.9258711561066242,-1.1561388919863687,-0.4811252645232464,-0.23385150130837154,-0.3463820783837875,-0.20882300750725802,0.177157,0.2,0.191598
6,0.9267942040682497,-1.3326609382027663,-0.5530107655367094,-0.26981442852692106,-0.3986267705683845,-0.24136522436918992,0.173201,0.2,0.18996
7,0.9298223398462727,-1.495144380113081,-0.6174508469803298,-0.3027434763886354,-0.44324073090377014,-0.2704864147634803,0.169417,0.2,0.188337
8,0.9298867478663096,-1.6538164561814228,-0.680040794153014,-0.3355276198102191,-0.48885679824858114,-0.3015375540484485,0.165796,0.2,0.186727
9,0.9246252730739604,-1.8218439169889198,-0.7481431138760777,-0.36916155057015154,-0.5395865867343905,-0.3332467272956755,0.162326,0.2,0.185131
10,0.9269179478147095,-1.9820944328328807,-0.8140087208290967,-0.4000000202861028,-0.5873582655058438,-0.36124329415694784,0.158998,0.2,0.183549
11,0.9276612974655515,-2.1342554507696456,-0.8758080248960736,-0.43079083195962614,-0.6314156506063497,-0.3887252084410065,0.155804,0.2,0.18198
12,0.9251412958041696,-2.293648566389442,-0.9404022563070992,-0.463728611641398,-0.6770924409407268,-0.4178616240677626,0.152735,0.2,0.180424
13,0.9232717016609213,-2.4503300740841376,-1.0037912220931646,-0.4956722469208634,-0.7225325197419726,-0.44709235739632075,0.149785,0.2,0.178882
14,0.9314774616956726,-2.587256482867845,-1.059322817909253,-0.5238451819176984,-0.761548134965183,-0.47163383397847103,0.146947,0.2,0.177353
15,0.9247103037895397,-2.7415839378817193,-1.1231678984494797,-0.5550264121641344,-0.8077490732087735,-0.4998646391020476,0.144215,0.2,0.175838
