episode,service_level,bias,rebalancing_imbalance,squared_starvation_penalty,squared_congestion_penalty,starvation_count,congestion_count,gross_starvation_risk,gross_congestion_risk,fleet_broken_fraction,alpha,alpha_initial,epsilon,gamma,transition_update_interval,transition_batch_updates,remainder_batch_updates,batch_updates_this_episode
0,0.9439898041320096,-2.7854047469961336,-0.14556368598609884,-0.05495683822350839,-0.031464168620017295,-0.025089210436213708,-0.009881442589841924,-0.03901910258641442,-0.02869720807516319,-0.07974798330605791,0.1,0.1,0.0,0.97,100,15,0,15
1,0.9423902691684349,-3.0660427897267133,-0.28918431874444567,-0.11024519443690486,-0.06244481699608286,-0.051058762792443604,-0.017792453428405384,-0.07735275377246659,-0.05579194316597296,-0.15059734774876976,0.097078,0.1,0.0,0.97,100,13,1,14
2,0.9360471936851631,-3.367409482196496,-0.4456314268254248,-0.17146077947062055,-0.09698119598221687,-0.08131927683831411,-0.029038342536236363,-0.12166174315209531,-0.08870110841554883,-0.23295388046800167,0.094322,0.1,0.0,0.97,100,13,1,14
3,0.9420852652193562,-3.277921779950398,-0.3725923077782546,-0.185185419177125,-0.06381971684025715,-0.10065087797265818,-0.01678501688054042,-0.15684498791243523,-0.10647957041879148,-0.2385119359793219,0.091718,0.1,0.0,0.97,100,14,1,15
4,0.9379442907090424,-3.5382474994444677,-0.5098139976657029,-0.24041749893980854,-0.09341731956497791,-0.12720188988566683,-0.025103067626637582,-0.1959417984994588,-0.13541151741770693,-0.3156255393076774,0.089254,0.1,0.0,0.97,100,14,1,15
5,0.943170788848355,-3.7710314100552513,-0.6305830882931521,-0.2868609029403754,-0.1204377647586902,-0.14864906326548355,-0.03332228785131612,-0.2285150426125204,-0.16060504268538225,-0.3750265138519847,0.086919,0.1,0.0,0.97,100,13,1,14
6,0.9467046311029227,-3.9738145173732637,-0.7350845308218117,-0.32677915392188395,-0.14407241970799786,-0.16627433835990682,-0.04071554755148496,-0.25581058095294257,-0.1833890577798117,-0.4220608258291865,0.084703,0.1,0.0,0.97,100,14,1,15
7,0.9389092728485657,-4.2086217385115585,-0.8570993766578788,-0.3737051502052654,-0.17099581163006555,-0.18863876849299113,-0.04905806069768495,-0.28721996499076846,-0.21062606236364678,-0.4836903866693917,0.082597,0.1,0.0,0.97,100,13,1,14
8,0.9495369270957017,-4.380674106918951,-0.9441884159651605,-0.4081918868919478,-0.19027516729032032,-0.20544624788020885,-0.0544208105637184,-0.31282697538545967,-0.2302955305883499,-0.5293283540932433,0.080593,0.1,0.0,0.97,100,13,1,14
9,0.9388873019340312,-4.564107622233099,-1.0383597251027492,-0.44777464701185254,-0.21221469263001874,-0.22361025251176203,-0.06194207241252489,-0.34486630842224547,-0.25456877502995884,-0.5750828172176589,0.078684,0.1,0.0,0.97,100,14,1,15
