hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 08:00:00,2023-05-22 08:00:00,1.0,1643.0,,4.0,1.0,822.0
2023-05-22 09:00:00,2023-05-22 09:00:00,9.0,2586.0,3.0,16.0,6.0,1296.0
2023-05-22 10:00:00,2023-05-22 10:00:00,28.0,3658.0,6.0,36.0,22.0,1840.0
2023-05-22 11:00:00,2023-05-22 11:00:00,44.0,4759.0,15.0,73.0,29.0,2394.0
2023-05-22 12:00:00,2023-05-22 12:00:00,65.0,6154.0,19.0,92.0,46.0,3100.0
2023-05-22 13:00:00,2023-05-22 13:00:00,117.0,8098.0,43.0,139.0,74.0,4086.0
2023-05-22 14:00:00,2023-05-22 14:00:00,223.0,10746.0,97.0,191.0,126.0,5436.0
2023-05-22 15:00:00,2023-05-22 15:00:00,358.0,13211.0,165.0,272.0,193.0,6702.0
2023-05-22 16:00:00,2023-05-22 16:00:00,531.0,15245.0,292.0,362.0,239.0,7742.0
2023-05-22 17:00:00,2023-05-22 17:00:00,661.0,16898.0,387.0,446.0,274.0,8586.0
2023-05-22 18:00:00,2023-05-22 18:00:00,708.0,18433.0,417.0,513.0,291.0,9362.0
2023-05-22 19:00:00,2023-05-22 19:00:00,784.0,19593.0,473.0,563.0,311.0,9952.0
2023-05-22 20:00:00,2023-05-22 20:00:00,838.0,20597.0,511.0,606.0,327.0,10462.0
2023-05-22 21:00:00,2023-05-22 21:00:00,902.0,21168.0,558.0,645.0,344.0,10756.0
2023-05-22 22:00:00,2023-05-22 22:00:00,937.0,21380.0,585.0,658.0,352.0,10866.0
2023-05-22 23:00:00,2023-05-22 23:00:00,939.0,21380.0,587.0,660.0,352.0,10866.0
2023-05-23 00:00:00,2023-05-23 00:00:00,939.0,21380.0,587.0,660.0,352.0,10866.0
2023-05-23 01:00:00,2023-05-23 01:00:00,939.0,21384.0,587.0,660.0,352.0,10868.0
2023-05-23 02:00:00,2023-05-23 02:00:00,939.0,21384.0,587.0,660.0,352.0,10868.0
