hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,1.0,659.0,,,1.0,330.0
2023-05-22 08:00:00,2023-05-22 08:00:00,7.0,1172.0,3.0,1.0,4.0,588.0
2023-05-22 09:00:00,2023-05-22 09:00:00,20.0,1822.0,10.0,9.0,10.0,916.0
2023-05-22 10:00:00,2023-05-22 10:00:00,30.0,2428.0,14.0,36.0,16.0,1222.0
2023-05-22 11:00:00,2023-05-22 11:00:00,41.0,3162.0,19.0,54.0,22.0,1592.0
2023-05-22 12:00:00,2023-05-22 12:00:00,54.0,4125.0,19.0,75.0,35.0,2080.0
2023-05-22 13:00:00,2023-05-22 13:00:00,86.0,5668.0,38.0,90.0,48.0,2858.0
2023-05-22 14:00:00,2023-05-22 14:00:00,146.0,7067.0,73.0,109.0,73.0,3570.0
2023-05-22 15:00:00,2023-05-22 15:00:00,206.0,8147.0,109.0,137.0,97.0,4122.0
2023-05-22 16:00:00,2023-05-22 16:00:00,234.0,9205.0,127.0,158.0,107.0,4656.0
2023-05-22 17:00:00,2023-05-22 17:00:00,254.0,10031.0,145.0,167.0,109.0,5070.0
2023-05-22 18:00:00,2023-05-22 18:00:00,270.0,10896.0,154.0,175.0,116.0,5506.0
2023-05-22 19:00:00,2023-05-22 19:00:00,294.0,11355.0,177.0,180.0,117.0,5736.0
2023-05-22 20:00:00,2023-05-22 20:00:00,303.0,11720.0,183.0,185.0,120.0,5920.0
2023-05-22 21:00:00,2023-05-22 21:00:00,309.0,11844.0,189.0,188.0,120.0,5982.0
2023-05-22 22:00:00,2023-05-22 22:00:00,309.0,11844.0,189.0,190.0,120.0,5982.0
2023-05-22 23:00:00,2023-05-22 23:00:00,309.0,11844.0,189.0,190.0,120.0,5982.0
2023-05-23 00:00:00,2023-05-23 00:00:00,309.0,11844.0,189.0,190.0,120.0,5982.0
2023-05-23 01:00:00,2023-05-23 01:00:00,309.0,11844.0,189.0,190.0,120.0,5982.0
2023-05-23 02:00:00,2023-05-23 02:00:00,309.0,11844.0,189.0,190.0,120.0,5982.0
2023-05-23 03:00:00,2023-05-23 03:00:00,311.0,11872.0,191.0,190.0,120.0,5996.0
2023-05-23 04:00:00,2023-05-23 04:00:00,320.0,12138.0,198.0,193.0,122.0,6130.0
2023-05-23 05:00:00,2023-05-23 05:00:00,354.0,13312.0,206.0,251.0,148.0,6730.0
2023-05-23 06:00:00,2023-05-23 06:00:00,420.0,14612.0,228.0,305.0,192.0,7402.0
2023-05-23 07:00:00,2023-05-23 07:00:00,456.0,15364.0,240.0,348.0,216.0,7790.0
2023-05-23 08:00:00,2023-05-23 08:00:00,475.0,15998.0,245.0,376.0,230.0,8114.0
2023-05-23 09:00:00,2023-05-23 09:00:00,502.0,16622.0,248.0,413.0,254.0,8438.0
2023-05-23 10:00:00,2023-05-23 10:00:00,518.0,17374.0,252.0,447.0,266.0,8820.0
2023-05-23 11:00:00,2023-05-23 11:00:00,541.0,18102.0,255.0,472.0,286.0,9194.0
2023-05-23 12:00:00,2023-05-23 12:00:00,568.0,19183.0,255.0,492.0,313.0,9748.0
2023-05-23 13:00:00,2023-05-23 13:00:00,628.0,21036.0,292.0,524.0,336.0,10686.0
2023-05-23 14:00:00,2023-05-23 14:00:00,682.0,22768.0,326.0,566.0,356.0,11562.0
2023-05-23 15:00:00,2023-05-23 15:00:00,718.0,24006.0,340.0,601.0,378.0,12192.0
2023-05-23 16:00:00,2023-05-23 16:00:00,766.0,25180.0,362.0,614.0,404.0,12792.0
2023-05-23 17:00:00,2023-05-23 17:00:00,793.0,26106.0,375.0,634.0,418.0,13262.0
2023-05-23 18:00:00,2023-05-23 18:00:00,808.0,26990.0,378.0,652.0,430.0,13710.0
