hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,2.0,610.0,,,2.0,306.0
2023-05-22 08:00:00,2023-05-22 08:00:00,2.0,1194.0,,5.0,2.0,598.0
2023-05-22 09:00:00,2023-05-22 09:00:00,4.0,1804.0,,10.0,4.0,904.0
2023-05-22 10:00:00,2023-05-22 10:00:00,12.0,2356.0,4.0,14.0,8.0,1182.0
2023-05-22 11:00:00,2023-05-22 11:00:00,21.0,3160.0,9.0,21.0,12.0,1586.0
2023-05-22 12:00:00,2023-05-22 12:00:00,35.0,4076.0,15.0,41.0,20.0,2048.0
2023-05-22 13:00:00,2023-05-22 13:00:00,85.0,5607.0,28.0,72.0,57.0,2832.0
2023-05-22 14:00:00,2023-05-22 14:00:00,178.0,7065.0,71.0,112.0,107.0,3586.0
2023-05-22 15:00:00,2023-05-22 15:00:00,251.0,8335.0,110.0,131.0,141.0,4238.0
2023-05-22 16:00:00,2023-05-22 16:00:00,304.0,9281.0,153.0,150.0,151.0,4716.0
2023-05-22 17:00:00,2023-05-22 17:00:00,325.0,10174.0,167.0,165.0,158.0,5166.0
2023-05-22 18:00:00,2023-05-22 18:00:00,352.0,11031.0,187.0,167.0,165.0,5598.0
2023-05-22 19:00:00,2023-05-22 19:00:00,376.0,11674.0,210.0,175.0,166.0,5920.0
2023-05-22 20:00:00,2023-05-22 20:00:00,385.0,12034.0,215.0,183.0,170.0,6102.0
2023-05-22 21:00:00,2023-05-22 21:00:00,392.0,12158.0,222.0,187.0,170.0,6164.0
2023-05-22 22:00:00,2023-05-22 22:00:00,393.0,12158.0,223.0,188.0,170.0,6164.0
2023-05-22 23:00:00,2023-05-22 23:00:00,393.0,12158.0,223.0,188.0,170.0,6164.0
2023-05-23 00:00:00,2023-05-23 00:00:00,393.0,12158.0,223.0,188.0,170.0,6164.0
2023-05-23 01:00:00,2023-05-23 01:00:00,393.0,12158.0,223.0,188.0,170.0,6164.0
2023-05-23 02:00:00,2023-05-23 02:00:00,393.0,12158.0,223.0,188.0,170.0,6164.0
2023-05-23 03:00:00,2023-05-23 03:00:00,394.0,12190.0,224.0,188.0,170.0,6180.0
2023-05-23 04:00:00,2023-05-23 04:00:00,395.0,12382.0,225.0,193.0,170.0,6276.0
2023-05-23 05:00:00,2023-05-23 05:00:00,449.0,13472.0,233.0,266.0,216.0,6844.0
2023-05-23 06:00:00,2023-05-23 06:00:00,540.0,14878.0,278.0,330.0,262.0,7570.0
2023-05-23 07:00:00,2023-05-23 07:00:00,588.0,15612.0,296.0,368.0,292.0,7952.0
2023-05-23 08:00:00,2023-05-23 08:00:00,606.0,16191.0,297.0,395.0,309.0,8250.0
2023-05-23 09:00:00,2023-05-23 09:00:00,634.0,16925.0,303.0,421.0,331.0,8628.0
2023-05-23 10:00:00,2023-05-23 10:00:00,646.0,17644.0,306.0,451.0,340.0,8992.0
2023-05-23 11:00:00,2023-05-23 11:00:00,654.0,18581.0,307.0,477.0,347.0,9464.0
2023-05-23 12:00:00,2023-05-23 12:00:00,684.0,19650.0,326.0,509.0,358.0,10004.0
2023-05-23 13:00:00,2023-05-23 13:00:00,775.0,21310.0,365.0,546.0,410.0,10860.0
2023-05-23 14:00:00,2023-05-23 14:00:00,866.0,22978.0,424.0,569.0,442.0,11710.0
2023-05-23 15:00:00,2023-05-23 15:00:00,911.0,24315.0,450.0,598.0,461.0,12388.0
2023-05-23 16:00:00,2023-05-23 16:00:00,958.0,25369.0,475.0,626.0,483.0,12926.0
2023-05-23 17:00:00,2023-05-23 17:00:00,998.0,26325.0,503.0,644.0,495.0,13410.0
2023-05-23 18:00:00,2023-05-23 18:00:00,1029.0,27250.0,519.0,663.0,510.0,13880.0
2023-05-23 19:00:00,2023-05-23 19:00:00,1055.0,27866.0,541.0,688.0,514.0,14190.0
2023-05-23 20:00:00,2023-05-23 20:00:00,1062.0,28256.0,546.0,712.0,516.0,14386.0
2023-05-23 21:00:00,2023-05-23 21:00:00,1070.0,28505.0,551.0,723.0,519.0,14512.0
2023-05-23 22:00:00,2023-05-23 22:00:00,1071.0,28509.0,552.0,725.0,519.0,14514.0
2023-05-23 23:00:00,2023-05-23 23:00:00,1071.0,28509.0,552.0,725.0,519.0,14514.0
2023-05-24 00:00:00,2023-05-24 00:00:00,1071.0,28509.0,552.0,725.0,519.0,14514.0
2023-05-24 01:00:00,2023-05-24 01:00:00,1071.0,28509.0,552.0,725.0,519.0,14514.0
2023-05-24 02:00:00,2023-05-24 02:00:00,1071.0,28509.0,552.0,725.0,519.0,14514.0
2023-05-24 03:00:00,2023-05-24 03:00:00,1071.0,28545.0,552.0,726.0,519.0,14532.0
2023-05-24 04:00:00,2023-05-24 04:00:00,1078.0,28824.0,554.0,736.0,524.0,14674.0
2023-05-24 05:00:00,2023-05-24 05:00:00,1136.0,29827.0,575.0,773.0,561.0,15194.0
2023-05-24 06:00:00,2023-05-24 06:00:00,1173.0,31207.0,584.0,821.0,589.0,15898.0
2023-05-24 07:00:00,2023-05-24 07:00:00,1196.0,31980.0,588.0,865.0,608.0,16294.0
2023-05-24 08:00:00,2023-05-24 08:00:00,1206.0,32531.0,589.0,906.0,617.0,16574.0
2023-05-24 09:00:00,2023-05-24 09:00:00,1223.0,33146.0,589.0,926.0,634.0,16890.0
2023-05-24 10:00:00,2023-05-24 10:00:00,1242.0,33938.0,596.0,954.0,646.0,17292.0
2023-05-24 11:00:00,2023-05-24 11:00:00,1253.0,34678.0,603.0,965.0,650.0,17664.0
2023-05-24 12:00:00,2023-05-24 12:00:00,1264.0,35713.0,609.0,987.0,655.0,18184.0
2023-05-24 13:00:00,2023-05-24 13:00:00,1307.0,37371.0,622.0,1038.0,685.0,19028.0
2023-05-24 14:00:00,2023-05-24 14:00:00,1372.0,38951.0,659.0,1076.0,713.0,19832.0
2023-05-24 15:00:00,2023-05-24 15:00:00,1427.0,40013.0,704.0,1096.0,723.0,20368.0
2023-05-24 16:00:00,2023-05-24 16:00:00,1465.0,40817.0,730.0,1112.0,735.0,20776.0
2023-05-24 17:00:00,2023-05-24 17:00:00,1482.0,41476.0,746.0,1123.0,736.0,21106.0
2023-05-24 18:00:00,2023-05-24 18:00:00,1503.0,42149.0,764.0,1139.0,739.0,21444.0
2023-05-24 19:00:00,2023-05-24 19:00:00,1514.0,42647.0,773.0,1167.0,741.0,21694.0
2023-05-24 20:00:00,2023-05-24 20:00:00,1522.0,42944.0,774.0,1174.0,748.0,21846.0
2023-05-24 21:00:00,2023-05-24 21:00:00,1528.0,43068.0,780.0,1179.0,748.0,21908.0
2023-05-24 22:00:00,2023-05-24 22:00:00,1529.0,43068.0,781.0,1179.0,748.0,21908.0
2023-05-24 23:00:00,2023-05-24 23:00:00,1529.0,43068.0,781.0,1179.0,748.0,21908.0
