hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 08:00:00,2023-05-22 08:00:00,1.0,1203.0,,4.0,1.0,602.0
2023-05-22 09:00:00,2023-05-22 09:00:00,12.0,1788.0,,8.0,12.0,900.0
2023-05-22 10:00:00,2023-05-22 10:00:00,14.0,2402.0,,16.0,14.0,1208.0
2023-05-22 11:00:00,2023-05-22 11:00:00,16.0,3069.0,1.0,24.0,15.0,1542.0
2023-05-22 12:00:00,2023-05-22 12:00:00,43.0,4017.0,12.0,28.0,31.0,2024.0
2023-05-22 13:00:00,2023-05-22 13:00:00,71.0,5480.0,27.0,41.0,44.0,2762.0
2023-05-22 14:00:00,2023-05-22 14:00:00,142.0,7013.0,63.0,64.0,79.0,3546.0
2023-05-22 15:00:00,2023-05-22 15:00:00,180.0,8114.0,86.0,90.0,94.0,4104.0
2023-05-22 16:00:00,2023-05-22 16:00:00,212.0,9091.0,99.0,99.0,113.0,4602.0
2023-05-22 17:00:00,2023-05-22 17:00:00,222.0,9919.0,101.0,113.0,121.0,5020.0
2023-05-22 18:00:00,2023-05-22 18:00:00,247.0,10688.0,115.0,118.0,132.0,5410.0
2023-05-22 19:00:00,2023-05-22 19:00:00,264.0,11215.0,127.0,138.0,137.0,5676.0
2023-05-22 20:00:00,2023-05-22 20:00:00,289.0,11521.0,146.0,149.0,143.0,5832.0
2023-05-22 21:00:00,2023-05-22 21:00:00,294.0,11628.0,150.0,158.0,144.0,5886.0
2023-05-22 22:00:00,2023-05-22 22:00:00,295.0,11628.0,151.0,160.0,144.0,5886.0
2023-05-22 23:00:00,2023-05-22 23:00:00,295.0,11628.0,151.0,160.0,144.0,5886.0
2023-05-23 00:00:00,2023-05-23 00:00:00,295.0,11628.0,151.0,160.0,144.0,5886.0
2023-05-23 01:00:00,2023-05-23 01:00:00,295.0,11628.0,151.0,160.0,144.0,5886.0
2023-05-23 02:00:00,2023-05-23 02:00:00,295.0,11628.0,151.0,160.0,144.0,5886.0
2023-05-23 03:00:00,2023-05-23 03:00:00,295.0,11644.0,151.0,160.0,144.0,5894.0
2023-05-23 04:00:00,2023-05-23 04:00:00,305.0,11958.0,155.0,164.0,150.0,6054.0
2023-05-23 05:00:00,2023-05-23 05:00:00,352.0,13087.0,171.0,238.0,181.0,6634.0
2023-05-23 06:00:00,2023-05-23 06:00:00,432.0,14394.0,190.0,343.0,242.0,7318.0
2023-05-23 07:00:00,2023-05-23 07:00:00,469.0,15054.0,207.0,399.0,262.0,7658.0
2023-05-23 08:00:00,2023-05-23 08:00:00,487.0,15598.0,209.0,433.0,278.0,7938.0
2023-05-23 09:00:00,2023-05-23 09:00:00,501.0,16281.0,210.0,465.0,291.0,8286.0
2023-05-23 10:00:00,2023-05-23 10:00:00,518.0,16951.0,217.0,494.0,301.0,8626.0
2023-05-23 11:00:00,2023-05-23 11:00:00,534.0,17824.0,222.0,522.0,312.0,9068.0
2023-05-23 12:00:00,2023-05-23 12:00:00,555.0,18971.0,222.0,561.0,333.0,9652.0
2023-05-23 13:00:00,2023-05-23 13:00:00,598.0,20742.0,232.0,598.0,366.0,10554.0
2023-05-23 14:00:00,2023-05-23 14:00:00,657.0,22435.0,256.0,637.0,401.0,11418.0
2023-05-23 15:00:00,2023-05-23 15:00:00,691.0,23604.0,283.0,656.0,408.0,12006.0
2023-05-23 16:00:00,2023-05-23 16:00:00,727.0,24715.0,294.0,671.0,433.0,12574.0
2023-05-23 17:00:00,2023-05-23 17:00:00,746.0,25691.0,297.0,678.0,449.0,13070.0
2023-05-23 18:00:00,2023-05-23 18:00:00,776.0,26662.0,314.0,699.0,462.0,13562.0
2023-05-23 19:00:00,2023-05-23 19:00:00,792.0,27355.0,319.0,712.0,473.0,13914.0
2023-05-23 20:00:00,2023-05-23 20:00:00,813.0,27817.0,334.0,717.0,479.0,14148.0
2023-05-23 21:00:00,2023-05-23 21:00:00,824.0,27995.0,343.0,723.0,481.0,14238.0
2023-05-23 22:00:00,2023-05-23 22:00:00,825.0,28003.0,344.0,726.0,481.0,14242.0
2023-05-23 23:00:00,2023-05-23 23:00:00,825.0,28003.0,344.0,726.0,481.0,14242.0
2023-05-24 00:00:00,2023-05-24 00:00:00,825.0,28003.0,344.0,726.0,481.0,14242.0
2023-05-24 01:00:00,2023-05-24 01:00:00,825.0,28003.0,344.0,727.0,481.0,14242.0
2023-05-24 02:00:00,2023-05-24 02:00:00,825.0,28003.0,344.0,727.0,481.0,14242.0
2023-05-24 03:00:00,2023-05-24 03:00:00,825.0,28035.0,344.0,727.0,481.0,14258.0
2023-05-24 04:00:00,2023-05-24 04:00:00,834.0,28320.0,346.0,730.0,488.0,14404.0
2023-05-24 05:00:00,2023-05-24 05:00:00,869.0,29399.0,348.0,742.0,521.0,14960.0
2023-05-24 06:00:00,2023-05-24 06:00:00,913.0,30796.0,353.0,769.0,560.0,15678.0
2023-05-24 07:00:00,2023-05-24 07:00:00,961.0,31526.0,359.0,781.0,602.0,16064.0
2023-05-24 08:00:00,2023-05-24 08:00:00,976.0,32175.0,359.0,796.0,617.0,16396.0
2023-05-24 09:00:00,2023-05-24 09:00:00,991.0,32790.0,361.0,814.0,630.0,16710.0
2023-05-24 10:00:00,2023-05-24 10:00:00,1002.0,33508.0,362.0,822.0,640.0,17074.0
2023-05-24 11:00:00,2023-05-24 11:00:00,1019.0,34308.0,363.0,837.0,656.0,17482.0
2023-05-24 12:00:00,2023-05-24 12:00:00,1035.0,35374.0,369.0,853.0,666.0,18020.0
2023-05-24 13:00:00,2023-05-24 13:00:00,1050.0,36912.0,378.0,874.0,672.0,18792.0
2023-05-24 14:00:00,2023-05-24 14:00:00,1093.0,38372.0,405.0,907.0,688.0,19530.0
2023-05-24 15:00:00,2023-05-24 15:00:00,1107.0,39394.0,409.0,923.0,698.0,20046.0
2023-05-24 16:00:00,2023-05-24 16:00:00,1143.0,40157.0,440.0,934.0,703.0,20430.0
2023-05-24 17:00:00,2023-05-24 17:00:00,1163.0,40824.0,455.0,942.0,708.0,20766.0
2023-05-24 18:00:00,2023-05-24 18:00:00,1184.0,41486.0,470.0,954.0,714.0,21100.0
2023-05-24 19:00:00,2023-05-24 19:00:00,1194.0,41894.0,476.0,962.0,718.0,21306.0
2023-05-24 20:00:00,2023-05-24 20:00:00,1199.0,42215.0,478.0,967.0,721.0,21468.0
2023-05-24 21:00:00,2023-05-24 21:00:00,1206.0,42358.0,484.0,974.0,722.0,21540.0
2023-05-24 22:00:00,2023-05-24 22:00:00,1207.0,42358.0,485.0,976.0,722.0,21540.0
2023-05-24 23:00:00,2023-05-24 23:00:00,1207.0,42358.0,485.0,976.0,722.0,21540.0
2023-05-25 00:00:00,2023-05-25 00:00:00,1207.0,42358.0,485.0,977.0,722.0,21540.0
2023-05-25 01:00:00,2023-05-25 01:00:00,1207.0,42358.0,485.0,977.0,722.0,21540.0
2023-05-25 02:00:00,2023-05-25 02:00:00,1207.0,42358.0,485.0,977.0,722.0,21540.0
2023-05-25 03:00:00,2023-05-25 03:00:00,1207.0,42358.0,485.0,977.0,722.0,21540.0
2023-05-25 04:00:00,2023-05-25 04:00:00,1211.0,42559.0,486.0,980.0,725.0,21642.0
2023-05-25 05:00:00,2023-05-25 05:00:00,1225.0,43197.0,490.0,997.0,735.0,21966.0
2023-05-25 06:00:00,2023-05-25 06:00:00,1279.0,44250.0,529.0,1037.0,750.0,22500.0
2023-05-25 07:00:00,2023-05-25 07:00:00,1287.0,44796.0,531.0,1079.0,756.0,22776.0
2023-05-25 08:00:00,2023-05-25 08:00:00,1293.0,45207.0,532.0,1091.0,761.0,22984.0
2023-05-25 09:00:00,2023-05-25 09:00:00,1300.0,45711.0,535.0,1100.0,765.0,23238.0
2023-05-25 10:00:00,2023-05-25 10:00:00,1307.0,46255.0,538.0,1112.0,769.0,23512.0
2023-05-25 11:00:00,2023-05-25 11:00:00,1315.0,46854.0,541.0,1124.0,774.0,23814.0
2023-05-25 12:00:00,2023-05-25 12:00:00,1328.0,47728.0,548.0,1143.0,780.0,24254.0
2023-05-25 13:00:00,2023-05-25 13:00:00,1354.0,49069.0,555.0,1157.0,799.0,24934.0
2023-05-25 14:00:00,2023-05-25 14:00:00,1376.0,50207.0,567.0,1179.0,809.0,25508.0
2023-05-25 15:00:00,2023-05-25 15:00:00,1405.0,51229.0,582.0,1200.0,823.0,26026.0
2023-05-25 16:00:00,2023-05-25 16:00:00,1429.0,52134.0,587.0,1217.0,842.0,26488.0
2023-05-25 17:00:00,2023-05-25 17:00:00,1450.0,52816.0,594.0,1230.0,856.0,26836.0
2023-05-25 18:00:00,2023-05-25 18:00:00,1462.0,53421.0,603.0,1236.0,859.0,27140.0
2023-05-25 19:00:00,2023-05-25 19:00:00,1478.0,53763.0,613.0,1247.0,865.0,27314.0
