hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 08:00:00,2023-05-22 08:00:00,1.0,1235.0,,5.0,1.0,618.0
2023-05-22 09:00:00,2023-05-22 09:00:00,6.0,1769.0,3.0,10.0,3.0,886.0
2023-05-22 10:00:00,2023-05-22 10:00:00,16.0,2325.0,5.0,15.0,11.0,1168.0
2023-05-22 11:00:00,2023-05-22 11:00:00,22.0,3025.0,7.0,18.0,15.0,1520.0
2023-05-22 12:00:00,2023-05-22 12:00:00,60.0,4070.0,14.0,26.0,46.0,2058.0
2023-05-22 13:00:00,2023-05-22 13:00:00,99.0,5527.0,30.0,42.0,69.0,2798.0
2023-05-22 14:00:00,2023-05-22 14:00:00,167.0,6791.0,50.0,76.0,117.0,3454.0
2023-05-22 15:00:00,2023-05-22 15:00:00,223.0,7978.0,85.0,89.0,138.0,4058.0
2023-05-22 16:00:00,2023-05-22 16:00:00,282.0,8897.0,131.0,107.0,151.0,4524.0
2023-05-22 17:00:00,2023-05-22 17:00:00,307.0,9655.0,150.0,114.0,157.0,4906.0
2023-05-22 18:00:00,2023-05-22 18:00:00,343.0,10427.0,162.0,123.0,181.0,5304.0
2023-05-22 19:00:00,2023-05-22 19:00:00,357.0,10846.0,171.0,134.0,186.0,5516.0
2023-05-22 20:00:00,2023-05-22 20:00:00,366.0,11150.0,180.0,138.0,186.0,5668.0
2023-05-22 21:00:00,2023-05-22 21:00:00,378.0,11275.0,189.0,144.0,189.0,5732.0
2023-05-22 22:00:00,2023-05-22 22:00:00,378.0,11275.0,189.0,146.0,189.0,5732.0
2023-05-22 23:00:00,2023-05-22 23:00:00,378.0,11275.0,189.0,146.0,189.0,5732.0
2023-05-23 00:00:00,2023-05-23 00:00:00,378.0,11275.0,189.0,146.0,189.0,5732.0
2023-05-23 01:00:00,2023-05-23 01:00:00,378.0,11275.0,189.0,146.0,189.0,5732.0
2023-05-23 02:00:00,2023-05-23 02:00:00,378.0,11275.0,189.0,146.0,189.0,5732.0
2023-05-23 03:00:00,2023-05-23 03:00:00,378.0,11291.0,189.0,146.0,189.0,5740.0
2023-05-23 04:00:00,2023-05-23 04:00:00,382.0,11615.0,189.0,149.0,193.0,5904.0
2023-05-23 05:00:00,2023-05-23 05:00:00,455.0,12731.0,190.0,185.0,265.0,6498.0
2023-05-23 06:00:00,2023-05-23 06:00:00,538.0,13858.0,196.0,203.0,342.0,7100.0
2023-05-23 07:00:00,2023-05-23 07:00:00,562.0,14448.0,202.0,232.0,360.0,7404.0
2023-05-23 08:00:00,2023-05-23 08:00:00,579.0,14968.0,203.0,243.0,376.0,7672.0
2023-05-23 09:00:00,2023-05-23 09:00:00,594.0,15642.0,208.0,255.0,386.0,8014.0
