hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,1129,8931,92.0,81.0,1037,4984
2023-05-22 08:00:00,2023-05-22 08:00:00,3339,22557,636.0,444.0,2703,12630
2023-05-22 09:00:00,2023-05-22 09:00:00,5661,33202,2039.0,910.0,3622,18412
2023-05-22 10:00:00,2023-05-22 10:00:00,7357,40161,3250.0,1290.0,4107,22134
2023-05-22 11:00:00,2023-05-22 11:00:00,8376,46878,3858.0,1544.0,4518,25698
2023-05-22 12:00:00,2023-05-22 12:00:00,9229,55255,4268.0,1749.0,4961,30108
2023-05-22 13:00:00,2023-05-22 13:00:00,9914,63671,4597.0,1934.0,5317,34494
2023-05-22 14:00:00,2023-05-22 14:00:00,10576,72457,4893.0,2082.0,5683,39070
2023-05-22 15:00:00,2023-05-22 15:00:00,11066,81742,5060.0,2187.0,6006,43874
2023-05-22 16:00:00,2023-05-22 16:00:00,11756,93589,5261.0,2267.0,6495,50042
2023-05-22 17:00:00,2023-05-22 17:00:00,12975,113597,5456.0,2345.0,7519,60558
2023-05-22 18:00:00,2023-05-22 18:00:00,14382,134782,5788.0,2549.0,8594,71688
2023-05-22 19:00:00,2023-05-22 19:00:00,15420,150778,6130.0,2740.0,9290,80034
2023-05-22 20:00:00,2023-05-22 20:00:00,16234,162787,6461.0,2894.0,9773,86280
2023-05-22 21:00:00,2023-05-22 21:00:00,16728,170411,6747.0,2991.0,9981,90196
2023-05-22 22:00:00,2023-05-22 22:00:00,17096,175937,6921.0,3086.0,10175,93056
2023-05-22 23:00:00,2023-05-22 23:00:00,17300,178947,7051.0,3166.0,10249,94598
2023-05-23 00:00:00,2023-05-23 00:00:00,17445,180502,7143.0,3203.0,10302,95402
2023-05-23 01:00:00,2023-05-23 01:00:00,17532,181317,7201.0,3214.0,10331,95824
2023-05-23 02:00:00,2023-05-23 02:00:00,17570,181789,7227.0,3228.0,10343,96066
2023-05-23 03:00:00,2023-05-23 03:00:00,17598,181991,7241.0,3234.0,10357,96174
2023-05-23 04:00:00,2023-05-23 04:00:00,17623,182314,7257.0,3235.0,10366,96340
2023-05-23 05:00:00,2023-05-23 05:00:00,17719,183962,7297.0,3241.0,10422,97192
2023-05-23 06:00:00,2023-05-23 06:00:00,18021,189879,7336.0,3267.0,10685,100282
2023-05-23 07:00:00,2023-05-23 07:00:00,18563,200297,7436.0,3353.0,11127,105712
2023-05-23 08:00:00,2023-05-23 08:00:00,19882,216337,7755.0,3556.0,12127,114232
2023-05-23 09:00:00,2023-05-23 09:00:00,21157,228242,8223.0,3824.0,12934,120588
2023-05-23 10:00:00,2023-05-23 10:00:00,21919,235768,8595.0,4056.0,13324,124546
2023-05-23 11:00:00,2023-05-23 11:00:00,22468,243128,8832.0,4219.0,13636,128382
2023-05-23 12:00:00,2023-05-23 12:00:00,22889,251965,8974.0,4338.0,13915,132940
2023-05-23 13:00:00,2023-05-23 13:00:00,23314,260838,9104.0,4438.0,14210,137524
2023-05-23 14:00:00,2023-05-23 14:00:00,23704,269693,9209.0,4541.0,14495,142094
2023-05-23 15:00:00,2023-05-23 15:00:00,24028,279051,9279.0,4647.0,14749,146900
2023-05-23 16:00:00,2023-05-23 16:00:00,24550,291747,9357.0,4716.0,15193,153470
2023-05-23 17:00:00,2023-05-23 17:00:00,25918,311932,9522.0,4833.0,16396,164164
2023-05-23 18:00:00,2023-05-23 18:00:00,27552,334527,9747.0,4980.0,17805,176166
2023-05-23 19:00:00,2023-05-23 19:00:00,28538,351914,10016.0,5150.0,18522,185218
2023-05-23 20:00:00,2023-05-23 20:00:00,29264,364441,10301.0,5255.0,18963,191702
2023-05-23 21:00:00,2023-05-23 21:00:00,29822,373076,10570.0,5336.0,19252,196164
2023-05-23 22:00:00,2023-05-23 22:00:00,30214,379355,10801.0,5437.0,19413,199384
2023-05-23 23:00:00,2023-05-23 23:00:00,30483,383075,10970.0,5496.0,19513,201294
2023-05-24 00:00:00,2023-05-24 00:00:00,30658,385124,11102.0,5547.0,19556,202340
2023-05-24 01:00:00,2023-05-24 01:00:00,30722,386260,11146.0,5565.0,19576,202918
2023-05-24 02:00:00,2023-05-24 02:00:00,30773,386809,11178.0,5572.0,19595,203202
2023-05-24 03:00:00,2023-05-24 03:00:00,30791,387103,11186.0,5579.0,19605,203354
2023-05-24 04:00:00,2023-05-24 04:00:00,30817,387499,11192.0,5585.0,19625,203562
2023-05-24 05:00:00,2023-05-24 05:00:00,30917,389029,11222.0,5594.0,19695,204362
2023-05-24 06:00:00,2023-05-24 06:00:00,31202,393981,11275.0,5611.0,19927,206954
2023-05-24 07:00:00,2023-05-24 07:00:00,31781,403224,11393.0,5658.0,20388,211806
2023-05-24 08:00:00,2023-05-24 08:00:00,32978,419123,11585.0,5826.0,21393,220258
2023-05-24 09:00:00,2023-05-24 09:00:00,34026,430598,11944.0,6059.0,22082,226340
2023-05-24 10:00:00,2023-05-24 10:00:00,34648,438312,12212.0,6259.0,22436,230374
2023-05-24 11:00:00,2023-05-24 11:00:00,35032,445751,12339.0,6353.0,22693,234222
2023-05-24 12:00:00,2023-05-24 12:00:00,35470,454157,12439.0,6428.0,23031,238594
2023-05-24 13:00:00,2023-05-24 13:00:00,35919,462453,12600.0,6514.0,23319,242886
2023-05-24 14:00:00,2023-05-24 14:00:00,36280,470903,12683.0,6582.0,23597,247250
2023-05-24 15:00:00,2023-05-24 15:00:00,36614,479543,12749.0,6652.0,23865,251704
2023-05-24 16:00:00,2023-05-24 16:00:00,36933,489391,12804.0,6710.0,24129,256760
2023-05-24 17:00:00,2023-05-24 17:00:00,37519,503879,12906.0,6776.0,24613,264246
2023-05-24 18:00:00,2023-05-24 18:00:00,38385,522372,13053.0,6854.0,25332,273852
2023-05-24 19:00:00,2023-05-24 19:00:00,39201,538911,13280.0,6980.0,25921,282416
2023-05-24 20:00:00,2023-05-24 20:00:00,39865,550841,13562.0,7133.0,26303,288572
2023-05-24 21:00:00,2023-05-24 21:00:00,40414,559236,13838.0,7257.0,26576,292906
2023-05-24 22:00:00,2023-05-24 22:00:00,40817,565202,14047.0,7361.0,26770,295986
2023-05-24 23:00:00,2023-05-24 23:00:00,41082,569275,14201.0,7431.0,26881,298078
2023-05-25 00:00:00,2023-05-25 00:00:00,41240,571258,14314.0,7477.0,26926,299092
2023-05-25 01:00:00,2023-05-25 01:00:00,41299,572132,14351.0,7500.0,26948,299540
2023-05-25 02:00:00,2023-05-25 02:00:00,41344,572688,14376.0,7515.0,26968,299828
2023-05-25 03:00:00,2023-05-25 03:00:00,41362,573021,14391.0,7523.0,26971,299996
2023-05-25 04:00:00,2023-05-25 04:00:00,41382,573432,14398.0,7527.0,26984,300208
2023-05-25 05:00:00,2023-05-25 05:00:00,41466,574881,14415.0,7536.0,27051,300966
