hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,1076,8586,94.0,66.0,982,4784
2023-05-22 08:00:00,2023-05-22 08:00:00,3592,22613,777.0,386.0,2815,12714
2023-05-22 09:00:00,2023-05-22 09:00:00,5906,33250,2184.0,882.0,3722,18486
2023-05-22 10:00:00,2023-05-22 10:00:00,7619,39920,3447.0,1288.0,4172,22046
2023-05-22 11:00:00,2023-05-22 11:00:00,8746,46640,4230.0,1527.0,4516,25578
2023-05-22 12:00:00,2023-05-22 12:00:00,9793,54872,4781.0,1747.0,5012,29942
2023-05-22 13:00:00,2023-05-22 13:00:00,10510,63174,5148.0,1897.0,5362,34268
2023-05-22 14:00:00,2023-05-22 14:00:00,11138,71783,5449.0,2031.0,5689,38736
2023-05-22 15:00:00,2023-05-22 15:00:00,11617,81063,5664.0,2145.0,5953,43508
2023-05-22 16:00:00,2023-05-22 16:00:00,12392,93018,5914.0,2225.0,6478,49748
2023-05-22 17:00:00,2023-05-22 17:00:00,13639,112410,6177.0,2311.0,7462,59936
2023-05-22 18:00:00,2023-05-22 18:00:00,14921,133117,6418.0,2468.0,8503,70810
2023-05-22 19:00:00,2023-05-22 19:00:00,15712,148908,6704.0,2614.0,9008,78958
2023-05-22 20:00:00,2023-05-22 20:00:00,16364,161226,6958.0,2740.0,9406,85316
2023-05-22 21:00:00,2023-05-22 21:00:00,16941,169186,7239.0,2877.0,9702,89444
2023-05-22 22:00:00,2023-05-22 22:00:00,17379,174554,7501.0,2960.0,9878,92216
2023-05-22 23:00:00,2023-05-22 23:00:00,17650,177657,7695.0,3017.0,9955,93806
2023-05-23 00:00:00,2023-05-23 00:00:00,17780,179297,7777.0,3056.0,10003,94650
2023-05-23 01:00:00,2023-05-23 01:00:00,17847,179982,7821.0,3092.0,10026,95004
2023-05-23 02:00:00,2023-05-23 02:00:00,17879,180481,7840.0,3102.0,10039,95260
2023-05-23 03:00:00,2023-05-23 03:00:00,17902,180787,7853.0,3109.0,10049,95418
2023-05-23 04:00:00,2023-05-23 04:00:00,17923,181194,7861.0,3109.0,10062,95628
2023-05-23 05:00:00,2023-05-23 05:00:00,18013,182761,7894.0,3119.0,10119,96440
