hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,1184,8982,110.0,105.0,1074,5028
2023-05-22 08:00:00,2023-05-22 08:00:00,3524,22674,846.0,448.0,2678,12676
2023-05-22 09:00:00,2023-05-22 09:00:00,5996,33115,2567.0,1041.0,3429,18272
2023-05-22 10:00:00,2023-05-22 10:00:00,7814,39733,3963.0,1399.0,3851,21792
2023-05-22 11:00:00,2023-05-22 11:00:00,8949,46613,4706.0,1646.0,4243,25428
2023-05-22 12:00:00,2023-05-22 12:00:00,9815,54447,5206.0,1861.0,4609,29528
2023-05-22 13:00:00,2023-05-22 13:00:00,10545,62961,5578.0,2053.0,4967,33964
2023-05-22 14:00:00,2023-05-22 14:00:00,11190,71707,5865.0,2184.0,5325,38516
2023-05-22 15:00:00,2023-05-22 15:00:00,11733,81207,6044.0,2295.0,5689,43448
2023-05-22 16:00:00,2023-05-22 16:00:00,12376,93203,6243.0,2394.0,6133,49668
2023-05-22 17:00:00,2023-05-22 17:00:00,13515,112194,6481.0,2496.0,7034,59614
2023-05-22 18:00:00,2023-05-22 18:00:00,14958,133058,6776.0,2634.0,8182,70620
2023-05-22 19:00:00,2023-05-22 19:00:00,15859,149031,7130.0,2794.0,8729,78880
2023-05-22 20:00:00,2023-05-22 20:00:00,16733,161060,7501.0,2935.0,9232,85146
2023-05-22 21:00:00,2023-05-22 21:00:00,17220,168884,7796.0,3016.0,9424,89154
2023-05-22 22:00:00,2023-05-22 22:00:00,17645,174144,8041.0,3117.0,9604,91874
2023-05-22 23:00:00,2023-05-22 23:00:00,17901,177129,8198.0,3181.0,9703,93416
2023-05-23 00:00:00,2023-05-23 00:00:00,18043,178721,8296.0,3214.0,9747,94234
2023-05-23 01:00:00,2023-05-23 01:00:00,18124,179584,8344.0,3232.0,9780,94682
2023-05-23 02:00:00,2023-05-23 02:00:00,18148,180053,8361.0,3241.0,9787,94920
2023-05-23 03:00:00,2023-05-23 03:00:00,18171,180300,8375.0,3245.0,9796,95048
2023-05-23 04:00:00,2023-05-23 04:00:00,18194,180732,8382.0,3246.0,9812,95272
2023-05-23 05:00:00,2023-05-23 05:00:00,18308,182295,8423.0,3251.0,9885,96090
2023-05-23 06:00:00,2023-05-23 06:00:00,18636,187737,8477.0,3285.0,10159,98948
2023-05-23 07:00:00,2023-05-23 07:00:00,19184,198333,8557.0,3359.0,10627,104480
2023-05-23 08:00:00,2023-05-23 08:00:00,20396,214773,8745.0,3536.0,11651,113212
2023-05-23 09:00:00,2023-05-23 09:00:00,21637,226547,9224.0,3843.0,12413,119480
2023-05-23 10:00:00,2023-05-23 10:00:00,22401,234031,9592.0,4059.0,12809,123420
2023-05-23 11:00:00,2023-05-23 11:00:00,22926,241518,9784.0,4168.0,13142,127330
2023-05-23 12:00:00,2023-05-23 12:00:00,23449,250097,9914.0,4269.0,13535,131816
2023-05-23 13:00:00,2023-05-23 13:00:00,23836,259214,10050.0,4370.0,13786,136500
2023-05-23 14:00:00,2023-05-23 14:00:00,24189,268172,10145.0,4416.0,14044,141108
2023-05-23 15:00:00,2023-05-23 15:00:00,24512,277340,10200.0,4449.0,14312,145826
2023-05-23 16:00:00,2023-05-23 16:00:00,25006,289972,10294.0,4492.0,14712,152342
2023-05-23 17:00:00,2023-05-23 17:00:00,26292,310611,10459.0,4601.0,15833,163222
2023-05-23 18:00:00,2023-05-23 18:00:00,27815,333021,10788.0,4787.0,17027,175024
2023-05-23 19:00:00,2023-05-23 19:00:00,28763,350733,11036.0,4950.0,17727,184230
2023-05-23 20:00:00,2023-05-23 20:00:00,29525,363887,11356.0,5058.0,18169,191028
2023-05-23 21:00:00,2023-05-23 21:00:00,30163,372562,11721.0,5171.0,18442,195502
2023-05-23 22:00:00,2023-05-23 22:00:00,30644,378846,11962.0,5246.0,18682,198764
2023-05-23 23:00:00,2023-05-23 23:00:00,30934,382497,12131.0,5326.0,18803,200650
2023-05-24 00:00:00,2023-05-24 00:00:00,31111,384490,12253.0,5372.0,18858,201674
2023-05-24 01:00:00,2023-05-24 01:00:00,31229,385425,12326.0,5393.0,18903,202164
2023-05-24 02:00:00,2023-05-24 02:00:00,31281,385883,12364.0,5402.0,18917,202400
2023-05-24 03:00:00,2023-05-24 03:00:00,31306,386173,12383.0,5408.0,18923,202548
2023-05-24 04:00:00,2023-05-24 04:00:00,31339,386563,12402.0,5409.0,18937,202750
2023-05-24 05:00:00,2023-05-24 05:00:00,31437,388115,12428.0,5419.0,19009,203562
2023-05-24 06:00:00,2023-05-24 06:00:00,31727,393092,12459.0,5448.0,19268,206180
2023-05-24 07:00:00,2023-05-24 07:00:00,32246,402677,12523.0,5487.0,19723,211200
2023-05-24 08:00:00,2023-05-24 08:00:00,33229,418217,12654.0,5571.0,20575,219396
2023-05-24 09:00:00,2023-05-24 09:00:00,34297,430047,13036.0,5823.0,21261,225654
2023-05-24 10:00:00,2023-05-24 10:00:00,34847,437418,13309.0,5952.0,21538,229478
2023-05-24 11:00:00,2023-05-24 11:00:00,35260,445389,13477.0,6062.0,21783,233586
2023-05-24 12:00:00,2023-05-24 12:00:00,35591,453647,13586.0,6119.0,22005,237826
2023-05-24 13:00:00,2023-05-24 13:00:00,35869,462068,13673.0,6165.0,22196,242132
