hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,1231,8933,108.0,118.0,1123,5028
2023-05-22 08:00:00,2023-05-22 08:00:00,3483,22620,751.0,500.0,2732,12676
2023-05-22 09:00:00,2023-05-22 09:00:00,5885,33051,2392.0,1204.0,3493,18272
2023-05-22 10:00:00,2023-05-22 10:00:00,7599,39692,3707.0,1535.0,3892,21792
2023-05-22 11:00:00,2023-05-22 11:00:00,8748,46550,4442.0,1826.0,4306,25428
2023-05-22 12:00:00,2023-05-22 12:00:00,9534,54364,4842.0,2067.0,4692,29528
2023-05-22 13:00:00,2023-05-22 13:00:00,10139,62887,5098.0,2238.0,5041,33964
2023-05-22 14:00:00,2023-05-22 14:00:00,10745,71628,5341.0,2376.0,5404,38516
2023-05-22 15:00:00,2023-05-22 15:00:00,11304,81144,5552.0,2472.0,5752,43448
2023-05-22 16:00:00,2023-05-22 16:00:00,12003,93148,5815.0,2552.0,6188,49668
2023-05-22 17:00:00,2023-05-22 17:00:00,13198,112153,6123.0,2681.0,7075,59614
2023-05-22 18:00:00,2023-05-22 18:00:00,14601,133030,6391.0,2806.0,8210,70620
2023-05-22 19:00:00,2023-05-22 19:00:00,15420,149024,6684.0,2946.0,8736,78880
2023-05-22 20:00:00,2023-05-22 20:00:00,16229,161060,6997.0,3086.0,9232,85146
2023-05-22 21:00:00,2023-05-22 21:00:00,16713,168861,7266.0,3174.0,9447,89154
2023-05-22 22:00:00,2023-05-22 22:00:00,17111,174139,7502.0,3279.0,9609,91874
2023-05-22 23:00:00,2023-05-22 23:00:00,17339,177138,7645.0,3359.0,9694,93416
2023-05-23 00:00:00,2023-05-23 00:00:00,17467,178726,7725.0,3387.0,9742,94234
2023-05-23 01:00:00,2023-05-23 01:00:00,17542,179590,7768.0,3409.0,9774,94682
2023-05-23 02:00:00,2023-05-23 02:00:00,17572,180055,7787.0,3416.0,9785,94920
2023-05-23 03:00:00,2023-05-23 03:00:00,17598,180302,7804.0,3418.0,9794,95048
2023-05-23 04:00:00,2023-05-23 04:00:00,17620,180735,7811.0,3419.0,9809,95272
2023-05-23 05:00:00,2023-05-23 05:00:00,17729,182296,7845.0,3426.0,9884,96090
2023-05-23 06:00:00,2023-05-23 06:00:00,18060,187740,7904.0,3445.0,10156,98948
2023-05-23 07:00:00,2023-05-23 07:00:00,18600,198337,7977.0,3507.0,10623,104480
2023-05-23 08:00:00,2023-05-23 08:00:00,19846,214717,8139.0,3701.0,11707,113212
2023-05-23 09:00:00,2023-05-23 09:00:00,21131,226447,8618.0,4007.0,12513,119480
2023-05-23 10:00:00,2023-05-23 10:00:00,21895,233905,8960.0,4198.0,12935,123420
2023-05-23 11:00:00,2023-05-23 11:00:00,22451,241386,9177.0,4335.0,13274,127330
2023-05-23 12:00:00,2023-05-23 12:00:00,22941,249996,9305.0,4438.0,13636,131816
2023-05-23 13:00:00,2023-05-23 13:00:00,23317,259113,9430.0,4527.0,13887,136500
2023-05-23 14:00:00,2023-05-23 14:00:00,23680,268085,9549.0,4579.0,14131,141108
2023-05-23 15:00:00,2023-05-23 15:00:00,24042,277243,9633.0,4621.0,14409,145826
2023-05-23 16:00:00,2023-05-23 16:00:00,24534,289897,9747.0,4664.0,14787,152342
2023-05-23 17:00:00,2023-05-23 17:00:00,25885,310548,9989.0,4761.0,15896,163222
2023-05-23 18:00:00,2023-05-23 18:00:00,27455,332889,10296.0,4925.0,17159,175024
2023-05-23 19:00:00,2023-05-23 19:00:00,28575,350525,10640.0,5042.0,17935,184230
2023-05-23 20:00:00,2023-05-23 20:00:00,29330,363674,10948.0,5165.0,18382,191028
2023-05-23 21:00:00,2023-05-23 21:00:00,29930,372356,11282.0,5283.0,18648,195502
2023-05-23 22:00:00,2023-05-23 22:00:00,30385,378633,11490.0,5361.0,18895,198764
2023-05-23 23:00:00,2023-05-23 23:00:00,30661,382297,11658.0,5431.0,19003,200650
2023-05-24 00:00:00,2023-05-24 00:00:00,30831,384293,11776.0,5469.0,19055,201674
2023-05-24 01:00:00,2023-05-24 01:00:00,30960,385224,11856.0,5488.0,19104,202164
2023-05-24 02:00:00,2023-05-24 02:00:00,31001,385690,11891.0,5497.0,19110,202400
2023-05-24 03:00:00,2023-05-24 03:00:00,31027,385980,11911.0,5506.0,19116,202548
2023-05-24 04:00:00,2023-05-24 04:00:00,31059,386373,11932.0,5512.0,19127,202750
2023-05-24 05:00:00,2023-05-24 05:00:00,31167,387911,11954.0,5521.0,19213,203562
2023-05-24 06:00:00,2023-05-24 06:00:00,31495,392865,12000.0,5551.0,19495,206180
2023-05-24 07:00:00,2023-05-24 07:00:00,32036,402420,12056.0,5605.0,19980,211200
2023-05-24 08:00:00,2023-05-24 08:00:00,32993,417974,12175.0,5726.0,20818,219396
2023-05-24 09:00:00,2023-05-24 09:00:00,34032,429819,12543.0,5959.0,21489,225654
2023-05-24 10:00:00,2023-05-24 10:00:00,34575,437177,12796.0,6083.0,21779,229478
2023-05-24 11:00:00,2023-05-24 11:00:00,34967,445159,12954.0,6154.0,22013,233586
2023-05-24 12:00:00,2023-05-24 12:00:00,35331,453404,13083.0,6209.0,22248,237826
2023-05-24 13:00:00,2023-05-24 13:00:00,35653,461792,13181.0,6258.0,22472,242132
2023-05-24 14:00:00,2023-05-24 14:00:00,35927,469836,13275.0,6301.0,22652,246244
2023-05-24 15:00:00,2023-05-24 15:00:00,36163,478783,13338.0,6344.0,22825,250804
2023-05-24 16:00:00,2023-05-24 16:00:00,36501,488785,13454.0,6366.0,23047,255916
2023-05-24 17:00:00,2023-05-24 17:00:00,37024,503266,13578.0,6418.0,23446,263356
2023-05-24 18:00:00,2023-05-24 18:00:00,38034,522656,13738.0,6495.0,24296,273476
2023-05-24 19:00:00,2023-05-24 19:00:00,38846,539044,13882.0,6645.0,24964,282004
2023-05-24 20:00:00,2023-05-24 20:00:00,39531,550745,14108.0,6754.0,25423,288084
2023-05-24 21:00:00,2023-05-24 21:00:00,40061,559044,14341.0,6876.0,25720,292382
2023-05-24 22:00:00,2023-05-24 22:00:00,40505,565089,14586.0,6953.0,25919,295504
2023-05-24 23:00:00,2023-05-24 23:00:00,40779,569144,14755.0,7014.0,26024,297584
2023-05-25 00:00:00,2023-05-25 00:00:00,40951,571077,14872.0,7082.0,26079,298578
2023-05-25 01:00:00,2023-05-25 01:00:00,41010,572038,14916.0,7099.0,26094,299066
