hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 08:00:00,2023-05-22 08:00:00,1.0,1612.0,1.0,5.0,,806.0
2023-05-22 09:00:00,2023-05-22 09:00:00,23.0,2548.0,11.0,32.0,12.0,1280.0
2023-05-22 10:00:00,2023-05-22 10:00:00,67.0,3688.0,35.0,56.0,32.0,1860.0
2023-05-22 11:00:00,2023-05-22 11:00:00,105.0,4675.0,60.0,82.0,45.0,2360.0
2023-05-22 12:00:00,2023-05-22 12:00:00,154.0,5995.0,85.0,101.0,69.0,3032.0
2023-05-22 13:00:00,2023-05-22 13:00:00,219.0,7886.0,109.0,146.0,110.0,3998.0
2023-05-22 14:00:00,2023-05-22 14:00:00,355.0,10488.0,175.0,216.0,180.0,5334.0
2023-05-22 15:00:00,2023-05-22 15:00:00,503.0,13065.0,236.0,295.0,267.0,6666.0
2023-05-22 16:00:00,2023-05-22 16:00:00,626.0,15202.0,308.0,388.0,318.0,7760.0
2023-05-22 17:00:00,2023-05-22 17:00:00,746.0,17027.0,377.0,485.0,369.0,8698.0
2023-05-22 18:00:00,2023-05-22 18:00:00,833.0,18422.0,431.0,563.0,402.0,9412.0
2023-05-22 19:00:00,2023-05-22 19:00:00,962.0,19555.0,533.0,619.0,429.0,9992.0
2023-05-22 20:00:00,2023-05-22 20:00:00,1069.0,20595.0,600.0,665.0,469.0,10532.0
2023-05-22 21:00:00,2023-05-22 21:00:00,1143.0,21087.0,654.0,707.0,489.0,10788.0
2023-05-22 22:00:00,2023-05-22 22:00:00,1175.0,21291.0,678.0,721.0,497.0,10894.0
2023-05-22 23:00:00,2023-05-22 23:00:00,1177.0,21291.0,680.0,723.0,497.0,10894.0
2023-05-23 00:00:00,2023-05-23 00:00:00,1177.0,21291.0,680.0,723.0,497.0,10894.0
2023-05-23 01:00:00,2023-05-23 01:00:00,1177.0,21291.0,680.0,723.0,497.0,10894.0
