hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 09:00:00,2023-05-22 09:00:00,5.0,2567.0,,6.0,5.0,1286.0
2023-05-22 10:00:00,2023-05-22 10:00:00,9.0,3651.0,,10.0,9.0,1830.0
2023-05-22 11:00:00,2023-05-22 11:00:00,15.0,4677.0,4.0,21.0,11.0,2344.0
2023-05-22 12:00:00,2023-05-22 12:00:00,44.0,6043.0,11.0,44.0,33.0,3038.0
2023-05-22 13:00:00,2023-05-22 13:00:00,82.0,8043.0,25.0,95.0,57.0,4050.0
2023-05-22 14:00:00,2023-05-22 14:00:00,171.0,10673.0,60.0,156.0,111.0,5392.0
2023-05-22 15:00:00,2023-05-22 15:00:00,263.0,12990.0,93.0,231.0,170.0,6580.0
2023-05-22 16:00:00,2023-05-22 16:00:00,340.0,14899.0,139.0,296.0,201.0,7550.0
2023-05-22 17:00:00,2023-05-22 17:00:00,446.0,16585.0,191.0,368.0,255.0,8420.0
2023-05-22 18:00:00,2023-05-22 18:00:00,491.0,17804.0,219.0,424.0,272.0,9038.0
2023-05-22 19:00:00,2023-05-22 19:00:00,541.0,19104.0,245.0,483.0,296.0,9700.0
2023-05-22 20:00:00,2023-05-22 20:00:00,620.0,20079.0,275.0,527.0,345.0,10212.0
2023-05-22 21:00:00,2023-05-22 21:00:00,697.0,20572.0,325.0,555.0,372.0,10472.0
2023-05-22 22:00:00,2023-05-22 22:00:00,720.0,20800.0,340.0,566.0,380.0,10590.0
2023-05-22 23:00:00,2023-05-22 23:00:00,724.0,20800.0,344.0,566.0,380.0,10590.0
2023-05-23 00:00:00,2023-05-23 00:00:00,724.0,20800.0,344.0,566.0,380.0,10590.0
2023-05-23 01:00:00,2023-05-23 01:00:00,724.0,20800.0,344.0,566.0,380.0,10590.0
2023-05-23 02:00:00,2023-05-23 02:00:00,724.0,20800.0,344.0,566.0,380.0,10590.0
2023-05-23 03:00:00,2023-05-23 03:00:00,725.0,20920.0,345.0,569.0,380.0,10650.0
2023-05-23 04:00:00,2023-05-23 04:00:00,739.0,21338.0,353.0,585.0,386.0,10862.0
2023-05-23 05:00:00,2023-05-23 05:00:00,930.0,22639.0,473.0,690.0,457.0,11548.0
2023-05-23 06:00:00,2023-05-23 06:00:00,1426.0,24413.0,827.0,865.0,599.0,12506.0
2023-05-23 07:00:00,2023-05-23 07:00:00,1735.0,25084.0,1091.0,934.0,644.0,12864.0
2023-05-23 08:00:00,2023-05-23 08:00:00,1872.0,25741.0,1213.0,985.0,659.0,13200.0
2023-05-23 09:00:00,2023-05-23 09:00:00,1979.0,26377.0,1300.0,1020.0,679.0,13528.0
2023-05-23 10:00:00,2023-05-23 10:00:00,2083.0,27075.0,1374.0,1065.0,709.0,13892.0
2023-05-23 11:00:00,2023-05-23 11:00:00,2200.0,28044.0,1448.0,1136.0,752.0,14398.0
2023-05-23 12:00:00,2023-05-23 12:00:00,2310.0,29080.0,1514.0,1201.0,796.0,14938.0
2023-05-23 13:00:00,2023-05-23 13:00:00,2419.0,30185.0,1580.0,1295.0,839.0,15512.0
2023-05-23 14:00:00,2023-05-23 14:00:00,2531.0,31583.0,1638.0,1345.0,893.0,16238.0
2023-05-23 15:00:00,2023-05-23 15:00:00,2641.0,32997.0,1726.0,1424.0,915.0,16956.0
