hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,2.0,782.0,,,2.0,392.0
2023-05-22 08:00:00,2023-05-22 08:00:00,9.0,1488.0,1.0,,8.0,748.0
2023-05-22 09:00:00,2023-05-22 09:00:00,23.0,2376.0,7.0,10.0,16.0,1196.0
2023-05-22 10:00:00,2023-05-22 10:00:00,34.0,3465.0,7.0,30.0,27.0,1746.0
2023-05-22 11:00:00,2023-05-22 11:00:00,58.0,4562.0,16.0,53.0,42.0,2302.0
2023-05-22 12:00:00,2023-05-22 12:00:00,90.0,5841.0,31.0,71.0,59.0,2950.0
2023-05-22 13:00:00,2023-05-22 13:00:00,139.0,7676.0,47.0,100.0,92.0,3884.0
2023-05-22 14:00:00,2023-05-22 14:00:00,192.0,10313.0,65.0,147.0,127.0,5220.0
2023-05-22 15:00:00,2023-05-22 15:00:00,274.0,12677.0,95.0,209.0,179.0,6428.0
2023-05-22 16:00:00,2023-05-22 16:00:00,362.0,14697.0,147.0,284.0,215.0,7456.0
2023-05-22 17:00:00,2023-05-22 17:00:00,460.0,16472.0,204.0,345.0,256.0,8364.0
2023-05-22 18:00:00,2023-05-22 18:00:00,534.0,17891.0,257.0,401.0,277.0,9084.0
2023-05-22 19:00:00,2023-05-22 19:00:00,592.0,19132.0,296.0,458.0,296.0,9714.0
2023-05-22 20:00:00,2023-05-22 20:00:00,646.0,20124.0,334.0,502.0,312.0,10218.0
2023-05-22 21:00:00,2023-05-22 21:00:00,695.0,20646.0,357.0,535.0,338.0,10492.0
2023-05-22 22:00:00,2023-05-22 22:00:00,720.0,20904.0,372.0,552.0,348.0,10626.0
2023-05-22 23:00:00,2023-05-22 23:00:00,724.0,20904.0,376.0,557.0,348.0,10626.0
2023-05-23 00:00:00,2023-05-23 00:00:00,724.0,20904.0,376.0,557.0,348.0,10626.0
2023-05-23 01:00:00,2023-05-23 01:00:00,724.0,20904.0,376.0,557.0,348.0,10626.0
2023-05-23 02:00:00,2023-05-23 02:00:00,724.0,20904.0,376.0,557.0,348.0,10626.0
2023-05-23 03:00:00,2023-05-23 03:00:00,737.0,21028.0,381.0,566.0,356.0,10692.0
2023-05-23 04:00:00,2023-05-23 04:00:00,769.0,21529.0,394.0,594.0,375.0,10952.0
2023-05-23 05:00:00,2023-05-23 05:00:00,966.0,22910.0,524.0,669.0,442.0,11676.0
2023-05-23 06:00:00,2023-05-23 06:00:00,1360.0,24491.0,803.0,823.0,557.0,12524.0
2023-05-23 07:00:00,2023-05-23 07:00:00,1650.0,25267.0,1053.0,928.0,597.0,12932.0
2023-05-23 08:00:00,2023-05-23 08:00:00,1791.0,25841.0,1160.0,968.0,631.0,13236.0
2023-05-23 09:00:00,2023-05-23 09:00:00,1883.0,26508.0,1223.0,1005.0,660.0,13584.0
2023-05-23 10:00:00,2023-05-23 10:00:00,2013.0,27214.0,1323.0,1063.0,690.0,13952.0
2023-05-23 11:00:00,2023-05-23 11:00:00,2147.0,28189.0,1404.0,1112.0,743.0,14466.0
2023-05-23 12:00:00,2023-05-23 12:00:00,2253.0,29312.0,1461.0,1185.0,792.0,15052.0
2023-05-23 13:00:00,2023-05-23 13:00:00,2340.0,30512.0,1492.0,1230.0,848.0,15680.0
2023-05-23 14:00:00,2023-05-23 14:00:00,2443.0,32014.0,1533.0,1302.0,910.0,16462.0
2023-05-23 15:00:00,2023-05-23 15:00:00,2575.0,33415.0,1618.0,1369.0,957.0,17186.0
2023-05-23 16:00:00,2023-05-23 16:00:00,2681.0,34535.0,1692.0,1432.0,989.0,17762.0
2023-05-23 17:00:00,2023-05-23 17:00:00,2819.0,35489.0,1768.0,1486.0,1051.0,18270.0
2023-05-23 18:00:00,2023-05-23 18:00:00,2919.0,36417.0,1828.0,1528.0,1091.0,18754.0
2023-05-23 19:00:00,2023-05-23 19:00:00,2994.0,37229.0,1883.0,1560.0,1111.0,19170.0
2023-05-23 20:00:00,2023-05-23 20:00:00,3101.0,37906.0,1955.0,1603.0,1146.0,19526.0
2023-05-23 21:00:00,2023-05-23 21:00:00,3164.0,38368.0,2004.0,1642.0,1160.0,19764.0
2023-05-23 22:00:00,2023-05-23 22:00:00,3199.0,38597.0,2028.0,1665.0,1171.0,19884.0
2023-05-23 23:00:00,2023-05-23 23:00:00,3203.0,38597.0,2032.0,1670.0,1171.0,19884.0
2023-05-24 00:00:00,2023-05-24 00:00:00,3203.0,38597.0,2032.0,1670.0,1171.0,19884.0
2023-05-24 01:00:00,2023-05-24 01:00:00,3203.0,38597.0,2032.0,1670.0,1171.0,19884.0
2023-05-24 02:00:00,2023-05-24 02:00:00,3203.0,38597.0,2032.0,1670.0,1171.0,19884.0
2023-05-24 03:00:00,2023-05-24 03:00:00,3214.0,38663.0,2037.0,1672.0,1177.0,19920.0
2023-05-24 04:00:00,2023-05-24 04:00:00,3248.0,39127.0,2051.0,1712.0,1197.0,20162.0
2023-05-24 05:00:00,2023-05-24 05:00:00,3505.0,40251.0,2204.0,1784.0,1301.0,20776.0
2023-05-24 06:00:00,2023-05-24 06:00:00,4072.0,41944.0,2616.0,1950.0,1456.0,21700.0
2023-05-24 07:00:00,2023-05-24 07:00:00,4490.0,42817.0,2971.0,2058.0,1519.0,22168.0
2023-05-24 08:00:00,2023-05-24 08:00:00,4715.0,43530.0,3133.0,2111.0,1582.0,22556.0
2023-05-24 09:00:00,2023-05-24 09:00:00,4865.0,44358.0,3227.0,2177.0,1638.0,22998.0
2023-05-24 10:00:00,2023-05-24 10:00:00,4968.0,45180.0,3300.0,2246.0,1668.0,23424.0
2023-05-24 11:00:00,2023-05-24 11:00:00,5129.0,46200.0,3369.0,2300.0,1760.0,23980.0
2023-05-24 12:00:00,2023-05-24 12:00:00,5340.0,47466.0,3458.0,2372.0,1882.0,24674.0
2023-05-24 13:00:00,2023-05-24 13:00:00,5598.0,49364.0,3570.0,2480.0,2028.0,25696.0
2023-05-24 14:00:00,2023-05-24 14:00:00,5905.0,51649.0,3702.0,2635.0,2203.0,26926.0
2023-05-24 15:00:00,2023-05-24 15:00:00,6162.0,53958.0,3812.0,2755.0,2350.0,28154.0
2023-05-24 16:00:00,2023-05-24 16:00:00,6381.0,55860.0,3953.0,2872.0,2428.0,29144.0
2023-05-24 17:00:00,2023-05-24 17:00:00,6518.0,57326.0,4012.0,2948.0,2506.0,29916.0
2023-05-24 18:00:00,2023-05-24 18:00:00,6669.0,58679.0,4076.0,3026.0,2593.0,30636.0
2023-05-24 19:00:00,2023-05-24 19:00:00,6795.0,59830.0,4141.0,3092.0,2654.0,31242.0
2023-05-24 20:00:00,2023-05-24 20:00:00,6878.0,60743.0,4189.0,3137.0,2689.0,31716.0
2023-05-24 21:00:00,2023-05-24 21:00:00,6959.0,61444.0,4239.0,3174.0,2720.0,32082.0
2023-05-24 22:00:00,2023-05-24 22:00:00,6996.0,61728.0,4260.0,3198.0,2736.0,32232.0
2023-05-24 23:00:00,2023-05-24 23:00:00,7001.0,61728.0,4265.0,3205.0,2736.0,32232.0
2023-05-25 00:00:00,2023-05-25 00:00:00,7001.0,61728.0,4265.0,3205.0,2736.0,32232.0
2023-05-25 01:00:00,2023-05-25 01:00:00,7001.0,61728.0,4265.0,3205.0,2736.0,32232.0
2023-05-25 02:00:00,2023-05-25 02:00:00,7001.0,61728.0,4265.0,3205.0,2736.0,32232.0
2023-05-25 03:00:00,2023-05-25 03:00:00,7010.0,61888.0,4270.0,3221.0,2740.0,32314.0
2023-05-25 04:00:00,2023-05-25 04:00:00,7103.0,62328.0,4339.0,3246.0,2764.0,32546.0
2023-05-25 05:00:00,2023-05-25 05:00:00,7514.0,63684.0,4614.0,3334.0,2900.0,33292.0
2023-05-25 06:00:00,2023-05-25 06:00:00,8426.0,65701.0,5243.0,3585.0,3183.0,34442.0
2023-05-25 07:00:00,2023-05-25 07:00:00,9027.0,66637.0,5732.0,3751.0,3295.0,34966.0
2023-05-25 08:00:00,2023-05-25 08:00:00,9341.0,67449.0,5950.0,3815.0,3391.0,35420.0
2023-05-25 09:00:00,2023-05-25 09:00:00,9588.0,68437.0,6101.0,3893.0,3487.0,35962.0
2023-05-25 10:00:00,2023-05-25 10:00:00,9847.0,69581.0,6244.0,3951.0,3603.0,36592.0
2023-05-25 11:00:00,2023-05-25 11:00:00,10122.0,70848.0,6422.0,4039.0,3700.0,37274.0
