Time;Failed events;events;long_congestion;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Mon 07:00.000000;;20;;;;;;;10;
Mon 07:01.000000;;30;;;;;;;15;
Mon 07:02.000000;;42;;;;;;;21;
Mon 07:03.000000;;54;;;;;;;27;
Mon 07:04.000000;;68;;;;;;;34;
Mon 07:05.000000;;88;;;;;;;44;
Mon 07:06.000000;;104;;;;;;;52;
Mon 07:07.000000;;118;;;;;;;59;
Mon 07:08.000000;;130;;;;;;;65;
Mon 07:09.000000;;146;;;;;;;73;
Mon 07:10.000000;;158;;;;;;;79;
Mon 07:11.000000;;166;;;;;;;83;
Mon 07:12.000000;;186;;;;;;;93;
Mon 07:13.000000;;202;;;;;;;101;
Mon 07:14.000000;;224;;;;;;;112;
Mon 07:15.000000;;240;;;;;;;120;
Mon 07:16.000000;;252;;;;;;;126;
Mon 07:17.000000;;282;;;;;;;141;
Mon 07:18.000000;;296;;;;;;;148;
Mon 07:19.000000;;306;;;;;;;153;
Mon 07:20.000000;;320;;;;;;;160;
Mon 07:21.000000;;332;;;;;;;166;
Mon 07:22.000000;;348;;;;;;;174;
Mon 07:23.000000;;358;;;;;;;179;
Mon 07:24.000000;;374;;;;;;;187;
Mon 07:25.000000;;392;;;;;;;196;
Mon 07:26.000000;;404;;;;;;;202;
Mon 07:27.000000;;418;;;;;;;209;
Mon 07:28.000000;;428;;;;;;;214;
Mon 07:29.000000;;442;;;;;;;221;
Mon 07:30.000000;;466;;;;;;;233;
Mon 07:31.000000;;478;;;;;;;239;
Mon 07:32.000000;1;487;;;;;;1;244;
Mon 07:33.000000;1;501;;;;;;1;251;
Mon 07:34.000000;1;523;;;;;;1;262;
Mon 07:35.000000;1;533;;;;;;1;267;
Mon 07:36.000000;1;545;;;;;;1;273;
Mon 07:37.000000;1;577;;;;;;1;289;
Mon 07:38.000000;1;587;;;;;;1;294;
Mon 07:39.000000;1;599;;;;;;1;300;
Mon 07:40.000000;1;615;;;;;;1;308;
Mon 07:41.000000;1;633;;;;;;1;317;
Mon 07:42.000000;1;643;;;;;;1;322;
Mon 07:43.000000;1;661;;;;;;1;331;
Mon 07:44.000000;1;681;;;;;;1;341;
