hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 08:00:00,2023-05-22 08:00:00,2.0,1575.0,1.0,5.0,1.0,788.0
2023-05-22 09:00:00,2023-05-22 09:00:00,8.0,2516.0,4.0,14.0,4.0,1260.0
2023-05-22 10:00:00,2023-05-22 10:00:00,19.0,3545.0,4.0,41.0,15.0,1780.0
2023-05-22 11:00:00,2023-05-22 11:00:00,35.0,4686.0,17.0,60.0,18.0,2352.0
2023-05-22 12:00:00,2023-05-22 12:00:00,96.0,5992.0,28.0,97.0,68.0,3030.0
2023-05-22 13:00:00,2023-05-22 13:00:00,153.0,7784.0,53.0,144.0,100.0,3942.0
2023-05-22 14:00:00,2023-05-22 14:00:00,249.0,10534.0,95.0,210.0,154.0,5344.0
2023-05-22 15:00:00,2023-05-22 15:00:00,373.0,12824.0,165.0,282.0,208.0,6516.0
2023-05-22 16:00:00,2023-05-22 16:00:00,471.0,14751.0,230.0,345.0,241.0,7496.0
2023-05-22 17:00:00,2023-05-22 17:00:00,601.0,16407.0,328.0,406.0,273.0,8340.0
2023-05-22 18:00:00,2023-05-22 18:00:00,698.0,17691.0,397.0,447.0,301.0,8996.0
2023-05-22 19:00:00,2023-05-22 19:00:00,766.0,18825.0,443.0,486.0,323.0,9574.0
2023-05-22 20:00:00,2023-05-22 20:00:00,834.0,19790.0,496.0,533.0,338.0,10064.0
2023-05-22 21:00:00,2023-05-22 21:00:00,893.0,20335.0,536.0,576.0,357.0,10346.0
2023-05-22 22:00:00,2023-05-22 22:00:00,935.0,20578.0,573.0,609.0,362.0,10470.0
2023-05-22 23:00:00,2023-05-22 23:00:00,946.0,20578.0,584.0,610.0,362.0,10470.0
2023-05-23 00:00:00,2023-05-23 00:00:00,946.0,20578.0,584.0,610.0,362.0,10470.0
2023-05-23 01:00:00,2023-05-23 01:00:00,946.0,20578.0,584.0,610.0,362.0,10470.0
2023-05-23 02:00:00,2023-05-23 02:00:00,947.0,20578.0,585.0,610.0,362.0,10470.0
2023-05-23 03:00:00,2023-05-23 03:00:00,956.0,20676.0,592.0,621.0,364.0,10520.0
2023-05-23 04:00:00,2023-05-23 04:00:00,984.0,21126.0,610.0,640.0,374.0,10750.0
2023-05-23 05:00:00,2023-05-23 05:00:00,1150.0,22492.0,718.0,710.0,432.0,11462.0
2023-05-23 06:00:00,2023-05-23 06:00:00,1545.0,24208.0,969.0,906.0,576.0,12392.0
2023-05-23 07:00:00,2023-05-23 07:00:00,1772.0,24909.0,1133.0,989.0,639.0,12774.0
2023-05-23 08:00:00,2023-05-23 08:00:00,1918.0,25520.0,1246.0,1027.0,672.0,13096.0
2023-05-23 09:00:00,2023-05-23 09:00:00,2013.0,26194.0,1319.0,1073.0,694.0,13444.0
2023-05-23 10:00:00,2023-05-23 10:00:00,2142.0,26958.0,1404.0,1130.0,738.0,13848.0
2023-05-23 11:00:00,2023-05-23 11:00:00,2280.0,27959.0,1487.0,1186.0,793.0,14376.0
2023-05-23 12:00:00,2023-05-23 12:00:00,2409.0,29007.0,1568.0,1285.0,841.0,14924.0
2023-05-23 13:00:00,2023-05-23 13:00:00,2522.0,30056.0,1634.0,1384.0,888.0,15472.0
2023-05-23 14:00:00,2023-05-23 14:00:00,2662.0,31389.0,1711.0,1441.0,951.0,16170.0
