hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 08:00:00,2023-05-22 08:00:00,5.0,1551.0,4.0,2.0,1.0,776.0
2023-05-22 09:00:00,2023-05-22 09:00:00,19.0,2497.0,4.0,15.0,15.0,1256.0
2023-05-22 10:00:00,2023-05-22 10:00:00,35.0,3458.0,9.0,34.0,26.0,1742.0
2023-05-22 11:00:00,2023-05-22 11:00:00,59.0,4502.0,21.0,40.0,38.0,2270.0
2023-05-22 12:00:00,2023-05-22 12:00:00,90.0,5928.0,26.0,59.0,64.0,2996.0
2023-05-22 13:00:00,2023-05-22 13:00:00,162.0,7911.0,61.0,101.0,101.0,4006.0
2023-05-22 14:00:00,2023-05-22 14:00:00,318.0,10550.0,156.0,147.0,162.0,5356.0
2023-05-22 15:00:00,2023-05-22 15:00:00,503.0,12933.0,284.0,249.0,219.0,6576.0
2023-05-22 16:00:00,2023-05-22 16:00:00,644.0,14772.0,376.0,325.0,268.0,7520.0
2023-05-22 17:00:00,2023-05-22 17:00:00,752.0,16534.0,438.0,394.0,314.0,8424.0
2023-05-22 18:00:00,2023-05-22 18:00:00,833.0,17994.0,499.0,448.0,334.0,9164.0
2023-05-22 19:00:00,2023-05-22 19:00:00,941.0,19047.0,564.0,504.0,377.0,9712.0
2023-05-22 20:00:00,2023-05-22 20:00:00,1009.0,20090.0,611.0,569.0,398.0,10244.0
2023-05-22 21:00:00,2023-05-22 21:00:00,1054.0,20608.0,646.0,613.0,408.0,10508.0
2023-05-22 22:00:00,2023-05-22 22:00:00,1087.0,20857.0,676.0,619.0,411.0,10634.0
2023-05-22 23:00:00,2023-05-22 23:00:00,1091.0,20857.0,680.0,622.0,411.0,10634.0
2023-05-23 00:00:00,2023-05-23 00:00:00,1091.0,20857.0,680.0,622.0,411.0,10634.0
2023-05-23 01:00:00,2023-05-23 01:00:00,1091.0,20857.0,680.0,622.0,411.0,10634.0
2023-05-23 02:00:00,2023-05-23 02:00:00,1091.0,20857.0,680.0,622.0,411.0,10634.0
2023-05-23 03:00:00,2023-05-23 03:00:00,1096.0,20981.0,685.0,628.0,411.0,10696.0
2023-05-23 04:00:00,2023-05-23 04:00:00,1126.0,21495.0,705.0,644.0,421.0,10958.0
2023-05-23 05:00:00,2023-05-23 05:00:00,1276.0,22749.0,773.0,721.0,503.0,11626.0
2023-05-23 06:00:00,2023-05-23 06:00:00,1710.0,24523.0,1089.0,941.0,621.0,12572.0
2023-05-23 07:00:00,2023-05-23 07:00:00,2028.0,25233.0,1377.0,1065.0,651.0,12942.0
2023-05-23 08:00:00,2023-05-23 08:00:00,2210.0,25835.0,1529.0,1131.0,681.0,13258.0
2023-05-23 09:00:00,2023-05-23 09:00:00,2309.0,26548.0,1593.0,1186.0,716.0,13632.0
2023-05-23 10:00:00,2023-05-23 10:00:00,2423.0,27228.0,1671.0,1220.0,752.0,13990.0
2023-05-23 11:00:00,2023-05-23 11:00:00,2566.0,28160.0,1754.0,1279.0,812.0,14486.0
2023-05-23 12:00:00,2023-05-23 12:00:00,2711.0,29211.0,1850.0,1355.0,861.0,15036.0
2023-05-23 13:00:00,2023-05-23 13:00:00,2822.0,30298.0,1912.0,1449.0,910.0,15604.0
2023-05-23 14:00:00,2023-05-23 14:00:00,2917.0,31687.0,1956.0,1496.0,961.0,16324.0
2023-05-23 15:00:00,2023-05-23 15:00:00,3051.0,33089.0,2040.0,1550.0,1011.0,17050.0
2023-05-23 16:00:00,2023-05-23 16:00:00,3169.0,34132.0,2097.0,1606.0,1072.0,17602.0
2023-05-23 17:00:00,2023-05-23 17:00:00,3266.0,35205.0,2155.0,1650.0,1111.0,18158.0
2023-05-23 18:00:00,2023-05-23 18:00:00,3354.0,36184.0,2206.0,1731.0,1148.0,18666.0
2023-05-23 19:00:00,2023-05-23 19:00:00,3467.0,37095.0,2294.0,1790.0,1173.0,19134.0
2023-05-23 20:00:00,2023-05-23 20:00:00,3569.0,37866.0,2359.0,1842.0,1210.0,19538.0
2023-05-23 21:00:00,2023-05-23 21:00:00,3633.0,38330.0,2403.0,1882.0,1230.0,19780.0
2023-05-23 22:00:00,2023-05-23 22:00:00,3668.0,38522.0,2426.0,1897.0,1242.0,19882.0
2023-05-23 23:00:00,2023-05-23 23:00:00,3673.0,38522.0,2431.0,1898.0,1242.0,19882.0
2023-05-24 00:00:00,2023-05-24 00:00:00,3673.0,38522.0,2431.0,1898.0,1242.0,19882.0
2023-05-24 01:00:00,2023-05-24 01:00:00,3673.0,38522.0,2431.0,1898.0,1242.0,19882.0
2023-05-24 02:00:00,2023-05-24 02:00:00,3673.0,38522.0,2431.0,1898.0,1242.0,19882.0
2023-05-24 03:00:00,2023-05-24 03:00:00,3684.0,38577.0,2437.0,1904.0,1247.0,19912.0
2023-05-24 04:00:00,2023-05-24 04:00:00,3724.0,38981.0,2469.0,1933.0,1255.0,20118.0
2023-05-24 05:00:00,2023-05-24 05:00:00,4011.0,40345.0,2672.0,2022.0,1339.0,20842.0
2023-05-24 06:00:00,2023-05-24 06:00:00,4597.0,41875.0,3124.0,2183.0,1473.0,21674.0
2023-05-24 07:00:00,2023-05-24 07:00:00,5029.0,42777.0,3482.0,2338.0,1547.0,22162.0
2023-05-24 08:00:00,2023-05-24 08:00:00,5269.0,43361.0,3658.0,2392.0,1611.0,22486.0
2023-05-24 09:00:00,2023-05-24 09:00:00,5493.0,44295.0,3828.0,2476.0,1665.0,22980.0
2023-05-24 10:00:00,2023-05-24 10:00:00,5644.0,45227.0,3915.0,2543.0,1729.0,23478.0
2023-05-24 11:00:00,2023-05-24 11:00:00,5791.0,46278.0,4009.0,2631.0,1782.0,24030.0
2023-05-24 12:00:00,2023-05-24 12:00:00,5990.0,47694.0,4124.0,2725.0,1866.0,24780.0
2023-05-24 13:00:00,2023-05-24 13:00:00,6327.0,49583.0,4330.0,2878.0,1997.0,25790.0
2023-05-24 14:00:00,2023-05-24 14:00:00,6683.0,52055.0,4534.0,3055.0,2149.0,27102.0
2023-05-24 15:00:00,2023-05-24 15:00:00,6959.0,54378.0,4733.0,3201.0,2226.0,28302.0
2023-05-24 16:00:00,2023-05-24 16:00:00,7360.0,56309.0,5049.0,3385.0,2311.0,29310.0
2023-05-24 17:00:00,2023-05-24 17:00:00,7657.0,57931.0,5272.0,3476.0,2385.0,30158.0
2023-05-24 18:00:00,2023-05-24 18:00:00,7841.0,59160.0,5405.0,3554.0,2436.0,30798.0
2023-05-24 19:00:00,2023-05-24 19:00:00,8101.0,60429.0,5594.0,3669.0,2507.0,31468.0
2023-05-24 20:00:00,2023-05-24 20:00:00,8266.0,61436.0,5694.0,3731.0,2572.0,32004.0
2023-05-24 21:00:00,2023-05-24 21:00:00,8359.0,61999.0,5762.0,3761.0,2597.0,32298.0
2023-05-24 22:00:00,2023-05-24 22:00:00,8408.0,62248.0,5796.0,3784.0,2612.0,32430.0
2023-05-24 23:00:00,2023-05-24 23:00:00,8416.0,62248.0,5804.0,3785.0,2612.0,32430.0
2023-05-25 00:00:00,2023-05-25 00:00:00,8416.0,62248.0,5804.0,3785.0,2612.0,32430.0
2023-05-25 01:00:00,2023-05-25 01:00:00,8416.0,62248.0,5804.0,3785.0,2612.0,32430.0
2023-05-25 02:00:00,2023-05-25 02:00:00,8416.0,62248.0,5804.0,3785.0,2612.0,32430.0
2023-05-25 03:00:00,2023-05-25 03:00:00,8446.0,62361.0,5827.0,3788.0,2619.0,32490.0
2023-05-25 04:00:00,2023-05-25 04:00:00,8586.0,62915.0,5921.0,3816.0,2665.0,32790.0
2023-05-25 05:00:00,2023-05-25 05:00:00,9023.0,64254.0,6237.0,3961.0,2786.0,33520.0
2023-05-25 06:00:00,2023-05-25 06:00:00,9937.0,66105.0,6938.0,4242.0,2999.0,34552.0
2023-05-25 07:00:00,2023-05-25 07:00:00,10484.0,67069.0,7405.0,4383.0,3079.0,35074.0
2023-05-25 08:00:00,2023-05-25 08:00:00,10774.0,67937.0,7615.0,4480.0,3159.0,35548.0
2023-05-25 09:00:00,2023-05-25 09:00:00,11023.0,69010.0,7765.0,4579.0,3258.0,36134.0
2023-05-25 10:00:00,2023-05-25 10:00:00,11284.0,70234.0,7926.0,4666.0,3358.0,36796.0
2023-05-25 11:00:00,2023-05-25 11:00:00,11511.0,71357.0,8064.0,4771.0,3447.0,37402.0
2023-05-25 12:00:00,2023-05-25 12:00:00,11759.0,72799.0,8222.0,4882.0,3537.0,38168.0
2023-05-25 13:00:00,2023-05-25 13:00:00,12068.0,74928.0,8364.0,5007.0,3704.0,39316.0
2023-05-25 14:00:00,2023-05-25 14:00:00,12348.0,77405.0,8509.0,5123.0,3839.0,40622.0
2023-05-25 15:00:00,2023-05-25 15:00:00,12622.0,79658.0,8668.0,5253.0,3954.0,41806.0
2023-05-25 16:00:00,2023-05-25 16:00:00,12931.0,81491.0,8886.0,5371.0,4045.0,42768.0
2023-05-25 17:00:00,2023-05-25 17:00:00,13170.0,83003.0,9057.0,5468.0,4113.0,43558.0
2023-05-25 18:00:00,2023-05-25 18:00:00,13377.0,84370.0,9187.0,5549.0,4190.0,44280.0
2023-05-25 19:00:00,2023-05-25 19:00:00,13535.0,85639.0,9286.0,5623.0,4249.0,44944.0
2023-05-25 20:00:00,2023-05-25 20:00:00,13715.0,86629.0,9396.0,5690.0,4319.0,45474.0
2023-05-25 21:00:00,2023-05-25 21:00:00,13849.0,87297.0,9502.0,5736.0,4347.0,45822.0
2023-05-25 22:00:00,2023-05-25 22:00:00,13911.0,87670.0,9557.0,5764.0,4354.0,46012.0
2023-05-25 23:00:00,2023-05-25 23:00:00,13929.0,87670.0,9575.0,5767.0,4354.0,46012.0
2023-05-26 00:00:00,2023-05-26 00:00:00,13930.0,87670.0,9576.0,5767.0,4354.0,46012.0
2023-05-26 01:00:00,2023-05-26 01:00:00,13930.0,87670.0,9576.0,5767.0,4354.0,46012.0
2023-05-26 02:00:00,2023-05-26 02:00:00,13930.0,87670.0,9576.0,5767.0,4354.0,46012.0
2023-05-26 03:00:00,2023-05-26 03:00:00,13955.0,87831.0,9598.0,5784.0,4357.0,46094.0
2023-05-26 04:00:00,2023-05-26 04:00:00,14053.0,88273.0,9670.0,5807.0,4383.0,46328.0
2023-05-26 05:00:00,2023-05-26 05:00:00,14346.0,89412.0,9862.0,5882.0,4484.0,46948.0
2023-05-26 06:00:00,2023-05-26 06:00:00,14963.0,91141.0,10308.0,6060.0,4655.0,47898.0
2023-05-26 07:00:00,2023-05-26 07:00:00,15407.0,91960.0,10683.0,6240.0,4724.0,48342.0
2023-05-26 08:00:00,2023-05-26 08:00:00,15676.0,92811.0,10875.0,6359.0,4801.0,48806.0
2023-05-26 09:00:00,2023-05-26 09:00:00,15901.0,93959.0,11008.0,6491.0,4893.0,49426.0
2023-05-26 10:00:00,2023-05-26 10:00:00,16124.0,95273.0,11145.0,6601.0,4979.0,50126.0
2023-05-26 11:00:00,2023-05-26 11:00:00,16422.0,96713.0,11347.0,6729.0,5075.0,50894.0
2023-05-26 12:00:00,2023-05-26 12:00:00,16679.0,98319.0,11498.0,6848.0,5181.0,51750.0
2023-05-26 13:00:00,2023-05-26 13:00:00,16936.0,100722.0,11618.0,6995.0,5318.0,53020.0
2023-05-26 14:00:00,2023-05-26 14:00:00,17145.0,103305.0,11730.0,7161.0,5415.0,54360.0
2023-05-26 15:00:00,2023-05-26 15:00:00,17364.0,105475.0,11831.0,7296.0,5533.0,55504.0
2023-05-26 16:00:00,2023-05-26 16:00:00,17620.0,107328.0,11980.0,7413.0,5640.0,56484.0
2023-05-26 17:00:00,2023-05-26 17:00:00,17923.0,108922.0,12165.0,7549.0,5758.0,57340.0
2023-05-26 18:00:00,2023-05-26 18:00:00,18117.0,110313.0,12302.0,7655.0,5815.0,58064.0
2023-05-26 19:00:00,2023-05-26 19:00:00,18263.0,111546.0,12401.0,7739.0,5862.0,58704.0
2023-05-26 20:00:00,2023-05-26 20:00:00,18455.0,112688.0,12559.0,7835.0,5896.0,59292.0
2023-05-26 21:00:00,2023-05-26 21:00:00,18607.0,113650.0,12673.0,7902.0,5934.0,59792.0
2023-05-26 22:00:00,2023-05-26 22:00:00,18719.0,114291.0,12758.0,7933.0,5961.0,60126.0
2023-05-26 23:00:00,2023-05-26 23:00:00,18733.0,114291.0,12772.0,7938.0,5961.0,60126.0
2023-05-27 00:00:00,2023-05-27 00:00:00,18734.0,114291.0,12773.0,7938.0,5961.0,60126.0
2023-05-27 01:00:00,2023-05-27 01:00:00,18735.0,114291.0,12774.0,7938.0,5961.0,60126.0
2023-05-27 02:00:00,2023-05-27 02:00:00,18735.0,114291.0,12774.0,7938.0,5961.0,60126.0
2023-05-27 03:00:00,2023-05-27 03:00:00,18746.0,114352.0,12782.0,7943.0,5964.0,60158.0
2023-05-27 04:00:00,2023-05-27 04:00:00,18777.0,114475.0,12804.0,7945.0,5973.0,60224.0
2023-05-27 05:00:00,2023-05-27 05:00:00,18815.0,114679.0,12830.0,7949.0,5985.0,60332.0
2023-05-27 06:00:00,2023-05-27 06:00:00,18875.0,115028.0,12871.0,7969.0,6004.0,60516.0
2023-05-27 07:00:00,2023-05-27 07:00:00,19000.0,115770.0,12942.0,8008.0,6058.0,60914.0
2023-05-27 08:00:00,2023-05-27 08:00:00,19133.0,116688.0,13017.0,8048.0,6116.0,61402.0
2023-05-27 09:00:00,2023-05-27 09:00:00,19317.0,118033.0,13106.0,8126.0,6211.0,62122.0
2023-05-27 10:00:00,2023-05-27 10:00:00,19552.0,119508.0,13248.0,8229.0,6304.0,62906.0
2023-05-27 11:00:00,2023-05-27 11:00:00,19835.0,120947.0,13430.0,8330.0,6405.0,63676.0
2023-05-27 12:00:00,2023-05-27 12:00:00,20123.0,122607.0,13610.0,8487.0,6513.0,64560.0
2023-05-27 13:00:00,2023-05-27 13:00:00,20345.0,124285.0,13758.0,8603.0,6587.0,65436.0
2023-05-27 14:00:00,2023-05-27 14:00:00,20523.0,126000.0,13851.0,8714.0,6672.0,66336.0
2023-05-27 15:00:00,2023-05-27 15:00:00,20676.0,127764.0,13928.0,8829.0,6748.0,67256.0
2023-05-27 16:00:00,2023-05-27 16:00:00,20835.0,129461.0,14012.0,8920.0,6823.0,68142.0
2023-05-27 17:00:00,2023-05-27 17:00:00,20962.0,130982.0,14072.0,8997.0,6890.0,68936.0
2023-05-27 18:00:00,2023-05-27 18:00:00,21120.0,132222.0,14158.0,9083.0,6962.0,69592.0
2023-05-27 19:00:00,2023-05-27 19:00:00,21231.0,133022.0,14225.0,9111.0,7006.0,70014.0
2023-05-27 20:00:00,2023-05-27 20:00:00,21306.0,133808.0,14270.0,9157.0,7036.0,70422.0
2023-05-27 21:00:00,2023-05-27 21:00:00,21368.0,134610.0,14306.0,9212.0,7062.0,70836.0
2023-05-27 22:00:00,2023-05-27 22:00:00,21418.0,135134.0,14344.0,9256.0,7074.0,71104.0
2023-05-27 23:00:00,2023-05-27 23:00:00,21432.0,135134.0,14358.0,9260.0,7074.0,71104.0
2023-05-28 00:00:00,2023-05-28 00:00:00,21432.0,135134.0,14358.0,9260.0,7074.0,71104.0
2023-05-28 01:00:00,2023-05-28 01:00:00,21432.0,135134.0,14358.0,9260.0,7074.0,71104.0
2023-05-28 02:00:00,2023-05-28 02:00:00,21432.0,135134.0,14358.0,9260.0,7074.0,71104.0
2023-05-28 03:00:00,2023-05-28 03:00:00,21448.0,135233.0,14365.0,9262.0,7083.0,71158.0
2023-05-28 04:00:00,2023-05-28 04:00:00,21460.0,135309.0,14373.0,9263.0,7087.0,71198.0
2023-05-28 05:00:00,2023-05-28 05:00:00,21483.0,135422.0,14389.0,9268.0,7094.0,71258.0
2023-05-28 06:00:00,2023-05-28 06:00:00,21517.0,135633.0,14414.0,9281.0,7103.0,71368.0
2023-05-28 07:00:00,2023-05-28 07:00:00,21543.0,135921.0,14432.0,9297.0,7111.0,71516.0
2023-05-28 08:00:00,2023-05-28 08:00:00,21600.0,136516.0,14468.0,9326.0,7132.0,71824.0
2023-05-28 09:00:00,2023-05-28 09:00:00,21651.0,137277.0,14488.0,9354.0,7163.0,72220.0
2023-05-28 10:00:00,2023-05-28 10:00:00,21736.0,138159.0,14547.0,9389.0,7189.0,72674.0
2023-05-28 11:00:00,2023-05-28 11:00:00,21803.0,139359.0,14578.0,9439.0,7225.0,73292.0
2023-05-28 12:00:00,2023-05-28 12:00:00,21910.0,140497.0,14635.0,9499.0,7275.0,73886.0
2023-05-28 13:00:00,2023-05-28 13:00:00,22010.0,141943.0,14669.0,9540.0,7341.0,74642.0
2023-05-28 14:00:00,2023-05-28 14:00:00,22119.0,143186.0,14717.0,9603.0,7402.0,75294.0
2023-05-28 15:00:00,2023-05-28 15:00:00,22248.0,144653.0,14773.0,9660.0,7475.0,76064.0
2023-05-28 16:00:00,2023-05-28 16:00:00,22302.0,145968.0,14802.0,9709.0,7500.0,76734.0
2023-05-28 17:00:00,2023-05-28 17:00:00,22386.0,146977.0,14847.0,9745.0,7539.0,77258.0
2023-05-28 18:00:00,2023-05-28 18:00:00,22441.0,147879.0,14876.0,9772.0,7565.0,77722.0
2023-05-28 19:00:00,2023-05-28 19:00:00,22486.0,148636.0,14898.0,9798.0,7588.0,78112.0
2023-05-28 20:00:00,2023-05-28 20:00:00,22521.0,149330.0,14915.0,9825.0,7606.0,78468.0
2023-05-28 21:00:00,2023-05-28 21:00:00,22552.0,149665.0,14929.0,9847.0,7623.0,78644.0
2023-05-28 22:00:00,2023-05-28 22:00:00,22566.0,149846.0,14936.0,9850.0,7630.0,78738.0
2023-05-28 23:00:00,2023-05-28 23:00:00,22568.0,149846.0,14938.0,9851.0,7630.0,78738.0
2023-05-29 00:00:00,2023-05-29 00:00:00,22568.0,149846.0,14938.0,9851.0,7630.0,78738.0
2023-05-29 01:00:00,2023-05-29 01:00:00,22568.0,149846.0,14938.0,9851.0,7630.0,78738.0
2023-05-29 02:00:00,2023-05-29 02:00:00,22568.0,149846.0,14938.0,9851.0,7630.0,78738.0
2023-05-29 03:00:00,2023-05-29 03:00:00,22577.0,149928.0,14945.0,9855.0,7632.0,78780.0
2023-05-29 04:00:00,2023-05-29 04:00:00,22598.0,150325.0,14951.0,9876.0,7647.0,78986.0
2023-05-29 05:00:00,2023-05-29 05:00:00,22802.0,151546.0,15072.0,9948.0,7730.0,79638.0
2023-05-29 06:00:00,2023-05-29 06:00:00,23255.0,152826.0,15397.0,10098.0,7858.0,80342.0
2023-05-29 07:00:00,2023-05-29 07:00:00,23590.0,153561.0,15691.0,10190.0,7899.0,80730.0
2023-05-29 08:00:00,2023-05-29 08:00:00,23822.0,154306.0,15880.0,10261.0,7942.0,81124.0
