Time;Failed events;events;long_congestion;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Mon 07:00.000000;;14;;;;;;;7;
Mon 07:01.000000;;34;;;;;;;17;
Mon 07:02.000000;;48;;;;;;;24;
Mon 07:03.000000;;78;;;;;;;39;
Mon 07:04.000000;;94;;;;;;;47;
Mon 07:05.000000;;104;;;;;;;52;
Mon 07:06.000000;;116;;;;;;;58;
Mon 07:07.000000;;122;;;;;;;61;
Mon 07:08.000000;;130;;;;;;;65;
Mon 07:09.000000;;150;;;;;;;75;
Mon 07:10.000000;;168;;;;;;;84;
Mon 07:11.000000;;190;;;;;;;95;
Mon 07:12.000000;;206;;;;;;;103;
Mon 07:13.000000;;222;;;;;;;111;
Mon 07:14.000000;;234;;;;;;;117;
Mon 07:15.000000;;252;;;;;;;126;
Mon 07:16.000000;;268;;;;;;;134;
Mon 07:17.000000;;294;;;;;;;147;
Mon 07:18.000000;;312;;;;;;;156;
Mon 07:19.000000;;328;;;;;;;164;
Mon 07:20.000000;;340;;;;;;;170;
Mon 07:21.000000;;358;;;;;;;179;
Mon 07:22.000000;;372;;;;;;;186;
Mon 07:23.000000;;386;;;;;;;193;
Mon 07:24.000000;;400;;;;;;;200;
Mon 07:25.000000;;420;;;;;;;210;
Mon 07:26.000000;;446;;;;;;;223;
Mon 07:27.000000;;456;;;;;;;228;
Mon 07:28.000000;1;479;;0.23881255293897002;;1;;1;240;
Mon 07:29.000000;1;491;;0.23881255293897002;;1;;1;246;
Mon 07:30.000000;1;503;;0.23881255293897002;;1;;1;252;
Mon 07:31.000000;1;521;;0.23881255293897002;;1;;1;261;
Mon 07:32.000000;1;531;;0.23881255293897002;;1;;1;266;
Mon 07:33.000000;1;551;;0.23881255293897002;;1;;1;276;
Mon 07:34.000000;1;563;;0.23881255293897002;;1;;1;282;
Mon 07:35.000000;1;571;;0.23881255293897002;;1;;1;286;
Mon 07:36.000000;1;589;;0.23881255293897002;;1;;1;295;
Mon 07:37.000000;1;595;;0.23881255293897002;;1;;1;298;
Mon 07:38.000000;1;611;;0.23881255293897002;;1;;1;306;
Mon 07:39.000000;1;621;;0.23881255293897002;;1;;1;311;
Mon 07:40.000000;1;633;;0.23881255293897002;;1;;1;317;
Mon 07:41.000000;1;645;;0.23881255293897002;;1;;1;323;
Mon 07:42.000000;1;657;;0.23881255293897002;;1;;1;329;
Mon 07:43.000000;1;669;;0.23881255293897002;;1;;1;335;
Mon 07:44.000000;1;683;;0.23881255293897002;;1;;1;342;
Mon 07:45.000000;1;689;;0.23881255293897002;;1;;1;345;
Mon 07:46.000000;1;705;;0.23881255293897002;;1;;1;353;
Mon 07:47.000000;1;719;;0.23881255293897002;;1;;1;360;
Mon 07:48.000000;1;737;;0.23881255293897002;;1;;1;369;
Mon 07:49.000000;1;751;;0.23881255293897002;;1;;1;376;
