hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,2.0,782.0,,,2.0,392.0
2023-05-22 08:00:00,2023-05-22 08:00:00,4.0,1610.0,2.0,2.0,2.0,806.0
2023-05-22 09:00:00,2023-05-22 09:00:00,26.0,2551.0,17.0,6.0,9.0,1280.0
2023-05-22 10:00:00,2023-05-22 10:00:00,36.0,3702.0,18.0,22.0,18.0,1860.0
2023-05-22 11:00:00,2023-05-22 11:00:00,43.0,4697.0,20.0,40.0,23.0,2360.0
2023-05-22 12:00:00,2023-05-22 12:00:00,81.0,6014.0,31.0,61.0,50.0,3032.0
2023-05-22 13:00:00,2023-05-22 13:00:00,136.0,7914.0,54.0,109.0,82.0,3998.0
2023-05-22 14:00:00,2023-05-22 14:00:00,250.0,10526.0,108.0,166.0,142.0,5334.0
2023-05-22 15:00:00,2023-05-22 15:00:00,378.0,13108.0,154.0,254.0,224.0,6666.0
2023-05-22 16:00:00,2023-05-22 16:00:00,510.0,15227.0,217.0,352.0,293.0,7760.0
2023-05-22 17:00:00,2023-05-22 17:00:00,617.0,17041.0,262.0,461.0,355.0,8698.0
2023-05-22 18:00:00,2023-05-22 18:00:00,697.0,18441.0,314.0,532.0,383.0,9412.0
2023-05-22 19:00:00,2023-05-22 19:00:00,782.0,19570.0,368.0,585.0,414.0,9992.0
2023-05-22 20:00:00,2023-05-22 20:00:00,889.0,20601.0,426.0,629.0,463.0,10532.0
2023-05-22 21:00:00,2023-05-22 21:00:00,948.0,21088.0,460.0,673.0,488.0,10788.0
2023-05-22 22:00:00,2023-05-22 22:00:00,973.0,21292.0,477.0,691.0,496.0,10894.0
2023-05-22 23:00:00,2023-05-22 23:00:00,975.0,21292.0,479.0,694.0,496.0,10894.0
2023-05-23 00:00:00,2023-05-23 00:00:00,975.0,21292.0,479.0,694.0,496.0,10894.0
2023-05-23 01:00:00,2023-05-23 01:00:00,975.0,21292.0,479.0,694.0,496.0,10894.0
2023-05-23 02:00:00,2023-05-23 02:00:00,975.0,21292.0,479.0,694.0,496.0,10894.0
2023-05-23 03:00:00,2023-05-23 03:00:00,986.0,21438.0,488.0,700.0,498.0,10968.0
2023-05-23 04:00:00,2023-05-23 04:00:00,998.0,22023.0,493.0,728.0,505.0,11264.0
