Time;Failed events;events;long_congestion;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Mon 07:00.000000;;18;;;;;;;9;
Mon 07:01.000000;;34;;;;;;;17;
Mon 07:02.000000;;48;;;;;;;24;
Mon 07:03.000000;;58;;;;;;;29;
Mon 07:04.000000;;68;;;;;;;34;
Mon 07:05.000000;;84;;;;;;;42;
Mon 07:06.000000;;100;;;;;;;50;
Mon 07:07.000000;;114;;;;;;;57;
Mon 07:08.000000;;120;;;;;;;60;
Mon 07:09.000000;;132;;;;;;;66;
Mon 07:10.000000;;140;;;;;;;70;
Mon 07:11.000000;;154;;;;;;;77;
Mon 07:12.000000;;162;;;;;;;81;
Mon 07:13.000000;;188;;;;;;;94;
Mon 07:14.000000;;206;;;;;;;103;
Mon 07:15.000000;;222;;;;;;;111;
Mon 07:16.000000;;232;;;;;;;116;
Mon 07:17.000000;;246;;;;;;;123;
Mon 07:18.000000;;258;;;;;;;129;
Mon 07:19.000000;;270;;;;;;;135;
Mon 07:20.000000;;284;;;;;;;142;
Mon 07:21.000000;;294;;;;;;;147;
Mon 07:22.000000;;300;;;;;;;150;
Mon 07:23.000000;;324;;;;;;;162;
Mon 07:24.000000;;344;;;;;;;172;
Mon 07:25.000000;;356;;;;;;;178;
Mon 07:26.000000;;372;;;;;;;186;
Mon 07:27.000000;;384;;;;;;;192;
Mon 07:28.000000;;394;;;;;;;197;
Mon 07:29.000000;;406;;;;;;;203;
Mon 07:30.000000;;422;;;;;;;211;
Mon 07:31.000000;;446;;;;;;;223;
Mon 07:32.000000;;450;;;;;;;225;
Mon 07:33.000000;;474;;;;;;;237;
Mon 07:34.000000;;492;;;;;;;246;
Mon 07:35.000000;;504;;;;;;;252;
Mon 07:36.000000;;516;;;;;;;258;
Mon 07:37.000000;;538;;;;;;;269;
Mon 07:38.000000;;554;;;;;;;277;
Mon 07:39.000000;;564;;;;;;;282;
Mon 07:40.000000;;574;;;;;;;287;
Mon 07:41.000000;;584;;;;;;;292;
Mon 07:42.000000;;600;;;;;;;300;
Mon 07:43.000000;;608;;;;;;;304;
Mon 07:44.000000;;614;;;;;;;307;
Mon 07:45.000000;;620;;;;;;;310;
Mon 07:46.000000;;632;;;;;;;316;
Mon 07:47.000000;;646;;;;;;;323;
Mon 07:48.000000;;662;;;;;;;331;
Mon 07:49.000000;;668;;;;;;;334;
Mon 07:50.000000;;678;;;;;;;339;
Mon 07:51.000000;;696;;;;;;;348;
Mon 07:53.000000;;700;;;;;;;350;
Mon 07:54.000000;;718;;;;;;;359;
Mon 07:55.000000;;730;;;;;;;365;
Mon 07:56.000000;;746;;;;;;;373;
Mon 07:57.000000;;762;;;;;;;381;
Mon 07:58.000000;;770;;;;;;;385;
Mon 07:59.000000;;784;;;;;;;392;
Mon 08:00.000000;;788;;;;;;;394;
Mon 08:01.000000;;798;;;;;;;399;
Mon 08:02.000000;;810;;;;;;;405;
Mon 08:03.000000;;816;;;;;;;408;
Mon 08:04.000000;;830;;;;;;;415;
Mon 08:05.000000;;838;;;;;;;419;
Mon 08:06.000000;;858;;;;;;;429;
Mon 08:07.000000;;872;;;;;;;436;
Mon 08:08.000000;;878;;;;;;;439;
