hour_bucket,Time,Failed events,events,long_congestion,short_congestion,starvation,trips
2023-05-22 07:00:00,2023-05-22 07:00:00,1.0,967.0,,,1.0,484.0
2023-05-22 08:00:00,2023-05-22 08:00:00,10.0,1769.0,3.0,4.0,7.0,888.0
2023-05-22 09:00:00,2023-05-22 09:00:00,20.0,2588.0,8.0,25.0,12.0,1300.0
2023-05-22 10:00:00,2023-05-22 10:00:00,27.0,3632.0,11.0,33.0,16.0,1824.0
2023-05-22 11:00:00,2023-05-22 11:00:00,43.0,4699.0,22.0,46.0,21.0,2360.0
2023-05-22 12:00:00,2023-05-22 12:00:00,72.0,6074.0,38.0,82.0,34.0,3054.0
2023-05-22 13:00:00,2023-05-22 13:00:00,134.0,8203.0,61.0,117.0,73.0,4138.0
2023-05-22 14:00:00,2023-05-22 14:00:00,226.0,10822.0,96.0,155.0,130.0,5476.0
2023-05-22 15:00:00,2023-05-22 15:00:00,379.0,13155.0,170.0,231.0,209.0,6682.0
2023-05-22 16:00:00,2023-05-22 16:00:00,533.0,15233.0,274.0,294.0,259.0,7746.0
2023-05-22 17:00:00,2023-05-22 17:00:00,661.0,16903.0,364.0,389.0,297.0,8600.0
2023-05-22 18:00:00,2023-05-22 18:00:00,760.0,18306.0,426.0,439.0,334.0,9320.0
2023-05-22 19:00:00,2023-05-22 19:00:00,822.0,19488.0,466.0,492.0,356.0,9922.0
2023-05-22 20:00:00,2023-05-22 20:00:00,867.0,20516.0,491.0,547.0,376.0,10446.0
2023-05-22 21:00:00,2023-05-22 21:00:00,909.0,21112.0,525.0,592.0,384.0,10748.0
2023-05-22 22:00:00,2023-05-22 22:00:00,938.0,21386.0,544.0,603.0,394.0,10890.0
2023-05-22 23:00:00,2023-05-22 23:00:00,942.0,21386.0,548.0,605.0,394.0,10890.0
2023-05-23 00:00:00,2023-05-23 00:00:00,942.0,21386.0,548.0,605.0,394.0,10890.0
2023-05-23 01:00:00,2023-05-23 01:00:00,942.0,21386.0,548.0,605.0,394.0,10890.0
2023-05-23 02:00:00,2023-05-23 02:00:00,942.0,21386.0,548.0,605.0,394.0,10890.0
2023-05-23 03:00:00,2023-05-23 03:00:00,950.0,21476.0,550.0,614.0,400.0,10938.0
2023-05-23 04:00:00,2023-05-23 04:00:00,983.0,22021.0,568.0,635.0,415.0,11218.0
2023-05-23 05:00:00,2023-05-23 05:00:00,1155.0,23314.0,689.0,712.0,466.0,11890.0
2023-05-23 06:00:00,2023-05-23 06:00:00,1535.0,25002.0,957.0,872.0,578.0,12790.0
