Time;Failed events;accumulated solution time;branch1;branch2;branch3;branch4;branch5;events;long_congestion;number of problems solved;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;similarly imbalanced congested;similarly imbalanced starved;starvation;trips;
Mon 07:00.000000;;0.7828419208526611;1;1;;;;14;;2;;;;;0;0;;7;
Mon 07:01.000000;;0.7828419208526611;1;1;;;;18;;2;;;;;0;0;;9;
Mon 07:02.000000;;0.7828419208526611;1;1;;;;34;;2;;;;;0;0;;17;
Mon 07:03.000000;;0.7828419208526611;1;1;;;;56;;2;;;;;0;0;;28;
Mon 07:04.000000;;0.7828419208526611;1;1;;;;68;;2;;;;;0;0;;34;
Mon 07:05.000000;;0.7828419208526611;1;1;;;;76;;2;;;;;0;0;;38;
Mon 07:06.000000;;0.7828419208526611;1;1;;;;88;;2;;;;;0;0;;44;
Mon 07:07.000000;;0.7828419208526611;1;1;;;;106;;2;;;;;0;0;;53;
Mon 07:08.000000;;0.7828419208526611;1;1;;;;120;;2;;;;;0;0;;60;
Mon 07:09.000000;;0.7828419208526611;1;1;;;;142;;2;;;;;0;0;;71;
Mon 07:10.000000;;0.7828419208526611;1;1;;;;162;;2;;;;;0;0;;81;
Mon 07:11.000000;;0.7828419208526611;1;1;;;;182;;2;;;;;0;0;;91;
Mon 07:12.000000;;0.7828419208526611;1;1;;;;192;;2;;;;;0;0;;96;
Mon 07:13.000000;;0.7828419208526611;1;1;;;;208;;2;;;;;0;0;;104;
Mon 07:14.000000;;0.7828419208526611;1;1;;;;232;;2;;;;;0;0;;116;
Mon 07:15.000000;;0.7828419208526611;1;1;;;;254;;2;;;;;0;0;;127;
Mon 07:16.000000;;0.7828419208526611;1;1;;;;264;;2;;;;;0;0;;132;
Mon 07:17.000000;;0.7828419208526611;1;1;;;;278;;2;;;;;0;0;;139;
Mon 07:18.000000;;0.7828419208526611;1;1;;;;286;;2;;;;;0;0;;143;
Mon 07:19.000000;;0.7828419208526611;1;1;;;;298;;2;;;;;0;0;;149;
Mon 07:19.447757;;1.3582229614257812;2;1;;;;298;;3;;;;;0;0;;149;
Mon 07:20.000000;;1.3582229614257812;2;1;;;;314;;3;;;;;0;0;;157;
Mon 07:21.000000;;1.3582229614257812;2;1;;;;324;;3;;;;;0;0;;162;
Mon 07:22.000000;;1.3582229614257812;2;1;;;;344;;3;;;;;0;0;;172;
Mon 07:22.894471;;1.9290390014648438;2;1;1;;;344;;4;;;;;0;0;;172;
Mon 07:23.000000;;1.9290390014648438;2;1;1;;;360;;4;;;;;0;0;;180;
Mon 07:24.000000;;1.9290390014648438;2;1;1;;;376;;4;;;;;0;0;;188;
Mon 07:25.000000;;1.9290390014648438;2;1;1;;;394;;4;0.23881255293897002;;1;;0;0;;197;
Mon 07:26.000000;;1.9290390014648438;2;1;1;;;408;;4;0.23881255293897002;;1;;0;0;;204;
Mon 07:27.000000;;1.9290390014648438;2;1;1;;;418;;4;0.23881255293897002;;1;;0;0;;209;
Mon 07:28.000000;;1.9290390014648438;2;1;1;;;434;;4;0.23881255293897002;;1;;0;0;;217;
Mon 07:29.000000;;1.9290390014648438;2;1;1;;;452;;4;0.23881255293897002;;1;;0;0;;226;
Mon 07:29.407376;;2.5407705307006836;3;1;1;;;452;;5;0.23881255293897002;;1;;0;0;;226;
Mon 07:30.000000;;2.5407705307006836;3;1;1;;;458;;5;0.23881255293897002;;1;;0;0;;229;
Mon 07:31.000000;;2.5407705307006836;3;1;1;;;464;;5;0.23881255293897002;;1;;0;0;;232;
Mon 07:32.000000;;2.5407705307006836;3;1;1;;;482;;5;0.23881255293897002;;1;;0;0;;241;
