Duration,Events,Trips,Random trips,Bike Departures,Escooter Departures,Bike Arrivals,Escooter Arrivals,Vehicle Arrivals,Failed Events,Starvations,Escooter Starvations,Bike Starvations,Battery Starvations,Battery Violations,Long Congestions,Short Congestions,Roaming for bikes,Roaming distance for bikes,Roaming for escooters,Roaming distance for escooters,Roaming for locks,Roaming distance for locks,Number of bikes delivered,Number of bikes picked up,Number of battery swaps,Number of esooters delivered,Number of escooters picked up,Number of helping bikes delivered,Number of helping bikes picked up,Number of helping esooters delivered,Number of helping escooters picked up,Seed
10080,83573,50637,245,11405,12945,11405,12945,2227,30036,26287,4049,199,22039,0,3749,2610,102,23.07,5078,1502.09,6359,2843.23,0,0,0,0,0,0,0,0,0,10
10080,84306,50928,258,11745,13493,11744,13493,2186,29182,25690,4254,191,21245,0,3492,2462,121,30.39,4904,1454.1,5954,2647.55,0,0,0,0,0,0,0,0,0,11
10080,83993,50960,263,11886,12827,11886,12827,2218,29747,26247,4385,122,21740,0,3500,2602,136,34.02,5024,1490.92,6102,2680.15,0,0,0,0,0,0,0,0,0,12
10080,84599,50993,269,12084,13137,12084,13137,2195,29267,25772,4054,166,21552,0,3495,2695,99,22.79,5030,1494.29,6190,2738.32,0,0,0,0,0,0,0,0,0,13
10080,84065,50447,245,11752,13342,11748,13342,2198,29179,25353,4605,142,20606,0,3826,2500,124,30.25,4926,1463.97,6326,2944.6,0,0,0,0,0,0,0,0,0,14
10080,84759,50888,257,11790,13171,11790,13171,2204,29921,25927,3901,196,21830,0,3994,2712,131,33.01,4950,1469.11,6706,3075.75,0,0,0,0,0,0,0,0,0,15
10080,84088,50737,234,11696,13197,11694,13197,2206,29543,25844,4541,130,21173,0,3699,2553,94,22.23,4908,1444.68,6252,2814.31,0,0,0,0,0,0,0,0,0,16
10080,82378,50146,278,11168,12958,11165,12958,2195,29488,26020,4792,140,21088,0,3468,2443,167,41.73,4823,1428.46,5911,2659.65,0,0,0,0,0,0,0,0,0,17
10080,84129,51014,283,11783,12881,11783,12881,2200,29911,26350,4724,209,21417,0,3561,2690,103,23.24,4755,1405.12,6251,2739.74,0,0,0,0,0,0,0,0,0,18
10080,83610,50884,291,11716,12863,11715,12863,2199,29636,26305,4997,120,21188,0,3331,2617,114,25.79,5017,1485.68,5948,2590.96,0,0,0,0,0,0,0,0,0,19
