Time;Failed events;events;long_congestion;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Mon 07:00.000000;;12;;;;;;;6;
Mon 08:00.000000;;456;;;;;;;228;
Mon 09:00.000000;;846;;;;;;;423;
Mon 10:00.000000;;1268;;;;;;;634;
Mon 11:00.000000;;1814;;;;;;;907;
Mon 12:00.000000;1;2326;1;0.6721449684993929;0.8518381993934712;2;2;;1163;
Mon 13:00.000000;1;3050;1;0.9491881417346865;1.056062868963254;4;3;;1525;
Mon 14:00.000000;6;4056;4;2.721167877037651;3.32574471192169;12;5;2;2029;
Mon 15:00.000000;15;5448;9;7.208859020853856;10.12998770415253;29;24;6;2727;
Mon 16:00.000000;36;6636;20;8.36940023158901;17.987616262352642;33;36;16;3326;
Mon 17:00.000000;41;7628;23;10.739450646758103;24.370088063712874;42;58;18;3823;
Mon 18:00.000000;53;8625;34;12.793396221232367;38.07419224402823;51;91;19;4322;
Mon 19:00.000000;61;9308;37;13.774349599288588;44.893680600452505;56;113;24;4666;
Mon 20:00.000000;77;9927;44;15.014932709200604;52.07575937660829;63;129;33;4980;
Mon 21:00.000000;95;10480;59;16.272130819239536;62.62391110242037;68;143;36;5258;
Mon 22:00.000000;102;10790;66;16.611981986394476;67.0450226207283;70;149;36;5413;
Mon 23:04.475155;109;10921;70;16.981922243310883;70.02386985443734;71;153;39;5480;
Tue 03:00.000000;111;10923;72;16.981922243310883;70.89240090637519;71;153;39;5481;
Tue 04:00.000000;112;10964;72;16.981922243310883;71.22906625174984;71;155;40;5502;
Tue 05:00.000000;119;11185;76;17.80602473809126;73.45935307742256;75;157;43;5614;
Tue 06:00.000000;128;11867;77;21.34307557200415;76.83835850431461;85;174;51;5959;
Tue 07:00.000000;164;12865;101;27.201176947860876;96.20340245494432;105;208;63;6464;
Tue 08:00.000000;193;13281;122;30.01116886758489;110.87372685290484;114;226;71;6676;
Tue 09:00.000000;207;13576;127;31.07095121201282;116.21601546987719;118;237;80;6828;
Tue 10:01.000000;212;13875;127;32.23689928310994;117.82048736843001;123;245;85;6980;
Tue 11:00.000000;224;14206;130;32.76637222198249;122.117846397011;126;254;94;7150;
Tue 12:00.000000;238;14670;136;34.42532835339496;128.49247305211998;132;263;102;7386;
Tue 13:00.000000;251;15239;148;35.9545361634917;136.45133655025433;138;273;103;7671;
Tue 14:00.000000;261;15836;153;37.43627519829862;141.5621543175122;144;285;108;7972;
Tue 15:00.000000;282;16587;161;40.675732926801864;146.3073672067096;159;289;121;8354;
Tue 16:00.000000;304;17289;175;43.64497822632363;155.33322281011124;168;302;129;8709;
Tue 17:00.000000;324;17894;188;45.06527938082314;163.69872253504013;174;315;136;9015;
Tue 18:00.000000;338;18431;197;46.26002231933989;169.6152537875695;179;326;141;9286;
Tue 19:00.000000;346;18938;202;47.203960426231276;173.8568936261227;183;336;144;9541;
Tue 20:00.000000;364;19371;217;47.363963791759836;183.5889261401748;184;350;147;9759;
Tue 21:00.000000;380;19752;228;47.74537787070169;192.86068472769193;187;363;152;9952;
Tue 22:00.257586;386;19991;233;49.772996580954334;196.51703386205142;192;370;153;10072;
Tue 23:07.049622;396;20099;239;51.08021653838254;200.8825457283435;196;375;157;10128;
Wed 03:01.000000;396;20101;239;51.08021653838254;200.8825457283435;196;375;157;10129;
Wed 04:00.000000;399;20153;240;51.20735456469649;201.60270984859264;197;377;159;10156;
Wed 05:00.000000;407;20407;244;52.87963925731295;205.2507254179604;205;380;163;10285;
Wed 06:00.000000;441;21017;254;59.1401669168282;215.0583869834444;228;402;187;10602;
Wed 07:00.000000;494;21877;279;71.7383286160539;237.39835905018694;268;455;215;11046;
Wed 08:00.000000;535;22344;315;76.00876466004524;264.3710917140951;284;491;220;11282;
Wed 09:00.000000;555;22658;329;79.42781428947957;275.6673687254386;297;513;226;11442;
Wed 10:00.000000;574;23105;337;81.17876938076387;281.91817890168005;302;525;237;11671;
Wed 11:00.000000;613;23577;364;83.9447207372018;297.79788984826683;310;543;249;11913;
Wed 12:00.000000;646;24138;378;86.82515268692111;306.0971298818419;318;558;268;12203;
Wed 13:00.000000;680;24851;393;91.06302746149832;320.14837415372807;331;582;287;12569;
Wed 14:00.000000;736;25848;412;96.89818156269367;336.1429590798152;353;611;324;13086;
Wed 15:00.000000;780;27105;423;106.0965701368319;346.17843710236923;385;633;357;13731;
Wed 16:00.000000;825;28213;434;110.42859978763639;356.9738060958313;397;659;391;14302;
Wed 17:00.000000;875;29212;455;114.50481996380792;368.49672397767426;410;670;420;14816;
Wed 18:00.000000;914;29944;472;119.41042360038222;380.9887280328564;428;687;442;15193;
Wed 19:00.000000;951;30547;488;123.73606893965012;391.72033190853284;444;703;463;15505;
Wed 20:00.000000;971;31160;499;126.38494862335241;402.30553443947935;454;725;472;15816;
Wed 21:00.000000;1002;31667;519;129.3289313617121;415.3608969253498;466;740;483;16075;
Wed 22:00.154859;1028;31988;534;132.0283489489678;426.4535328891328;474;754;494;16241;
Wed 23:03.228907;1048;32141;551;132.36675388549378;435.66956688127806;475;759;497;16319;
Thu 03:00.000000;1051;32143;554;132.36675388549378;437.79236760633194;475;760;497;16320;
Thu 04:01.000000;1055;32222;555;133.2905646456859;439.0455214847897;477;763;500;16361;
Thu 05:00.000000;1063;32473;558;137.26999849850748;441.8987423142269;488;768;505;16489;
Thu 06:00.000000;1127;33272;583;144.11638339392894;460.41815775237353;514;797;544;16908;
Thu 07:00.000000;1253;34214;655;158.97413231864303;514.7225064933828;565;879;598;17406;
Thu 08:00.000000;1350;34724;718;165.78266848576115;565.2619473741196;587;947;632;17678;
Thu 09:00.000000;1401;35187;750;167.09896183031688;589.9133084242247;593;988;651;17919;
Thu 10:00.000000;1444;35678;772;171.67335005717013;606.4808302916467;609;1018;672;18175;
Thu 11:00.000000;1483;36337;794;176.37002191323847;622.9415696082679;624;1045;689;18513;
Thu 12:00.000000;1509;36968;803;181.2935999292274;632.9072756732894;644;1071;706;18837;
Thu 13:00.000000;1551;37683;830;185.15685877771222;652.3334512415164;658;1092;721;19202;
Thu 14:00.000000;1596;38712;852;191.8620978809541;674.3833243196514;680;1141;744;19728;
Thu 15:00.000000;1633;39963;868;197.5789081639219;689.5545032764744;698;1185;765;20364;
Thu 16:00.000000;1688;41141;899;202.36577896583404;710.4505323092745;711;1216;789;20965;
Thu 17:00.000000;1738;42090;930;212.75736092177044;732.0878828556081;745;1246;808;21449;
Thu 18:00.000000;1777;42884;949;221.1529754927128;745.0767797252887;773;1264;828;21856;
Thu 19:00.000000;1808;43598;966;223.58931090007044;756.0903033936403;781;1279;842;22220;
Thu 20:00.000000;1840;44286;978;228.20221048964723;768.1165896230538;796;1310;862;22574;
Thu 21:00.000000;1875;44872;997;231.32562470198908;784.4315459178172;808;1338;878;22875;
Thu 22:00.000000;1891;45190;1007;232.55166817329263;791.2427694039702;811;1347;884;23037;
Thu 23:05.944115;1906;45365;1017;233.08182995719827;797.2562509518687;814;1352;889;23127;
Fri 03:00.000000;1907;45367;1018;233.08182995719827;798.1091222278039;814;1354;889;23128;
Fri 04:00.000000;1908;45439;1019;233.3450620050997;799.0440182621314;815;1356;889;23164;
Fri 05:00.000000;1928;45709;1031;234.50422435978965;809.7599829388844;819;1375;897;23303;
Fri 06:00.000000;1982;46393;1065;240.35311709407418;838.5073274235248;836;1424;917;23655;
Fri 07:00.000000;2153;47322;1197;247.7552380904525;928.6532983505772;858;1521;956;24139;
Fri 08:00.000000;2251;47828;1277;251.3720667134249;984.5544130879814;870;1569;974;24401;
Fri 09:00.000000;2304;48254;1310;253.99243849115615;1012.5399571172157;877;1603;994;24624;
Fri 10:00.000000;2350;48794;1332;259.7199585077691;1035.7296329260669;894;1637;1018;24906;
Fri 11:00.000000;2409;49408;1363;262.38857038611826;1061.4465684960585;904;1665;1046;25227;
Fri 12:00.000000;2431;50096;1377;268.04809765042455;1076.22360945238;924;1698;1054;25575;
Fri 13:00.000000;2479;51014;1391;275.71078431681445;1092.521072967261;948;1741;1088;26051;
Fri 14:00.000000;2536;52228;1426;282.6274027829061;1118.8931353750017;972;1788;1110;26669;
Fri 15:00.000000;2592;53428;1454;289.33192145848415;1153.6954235316555;995;1847;1138;27283;
Fri 16:00.000000;2655;54555;1480;297.6672547668097;1181.4894761569778;1021;1912;1175;27865;
Fri 17:00.000000;2713;55602;1499;305.70823234151806;1201.7136944676379;1049;1962;1214;28408;
Fri 18:00.000000;2759;56490;1527;314.54189525457855;1227.6518811289184;1082;2005;1232;28861;
Fri 19:00.000000;2797;57178;1551;319.3830739309494;1249.1550770683593;1101;2048;1246;29212;
Fri 20:00.000000;2820;57726;1560;320.990473671492;1257.679846927182;1109;2070;1260;29493;
