Time;Failed events;events;long_congestion;roaming distance for bikes;roaming distance for locks;roaming for bikes;short_congestion;starvation;trips;
Mon 07:00.000000;;12;;;;;;;6;
Mon 08:00.000000;;458;;;;;;;229;
Mon 09:00.000000;;876;;;0.5423885750549717;;3;;438;
Mon 10:00.000000;1;1323;;0.46190538009606286;2.1573513363291235;1;11;1;662;
Mon 11:00.000000;2;1910;;1.0124132067408567;4.312205798406462;4;21;2;956;
Mon 12:00.000000;2;2446;;1.0124132067408567;6.347185577916;4;35;2;1224;
Mon 13:00.000000;13;3191;10;1.556357886187802;13.362756331807617;7;47;3;1597;
Mon 14:00.000000;34;4149;23;3.5994274662685166;24.813335635748576;14;73;11;2080;
Mon 15:00.000000;96;5510;68;7.079466753581809;53.85589632623523;32;110;28;2769;
Mon 16:00.000000;157;6764;111;11.642314268795634;81.5027642174492;50;135;46;3405;
Mon 17:00.000000;187;7756;127;15.990192331992928;95.00104767573393;64;152;60;3908;
Mon 18:00.000000;227;8703;152;18.620950238301862;113.47025681794325;74;183;75;4389;
Mon 19:00.000000;284;9411;181;21.141132797310057;130.54970386580038;84;197;103;4757;
Mon 20:00.000000;323;10009;200;22.688914078953378;144.5092909761416;89;217;123;5066;
Mon 21:00.000000;353;10518;213;26.296733907355986;154.32188391157683;100;231;140;5329;
Mon 22:00.000000;376;10808;230;26.49717261239277;166.0475457279812;101;245;146;5477;
Tue 04:00.000000;396;10960;244;27.64639234082581;173.35800095753422;105;249;152;5556;
Tue 05:00.000000;404;11209;249;28.59281162891282;178.16346966749867;108;262;155;5682;
Tue 06:00.000000;455;11918;279;33.76747489251828;201.06893521459017;125;300;176;6047;
Tue 07:00.000000;578;12864;358;42.80174962543001;256.1840548945995;152;360;220;6542;
Tue 08:00.000000;661;13250;427;45.49667669869058;302.81290621744336;163;390;234;6742;
Tue 09:00.000000;720;13525;471;49.82950787077868;332.20593810916876;178;405;249;6887;
Tue 10:00.000000;761;13811;500;51.87192934331292;354.2520418216927;185;427;261;7036;
Tue 11:00.000000;827;14197;546;54.72302584100089;385.832224246069;194;445;281;7239;
Tue 12:00.000000;910;14644;594;58.42337039954907;417.8419288629686;206;465;316;7480;
Tue 13:00.000000;985;15162;645;64.33037808344426;455.7252867243971;225;499;340;7751;
Tue 14:00.000000;1068;15738;690;71.76074788500115;489.4908796367091;249;533;378;8058;
Tue 15:00.000000;1156;16456;736;77.1710824953345;521.755726410787;265;575;420;8438;
Tue 16:00.000000;1232;17143;785;84.55495483803614;556.6858349429851;290;624;447;8795;
Tue 17:00.000000;1333;17717;854;90.57136573516301;603.0337815492559;307;649;479;9098;
Tue 18:00.000000;1410;18207;901;97.79137927382388;633.250783376882;329;664;509;9358;
Tue 19:00.000000;1475;18628;935;101.9799466779438;660.0271382829548;339;699;540;9584;
Tue 20:00.000000;1565;19044;991;104.79528408869513;694.4891318524919;346;720;574;9809;
Tue 21:00.000000;1632;19381;1033;108.18148578939562;721.833791759278;357;742;599;9990;
Wed 03:00.000000;1679;19698;1057;110.9492604940257;741.8722518746149;366;764;622;10160;
Wed 04:00.000000;1687;19746;1063;111.177094676344;746.1360032561187;367;767;624;10185;
Wed 05:00.000000;1736;19960;1102;113.31074697361363;771.0448350473704;376;771;634;10297;
Wed 06:00.000000;1910;20545;1239;119.4229510738736;860.1776477838964;397;802;671;10608;
Wed 07:00.000000;2292;21388;1538;133.2922283952777;1076.7784780712516;434;896;754;11071;
Wed 08:00.000000;2557;21851;1754;142.43824996164392;1238.2930364960982;461;966;803;11327;
Wed 09:00.000000;2709;22176;1871;147.77354218484055;1318.81874569459;479;998;838;11507;
Wed 11:00.000000;2955;23042;2045;157.04680526155985;1447.9859725362899;508;1058;910;11976;
Wed 12:00.000000;3086;23525;2123;164.69969932457937;1500.217113767168;531;1091;963;12244;
Wed 13:00.000000;3279;24082;2271;173.96659786681548;1592.4548334571414;559;1128;1008;12545;
Wed 14:00.000000;3553;24967;2452;184.02140388952947;1702.4414798113453;590;1206;1101;13034;
Wed 15:00.000000;3765;26120;2561;196.32792312057083;1778.3773684298267;624;1288;1204;13662;
Wed 16:00.000000;3962;27191;2699;205.30863632748446;1861.6699563301413;653;1350;1263;14227;
Wed 17:00.000000;4172;28111;2841;216.538037076372;1949.5029703114776;689;1420;1331;14721;
Wed 18:00.000000;4392;28831;3003;226.2984518392769;2061.047041351512;716;1485;1389;15110;
Wed 19:00.000000;4552;29428;3124;234.50640273362694;2137.295708641525;742;1528;1428;15428;
Wed 20:00.000000;4692;29989;3217;241.5634785033979;2193.481041504353;764;1552;1475;15732;
Wed 21:00.000000;4800;30480;3298;245.61041262446977;2249.63853749716;779;1596;1502;15991;
Thu 03:00.000000;4902;30930;3376;248.89267990208;2297.314373322441;789;1627;1526;16228;
Thu 04:00.000000;4914;30986;3384;249.93693623368787;2301.5835240536308;792;1628;1530;16258;
Thu 05:00.000000;4977;31210;3437;252.25917704116762;2334.945824937445;801;1641;1540;16375;
Thu 06:00.000000;5236;32021;3643;264.884933653813;2489.1744141115955;840;1703;1593;16807;
Thu 07:00.000000;5843;32994;4121;282.8005921351562;2838.495549142697;893;1861;1722;17358;
Thu 08:00.000000;6196;33497;4415;293.1409720194917;3059.9835133655547;922;1926;1781;17639;
Thu 09:00.000000;6387;33939;4562;299.3681784141082;3159.010326286238;942;1955;1825;17882;
Thu 10:00.000000;6596;34415;4723;308.8451189109945;3270.37872902045;972;2007;1873;18144;
Thu 11:00.000000;6812;34964;4884;317.6409026753263;3371.032740471638;997;2044;1928;18446;
Thu 12:00.000000;7017;35606;5021;328.38335826018283;3459.654460059918;1029;2090;1996;18801;
Thu 13:00.000000;7216;36280;5150;339.80222387398396;3549.1077376680832;1064;2158;2066;19173;
Thu 14:00.000000;7474;37230;5314;352.0789214957187;3653.636053155388;1098;2236;2160;19695;
Thu 15:00.000000;7709;38343;5452;361.01809751780695;3743.952187549174;1124;2318;2257;20300;
Thu 16:00.000000;7966;39434;5612;372.2524082081374;3846.810139606801;1158;2408;2354;20894;
Thu 17:00.000000;8229;40361;5810;381.0051284385305;3967.080746913898;1182;2484;2419;21390;
Thu 18:00.000000;8567;41105;6094;388.3480292876406;4140.620627357957;1204;2568;2473;21789;
Thu 19:00.000000;8739;41789;6216;400.27190327767323;4217.807058105202;1238;2604;2523;22156;
Thu 20:00.000000;8894;42443;6317;406.30852721040725;4282.9911221725715;1256;2653;2577;22510;
Thu 21:00.000000;9076;42947;6451;411.19475911325446;4367.163544384833;1269;2679;2625;22786;
Thu 22:00.000000;9157;43230;6515;413.25075921379084;4409.782759133249;1274;2694;2642;22936;
Fri 03:00.000000;9208;43389;6561;414.5921441643415;4439.570970505045;1278;2705;2647;23018;
Fri 04:00.000000;9234;43464;6586;416.71524867278924;4460.010422236778;1283;2705;2648;23056;
Fri 05:00.000000;9331;43696;6659;418.36690831374864;4510.782711880807;1290;2718;2672;23184;
Fri 06:00.000000;9583;44292;6839;431.3274905678929;4649.701981439281;1330;2784;2744;23518;
Fri 07:00.000000;10013;45077;7168;446.7370912201655;4878.258745781798;1383;2866;2845;23961;
Fri 08:00.000000;10339;45564;7413;453.06627852265393;5045.7208607022985;1404;2957;2926;24245;
Fri 09:00.000000;10619;45968;7645;455.797472244857;5192.855651460285;1412;3004;2974;24471;
Fri 10:00.000000;10831;46468;7789;463.30684013286645;5286.136773059521;1435;3047;3042;24755;
Fri 11:00.000000;11036;46996;7920;471.77358231049834;5383.326036711595;1464;3085;3116;25056;
Fri 12:00.000000;11239;47618;8069;480.34780982902464;5483.0714653462865;1490;3154;3170;25394;
Fri 13:00.000000;11515;48441;8234;492.20846492201264;5607.146407737327;1527;3248;3281;25861;
Fri 14:00.000000;11865;49486;8429;503.9557105215136;5737.200482568851;1564;3343;3436;26461;
Fri 15:00.000000;12177;50643;8622;514.2891693149005;5878.109396654652;1595;3464;3555;27099;
Fri 16:00.000000;12481;51682;8823;527.4176612198804;6015.037163546378;1633;3574;3658;27670;
Fri 17:00.000000;12826;52605;9057;535.8571705036585;6168.135209182889;1661;3650;3769;28187;
Fri 18:00.000000;13040;53459;9223;543.5540676802425;6273.977721140827;1682;3715;3817;28638;
