episode,mean_loss,lr,tau,polyak,service_level,buffer_size,n_updates,elapsed_s,mean_value_spread,mean_reward,pct_zero_reward,fallback_rate,reward_norm_std,pct_idx0,mean_chosen_idx,pct_maintenance,greedy_sl,bypass_mean_deficit,bypass_pct_same,mean_v_pred,n_step_terminal,reward_ema_mean,grad_norm
1,0.489857,0.001,0.5,0.0005,0.8823,959,28,178.7,0.006789,-4.11021,0.0,0.0,5.0868,2.9,25.03,9.7,,0.7201,0.0,-0.16864,0,-3.5106,0.0646
2,0.521135,0.000999,0.4994,0.0005,0.9011,1892,56,338.0,0.059463,-3.49814,0.0,0.0,4.3133,2.8,23.23,8.7,,0.7363,0.0,-0.16125,0,-3.1612,0.3003
3,0.489551,0.000998,0.4988,0.0005,0.8919,2901,88,511.6,0.668307,-3.55835,0.0,0.0,3.9131,2.0,23.03,9.5,,0.7087,0.0,-0.25793,0,-2.801,0.4788
4,0.458182,0.000996,0.4981,0.0005,0.8912,3969,124,701.6,0.784787,-3.36682,0.0,0.0,3.949,3.0,23.08,8.9,,0.7282,0.0,-0.54745,0,-2.7521,0.4809
5,0.497149,0.000995,0.4975,0.0005,0.9029,5040,156,897.6,0.779951,-3.0572,0.0,0.0,3.4835,2.4,24.68,9.0,,0.7258,0.0,-0.32836,0,-2.5077,0.4932
6,0.406803,0.000994,0.4969,0.0005,0.8924,6213,192,1097.9,1.241067,-3.04191,0.0,0.0,3.9341,2.6,22.91,8.4,,0.7447,0.0,-1.04479,0,-2.6657,0.4915
7,0.567711,0.000993,0.4963,0.0005,0.8988,7312,228,1303.7,0.975986,-3.0518,0.0,0.0,3.006,2.6,23.94,10.7,,0.7309,0.0,-0.28773,0,-2.4137,0.4994
8,0.361106,0.000992,0.4956,0.0005,0.8876,8516,264,1500.3,1.511954,-3.16199,0.0,0.0,3.7804,2.2,22.18,8.0,,0.7372,0.0,-1.00357,0,-2.7253,0.4999
9,0.301388,0.00099,0.495,0.0005,0.891,9578,296,1698.1,1.043767,-3.42484,0.0,0.0,4.1933,2.1,23.42,10.5,,0.731,0.0,-0.3269,0,-2.6099,0.4995
10,0.273706,0.000989,0.4944,0.0005,0.9025,10671,332,2122.9,0.971888,-2.94955,0.0,0.0,4.4408,3.0,22.91,9.1,0.8525,0.7357,0.0,-0.2354,0,-2.6082,0.4998
11,0.285728,0.000988,0.4938,0.0005,0.8889,11756,364,2310.1,1.090269,-3.39203,0.0,0.0,4.2975,2.2,22.14,8.9,,0.7122,0.0,-0.31605,0,-2.9957,0.4998
12,0.293253,0.000987,0.4931,0.0005,0.8906,12898,400,2536.6,1.416981,-3.1982,0.0,0.0,4.2258,3.2,23.54,9.2,,0.7345,0.0,-0.53424,0,-2.8391,0.5
13,0.331607,0.000986,0.4925,0.0005,0.8968,14012,400,2763.3,1.113759,-3.07678,0.0,0.0,3.9743,2.5,22.91,8.2,,0.7183,0.0,-0.38062,0,-2.4952,0.5
14,0.316207,0.000985,0.4919,0.0005,0.8922,15090,400,2972.6,1.063524,-3.36022,0.0,0.0,4.109,2.0,23.26,10.8,,0.7166,0.0,0.0038,0,-2.9662,0.5
15,0.311229,0.000983,0.4913,0.0005,0.887,16191,400,3191.5,1.219999,-3.38216,0.0,0.0,4.168,3.9,22.04,7.7,,0.7373,0.0,-0.05879,0,-2.783,0.4999
16,0.33495,0.000982,0.4906,0.0005,0.887,17292,400,3417.6,1.321912,-3.43205,0.0,0.0,4.032,2.7,23.16,8.9,,0.7202,0.0,-0.29313,0,-2.6395,0.5
17,0.37071,0.000981,0.49,0.0005,0.8838,18424,400,3624.1,1.267302,-3.38673,0.0,0.0,3.7701,2.2,21.89,7.1,,0.7322,0.0,-0.43876,0,-2.5878,0.5
18,0.3355,0.00098,0.4894,0.0005,0.8934,19566,400,3845.3,1.3157,-3.13771,0.0,0.0,4.2381,2.5,22.62,8.2,,0.7372,0.0,-0.14319,0,-2.9348,0.5
19,0.324764,0.000979,0.4888,0.0005,0.8938,20696,400,4071.7,1.294476,-3.17623,0.0,0.0,4.3929,2.6,22.62,8.8,,0.7362,0.0,-0.29666,0,-2.2775,0.5
20,0.426011,0.000977,0.4881,0.0005,0.9026,21793,400,4491.4,1.079616,-2.96571,0.0,0.0,3.6102,3.3,22.34,8.6,0.8487,0.7158,0.0,-0.31864,0,-2.2016,0.5
21,0.378568,0.000976,0.4875,0.0005,0.8814,23033,400,4703.4,1.565073,-3.21409,0.0,0.0,4.042,2.8,20.36,7.0,,0.7427,0.0,-0.73455,0,-2.7496,0.5
22,0.390902,0.000975,0.4869,0.0005,0.884,24177,400,4937.7,1.337666,-3.40402,0.0,0.0,3.9955,2.2,22.66,7.8,,0.716,0.0,-0.61362,0,-3.228,0.5
23,0.395352,0.000974,0.4863,0.0005,0.8847,25353,400,5154.5,1.528315,-3.27383,0.0,0.0,4.037,2.8,21.76,7.3,,0.7346,0.0,-0.34427,0,-2.8244,0.5
24,0.419855,0.000973,0.4856,0.0005,0.8883,26528,400,5382.7,1.499845,-3.19824,0.0,0.0,3.9547,2.2,22.23,8.3,,0.7322,0.0,-0.44624,0,-2.6869,0.5
25,0.436027,0.000971,0.485,0.0005,0.9038,27664,400,5602.7,1.324232,-2.86581,0.0,0.0,3.8681,2.3,23.1,7.7,,0.7282,0.0,-0.40888,0,-2.4851,0.5
26,0.482062,0.00097,0.4844,0.0005,0.8958,28800,400,5831.5,1.344529,-3.06686,0.0,0.0,3.5737,3.3,22.27,8.6,,0.7503,0.0,-0.49182,0,-2.5465,0.5
27,0.42508,0.000969,0.4838,0.0005,0.8925,29963,400,6062.7,1.52803,-3.11625,0.0,0.0,4.1037,3.0,23.35,7.8,,0.7078,0.0,-0.39159,0,-2.3802,0.5
28,0.494043,0.000968,0.4831,0.0005,0.9039,31071,400,6298.0,1.282383,-2.87989,0.0,0.0,3.5966,3.1,22.93,8.6,,0.7328,0.0,-0.12244,0,-2.5313,0.5
29,0.443692,0.000967,0.4825,0.0005,0.8919,32197,400,6515.7,1.417956,-3.15722,0.0,0.0,4.1457,2.6,21.46,7.5,,0.7083,0.0,-0.53401,0,-2.353,0.5
30,0.454204,0.000966,0.4819,0.0005,0.8911,33355,400,6937.1,1.463792,-3.12665,0.0,0.0,4.1137,2.5,21.93,7.5,0.8413,0.7364,0.0,-0.84093,0,-2.5513,0.5
31,0.457455,0.000964,0.4813,0.0005,0.8855,34442,400,7156.5,1.193925,-3.49112,0.0,0.0,4.1116,2.3,21.5,8.2,,0.7355,0.0,-0.66654,0,-2.9168,0.5
32,0.456317,0.000963,0.4806,0.0005,0.8869,35591,400,7394.9,1.482135,-3.29345,0.0,0.0,4.2668,3.0,21.84,8.4,,0.729,0.0,-0.76416,0,-2.8421,0.5
33,0.540206,0.000962,0.48,0.0005,0.8946,36795,400,7639.7,1.531399,-2.9586,0.0,0.0,3.4544,1.9,22.48,8.4,,0.7314,0.0,-0.65629,0,-2.3147,0.5
34,0.460915,0.000961,0.4794,0.0005,0.8919,37964,400,7876.1,1.608962,-3.09797,0.0,0.0,4.2033,2.1,22.33,8.0,,0.7217,0.0,-0.82185,0,-2.8377,0.5
35,0.493859,0.00096,0.4788,0.0005,0.8928,39102,400,8080.9,1.372545,-3.14806,0.0,0.0,3.8995,2.6,20.51,8.0,,0.7365,0.0,-0.68965,0,-2.4195,0.5
36,0.494535,0.000958,0.4781,0.0005,0.8996,40188,400,8301.3,1.228764,-3.10824,0.0,0.0,3.9169,2.9,24.21,10.1,,0.7115,0.0,-0.58664,0,-2.6873,0.5
37,0.465165,0.000957,0.4775,0.0005,0.8882,41257,400,8523.9,1.340985,-3.52132,0.0,0.0,4.4585,1.4,23.3,9.0,,0.7356,0.0,-0.3915,0,-3.0992,0.5
38,0.548063,0.000956,0.4769,0.0005,0.9087,42379,400,8749.6,1.280076,-2.6985,0.0,0.0,3.5859,2.1,22.86,7.8,,0.7144,0.0,-0.20428,0,-2.3127,0.5
39,0.656389,0.000955,0.4763,0.0005,0.9039,43507,400,8978.0,1.404676,-2.88518,0.0,0.0,3.0061,2.6,22.9,9.1,,0.7154,0.0,-0.5797,0,-2.2698,0.5
40,0.571744,0.000954,0.4756,0.0005,0.897,44692,400,9426.5,1.549295,-2.94296,0.0,0.0,3.599,2.4,22.56,9.4,0.8483,0.7147,0.0,-0.80328,0,-2.5432,0.5
41,0.567679,0.000952,0.475,0.0005,0.8915,45800,400,9648.7,1.399542,-3.27692,0.0,0.0,3.5844,2.8,23.13,8.9,,0.7285,0.0,-0.82508,0,-2.5819,0.5
42,0.594363,0.000951,0.4744,0.0005,0.8918,46979,400,9873.4,1.727333,-3.06373,0.0,0.0,3.5512,2.4,22.16,8.1,,0.741,0.0,-1.33966,0,-2.4666,0.5
43,0.591442,0.00095,0.4738,0.0005,0.8866,48148,400,10079.2,1.442334,-3.24561,0.0,0.0,3.6269,3.7,20.61,8.0,,0.7392,0.0,-0.83222,0,-2.5005,0.5
44,0.557761,0.000949,0.4731,0.0005,0.8958,49339,400,10294.8,1.624847,-2.92551,0.0,0.0,4.0289,2.4,21.94,7.8,,0.7297,0.0,-0.95662,0,-2.5772,0.5
45,0.577792,0.000948,0.4725,0.0005,0.9022,50000,400,10528.9,1.275087,-2.94171,0.0,0.0,3.8446,2.6,21.99,7.8,,0.7104,0.0,-0.40115,0,-2.6947,0.5
46,0.55302,0.000946,0.4719,0.0005,0.9058,50000,400,10765.1,1.348951,-2.82437,0.0,0.0,3.9523,2.6,23.15,8.2,,0.7149,0.0,-0.61271,0,-2.4346,0.5
47,0.55908,0.000945,0.4713,0.0005,0.8916,50000,400,10990.8,1.386039,-3.33039,0.0,0.0,4.0287,2.6,22.38,8.0,,0.7366,0.0,-0.76343,0,-2.3998,0.5
48,0.581099,0.000944,0.4706,0.0005,0.8883,50000,400,11223.1,1.403519,-3.18655,0.0,0.0,3.8086,3.4,22.02,8.7,,0.7317,0.0,-1.01846,0,-2.593,0.5
49,0.546241,0.000943,0.47,0.0005,0.9003,50000,400,11440.4,1.297392,-3.17862,0.0,0.0,4.1834,2.5,24.15,9.9,,0.7293,0.0,-0.83206,0,-2.6247,0.5
50,0.584553,0.000942,0.4694,0.0005,0.8972,50000,400,11870.7,1.381684,-2.99329,0.0,0.0,3.7869,2.8,22.99,8.9,0.8627,0.7117,0.0,-1.13103,0,-2.4565,0.5
51,0.553667,0.000941,0.4688,0.0005,0.9009,50000,400,12079.7,1.453443,-2.88105,0.0,0.0,4.1465,3.7,20.88,8.3,,0.7299,0.0,-1.22002,0,-2.5389,0.5
52,0.516134,0.000939,0.4681,0.0005,0.8837,50000,400,12285.9,1.406636,-3.53753,0.0,0.0,4.785,3.3,22.71,8.9,,0.7189,0.0,-1.62746,0,-3.3892,0.5
53,0.560258,0.000938,0.4675,0.0005,0.8969,50000,400,12503.2,1.315413,-3.22715,0.0,0.0,4.1013,2.7,23.69,10.2,,0.7238,0.0,-0.5949,0,-2.6944,0.5
54,0.588463,0.000937,0.4669,0.0005,0.8894,50000,400,12718.4,1.359626,-3.38402,0.0,0.0,3.765,3.1,21.62,8.2,,0.7224,0.0,-1.55896,0,-2.7977,0.5
55,0.546048,0.000936,0.4663,0.0005,0.8917,50000,400,12936.2,1.385681,-3.32258,0.0,0.0,4.3396,2.2,23.05,9.6,,0.7139,0.0,-1.16486,0,-3.0255,0.5
56,0.592611,0.000935,0.4657,0.0005,0.8976,50000,400,13171.2,1.352339,-3.24592,0.0,0.0,3.7531,2.1,23.62,10.1,,0.7213,0.0,-0.54461,0,-2.8119,0.5
57,0.550111,0.000933,0.465,0.0005,0.8939,50000,400,13407.0,1.452625,-3.14155,0.0,0.0,4.2176,2.6,22.41,8.2,,0.717,0.0,-1.52135,0,-2.6202,0.5
58,0.580111,0.000932,0.4644,0.0005,0.8947,50000,400,13654.6,1.381787,-3.12615,0.0,0.0,3.8545,2.6,24.08,8.6,,0.7196,0.0,-1.00456,0,-2.4658,0.5
59,0.688162,0.000931,0.4638,0.0005,0.9111,50000,400,13874.2,1.420385,-2.56881,0.0,0.0,3.0772,2.9,21.68,7.8,,0.716,0.0,-1.22424,0,-1.9687,0.5
60,0.662428,0.00093,0.4632,0.0005,0.9046,50000,400,14321.4,1.515849,-2.88548,0.0,0.0,3.2709,2.5,22.73,8.1,0.8574,0.7067,0.0,-1.1986,0,-2.3266,0.5
61,0.587249,0.000929,0.4625,0.0005,0.8892,50000,400,14566.2,1.599828,-3.30194,0.0,0.0,4.0073,2.9,22.58,9.1,,0.7264,0.0,-1.63216,0,-2.7039,0.5
62,0.594631,0.000927,0.4619,0.0005,0.891,50000,400,14785.0,1.580013,-3.25296,0.0,0.0,4.0447,3.6,22.69,8.3,,0.7246,0.0,-0.86273,0,-2.6464,0.5
63,0.531225,0.000926,0.4613,0.0005,0.8968,50000,400,15003.6,1.365093,-3.26794,0.0,0.0,4.6678,2.5,23.48,9.1,,0.7118,0.0,-0.9781,0,-2.9458,0.5
64,0.557435,0.000925,0.4607,0.0005,0.8968,50000,400,15234.2,1.357894,-3.09182,0.0,0.0,4.3362,2.1,23.13,9.3,,0.726,0.0,-1.15606,0,-2.7485,0.5
65,0.567445,0.000924,0.46,0.0005,0.8939,50000,400,15473.0,1.395286,-3.21773,0.0,0.0,4.1952,3.0,22.81,9.9,,0.7272,0.0,-1.46775,0,-2.8943,0.5
66,0.554646,0.000923,0.4594,0.0005,0.8976,50000,400,15688.9,1.423619,-2.98157,0.0,0.0,4.2877,3.8,22.02,8.7,,0.7237,0.0,-0.7148,0,-2.3187,0.5
67,0.561375,0.000922,0.4588,0.0005,0.896,50000,400,15916.1,1.324113,-3.16675,0.0,0.0,4.3316,3.0,22.72,7.8,,0.7159,0.0,-1.04946,0,-2.7168,0.5
