Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
1,V0,1,S0,420,0,7,0,0.0
1,V0,2,S21,439.35,0,7,19,19.35
1,V0,3,S0,448.7,0,7,28,9.35
1,V0,4,S11,468.6,0,7,48,19.89
1,V0,5,S35,484.31,0,8,4,15.71
1,V0,6,S42,508.62,0,8,28,24.31
1,V0,7,S57,517.45,0,8,37,8.83
1,V0,8,S57,545.45,0,9,5,28.0
1,V0,9,S35,549.68,0,9,9,4.23
1,V0,10,S50,557.28,0,9,17,7.61
1,V0,11,S29,565.07,0,9,25,7.79
1,V0,12,S54,573.0,0,9,33,7.93
1,V0,13,S55,582.5,0,9,42,9.5
1,V0,14,S53,597.5,0,9,57,15.0
1,V0,15,S63,604.99,0,10,4,7.49
1,V0,16,S43,611.12,0,10,11,6.14
1,V0,17,S16,626.06,0,10,26,14.93
1,V0,18,S44,631.79,0,10,31,5.73
1,V0,19,S33,637.57,0,10,37,5.78
1,V0,20,S52,643.31,0,10,43,5.73
1,V0,21,S37,652.49,0,10,52,9.18
1,V0,22,S52,671.67,0,11,11,19.18
1,V0,23,S44,690.5,0,11,30,18.83
1,V0,24,S55,698.34,0,11,38,7.84
1,V0,25,S29,708.34,0,11,48,10.0
1,V0,26,S10,720.0,0,12,0,11.66
1,V0,27,S32,728.25,0,12,8,8.25
1,V0,28,S53,739.19,0,12,19,10.94
1,V0,29,S52,746.69,0,12,26,7.51
1,V0,30,S16,752.76,0,12,32,6.07
1,V0,31,S37,762.23,0,12,42,9.47
1,V0,32,S59,783.23,0,13,3,21.0
1,V0,33,S59,811.23,0,13,31,28.0
1,V0,34,S64,815.98,0,13,35,4.75
1,V0,35,S66,824.23,0,13,44,8.25
1,V0,36,S31,838.7,0,13,58,14.47
1,V0,37,S66,851.97,0,14,11,13.27
1,V0,38,S54,865.47,0,14,25,13.5
1,V0,39,S29,875.39,0,14,35,9.93
1,V0,40,S34,880.82,0,14,40,5.43
1,V0,41,S62,891.12,0,14,51,10.3
1,V0,42,S16,901.53,0,15,1,10.41
1,V0,43,S44,907.77,0,15,7,6.23
1,V0,44,S43,921.01,0,15,21,13.24
1,V0,45,S44,928.8,0,15,28,7.79
1,V0,46,S4,937.23,0,15,37,8.43
1,V0,47,S18,945.03,0,15,45,7.8
1,V0,48,S49,956.13,0,15,56,11.11
1,V0,49,S66,966.4,0,16,6,10.26
1,V0,50,S66,994.4,0,16,34,28.0
1,V0,51,S62,1000.32,0,16,40,5.92
1,V0,52,S62,1028.32,0,17,8,28.0
1,V0,53,S32,1043.77,0,17,23,15.45
1,V0,54,S55,1052.94,0,17,32,9.17
1,V0,55,S54,1076.89,0,17,56,23.95
1,V0,56,S44,1088.84,0,18,8,11.95
1,V0,57,S63,1094.8,0,18,14,5.97
1,V0,58,S43,1102.94,0,18,22,8.14
1,V0,59,S16,1109.02,0,18,29,6.08
1,V0,60,S44,1112.25,0,18,32,3.23
1,V0,61,S58,1122.04,0,18,42,9.79
1,V0,62,S4,1126.25,0,18,46,4.21
1,V0,63,S18,1143.05,0,19,3,16.8
1,V0,64,S60,1148.51,0,19,8,5.46
1,V0,65,S66,1157.74,0,19,17,9.23
1,V0,66,S31,1161.13,0,19,21,3.38
1,V0,67,S61,1175.13,0,19,35,14.01
1,V0,68,S62,1181.19,0,19,41,6.06
1,V0,69,S53,1189.38,0,19,49,8.18
1,V0,70,S4,1198.81,0,19,58,9.43
1,V0,71,S18,1205.31,0,20,5,6.5
1,V0,72,S31,1211.52,0,20,11,6.21
1,V0,73,S66,1219.9,0,20,19,8.38
1,V0,74,S61,1229.03,0,20,29,9.13
1,V0,75,S4,1233.9,0,20,33,4.87
1,V0,76,S58,1244.11,0,20,44,10.21
1,V0,77,S37,1247.82,0,20,47,3.71
1,V0,78,S61,1255.29,0,20,55,7.46
1,V0,79,S66,1264.41,0,21,4,9.13
1,V0,80,S27,1271.32,0,21,11,6.91
1,V0,81,S40,1279.0,0,21,18,7.68
1,V0,82,S54,1287.67,0,21,27,8.67
1,V0,83,S55,1296.62,0,21,36,8.95
1,V0,84,S56,1320.65,0,22,0,24.03
1,V0,85,S33,1330.45,0,22,10,9.8
1,V0,86,S44,1336.73,0,22,16,6.28
1,V0,87,S43,1343.02,0,22,23,6.29
1,V0,88,S58,1367.8,0,22,47,24.78
1,V0,89,S39,1862.8,1,7,2,495.0
1,V0,90,S39,1890.8,1,7,30,28.0
1,V0,91,S31,1899.3,1,7,39,8.5
1,V0,92,S66,1907.69,1,7,47,8.38
1,V0,93,S54,1919.77,1,7,59,12.08
1,V0,94,S54,1947.77,1,8,27,28.0
1,V0,95,S29,1957.2,1,8,37,9.43
1,V0,96,S50,1970.2,1,8,50,13.0
1,V0,97,S50,1998.2,1,9,18,28.0
1,V0,98,S29,2007.33,1,9,27,9.13
1,V0,99,S3,2014.84,1,9,34,7.51
1,V0,100,S46,2034.31,1,9,54,19.47
1,V0,101,S46,2062.31,1,10,22,28.0
1,V0,102,S16,2066.64,1,10,26,4.33
1,V0,103,S44,2073.87,1,10,33,7.23
1,V0,104,S44,2101.87,1,11,1,28.0
1,V0,105,S31,2108.61,1,11,8,6.74
1,V0,106,S4,2132.11,1,11,32,23.5
1,V0,107,S4,2160.11,1,12,0,28.0
1,V0,108,S37,2168.86,1,12,8,8.75
1,V0,109,S37,2196.86,1,12,36,28.0
1,V0,110,S54,2204.84,1,12,44,7.98
1,V0,111,S29,2211.27,1,12,51,6.43
1,V0,112,S54,2220.7,1,13,0,9.43
1,V0,113,S33,2229.8,1,13,9,9.1
1,V0,114,S52,2235.54,1,13,15,5.73
1,V0,115,S4,2251.97,1,13,31,16.43
1,V0,116,S18,2270.77,1,13,50,18.8
1,V0,117,S59,2277.7,1,13,57,6.93
1,V0,118,S38,2289.96,1,14,9,12.26
1,V0,119,S59,2298.2,1,14,18,8.24
1,V0,120,S58,2307.39,1,14,27,9.19
1,V0,121,S43,2327.17,1,14,47,19.78
1,V0,122,S16,2337.25,1,14,57,10.08
1,V0,123,S45,2342.09,1,15,2,4.84
1,V0,124,S33,2349.2,1,15,9,7.11
1,V0,125,S40,2355.21,1,15,15,6.01
1,V0,126,S62,2360.44,1,15,20,5.23
1,V0,127,S52,2367.6,1,15,27,7.16
1,V0,128,S58,2373.44,1,15,33,5.84
1,V0,129,S58,2401.44,1,16,1,28.0
1,V0,130,S37,2406.3,1,16,6,4.86
1,V0,131,S63,2412.58,1,16,12,6.28
1,V0,132,S52,2419.34,1,16,19,6.76
1,V0,133,S16,2428.4,1,16,28,9.07
1,V0,134,S59,2434.32,1,16,34,5.92
1,V0,135,S18,2452.75,1,16,52,18.43
1,V0,136,S18,2480.75,1,17,20,28.0
1,V0,137,S18,2508.75,1,17,48,28.0
1,V0,138,S64,2522.27,1,18,2,13.52
1,V0,139,S52,2531.38,1,18,11,9.11
1,V0,140,S46,2537.93,1,18,17,6.56
1,V0,141,S53,2546.8,1,18,26,8.87
1,V0,142,S45,2552.86,1,18,32,6.06
1,V0,143,S62,2558.13,1,18,38,5.27
1,V0,144,S45,2563.4,1,18,43,5.27
1,V0,145,S33,2568.01,1,18,48,4.61
1,V0,146,S62,2580.51,1,19,0,12.5
1,V0,147,S62,2604.51,1,19,24,24.0
1,V0,148,S33,2613.43,1,19,33,8.92
1,V0,149,S27,2619.81,1,19,39,6.37
1,V0,150,S31,2630.07,1,19,50,10.27
1,V0,151,S65,2641.27,1,20,1,11.2
1,V0,152,S47,2651.36,1,20,11,10.1
1,V0,153,S22,2660.19,1,20,20,8.82
1,V0,154,S7,2668.9,1,20,28,8.71
1,V0,155,S5,2684.21,1,20,44,15.31
1,V0,156,S13,2698.76,1,20,58,14.55
1,V0,157,S7,2705.37,1,21,5,6.6
1,V0,158,S13,2725.37,1,21,25,20.0
1,V0,159,S20,2735.27,1,21,35,9.9
1,V0,160,S7,2740.9,1,21,40,5.63
1,V0,161,S22,2747.11,1,21,47,6.21
1,V0,162,S65,2752.47,1,21,52,5.36
1,V0,163,S65,2779.47,1,22,19,27.0
1,V0,164,S18,2788.52,1,22,28,9.05
1,V0,165,S18,2811.52,1,22,51,23.0
1,V0,166,S18,3301.52,2,7,1,490.0
1,V0,167,S64,3310.04,2,7,10,8.52
1,V0,168,S66,3314.79,2,7,14,4.75
1,V0,169,S31,3324.18,2,7,24,9.38
1,V0,170,S62,3330.65,2,7,30,6.48
1,V0,171,S54,3340.93,2,7,40,10.28
1,V0,172,S29,3360.36,2,8,0,19.43
1,V0,173,S40,3370.44,2,8,10,10.08
1,V0,174,S33,3379.95,2,8,19,9.51
1,V0,175,S62,3388.9,2,8,28,8.95
1,V0,176,S40,3396.13,2,8,36,7.23
1,V0,177,S31,3403.66,2,8,43,7.53
1,V0,178,S61,3413.67,2,8,53,10.01
1,V0,179,S64,3418.6,2,8,58,4.93
1,V0,180,S61,3425.6,2,9,5,7.0
1,V0,181,S64,3431.03,2,9,11,5.43
1,V0,182,S18,3447.05,2,9,27,16.02
1,V0,183,S61,3453.28,2,9,33,6.23
1,V0,184,S66,3464.9,2,9,44,11.63
1,V0,185,S31,3468.29,2,9,48,3.38
1,V0,186,S30,3478.7,2,9,58,10.41
1,V0,187,S66,3489.83,2,10,9,11.13
1,V0,188,S60,3496.56,2,10,16,6.73
1,V0,189,S41,3501.43,2,10,21,4.87
1,V0,190,S59,3508.4,2,10,28,6.97
1,V0,191,S58,3518.28,2,10,38,9.88
1,V0,192,S37,3523.99,2,10,43,5.71
1,V0,193,S37,3549.99,2,11,9,26.0
1,V0,194,S60,3560.7,2,11,20,10.71
1,V0,195,S31,3574.6,2,11,34,13.89
1,V0,196,S66,3583.98,2,11,43,9.38
1,V0,197,S66,3611.98,2,12,11,28.0
1,V0,198,S31,3625.37,2,12,25,13.38
1,V0,199,S66,3637.25,2,12,37,11.88
1,V0,200,S27,3645.25,2,12,45,8.0
1,V0,201,S30,3656.43,2,12,56,11.18
1,V0,202,S65,3665.76,2,13,5,9.33
1,V0,203,S41,3675.99,2,13,15,10.23
1,V0,204,S60,3682.85,2,13,22,6.87
1,V0,205,S60,3710.85,2,13,50,28.0
1,V0,206,S18,3720.31,2,14,0,9.46
1,V0,207,S41,3728.14,2,14,8,7.83
1,V0,208,S60,3732.0,2,14,12,3.87
1,V0,209,S18,3736.46,2,14,16,4.46
1,V0,210,S59,3745.39,2,14,25,8.93
1,V0,211,S37,3754.87,2,14,34,9.48
1,V0,212,S16,3761.6,2,14,41,6.73
1,V0,213,S63,3767.91,2,14,47,6.31
1,V0,214,S63,3795.91,2,15,15,28.0
1,V0,215,S16,3804.21,2,15,24,8.31
1,V0,216,S44,3812.45,2,15,32,8.23
1,V0,217,S16,3830.45,2,15,50,18.0
1,V0,218,S44,3833.68,2,15,53,3.23
1,V0,219,S51,3840.51,2,16,0,6.83
1,V0,220,S46,3852.15,2,16,12,11.64
1,V0,221,S46,3880.15,2,16,40,28.0
1,V0,222,S32,3897.65,2,16,57,17.5
1,V0,223,S55,3905.82,2,17,5,8.17
1,V0,224,S54,3913.77,2,17,13,7.95
1,V0,225,S45,3924.21,2,17,24,10.44
1,V0,226,S44,3928.49,2,17,28,4.28
1,V0,227,S58,3935.78,2,17,35,7.29
1,V0,228,S58,3963.78,2,18,3,28.0
1,V0,229,S37,3972.49,2,18,12,8.71
1,V0,230,S52,3981.67,2,18,21,9.18
1,V0,231,S52,4009.67,2,18,49,28.0
1,V0,232,S64,4015.31,2,18,55,5.64
1,V0,233,S61,4023.24,2,19,3,7.93
1,V0,234,S39,4030.22,2,19,10,6.98
1,V0,235,S49,4053.06,2,19,33,22.84
1,V0,236,S49,4081.06,2,20,1,28.0
1,V0,237,S39,4097.06,2,20,17,16.0
1,V0,238,S39,4121.56,2,20,41,24.5
1,V0,239,S39,4149.56,2,21,9,28.0
1,V0,240,S18,4155.71,2,21,15,6.15
1,V0,241,S37,4164.14,2,21,24,8.43
1,V0,242,S33,4170.05,2,21,30,5.91
1,V0,243,S44,4174.82,2,21,34,4.78
1,V0,244,S16,4178.56,2,21,38,3.73
1,V0,245,S44,4183.29,2,21,43,4.73
1,V0,246,S63,4187.76,2,21,47,4.47
1,V0,247,S16,4193.56,2,21,53,5.81
1,V0,248,S44,4204.3,2,22,4,10.73
1,V0,249,S58,4210.34,2,22,10,6.04
1,V0,250,S43,4215.62,2,22,15,5.28
1,V0,251,S43,4243.62,2,22,43,28.0
1,V0,252,S48,4741.43,3,7,1,497.81
1,V0,253,S51,4749.27,3,7,9,7.84
1,V0,254,S63,4765.63,3,7,25,16.36
1,V0,255,S43,4772.77,3,7,32,7.14
1,V0,256,S52,4781.36,3,7,41,8.59
1,V0,257,S61,4790.71,3,7,50,9.34
1,V0,258,S66,4797.83,3,7,57,7.13
1,V0,259,S31,4801.72,3,8,1,3.88
1,V0,260,S60,4807.61,3,8,7,5.89
1,V0,261,S41,4822.61,3,8,22,15.0
1,V0,262,S66,4831.02,3,8,31,8.41
1,V0,263,S4,4837.36,3,8,37,6.35
1,V0,264,S61,4843.74,3,8,43,6.37
1,V0,265,S33,4850.91,3,8,50,7.17
1,V0,266,S40,4861.92,3,9,1,11.01
1,V0,267,S62,4867.15,3,9,7,5.23
1,V0,268,S66,4882.15,3,9,22,15.0
1,V0,269,S37,4896.22,3,9,36,14.07
1,V0,270,S43,4905.88,3,9,45,9.66
1,V0,271,S63,4913.51,3,9,53,7.64
