Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
1,V0,1,S0,420,0,7,0,0.0
1,V0,2,S21,439.35,0,7,19,19.35
1,V0,3,S0,453.7,0,7,33,14.35
1,V0,4,S21,473.05,0,7,53,19.35
1,V0,5,S0,478.76,0,7,58,5.7
1,V0,6,S35,485.22,0,8,5,6.47
1,V0,7,S42,505.72,0,8,25,20.5
1,V0,8,S35,512.53,0,8,32,6.81
1,V0,9,S1,528.56,0,8,48,16.03
1,V0,10,S57,533.22,0,8,53,4.66
1,V0,11,S54,543.72,0,9,3,10.5
1,V0,12,S53,551.18,0,9,11,7.46
1,V0,13,S33,558.32,0,9,18,7.14
1,V0,14,S62,564.75,0,9,24,6.42
1,V0,15,S61,574.81,0,9,34,10.06
1,V0,16,S52,583.81,0,9,43,9.0
1,V0,17,S16,597.87,0,9,57,14.07
1,V0,18,S44,606.11,0,10,6,8.23
1,V0,19,S64,615.81,0,10,15,9.7
1,V0,20,S4,623.69,0,10,23,7.89
1,V0,21,S18,629.49,0,10,29,5.8
1,V0,22,S60,634.45,0,10,34,4.96
1,V0,23,S31,643.34,0,10,43,8.89
1,V0,24,S61,648.85,0,10,48,5.51
1,V0,25,S62,656.06,0,10,56,7.21
1,V0,26,S29,665.35,0,11,5,9.29
1,V0,27,S55,677.97,0,11,17,12.62
1,V0,28,S56,685.01,0,11,25,7.03
1,V0,29,S53,694.56,0,11,34,9.56
1,V0,30,S63,699.55,0,11,39,4.99
1,V0,31,S52,703.81,0,11,43,4.26
1,V0,32,S46,720.79,0,12,0,16.98
1,V0,33,S16,730.11,0,12,10,9.33
1,V0,34,S63,736.11,0,12,16,6.0
1,V0,35,S16,750.92,0,12,30,14.81
1,V0,36,S54,760.95,0,12,40,10.04
1,V0,37,S29,770.38,0,12,50,9.43
1,V0,38,S33,782.71,0,13,2,12.32
1,V0,39,S44,796.99,0,13,16,14.28
1,V0,40,S66,804.4,0,13,24,7.42
1,V0,41,S31,812.79,0,13,32,8.38
1,V0,42,S41,825.79,0,13,45,13.0
1,V0,43,S66,834.79,0,13,54,9.0
1,V0,44,S4,848.54,0,14,8,13.75
1,V0,45,S62,857.52,0,14,17,8.99
1,V0,46,S34,863.33,0,14,23,5.8
1,V0,47,S62,874.13,0,14,34,10.8
1,V0,48,S54,885.48,0,14,45,11.36
1,V0,49,S55,890.93,0,14,50,5.45
1,V0,50,S53,901.09,0,15,1,10.16
1,V0,51,S46,919.59,0,15,19,18.5
1,V0,52,S63,928.61,0,15,28,9.02
1,V0,53,S16,931.91,0,15,31,3.31
1,V0,54,S44,938.65,0,15,38,6.73
1,V0,55,S64,946.35,0,15,46,7.7
1,V0,56,S60,959.95,0,15,59,13.61
1,V0,57,S31,966.85,0,16,6,6.89
1,V0,58,S41,973.61,0,16,13,6.77
1,V0,59,S31,990.11,0,16,30,16.5
1,V0,60,S66,999.0,0,16,38,8.88
1,V0,61,S15,1005.2,0,16,45,6.2
1,V0,62,S34,1013.7,0,16,53,8.5
1,V0,63,S62,1021.5,0,17,1,7.8
1,V0,64,S62,1049.5,0,17,29,28.0
1,V0,65,S40,1064.23,0,17,44,14.73
1,V0,66,S40,1092.23,0,18,12,28.0
1,V0,67,S54,1099.8,0,18,19,7.57
1,V0,68,S55,1108.75,0,18,28,8.95
1,V0,69,S3,1116.87,0,18,36,8.12
1,V0,70,S53,1123.08,0,18,43,6.2
1,V0,71,S45,1126.63,0,18,46,3.56
1,V0,72,S44,1131.91,0,18,51,5.28
1,V0,73,S16,1140.14,0,19,0,8.23
1,V0,74,S44,1148.38,0,19,8,8.23
1,V0,75,S63,1151.85,0,19,11,3.47
1,V0,76,S46,1164.8,0,19,24,12.96
1,V0,77,S44,1169.74,0,19,29,4.94
1,V0,78,S43,1175.54,0,19,35,5.79
1,V0,79,S43,1203.54,0,20,3,28.0
1,V0,80,S37,1208.19,0,20,8,4.66
1,V0,81,S37,1236.19,0,20,36,28.0
1,V0,82,S44,1245.55,0,20,45,9.36
1,V0,83,S46,1254.04,0,20,54,8.49
1,V0,84,S53,1262.91,0,21,2,8.87
1,V0,85,S45,1270.47,0,21,10,7.56
1,V0,86,S40,1284.97,0,21,24,14.5
1,V0,87,S62,1293.7,0,21,33,8.73
1,V0,88,S40,1306.7,0,21,46,13.0
1,V0,89,S40,1334.2,0,22,14,27.5
1,V0,90,S40,1362.2,0,22,42,28.0
1,V0,91,S33,1366.71,0,22,46,4.51
1,V0,92,S62,1861.21,1,7,1,494.5
1,V0,93,S61,1871.77,1,7,11,10.56
1,V0,94,S4,1878.64,1,7,18,6.87
1,V0,95,S37,1886.89,1,7,26,8.25
1,V0,96,S66,1894.46,1,7,34,7.57
1,V0,97,S18,1904.52,1,7,44,10.06
1,V0,98,S64,1917.92,1,7,57,13.4
1,V0,99,S61,1925.35,1,8,5,7.43
1,V0,100,S59,1935.7,1,8,15,10.35
1,V0,101,S59,1963.7,1,8,43,28.0
1,V0,102,S59,1991.7,1,9,11,28.0
1,V0,103,S64,2000.95,1,9,20,9.25
1,V0,104,S31,2015.45,1,9,35,14.5
1,V0,105,S66,2026.83,1,9,46,11.38
1,V0,106,S16,2038.83,1,9,58,12.0
1,V0,107,S43,2044.41,1,10,4,5.58
1,V0,108,S63,2051.05,1,10,11,6.64
1,V0,109,S43,2058.18,1,10,18,7.14
1,V0,110,S33,2066.25,1,10,26,8.06
1,V0,111,S33,2094.25,1,10,54,28.0
1,V0,112,S34,2100.93,1,11,0,6.68
1,V0,113,S29,2112.85,1,11,12,11.93
1,V0,114,S10,2116.51,1,11,16,3.66
1,V0,115,S54,2125.23,1,11,25,8.71
1,V0,116,S29,2137.16,1,11,37,11.93
1,V0,117,S54,2148.58,1,11,48,11.43
1,V0,118,S53,2154.05,1,11,54,5.46
1,V0,119,S46,2167.05,1,12,7,13.0
1,V0,120,S46,2195.05,1,12,35,28.0
1,V0,121,S54,2204.12,1,12,44,9.07
1,V0,122,S27,2213.2,1,12,53,9.09
1,V0,123,S62,2220.31,1,13,0,7.1
1,V0,124,S40,2224.29,1,13,4,3.99
1,V0,125,S31,2237.26,1,13,17,12.96
1,V0,126,S27,2250.52,1,13,30,13.27
1,V0,127,S62,2260.12,1,13,40,9.6
1,V0,128,S52,2264.67,1,13,44,4.55
1,V0,129,S37,2272.85,1,13,52,8.18
1,V0,130,S44,2282.21,1,14,2,9.36
1,V0,131,S16,2290.44,1,14,10,8.23
1,V0,132,S53,2297.67,1,14,17,7.23
1,V0,133,S55,2307.83,1,14,27,10.16
1,V0,134,S54,2315.28,1,14,35,7.45
1,V0,135,S33,2325.38,1,14,45,10.1
1,V0,136,S31,2331.56,1,14,51,6.18
1,V0,137,S64,2339.92,1,14,59,8.37
1,V0,138,S18,2347.44,1,15,7,7.52
1,V0,139,S4,2354.24,1,15,14,6.8
1,V0,140,S52,2368.24,1,15,28,14.0
1,V0,141,S37,2376.93,1,15,36,8.68
1,V0,142,S58,2391.63,1,15,51,14.71
1,V0,143,S43,2404.63,1,16,4,13.0
1,V0,144,S53,2414.72,1,16,14,10.08
1,V0,145,S45,2420.27,1,16,20,5.56
1,V0,146,S53,2425.83,1,16,25,5.56
1,V0,147,S44,2432.05,1,16,32,6.23
1,V0,148,S63,2440.52,1,16,40,8.47
1,V0,149,S43,2448.96,1,16,48,8.44
1,V0,150,S18,2457.05,1,16,57,8.09
1,V0,151,S31,2466.76,1,17,6,9.71
1,V0,152,S31,2494.76,1,17,34,28.0
1,V0,153,S66,2503.14,1,17,43,8.38
1,V0,154,S15,2524.14,1,18,4,21.0
1,V0,155,S27,2534.96,1,18,14,10.82
1,V0,156,S52,2545.64,1,18,25,10.68
1,V0,157,S44,2551.47,1,18,31,5.83
1,V0,158,S63,2554.94,1,18,34,3.47
1,V0,159,S53,2574.43,1,18,54,19.49
1,V0,160,S46,2597.93,1,19,17,23.5
1,V0,161,S52,2607.98,1,19,27,10.06
1,V0,162,S47,2621.38,1,19,41,13.4
1,V0,163,S30,2627.07,1,19,47,5.68
1,V0,164,S66,2638.3,1,19,58,11.23
1,V0,165,S66,2666.3,1,20,26,28.0
1,V0,166,S66,2694.3,1,20,54,28.0
1,V0,167,S16,2706.43,1,21,6,12.13
1,V0,168,S44,2714.67,1,21,14,8.23
1,V0,169,S37,2726.52,1,21,26,11.86
1,V0,170,S4,2740.27,1,21,40,13.75
1,V0,171,S18,2749.07,1,21,49,8.8
1,V0,172,S58,2755.66,1,21,55,6.59
1,V0,173,S37,2763.87,1,22,3,8.21
1,V0,174,S4,2773.62,1,22,13,9.75
1,V0,175,S58,2780.04,1,22,20,6.43
1,V0,176,S31,2786.75,1,22,26,6.71
1,V0,177,S39,2804.75,1,22,44,18.0
1,V0,178,S49,2813.59,1,22,53,8.84
1,V0,179,S33,3302.35,2,7,2,488.76
1,V0,180,S62,3311.28,2,7,11,8.92
1,V0,181,S44,3321.48,2,7,21,10.2
1,V0,182,S53,3339.48,2,7,39,18.0
1,V0,183,S36,3350.4,2,7,50,10.92
1,V0,184,S51,3358.78,2,7,58,8.39
1,V0,185,S48,3367.12,2,8,7,8.34
1,V0,186,S16,3378.85,2,8,18,11.73
1,V0,187,S63,3382.66,2,8,22,3.81
1,V0,188,S46,3388.64,2,8,28,5.98
1,V0,189,S45,3395.65,2,8,35,7.01
1,V0,190,S45,3421.65,2,9,1,26.0
1,V0,191,S62,3426.92,2,9,6,5.27
1,V0,192,S37,3444.02,2,9,24,17.1
1,V0,193,S37,3472.02,2,9,52,28.0
1,V0,194,S33,3479.72,2,9,59,7.71
1,V0,195,S62,3486.15,2,10,6,6.42
1,V0,196,S66,3497.07,2,10,17,10.92
1,V0,197,S60,3510.17,2,10,30,13.11
1,V0,198,S31,3527.67,2,10,47,17.5
1,V0,199,S43,3546.52,2,11,6,18.85
1,V0,200,S43,3574.52,2,11,34,28.0
1,V0,201,S46,3580.99,2,11,40,6.48
1,V0,202,S53,3591.36,2,11,51,10.37
1,V0,203,S53,3619.36,2,12,19,28.0
1,V0,204,S33,3628.37,2,12,28,9.01
1,V0,205,S54,3637.97,2,12,37,9.6
1,V0,206,S55,3645.92,2,12,45,7.95
1,V0,207,S40,3651.68,2,12,51,5.75
1,V0,208,S62,3655.41,2,12,55,3.73
1,V0,209,S40,3660.64,2,13,0,5.23
1,V0,210,S15,3682.64,2,13,22,22.0
1,V0,211,S31,3694.17,2,13,34,11.53
1,V0,212,S66,3700.56,2,13,40,6.38
1,V0,213,S27,3711.47,2,13,51,10.91
1,V0,214,S29,3721.97,2,14,1,10.5
1,V0,215,S62,3736.26,2,14,16,14.29
1,V0,216,S63,3745.22,2,14,25,8.96
1,V0,217,S44,3752.69,2,14,32,7.47
1,V0,218,S37,3762.04,2,14,42,9.36
1,V0,219,S59,3768.52,2,14,48,6.48
1,V0,220,S18,3777.45,2,14,57,8.93
1,V0,221,S64,3780.97,2,15,0,3.52
1,V0,222,S39,3789.52,2,15,9,8.55
1,V0,223,S39,3817.52,2,15,37,28.0
1,V0,224,S49,3821.36,2,15,41,3.84
1,V0,225,S39,3828.7,2,15,48,7.34
1,V0,226,S18,3834.35,2,15,54,5.65
1,V0,227,S4,3839.65,2,15,59,5.3
1,V0,228,S60,3849.27,2,16,9,9.61
1,V0,229,S47,3863.27,2,16,23,14.0
1,V0,230,S41,3872.72,2,16,32,9.45
1,V0,231,S31,3877.99,2,16,37,5.27
1,V0,232,S61,3883.99,2,16,43,6.01
1,V0,233,S44,3892.78,2,16,52,8.79
1,V0,234,S33,3901.06,2,17,1,8.28
1,V0,235,S52,3907.3,2,17,7,6.23
1,V0,236,S52,3935.3,2,17,35,28.0
1,V0,237,S55,3949.2,2,17,49,13.9
1,V0,238,S32,3964.65,2,18,4,15.45
1,V0,239,S36,3975.33,2,18,15,10.69
1,V0,240,S53,3984.75,2,18,24,9.42
1,V0,241,S54,3993.71,2,18,33,8.96
1,V0,242,S29,4000.14,2,18,40,6.43
1,V0,243,S54,4006.57,2,18,46,6.43
1,V0,244,S10,4012.28,2,18,52,5.71
1,V0,245,S29,4020.94,2,19,0,8.66
1,V0,246,S29,4047.44,2,19,27,26.5
1,V0,247,S62,4054.23,2,19,34,6.79
1,V0,248,S61,4059.79,2,19,39,5.56
1,V0,249,S31,4068.8,2,19,48,9.01
1,V0,250,S41,4074.57,2,19,54,5.77
1,V0,251,S30,4084.15,2,20,4,9.58
1,V0,252,S41,4095.57,2,20,15,11.42
1,V0,253,S41,4123.57,2,20,43,28.0
1,V0,254,S27,4130.22,2,20,50,6.64
1,V0,255,S66,4140.13,2,21,0,9.91
1,V0,256,S61,4146.25,2,21,6,6.13
1,V0,257,S31,4157.26,2,21,17,11.01
1,V0,258,S60,4171.0,2,21,31,13.74
1,V0,259,S41,4194.87,2,21,54,23.87
1,V0,260,S39,4210.37,2,22,10,15.5
1,V0,261,S49,4214.21,2,22,14,3.84
1,V0,262,S39,4235.71,2,22,35,21.5
1,V0,263,S58,4246.83,2,22,46,11.13
1,V0,264,S37,4740.54,3,7,0,493.71
1,V0,265,S58,4749.25,3,7,9,8.71
1,V0,266,S52,4756.09,3,7,16,6.84
1,V0,267,S62,4763.59,3,7,23,7.5
1,V0,268,S54,4774.87,3,7,34,11.28
1,V0,269,S54,4802.87,3,8,2,28.0
1,V0,270,S61,4816.75,3,8,16,13.87
1,V0,271,S31,4820.75,3,8,20,4.01
1,V0,272,S47,4834.47,3,8,34,13.72
