Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality
1,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4443
1,0,8,480,0,0,0,0,0,0,1,1,51.58,0.4417
1,0,9,540,0,0,0,0,4,0,10,2,30.0,0.442
1,0,10,600,2,2,0,2,2,0,3,0,48.5,0.4427
1,0,11,660,1,1,0,1,1,0,10,21,22.0,0.4456
1,0,12,720,4,4,0,3,0,0,17,3,43.0,0.4477
1,0,13,780,5,3,3,4,3,2,4,18,15.13,0.4538
1,0,14,840,15,12,7,21,4,3,13,10,22.0,0.4587
1,0,15,900,59,34,26,9,0,25,25,22,0.0,0.47
1,0,16,960,17,9,19,16,3,8,21,7,22.35,0.4728
1,0,17,1020,26,10,20,16,5,16,8,28,11.55,0.4772
1,0,18,1080,16,8,13,16,1,8,14,5,22.43,0.4775
1,0,19,1140,18,7,9,14,1,11,19,8,51.77,0.4743
1,0,20,1200,4,1,7,1,0,3,0,0,45.0,0.4781
1,0,21,1260,2,1,5,5,1,1,4,20,29.88,0.476
1,0,22,1320,1,0,12,0,4,1,6,4,32.0,0.4731
1,0,23,1380,0,0,3,0,1,0,18,18,11.5,0.4712
1,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.4714
1,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.4714
1,1,2,1560,0,0,0,0,0,0,0,0,0.0,0.4714
1,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.4714
1,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.4714
1,1,5,1740,0,0,2,0,1,0,0,0,0.0,0.4723
1,1,6,1800,9,9,8,12,2,0,0,0,0.0,0.4764
1,1,7,1860,28,21,0,16,3,7,0,0,0.0,0.483
1,1,8,1920,16,5,5,14,2,11,9,12,25.18,0.4815
1,1,9,1980,7,4,5,14,0,3,19,13,20.57,0.4813
1,1,10,2040,7,7,9,5,2,0,15,15,13.84,0.4833
1,1,11,2100,8,4,11,8,1,4,12,16,25.38,0.4825
1,1,12,2160,18,15,4,8,2,3,3,6,38.38,0.4814
1,1,13,2220,27,14,5,0,2,13,27,10,29.27,0.4813
1,1,14,2280,37,22,15,11,4,15,3,22,4.5,0.4888
1,1,15,2340,52,19,18,4,5,33,30,26,1.5,0.4998
1,1,16,2400,24,9,17,3,4,15,21,5,42.5,0.501
1,1,17,2460,23,6,26,9,5,17,6,6,29.0,0.5012
1,1,18,2520,13,6,26,10,1,7,11,22,7.8,0.5049
1,1,19,2580,8,5,2,6,3,3,14,20,14.5,0.5091
1,1,20,2640,10,0,5,3,3,10,19,10,39.0,0.5073
1,1,21,2700,9,7,10,2,0,2,9,1,23.71,0.5055
1,1,22,2760,2,2,6,8,0,0,1,21,18.22,0.5045
1,1,23,2820,0,0,2,2,0,0,24,4,22.5,0.5008
1,2,24,2880,0,0,0,0,0,0,0,0,0.0,0.5008
1,2,1,2940,0,0,0,0,1,0,0,0,0.0,0.5014
1,2,2,3000,0,0,0,0,0,0,0,0,0.0,0.5014
1,2,3,3060,0,0,0,0,0,0,0,0,0.0,0.5014
1,2,4,3120,0,0,0,0,0,0,0,0,0.0,0.5014
1,2,5,3180,4,2,0,0,1,2,0,0,0.0,0.5022
1,2,6,3240,35,25,7,15,3,10,0,0,0.0,0.5069
1,2,7,3300,37,25,3,2,3,12,0,0,0.0,0.5128
1,2,8,3360,24,20,6,14,2,4,4,24,26.85,0.5113
1,2,9,3420,15,11,2,16,4,4,13,13,9.09,0.5142
1,2,10,3480,22,7,5,15,3,15,19,1,56.0,0.5098
1,2,11,3540,19,8,13,18,1,11,4,18,0.0,0.5148
1,2,12,3600,10,4,4,6,2,6,9,10,30.5,0.5152
1,2,13,3660,21,8,6,7,2,13,11,1,44.0,0.5167
1,2,14,3720,60,27,13,16,6,33,20,13,28.0,0.5219
1,2,15,3780,37,19,9,22,7,18,1,21,28.01,0.5251
1,2,16,3840,18,11,1,13,9,7,20,4,28.85,0.5291
1,2,17,3900,11,4,6,7,0,7,4,20,28.0,0.5321
1,2,18,3960,15,3,4,7,9,12,10,8,25.11,0.5331
1,2,19,4020,21,6,5,5,4,15,15,14,8.11,0.5367
1,2,20,4080,16,0,9,2,0,16,11,14,15.64,0.5371
1,2,21,4140,4,2,7,0,2,2,12,2,19.94,0.5359
1,2,22,4200,2,2,2,2,1,0,9,15,16.34,0.5352
1,2,23,4260,0,0,0,0,0,0,10,13,19.55,0.5311
1,3,24,4320,0,0,0,0,1,0,0,0,0.0,0.5325
1,3,1,4380,0,0,0,0,0,0,0,0,0.0,0.5325
1,3,2,4440,0,0,0,0,0,0,0,0,0.0,0.5325
1,3,3,4500,0,0,0,0,0,0,0,0,0.0,0.5325
1,3,4,4560,0,0,0,0,0,0,0,0,0.0,0.5325
1,3,5,4620,0,0,0,0,0,0,0,0,0.0,0.5332
1,3,6,4680,17,9,0,2,4,8,0,0,0.0,0.5384
1,3,7,4740,33,8,2,29,4,25,0,0,0.0,0.5438
1,3,8,4800,32,5,7,12,1,27,16,17,30.99,0.5424
1,3,9,4860,11,5,4,6,1,6,23,10,6.69,0.5449
1,3,10,4920,9,1,2,6,2,8,8,21,0.0,0.5502
1,3,11,4980,15,6,3,12,1,9,20,15,10.84,0.5542
1,3,12,5040,29,8,1,1,4,21,18,4,45.41,0.5526
1,3,13,5100,57,9,2,3,3,48,2,1,28.5,0.5537
1,3,14,5160,55,12,0,4,1,43,9,29,28.13,0.5575
1,3,15,5220,42,14,10,8,6,28,11,2,11.4,0.5667
1,3,16,5280,24,15,16,12,7,9,28,19,15.98,0.5737
1,3,17,5340,6,4,3,18,7,2,8,26,13.03,0.5815
1,3,18,5400,7,3,18,8,6,4,20,0,47.5,0.5799
1,3,19,5460,11,4,15,6,2,7,1,21,13.29,0.584
1,3,20,5520,4,0,13,1,0,4,20,15,18.79,0.5843
1,3,21,5580,6,0,6,4,3,6,8,12,27.91,0.5816
1,3,22,5640,1,1,4,2,2,0,16,0,37.05,0.5768
1,3,23,5700,0,0,5,0,0,0,5,22,10.5,0.5751
1,4,24,5760,0,0,0,0,0,0,0,0,0.0,0.5751
1,4,1,5820,0,0,0,0,0,0,0,0,0.0,0.5751
1,4,2,5880,0,0,0,0,0,0,0,0,0.0,0.5751
1,4,3,5940,0,0,0,0,0,0,0,0,0.0,0.5751
1,4,4,6000,0,0,0,0,0,0,0,0,0.0,0.5751
1,4,5,6060,0,0,0,0,0,0,0,0,0.0,0.576
1,4,6,6120,2,2,9,0,1,0,0,0,0.0,0.58
1,4,7,6180,18,11,17,15,3,7,0,0,0.0,0.5847
1,4,8,6240,19,13,4,10,2,6,15,3,30.1,0.5826
1,4,9,6300,32,21,17,11,1,11,20,25,16.17,0.5827
1,4,10,6360,8,1,11,2,1,7,17,22,12.5,0.5847
1,4,11,6420,15,3,7,1,5,12,8,6,18.57,0.5862
1,4,12,6480,18,5,5,3,3,13,20,4,42.0,0.5845
1,4,13,6540,19,3,12,1,2,16,0,17,25.0,0.5874
1,4,14,6600,34,18,14,0,6,16,23,10,31.36,0.5916
1,4,15,6660,52,16,17,0,7,36,12,28,5.35,0.6008
1,4,16,6720,14,4,3,0,4,10,7,0,36.5,0.6031
1,4,17,6780,10,6,12,1,4,4,13,7,45.85,0.5991
1,4,18,6840,9,1,5,4,4,8,6,13,18.95,0.5994
1,4,19,6900,10,8,0,2,2,2,15,21,26.93,0.5982
1,4,20,6960,2,1,1,0,6,1,14,9,34.5,0.5937
1,4,21,7020,6,2,2,6,1,4,10,5,17.5,0.5919
1,4,22,7080,9,5,1,6,3,4,5,4,55.65,0.5847
1,4,23,7140,0,0,2,0,0,0,10,1,39.12,0.5803
1,5,24,7200,0,0,0,0,0,0,0,0,0.0,0.5803
1,5,1,7260,0,0,0,0,0,0,0,0,0.0,0.5803
1,5,2,7320,0,0,0,0,1,0,0,0,0.0,0.5806
1,5,3,7380,0,0,0,0,0,0,0,0,0.0,0.5806
1,5,4,7440,0,0,0,0,0,0,0,0,0.0,0.5806
1,5,5,7500,0,0,0,0,0,0,0,0,0.0,0.581
1,5,6,7560,3,0,2,0,0,3,0,0,0.0,0.5815
1,5,7,7620,1,1,3,0,1,0,0,0,0.0,0.5825
1,5,7,7620,0,0,0,0,0,0,0,0,0.0,0.5825
