episode,service_level,rebalancing_imbalance,anticipated_demand_shortfall,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,proximity_to_demand_gravity,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity
0,0.9102539981185325,-0.46627883648426544,-0.02573477921206526,-0.2116457079253294,-0.11156132676625656,-0.15672588104510773,-0.1326557823611707,-0.02676222631236225,-0.20046691693158633,-0.005317307612315602,-0.029130935925479905
1,0.9180234327449787,-0.7294137036796542,-0.04485229435916983,-0.282502922242647,-0.19063515288770988,-0.2405197613882405,-0.21116023415612534,-0.02072999825253234,-0.302422376446938,-0.00457223965496416,-0.049112037860606125
2,0.9212907117008444,-0.8454564740460152,-0.057816476275689435,-0.2740964300816104,-0.2580969811891331,-0.27708016016704223,-0.2562938763150773,-0.02388204695378561,-0.3596602246860872,-0.003987764980658765,-0.06219816026176288
3,0.9202605912831454,-0.9319305644764084,-0.06962961998551533,-0.2377901990993801,-0.34458263042949894,-0.30679382807251215,-0.29064211254625916,-0.02649127311574492,-0.38228798344597387,-0.0037800054271269015,-0.07291853653449065
4,0.9122524613484071,-1.0708467086427733,-0.0869073621166441,-0.22800479656441794,-0.4463445060571574,-0.352724946578787,-0.3471147554135006,-0.041312599833187254,-0.43903822542276405,-0.0064701003764020566,-0.08710736869084179
5,0.91762330329432,-1.1511765695181133,-0.09637562188250312,-0.18875073369873188,-0.5201636285981094,-0.3809466674145815,-0.3703504848657807,-0.043582182818599026,-0.47363272919171073,-0.006497866656848038,-0.09483042335864422
6,0.9182681352069882,-1.1992808374172685,-0.10674914860427782,-0.16683397520691381,-0.5788882041035961,-0.39855083241946115,-0.4016830794720732,-0.05211397681891737,-0.49364066194653994,-0.00822304399333203,-0.10325879722159978
7,0.9172180451127819,-1.2273293304731365,-0.11613031119304662,-0.16093079915552588,-0.6536633932605159,-0.4066199188189881,-0.43022484097014146,-0.0784647803874018,-0.4904756020316131,-0.012585582923693679,-0.11125129319570021
8,0.921518124313473,-1.2320604559271775,-0.12349095447962136,-0.11413409165738234,-0.7163738618676078,-0.40908389748723345,-0.450669484245461,-0.0923627587740681,-0.49167152081091353,-0.01501899509095022,-0.1165967502578923
9,0.9214567456822272,-1.250902924312347,-0.13045970748084304,-0.13001969397122484,-0.7645032473878138,-0.413388268297803,-0.47080985366964007,-0.11339327474261947,-0.4909157279385337,-0.01867731239617672,-0.12169792365241806
10,0.9145803197210786,-1.3149549171027826,-0.13971469456013869,-0.14442074656249837,-0.8320404372806469,-0.4346536799009697,-0.49785531418518475,-0.13425514968421529,-0.5114681748219045,-0.020999590081574333,-0.12835824402100682
11,0.920218206614388,-1.3324727463575516,-0.14768163081273308,-0.1006921654152638,-0.8831619727239074,-0.4394001769681674,-0.5201502132665681,-0.14460616419218744,-0.5323577591157544,-0.023292303742690798,-0.13798172926521982
12,0.9090667980146251,-1.3877721134118588,-0.1590976130893149,-0.08196597805637044,-0.9633613887772051,-0.45740179367117106,-0.5519479317874885,-0.16607192363788445,-0.55340973635167,-0.026994098530184057,-0.1487993901717113
13,0.9161124546553809,-1.4192424498078646,-0.16973883381667113,-0.08309748552123677,-1.0245717002842032,-0.4695272717347791,-0.580589795402291,-0.19208367299516094,-0.5648551931679309,-0.030631531884315874,-0.1554227122049083
14,0.9297297297297298,-1.3297193539036947,-0.17354707243944179,-0.04550617626749816,-1.0609701798633149,-0.4415054489726672,-0.5737296721099612,-0.21153227516657047,-0.5148730349413839,-0.033183244183042276,-0.15231505411327995
15,0.9138747134087716,-1.3814168548237933,-0.18096615432982072,-0.1106849657342752,-1.1249190221992083,-0.4564295095833367,-0.6017701217339868,-0.24536119358319683,-0.5145500104322905,-0.037271209646190864,-0.15747027261247498
16,0.9211994685898652,-1.3668080997796743,-0.18466905062615793,-0.05946743900537264,-1.1775974927943011,-0.4523972021443843,-0.6038726112000947,-0.26659407177169253,-0.5293666780713926,-0.038709860121051466,-0.16254899333011352
17,0.9115417970664756,-1.4324852573100129,-0.19646203360275794,-0.10660220657597426,-1.2568722976245814,-0.4735521987556407,-0.6435068156549215,-0.31247440702996876,-0.5342277814190906,-0.04442936835350986,-0.16986408410721418
18,0.9222255459168411,-1.405934144652436,-0.20254251134503928,-0.036717396197570334,-1.3044068692860347,-0.4649154870238667,-0.6475380785651128,-0.3220807674234441,-0.5363828065822432,-0.04605766782583948,-0.1745874227032941
19,0.9107587768969423,-1.456952853855149,-0.21058124821779559,-0.06834407768359968,-1.35631047237547,-0.4811557511887239,-0.6666774070945449,-0.3403034843858384,-0.5465737240886691,-0.048316247677957114,-0.18019280677026908
20,0.9245640074211503,-1.4094710832598538,-0.2163026927958076,-0.009797479460582093,-1.3980979128017088,-0.46589318055909407,-0.6820667240108843,-0.35994941285499094,-0.5532242191240787,-0.05420241009336235,-0.1846356186041816
21,0.9084918655299505,-1.4554194216077694,-0.2237426354312489,-0.04499238193922926,-1.4572883942804689,-0.482918064543516,-0.7009281811788955,-0.38939914861511365,-0.5660808415260702,-0.05751221404274379,-0.1903137295918382
22,0.9234502369668246,-1.4374496015796432,-0.23047212291864425,-0.024891468604308627,-1.4995870205864126,-0.47871373656785426,-0.7138485068947273,-0.41132227519273534,-0.5714382013091778,-0.060024324134966923,-0.1941906770433086
23,0.9118227348611322,-1.4984447532868341,-0.2392790598631607,-0.10607290913108142,-1.5567134017749407,-0.49876058813066726,-0.7382898983992384,-0.4462212351370506,-0.5777854566091019,-0.06428972837554532,-0.19894491447160442
24,0.9164553128667146,-1.474131681437408,-0.24374676269094245,-0.011167775116589649,-1.6030696590529692,-0.49180535880324233,-0.7502429704617114,-0.4533327536483283,-0.5919736780031144,-0.06649620302390394,-0.2048850755289055
