episode,service_level,rebalancing_imbalance,anticipated_demand_shortfall,vehicle_functional_load,squared_starvation_penalty,squared_congestion_penalty,proximity_to_demand_gravity,delivery_potential,pickup_potential,starvation_gravity,congestion_gravity
0,0.9102539981185325,-0.46627883648426544,-0.02573477921206526,-0.2116457079253294,-0.11156132676625656,-0.15672588104510773,-0.1326557823611707,-0.02676222631236225,-0.20046691693158633,-0.005317307612315602,-0.029130935925479905
1,0.9180234327449787,-0.7294137036796542,-0.04485229435916983,-0.282502922242647,-0.19063515288770988,-0.2405197613882405,-0.21116023415612534,-0.02072999825253234,-0.302422376446938,-0.00457223965496416,-0.049112037860606125
2,0.9118244005111629,-0.9233886119894509,-0.06160132926222684,-0.30629204807244054,-0.2723994414510301,-0.302586264154082,-0.2701003868211745,-0.02345260001852634,-0.384617598452398,-0.005083363358417975,-0.06510693648404842
3,0.9120618398897903,-1.0409919732606445,-0.07581580146279361,-0.27952703727899675,-0.3424619978265662,-0.34390398931970795,-0.317890032946839,-0.01513970475327345,-0.4291794507876499,-0.004032368215706112,-0.07996897142087313
4,0.9122997861885292,-1.1104071513079115,-0.0882864216052471,-0.25563315240047135,-0.4209098872235737,-0.36898342445480253,-0.35314225797854565,-0.032080728597553544,-0.44664585362988596,-0.0055971225936669875,-0.08880523249740312
5,0.922824302134647,-1.0912142813953694,-0.09586446401099168,-0.14872958978926823,-0.4763859039526703,-0.3641315155355903,-0.3630579763362506,-0.026727487411353508,-0.44636123223943824,-0.005106136486576964,-0.09432456790340021
6,0.908323189287888,-1.1728507783804527,-0.10937517473292747,-0.19414163786464758,-0.5573147775694839,-0.39464271624474273,-0.3962999138164506,-0.061862150369009425,-0.4557920968420485,-0.011506977059576831,-0.10211868892278585
7,0.9060686015831134,-1.2374012053580186,-0.12101681448742702,-0.16388027940569044,-0.6358145393368504,-0.41978428372969256,-0.4334515556636911,-0.08044462993998401,-0.48388160842487454,-0.01472796837763572,-0.11406259704112588
8,0.9174792003915221,-1.2535852242391081,-0.12805953351259652,-0.14220965311996994,-0.6920811625507839,-0.42715562102725024,-0.4479707386650114,-0.09180388421434328,-0.4815277286245371,-0.016612892493512332,-0.11987097586764987
9,0.9244737142639613,-1.2179984176671639,-0.13496457716233085,-0.12070702311177586,-0.7408520953609885,-0.4163589340230919,-0.45564801848949393,-0.11230140591828594,-0.4515311991002456,-0.019366489712200643,-0.12213183875845224
10,0.9047976856895968,-1.2931108935857816,-0.14795935041190542,-0.21142310119686536,-0.8357488091303955,-0.43876374428161175,-0.48650293399611305,-0.17484326998462738,-0.43630338058154633,-0.025768481451600884,-0.12794175055410856
11,0.9140102098695405,-1.2864230623408988,-0.15505616842370654,-0.15562597766302794,-0.88377625873411,-0.4425045469713541,-0.48621214354514686,-0.17443553571502676,-0.4239162452444796,-0.024807221371745635,-0.13231004206722785
12,0.9245963912630579,-1.2040059009128363,-0.16197181112815678,-0.08209898855237727,-0.9353995462956102,-0.41843353468597727,-0.4892609475045661,-0.19359772038272127,-0.3835044318049807,-0.02788355577203886,-0.13408077510408486
13,0.9149416635302974,-1.2217402826514485,-0.17330978814922077,-0.06672711742653402,-1.0100594787749206,-0.4239936886747367,-0.5232073784475977,-0.2159480759363702,-0.3801712952575518,-0.03256832559269176,-0.1403001692141668
14,0.9198181129215612,-1.2085371652646213,-0.17914328007438213,-0.08224341084273595,-1.064439381242383,-0.42051125780766635,-0.5330096807274786,-0.23920083525791985,-0.3432369451617978,-0.03585002563129243,-0.14154158793224214
15,0.9211519589340983,-1.1913117109873794,-0.18506850325046625,-0.04920831693291606,-1.1128043589235814,-0.41770825624912206,-0.5417756215469266,-0.25153195654283234,-0.3302448688190446,-0.03708072518664616,-0.1441545196552753
16,0.9215943604934568,-1.1993243091053478,-0.19085048931023235,-0.032930792271824265,-1.1530514118475248,-0.4205711985684321,-0.5489736676255876,-0.2569672618777989,-0.3209711808334347,-0.037364555287947805,-0.14736570806427599
17,0.9279095275918151,-1.137066121080305,-0.1956106558200905,-0.005967549397523359,-1.1970573030473117,-0.4027136170195168,-0.5481831874925733,-0.2696051869782114,-0.26258023499225774,-0.038816454323697035,-0.14537893462658963
18,0.9146442568586072,-1.2110377711794607,-0.20666102258958205,-0.039850032390504615,-1.268704115859872,-0.43037596568720393,-0.5877925138132546,-0.2920977332956552,-0.2672490042712421,-0.043062679279678995,-0.15157318113989776
19,0.925366369542227,-1.1855680113861855,-0.21231147236738313,-0.01093197303957888,-1.3053184751268778,-0.4215250514731016,-0.5864306376112421,-0.29891624962688046,-0.24915062153116638,-0.04326313587939557,-0.15346542570920998
20,0.9236345879347908,-1.1999749040872691,-0.2174207575417792,0.02392010704115538,-1.3530122192806977,-0.43092795539238327,-0.6011691865627311,-0.30523112704007194,-0.2577355139931894,-0.04427495436465756,-0.1601875930285624
21,0.9232437282685909,-1.1976523650473099,-0.22078083484057082,0.024047024343247937,-1.3944049239789926,-0.4306485037114711,-0.6136368121983742,-0.3160816662664238,-0.2306183255970404,-0.045888948326713884,-0.1607773891938175
22,0.9238906185528339,-1.2009579218430149,-0.2262395331254793,-0.012883886592934938,-1.433399659064511,-0.4324454101458801,-0.6232860362574985,-0.3381098301915206,-0.20984157074912121,-0.048875154616973567,-0.16120782238776113
23,0.9136157337367625,-1.2555728140453004,-0.2315776669354779,-0.007700076284207124,-1.487417996907744,-0.448345362658029,-0.6414530523860286,-0.3424635233639226,-0.2132345414658219,-0.05009465329873831,-0.1665938570422556
24,0.917526162680872,-1.2758609885473104,-0.2393223317288701,0.035871943419919755,-1.5439728593784185,-0.4549303652322967,-0.6622810738145413,-0.35270588673169223,-0.2282930872360169,-0.0517619706554668,-0.1751889131759812
