Seed,Day,Hour,Time (minutes),Starvations,Bike Starvations,Long Congestions,Short Congestions,Maintenance Violations,Maintenance Starvations,Bike Pickups,Bike Deliveries,Maintenance Time (minutes),Avg Bike Criticality,Bikes Critical (>0.83),Bikes High (0.60-0.83),Bikes Medium (0.30-0.60),Bikes Low (<=0.30)
4,0,7,420,0,0,0,0,0,0,0,0,0.0,0.4566,36,159,380,193
4,0,8,480,0,0,0,0,0,0,15,11,0.0,0.459,38,160,379,191
4,0,9,540,0,0,0,0,1,0,26,19,0.0,0.4612,38,165,375,190
4,0,10,600,0,0,0,0,1,0,11,22,0.0,0.4642,39,167,375,187
4,0,11,660,1,0,0,1,0,1,26,26,0.0,0.4668,42,166,375,185
4,0,12,720,3,2,0,1,1,1,34,19,0.0,0.4697,46,166,375,181
4,0,13,780,8,8,0,0,1,0,19,30,0.0,0.4731,47,167,377,177
4,0,14,840,8,8,4,1,4,0,26,19,0.0,0.4783,50,171,374,173
4,0,15,900,39,26,13,0,2,13,26,27,0.0,0.4842,52,174,378,164
4,0,16,960,24,15,4,11,2,9,20,21,0.0,0.4886,56,173,379,160
4,0,17,1020,14,5,8,1,3,9,22,25,0.0,0.4919,58,175,376,159
4,0,18,1080,16,14,18,5,1,2,16,20,0.0,0.4954,59,180,374,155
4,0,19,1140,4,3,6,4,0,1,24,19,0.0,0.4977,63,179,373,153
4,0,20,1200,2,1,3,5,2,1,21,28,0.0,0.4996,65,181,373,149
4,0,21,1260,3,2,4,11,0,1,28,15,0.0,0.5025,68,178,378,144
4,0,22,1320,4,0,4,4,0,4,16,23,0.0,0.5034,69,179,380,140
4,0,23,1380,0,0,1,1,0,0,18,17,0.0,0.5042,69,180,381,138
4,1,24,1440,0,0,0,0,0,0,0,0,0.0,0.4247,0,180,381,207
4,1,1,1500,0,0,0,0,0,0,0,0,0.0,0.4247,0,180,381,207
4,1,2,1560,0,0,0,0,0,0,0,0,0.0,0.4247,0,180,381,207
4,1,3,1620,0,0,0,0,0,0,0,0,0.0,0.4247,0,180,381,207
4,1,4,1680,0,0,0,0,0,0,0,0,0.0,0.4247,0,180,381,207
4,1,5,1740,0,0,0,0,0,0,0,0,0.0,0.4251,1,180,381,206
4,1,6,1800,8,8,2,0,0,0,0,0,0.0,0.4284,5,178,380,205
4,1,7,1860,25,25,1,9,0,0,0,0,0.0,0.4319,6,177,383,202
4,1,8,1920,20,20,6,12,0,0,25,20,0.0,0.4347,8,178,380,202
4,1,9,1980,7,7,0,3,0,0,24,25,0.0,0.437,10,177,381,200
4,1,10,2040,4,4,6,4,1,0,17,28,0.0,0.44,17,170,382,199
4,1,11,2100,10,10,5,0,1,0,25,22,0.0,0.4432,18,173,383,194
4,1,12,2160,11,11,1,7,0,0,28,29,0.0,0.4471,20,175,383,190
4,1,13,2220,14,13,0,9,1,1,27,14,0.0,0.4515,24,179,385,180
4,1,14,2280,19,17,0,2,1,2,21,29,0.0,0.4558,26,184,382,176
