Seed,Day,Hour,Time (minutes),Station ID,Total Bikes,Usable Bikes,Unusable Bikes,Avg Maintenance Criticality,Capacity
4,0,7,420,S0,10,10,0,0.514,21
4,0,7,420,S1,7,7,0,0.6088,15
4,0,7,420,S2,12,12,0,0.5034,24
4,0,7,420,S3,8,8,0,0.4976,18
4,0,7,420,S4,8,8,0,0.4198,18
4,0,7,420,S5,12,12,0,0.47,24
4,0,7,420,S6,10,10,0,0.509,21
4,0,7,420,S7,13,13,0,0.4461,26
4,0,7,420,S8,11,11,0,0.3471,22
4,0,7,420,S9,5,5,0,0.3804,12
4,0,7,420,S10,8,8,0,0.4297,18
4,0,7,420,S11,8,8,0,0.3996,17
4,0,7,420,S12,12,12,0,0.4908,24
4,0,7,420,S13,15,15,0,0.4842,29
4,0,7,420,S14,6,6,0,0.5512,13
4,0,7,420,S15,14,13,1,0.5436,27
4,0,7,420,S16,7,7,0,0.487,15
4,0,7,420,S17,13,12,1,0.5213,25
4,0,7,420,S18,12,12,0,0.4346,24
4,0,7,420,S19,6,6,0,0.4021,13
4,0,7,420,S20,8,8,0,0.5734,18
4,0,7,420,S21,5,5,0,0.6266,12
4,0,7,420,S22,12,12,0,0.4236,24
4,0,7,420,S23,7,6,1,0.6259,15
4,0,7,420,S24,12,12,0,0.4558,24
4,0,7,420,S25,12,11,1,0.4418,24
4,0,7,420,S26,16,16,0,0.4041,32
4,0,7,420,S27,13,13,0,0.6119,26
4,0,7,420,S28,15,15,0,0.5125,30
4,0,7,420,S29,15,15,0,0.4801,30
4,0,7,420,S30,7,7,0,0.4327,15
4,0,7,420,S31,22,22,0,0.4369,43
4,0,7,420,S32,12,12,0,0.3658,24
4,0,7,420,S33,14,13,1,0.5202,27
4,0,7,420,S34,13,13,0,0.4005,25
4,0,7,420,S35,12,12,0,0.3639,24
4,0,7,420,S36,10,10,0,0.4882,21
4,0,7,420,S37,19,19,0,0.4548,37
4,0,7,420,S38,9,9,0,0.5025,19
4,0,7,420,S39,18,18,0,0.4285,36
4,0,7,420,S40,10,10,0,0.509,21
4,0,7,420,S41,15,15,0,0.4327,30
4,0,7,420,S42,10,9,1,0.451,21
4,0,7,420,S43,16,16,0,0.4708,31
4,0,7,420,S44,9,9,0,0.3995,20
4,0,7,420,S45,6,6,0,0.2518,13
4,0,7,420,S46,13,13,0,0.4318,25
4,0,7,420,S47,12,11,1,0.4538,24
4,0,7,420,S48,8,8,0,0.4497,17
4,0,7,420,S49,10,10,0,0.418,21
4,0,7,420,S50,15,14,1,0.5017,30
4,0,7,420,S51,10,9,1,0.4277,22
4,0,7,420,S52,9,9,0,0.4767,19
4,0,7,420,S53,16,16,0,0.4134,31
4,0,7,420,S54,12,12,0,0.3231,24
4,0,7,420,S55,16,16,0,0.4248,31
4,0,7,420,S56,5,5,0,0.4251,12
4,0,7,420,S57,13,13,0,0.447,25
4,0,7,420,S58,15,15,0,0.3875,30
4,0,7,420,S59,19,19,0,0.4301,37
4,0,7,420,S60,16,16,0,0.4524,31
4,0,7,420,S61,7,7,0,0.4582,16
4,0,7,420,S62,13,13,0,0.4424,26
4,0,7,420,S63,14,14,0,0.4486,28
4,0,7,420,S64,6,6,0,0.4797,13
4,0,7,420,S65,13,13,0,0.4073,25
4,0,7,420,S66,12,10,2,0.5591,24
4,0,8,480,S0,9,9,0,0.2476,21
4,0,8,480,S1,7,7,0,0.6088,15
4,0,8,480,S2,12,12,0,0.5034,24
4,0,8,480,S3,9,9,0,0.461,18
4,0,8,480,S4,12,12,0,0.4536,18
4,0,8,480,S5,12,12,0,0.47,24
4,0,8,480,S6,10,10,0,0.509,21
4,0,8,480,S7,9,9,0,0.4092,26
4,0,8,480,S8,13,13,0,0.3712,22
4,0,8,480,S9,5,5,0,0.441,12
4,0,8,480,S10,6,6,0,0.3299,18
4,0,8,480,S11,6,6,0,0.3571,17
4,0,8,480,S12,8,8,0,0.5107,24
4,0,8,480,S13,13,13,0,0.4765,29
4,0,8,480,S14,6,6,0,0.5512,13
4,0,8,480,S15,12,11,1,0.5323,27
4,0,8,480,S16,6,6,0,0.4486,15
4,0,8,480,S17,11,10,1,0.5512,25
4,0,8,480,S18,16,16,0,0.449,24
4,0,8,480,S19,8,8,0,0.4042,13
4,0,8,480,S20,8,8,0,0.5734,18
4,0,8,480,S21,3,3,0,0.2133,12
4,0,8,480,S22,13,13,0,0.4345,24
4,0,8,480,S23,4,3,1,0.5417,15
4,0,8,480,S24,8,8,0,0.396,24
4,0,8,480,S25,12,11,1,0.4418,24
4,0,8,480,S26,13,13,0,0.4169,32
4,0,8,480,S27,11,11,0,0.5892,26
4,0,8,480,S28,15,15,0,0.5125,30
4,0,8,480,S29,17,17,0,0.4685,30
4,0,8,480,S30,7,7,0,0.4327,15
4,0,8,480,S31,23,23,0,0.4098,43
4,0,8,480,S32,11,11,0,0.3807,24
4,0,8,480,S33,12,11,1,0.5564,27
4,0,8,480,S34,13,13,0,0.4005,25
4,0,8,480,S35,14,14,0,0.394,24
4,0,8,480,S36,11,11,0,0.4846,21
4,0,8,480,S37,24,24,0,0.4242,37
4,0,8,480,S38,9,9,0,0.5025,19
4,0,8,480,S39,18,17,1,0.4642,36
4,0,8,480,S40,10,10,0,0.509,21
4,0,8,480,S41,15,15,0,0.4052,30
4,0,8,480,S42,11,10,1,0.4628,21
4,0,8,480,S43,13,13,0,0.4532,31
4,0,8,480,S44,10,10,0,0.3953,20
4,0,8,480,S45,7,7,0,0.2915,13
4,0,8,480,S46,9,9,0,0.4615,25
4,0,8,480,S47,12,11,1,0.4538,24
4,0,8,480,S48,8,8,0,0.4497,17
4,0,8,480,S49,10,10,0,0.418,21
4,0,8,480,S50,16,15,1,0.4648,30
4,0,8,480,S51,11,10,1,0.4625,22
4,0,8,480,S52,14,14,0,0.4694,19
4,0,8,480,S53,8,8,0,0.4109,31
4,0,8,480,S54,20,20,0,0.44,24
4,0,8,480,S55,12,12,0,0.4042,31
4,0,8,480,S56,6,6,0,0.4074,12
4,0,8,480,S57,12,12,0,0.4839,25
4,0,8,480,S58,15,15,0,0.4142,30
4,0,8,480,S59,21,21,0,0.4537,37
4,0,8,480,S60,5,5,0,0.3515,31
4,0,8,480,S61,5,5,0,0.4409,16
4,0,8,480,S62,8,8,0,0.4723,26
4,0,8,480,S63,16,16,0,0.4579,28
4,0,8,480,S64,2,2,0,0.5683,13
4,0,8,480,S65,11,11,0,0.435,25
4,0,8,480,S66,13,11,2,0.5395,24
4,0,9,540,S0,9,9,0,0.2476,21
4,0,9,540,S1,7,7,0,0.6088,15
4,0,9,540,S2,12,12,0,0.5034,24
4,0,9,540,S3,10,10,0,0.4908,18
4,0,9,540,S4,14,14,0,0.4232,18
4,0,9,540,S5,12,12,0,0.47,24
4,0,9,540,S6,10,10,0,0.509,21
4,0,9,540,S7,9,9,0,0.4092,26
4,0,9,540,S8,13,13,0,0.3712,22
4,0,9,540,S9,6,6,0,0.4998,12
4,0,9,540,S10,7,7,0,0.4309,18
4,0,9,540,S11,6,6,0,0.3571,17
4,0,9,540,S12,9,9,0,0.5431,24
4,0,9,540,S13,11,11,0,0.5094,29
4,0,9,540,S14,7,7,0,0.4911,13
4,0,9,540,S15,10,9,1,0.5434,27
4,0,9,540,S16,6,6,0,0.4486,15
4,0,9,540,S17,11,10,1,0.5512,25
4,0,9,540,S18,14,14,0,0.4272,24
4,0,9,540,S19,9,9,0,0.4328,13
4,0,9,540,S20,8,8,0,0.5734,18
4,0,9,540,S21,3,3,0,0.2133,12
4,0,9,540,S22,14,14,0,0.4528,24
4,0,9,540,S23,4,3,1,0.5417,15
4,0,9,540,S24,8,8,0,0.396,24
4,0,9,540,S25,13,12,1,0.477,24
4,0,9,540,S26,11,11,0,0.3914,32
4,0,9,540,S27,11,11,0,0.5892,26
4,0,9,540,S28,16,16,0,0.5181,30
4,0,9,540,S29,15,15,0,0.4786,30
4,0,9,540,S30,7,7,0,0.4327,15
4,0,9,540,S31,22,22,0,0.3824,43
4,0,9,540,S32,13,13,0,0.3849,24
4,0,9,540,S33,15,14,1,0.5226,27
4,0,9,540,S34,9,9,0,0.3536,25
4,0,9,540,S35,8,8,0,0.5123,24
4,0,9,540,S36,13,13,0,0.4772,21
4,0,9,540,S37,17,17,0,0.4287,37
4,0,9,540,S38,9,9,0,0.5025,19
4,0,9,540,S39,20,19,1,0.4869,36
4,0,9,540,S40,8,8,0,0.5238,21
4,0,9,540,S41,14,14,0,0.4402,30
4,0,9,540,S42,10,9,1,0.4124,21
4,0,9,540,S43,17,17,0,0.4627,31
4,0,9,540,S44,9,9,0,0.3583,20
4,0,9,540,S45,7,7,0,0.2915,13
4,0,9,540,S46,10,10,0,0.4347,25
4,0,9,540,S47,10,9,1,0.4556,24
4,0,9,540,S48,8,8,0,0.4497,17
4,0,9,540,S49,10,10,0,0.418,21
4,0,9,540,S50,11,10,1,0.5016,30
4,0,9,540,S51,8,7,1,0.54,22
4,0,9,540,S52,14,14,0,0.4805,19
4,0,9,540,S53,17,17,0,0.46,31
4,0,9,540,S54,14,14,0,0.4429,24
4,0,9,540,S55,11,11,0,0.3807,31
4,0,9,540,S56,7,7,0,0.4233,12
4,0,9,540,S57,15,15,0,0.4265,25
4,0,9,540,S58,17,17,0,0.4228,30
4,0,9,540,S59,21,21,0,0.4537,37
4,0,9,540,S60,5,5,0,0.3515,31
4,0,9,540,S61,6,6,0,0.2724,16
4,0,9,540,S62,6,6,0,0.4826,26
4,0,9,540,S63,18,18,0,0.4785,28
4,0,9,540,S64,2,2,0,0.5683,13
4,0,9,540,S65,12,12,0,0.4518,25
4,0,9,540,S66,14,12,2,0.5168,24
4,0,10,600,S0,9,9,0,0.2476,21
4,0,10,600,S1,7,7,0,0.6088,15
4,0,10,600,S2,13,13,0,0.482,24
4,0,10,600,S3,11,11,0,0.4799,18
4,0,10,600,S4,10,10,0,0.4274,18
4,0,10,600,S5,12,12,0,0.47,24
4,0,10,600,S6,11,11,0,0.4871,21
4,0,10,600,S7,8,8,0,0.4412,26
4,0,10,600,S8,13,13,0,0.3712,22
4,0,10,600,S9,7,7,0,0.4834,12
4,0,10,600,S10,11,11,0,0.3981,18
4,0,10,600,S11,3,3,0,0.451,17
4,0,10,600,S12,9,9,0,0.5288,24
4,0,10,600,S13,7,7,0,0.4287,29
4,0,10,600,S14,4,4,0,0.4387,13
4,0,10,600,S15,8,7,1,0.5367,27
4,0,10,600,S16,8,8,0,0.2889,15
4,0,10,600,S17,7,6,1,0.5187,25
4,0,10,600,S18,12,12,0,0.3362,24
4,0,10,600,S19,12,12,0,0.4312,13
4,0,10,600,S20,8,8,0,0.5734,18
4,0,10,600,S21,1,1,0,0.1484,12
4,0,10,600,S22,11,11,0,0.4551,24
4,0,10,600,S23,9,8,1,0.5582,15
4,0,10,600,S24,8,8,0,0.396,24
4,0,10,600,S25,13,12,1,0.477,24
4,0,10,600,S26,7,7,0,0.4972,32
4,0,10,600,S27,9,9,0,0.5639,26
4,0,10,600,S28,16,16,0,0.5181,30
4,0,10,600,S29,13,13,0,0.4168,30
4,0,10,600,S30,7,7,0,0.4327,15
4,0,10,600,S31,25,24,1,0.3798,43
4,0,10,600,S32,13,13,0,0.4234,24
4,0,10,600,S33,15,13,2,0.5552,27
4,0,10,600,S34,10,10,0,0.3501,25
4,0,10,600,S35,13,13,0,0.4192,24
4,0,10,600,S36,13,13,0,0.4782,21
4,0,10,600,S37,20,20,0,0.4414,37
4,0,10,600,S38,9,9,0,0.5025,19
4,0,10,600,S39,23,22,1,0.4739,36
4,0,10,600,S40,12,12,0,0.4906,21
4,0,10,600,S41,13,13,0,0.4638,30
4,0,10,600,S42,10,9,1,0.4464,21
4,0,10,600,S43,13,13,0,0.4414,31
4,0,10,600,S44,10,10,0,0.2907,20
4,0,10,600,S45,3,3,0,0.3927,13
4,0,10,600,S46,3,3,0,0.2115,25
4,0,10,600,S47,8,7,1,0.4933,24
4,0,10,600,S48,9,9,0,0.4363,17
4,0,10,600,S49,10,10,0,0.418,21
4,0,10,600,S50,15,14,1,0.5587,30
4,0,10,600,S51,8,7,1,0.5614,22
4,0,10,600,S52,6,6,0,0.5023,19
4,0,10,600,S53,17,17,0,0.4483,31
4,0,10,600,S54,14,14,0,0.4722,24
4,0,10,600,S55,11,11,0,0.4407,31
4,0,10,600,S56,1,1,0,0.4329,12
4,0,10,600,S57,15,15,0,0.4265,25
4,0,10,600,S58,20,20,0,0.4141,30
