Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
4,V0,1,S0,420,0,7,0,0.0
4,V0,2,S21,438.0,0,7,18,18.0
4,V0,3,S0,462.35,0,7,42,24.35
4,V0,4,S35,473.82,0,7,53,11.47
4,V0,5,S29,480.26,0,8,0,6.45
4,V0,6,S10,484.92,0,8,4,4.66
4,V0,7,S54,489.64,0,8,9,4.71
4,V0,8,S53,499.6,0,8,19,9.96
4,V0,9,S52,509.11,0,8,29,9.51
4,V0,10,S37,517.21,0,8,37,8.1
4,V0,11,S61,527.25,0,8,47,10.04
4,V0,12,S31,536.25,0,8,56,9.01
4,V0,13,S60,545.03,0,9,5,8.78
4,V0,14,S64,553.98,0,9,13,8.95
4,V0,15,S18,559.51,0,9,19,5.52
4,V0,16,S4,571.02,0,9,31,11.51
4,V0,17,S52,578.45,0,9,38,7.43
4,V0,18,S62,586.0,0,9,46,7.55
4,V0,19,S44,595.2,0,9,55,9.2
4,V0,20,S16,599.44,0,9,59,4.23
4,V0,21,S63,604.24,0,10,4,4.81
4,V0,22,S46,626.74,0,10,26,22.5
4,V0,23,S16,636.07,0,10,36,9.33
4,V0,24,S43,641.64,0,10,41,5.58
4,V0,25,S58,651.42,0,10,51,9.78
4,V0,26,S37,659.13,0,10,59,7.71
4,V0,27,S63,667.91,0,11,7,8.78
4,V0,28,S16,674.72,0,11,14,6.81
4,V0,29,S10,684.8,0,11,24,10.08
4,V0,30,S29,689.96,0,11,29,5.16
4,V0,31,S57,699.51,0,11,39,9.55
4,V0,32,S56,706.33,0,11,46,6.82
4,V0,33,S35,713.77,0,11,53,7.44
4,V0,34,S1,722.3,0,12,2,8.53
4,V0,35,S42,728.49,0,12,8,6.19
4,V0,36,S35,734.8,0,12,14,6.31
4,V0,37,S29,746.25,0,12,26,11.45
4,V0,38,S10,751.91,0,12,31,5.66
4,V0,39,S50,768.91,0,12,48,17.0
4,V0,40,S1,780.53,0,13,0,11.63
4,V0,41,S57,785.19,0,13,5,4.66
4,V0,42,S35,808.92,0,13,28,23.73
4,V0,43,S56,818.34,0,13,38,9.42
4,V0,44,S54,823.54,0,13,43,5.2
4,V0,45,S40,829.21,0,13,49,5.67
4,V0,46,S62,835.44,0,13,55,6.23
4,V0,47,S61,845.5,0,14,5,10.06
4,V0,48,S37,854.04,0,14,14,8.54
4,V0,49,S44,863.4,0,14,23,9.36
4,V0,50,S43,868.69,0,14,28,5.29
4,V0,51,S63,876.32,0,14,36,7.64
4,V0,52,S18,884.49,0,14,44,8.17
4,V0,53,S4,891.88,0,14,51,7.39
4,V0,54,S60,900.99,0,15,0,9.11
4,V0,55,S31,909.38,0,15,9,8.39
4,V0,56,S49,925.04,0,15,25,15.66
4,V0,57,S39,944.04,0,15,44,19.0
4,V0,58,S38,962.83,0,16,2,18.78
4,V0,59,S37,967.75,0,16,7,4.93
4,V0,60,S44,987.11,0,16,27,19.36
4,V0,61,S53,996.61,0,16,36,9.5
4,V0,62,S45,1003.66,0,16,43,7.06
4,V0,63,S16,1010.5,0,16,50,6.84
4,V0,64,S52,1020.89,0,17,0,10.38
4,V0,65,S63,1029.64,0,17,9,8.76
4,V0,66,S44,1033.11,0,17,13,3.47
4,V0,67,S16,1038.85,0,17,18,5.73
4,V0,68,S48,1046.58,0,17,26,7.73
4,V0,69,S51,1060.24,0,17,40,13.66
4,V0,70,S51,1088.24,0,18,8,28.0
4,V0,71,S43,1097.36,0,18,17,9.12
4,V0,72,S40,1110.74,0,18,30,13.38
4,V0,73,S33,1115.75,0,18,35,5.01
4,V0,74,S40,1123.75,0,18,43,8.01
4,V0,75,S27,1129.93,0,18,49,6.18
4,V0,76,S31,1140.2,0,19,0,10.27
4,V0,77,S64,1153.38,0,19,13,13.19
4,V0,78,S59,1159.63,0,19,19,6.25
4,V0,79,S18,1167.06,0,19,27,7.43
4,V0,80,S16,1173.93,0,19,33,6.87
4,V0,81,S44,1179.66,0,19,39,5.73
4,V0,82,S63,1188.13,0,19,48,8.47
4,V0,83,S53,1199.12,0,19,59,10.99
4,V0,84,S63,1205.11,0,20,5,5.99
