Seed,Alpha,Day,Hour,Minute,Time (minutes),Station ID,Success,Failure Reason,Did Roam,Arrival Station ID,Travel Time (minutes),Bike ID,Previous Bike Criticality,Post-Trip Bike Criticality
4,0.25,0,7,0,420,S31,True,,False,S54,21.98,B319,0.5667,0.5942
4,0.25,0,7,0,420,S53,True,,False,S31,7.0,B591,0.2557,0.2645
4,0.25,0,7,0,420,S62,True,,False,S54,187.33,B710,0.1098,0.3439
4,0.25,0,7,0,420,S64,True,,False,S44,7.6,B737,0.3473,0.3568
4,0.25,0,7,1,421,S10,True,,False,S35,2.79,B96,0.4214,0.4249
4,0.25,0,7,1,421,S46,True,,False,S52,2.55,B514,0.173,0.1762
4,0.25,0,7,1,421,S60,True,,False,S51,10.22,B687,0.063,0.0758
4,0.25,0,7,2,422,S41,True,,False,S29,39.42,B458,0.7441,0.7933
4,0.25,0,7,3,423,S43,True,,False,S11,14.46,B483,0.5014,0.5195
4,0.25,0,7,4,424,S11,True,,False,S32,10.54,B104,0.5951,0.6083
4,0.25,0,7,5,425,S17,True,,False,S29,8.39,B166,0.3049,0.3154
4,0.25,0,7,5,425,S60,True,,False,S58,1.95,B688,0.2257,0.2281
4,0.25,0,7,6,426,S31,True,,False,S56,20.08,B320,0.3072,0.3323
4,0.25,0,7,6,426,S43,True,,False,S54,6.12,B484,0.4919,0.4996
4,0.25,0,7,7,427,S10,True,,False,S35,6.59,B97,0.4807,0.4889
4,0.25,0,7,7,427,S12,True,,False,S57,17.92,B112,0.7505,0.7729
4,0.25,0,7,7,427,S54,True,,False,S37,11.84,B607,0.0614,0.0762
4,0.25,0,7,8,428,S33,True,,False,S9,12.05,B353,0.4229,0.438
4,0.25,0,7,8,428,S53,True,,False,S10,2.69,B592,0.5571,0.5605
4,0.25,0,7,8,428,S60,True,,False,S12,11.27,B689,0.5587,0.5728
4,0.25,0,7,8,428,S60,True,,False,S18,1.83,B690,0.4024,0.4047
4,0.25,0,7,8,428,S61,True,,False,S54,3.81,B703,0.4453,0.4501
4,0.25,0,7,9,429,S54,True,,False,S53,4.74,B608,0.2314,0.2374
4,0.25,0,7,9,429,S54,True,,False,S33,2.66,B609,0.2125,0.2159
4,0.25,0,7,9,429,S60,True,,False,S58,0.76,B691,0.7379,0.7389
4,0.25,0,7,10,430,S46,True,,False,S52,3.35,B515,0.3741,0.3783
4,0.25,0,7,10,430,S61,True,,False,S31,2.09,B704,0.4219,0.4245
4,0.25,0,7,11,431,S7,True,,False,S10,19.33,B67,0.3619,0.386
4,0.25,0,7,11,431,S23,True,,False,S54,14.13,B222,0.7229,0.7406
4,0.25,0,7,12,432,S33,True,,False,S50,9.27,B354,0.5892,0.6008
4,0.25,0,7,12,432,S39,True,,False,S66,12.81,B430,0.2868,0.3028
4,0.25,0,7,12,432,S39,True,,False,S66,2.67,B431,0.2933,0.2966
4,0.25,0,7,12,432,S64,True,,False,S54,22.16,B738,0.4767,0.5044
4,0.25,0,7,13,433,S11,True,,False,S29,4.11,B105,0.4274,0.4325
4,0.25,0,7,13,433,S26,True,,False,S26,27.55,B253,0.7378,0.7723
4,0.25,0,7,14,434,S51,True,,False,S52,16.55,B572,0.1859,0.2066
4,0.25,0,7,15,435,S43,True,,False,S35,13.22,B485,0.3304,0.3469
4,0.25,0,7,16,436,S16,True,,False,S12,5.6,B159,0.5136,0.5206
4,0.25,0,7,16,436,S35,True,,False,S63,17.33,B380,0.7606,0.7823
4,0.25,0,7,16,436,S55,True,,False,S42,4.71,B619,0.1379,0.1438
4,0.25,0,7,17,437,S12,True,,False,S61,15.74,B113,0.6456,0.6653
4,0.25,0,7,17,437,S37,True,,False,S36,9.86,B402,0.6315,0.6438
4,0.25,0,7,18,438,S58,True,,False,S28,17.65,B653,0.4006,0.4227
4,0.25,0,7,19,439,S27,True,,False,S39,9.08,B269,0.7347,0.7461
4,0.25,0,7,19,439,S46,True,,False,S35,8.73,B516,0.7907,0.8016
4,0.25,0,7,20,440,S12,True,,False,S57,12.16,B114,0.6543,0.6695
4,0.25,0,7,20,440,S29,True,,False,S61,11.82,B297,0.8225,0.8372
4,0.25,0,7,20,440,S39,True,,False,S66,4.83,B432,0.7627,0.7688
4,0.25,0,7,20,440,S62,True,,False,S29,10.61,B711,0.2546,0.2678
4,0.25,0,7,21,441,S27,True,,False,S29,5.88,B270,0.7392,0.7465
4,0.25,0,7,21,441,S29,True,,False,S37,15.52,B298,0.2822,0.3016
4,0.25,0,7,21,441,S60,True,,False,S51,9.94,B692,0.5596,0.572
4,0.25,0,7,22,442,S29,True,,False,S54,1.48,B299,0.1542,0.1561
4,0.25,0,7,22,442,S42,True,,False,S62,2.26,B473,0.1879,0.1908
4,0.25,0,7,22,442,S64,True,,False,S54,16.02,B739,0.736,0.756
4,0.25,0,7,23,443,S7,True,,False,S41,5.72,B68,0.7123,0.7194
4,0.25,0,7,23,443,S24,True,,False,S14,8.69,B229,0.4389,0.4498
4,0.25,0,7,24,444,S55,True,,False,S20,67.08,B620,0.5943,0.6781
4,0.25,0,7,26,446,S58,True,,False,S43,4.14,B654,0.1949,0.2001
4,0.25,0,7,27,447,S13,True,,False,S4,15.55,B124,0.5892,0.6086
4,0.25,0,7,27,447,S33,True,,False,S18,4.26,B355,0.3199,0.3252
4,0.25,0,7,27,447,S53,True,,False,S46,1.74,B593,0.038,0.0401
4,0.25,0,7,27,447,S61,True,,False,S46,5.93,B705,0.5028,0.5102
4,0.25,0,7,28,448,S9,True,,False,S35,18.18,B91,0.3572,0.3799
4,0.25,0,7,29,449,S23,True,,False,S54,22.64,B223,0.4273,0.4556
4,0.25,0,7,29,449,S26,True,,False,S41,31.87,B254,0.1097,0.1496
4,0.25,0,7,30,450,S62,True,,False,S18,14.17,B712,0.8026,0.8203
4,0.25,0,7,31,451,S31,True,,False,S57,17.18,B321,0.4803,0.5018
4,0.25,0,7,31,451,S33,True,,False,S9,12.05,B356,0.5485,0.5636
4,0.25,0,7,31,451,S35,True,,False,S52,10.22,B381,0.186,0.1988
4,0.25,0,7,32,452,S57,True,,False,S46,7.34,B640,0.5374,0.5466
4,0.25,0,7,32,452,S61,True,,False,S37,36.39,B706,0.3846,0.43
4,0.25,0,7,33,453,S12,True,,False,S18,9.78,B115,0.5029,0.5151
4,0.25,0,7,33,453,S32,True,,False,S54,4.73,B341,0.3831,0.389
4,0.25,0,7,33,453,S51,True,,False,S54,33.25,B573,0.5224,0.564
4,0.25,0,7,33,453,S55,True,,False,S46,3.28,B621,0.5253,0.5294
4,0.25,0,7,33,453,S60,True,,False,S51,10.23,B693,0.7977,0.8104
4,0.25,0,7,34,454,S10,True,,False,S4,16.04,B98,0.7911,0.8112
4,0.25,0,7,34,454,S60,True,,False,S59,5.1,B694,0.6851,0.6915
4,0.25,0,7,35,455,S39,True,,False,S51,12.56,B433,0.6513,0.667
4,0.25,0,7,35,455,S53,True,,False,S52,2.08,B594,0.5832,0.5858
4,0.25,0,7,35,455,S60,True,,False,S37,7.29,B695,0.1992,0.2083
4,0.25,0,7,35,455,S62,True,,False,S52,7.23,B713,0.8337,0.8427
4,0.25,0,7,36,456,S37,True,,False,S46,6.17,B403,0.4339,0.4416
4,0.25,0,7,36,456,S53,True,,False,S29,11.36,B595,0.4433,0.4575
4,0.25,0,7,36,456,S61,True,,False,S54,4.06,B707,0.1501,0.1552
4,0.25,0,7,37,457,S29,True,,False,S61,3.84,B300,0.4102,0.415
4,0.25,0,7,37,457,S53,True,,False,S52,6.55,B596,0.5064,0.5146
4,0.25,0,7,37,457,S61,True,,False,S43,3.14,B708,0.8377,0.8416
4,0.25,0,7,37,457,S62,True,,False,S52,7.68,B714,0.4281,0.4377
4,0.25,0,7,38,458,S42,True,,False,S53,9.26,B475,0.236,0.2476
4,0.25,0,7,38,458,S43,True,,False,S55,9.66,B486,0.7682,0.7803
4,0.25,0,7,39,459,S0,True,,False,S8,5.53,B0,0.1572,0.1641
4,0.25,0,7,39,459,S46,True,,False,S29,21.0,B517,0.1727,0.1989
4,0.25,0,7,40,460,S17,True,,False,S29,9.08,B167,0.4092,0.4206
4,0.25,0,7,41,461,S46,True,,False,S35,8.28,B518,0.3619,0.3722
4,0.25,0,7,42,462,S60,True,,False,S59,4.48,B696,0.6789,0.6845
4,0.25,0,7,43,463,S0,True,,False,S58,13.33,B1,0.4278,0.4445
4,0.25,0,7,43,463,S53,True,,False,S29,22.42,B597,0.411,0.4391
4,0.25,0,7,44,464,S15,True,,False,S22,3.45,B146,0.5559,0.5603
4,0.25,0,7,44,464,S43,True,,False,S41,5.03,B487,0.7797,0.786
4,0.25,0,7,44,464,S64,True,,False,S53,7.35,B740,0.1817,0.1908
4,0.25,0,7,45,465,S23,True,,False,S37,7.96,B224,0.8051,0.815
4,0.25,0,7,45,465,S46,True,,False,S52,4.35,B519,0.2547,0.2601
4,0.25,0,7,45,465,S53,True,,False,S54,6.05,B598,0.533,0.5406
4,0.25,0,7,45,465,S60,True,,False,S51,13.96,B697,0.5481,0.5656
4,0.25,0,7,46,466,S26,True,,False,S15,3.95,B255,0.356,0.3609
4,0.25,0,7,46,466,S65,True,,False,S60,8.08,B743,0.3004,0.3105
4,0.25,0,7,47,467,S12,True,,False,S63,8.57,B116,0.0521,0.0628
4,0.25,0,7,47,467,S50,True,,False,S25,27.55,B557,0.8645,0.8989
4,0.25,0,7,47,467,S65,True,,False,S60,2.0,B744,0.2103,0.2128
4,0.25,0,7,48,468,S10,True,,False,S0,10.41,B99,0.4752,0.4882
4,0.25,0,7,48,468,S23,True,,False,S54,31.15,B225,0.6087,0.6476
4,0.25,0,7,48,468,S60,True,,False,S12,11.07,B698,0.2463,0.2601
4,0.25,0,7,49,469,S13,True,,False,S51,11.17,B125,0.4791,0.4931
4,0.25,0,7,49,469,S24,True,,False,S14,8.65,B230,0.8002,0.811
4,0.25,0,7,50,470,S54,True,,False,S33,3.15,B610,0.1729,0.1768
4,0.25,0,7,50,470,S55,True,,False,S20,22.3,B622,0.6896,0.7175
4,0.25,0,7,50,470,S63,True,,False,S19,3.02,B723,0.1709,0.1747
4,0.25,0,7,51,471,S7,True,,False,S18,11.3,B69,0.7651,0.7792
4,0.25,0,7,51,471,S21,True,,False,S62,20.99,B205,0.4148,0.441
4,0.25,0,7,51,471,S46,True,,False,S37,6.95,B520,0.6261,0.6348
4,0.25,0,7,51,471,S61,True,,False,S54,18.98,B709,0.4647,0.4884
4,0.25,0,7,52,472,S7,True,,False,S3,22.68,B70,0.2776,0.3059
4,0.25,0,7,52,472,S46,True,,False,S11,13.75,B521,0.4309,0.4481
4,0.25,0,7,53,473,S32,True,,False,S54,6.82,B342,0.4248,0.4334
4,0.25,0,7,53,473,S41,True,,False,S29,9.79,B459,0.3458,0.358
4,0.25,0,7,54,474,S16,True,,False,S12,8.62,B160,0.6198,0.6306
4,0.25,0,7,54,474,S62,True,,False,S52,19.13,B715,0.3464,0.3703
4,0.25,0,7,55,475,S31,True,,False,S39,8.91,B322,0.5765,0.5876
4,0.25,0,7,56,476,S11,True,,False,S35,5.48,B106,0.3553,0.3622
4,0.25,0,7,56,476,S21,True,,False,S42,3.6,B206,0.1813,0.1858
4,0.25,0,7,56,476,S24,True,,False,S50,11.38,B231,0.7752,0.7894
4,0.25,0,7,56,476,S50,True,,False,S45,10.73,B558,0.5434,0.5568
4,0.25,0,7,56,476,S61,True,,False,S52,1.77,B297,0.8372,0.8394
4,0.25,0,7,56,476,S62,True,,False,S52,2.77,B716,0.3865,0.39
4,0.25,0,7,57,477,S11,True,,False,S32,9.38,B107,0.5822,0.5939
4,0.25,0,7,57,477,S57,True,,False,S63,5.68,B641,0.2318,0.2389
4,0.25,0,7,58,478,S9,True,,False,S35,17.91,B92,0.4103,0.4327
4,0.25,0,7,58,478,S24,True,,False,S14,8.77,B232,0.2876,0.2985
4,0.25,0,7,58,478,S63,True,,False,S19,20.26,B724,0.4978,0.5232
4,0.25,0,7,59,479,S12,True,,False,S61,11.13,B117,0.3073,0.3212
4,0.25,0,7,59,479,S15,True,,False,S10,3.09,B147,0.6672,0.6711
4,0.25,0,7,59,479,S26,True,,False,S32,6.7,B256,0.3937,0.4021
4,0.25,0,7,59,479,S43,True,,False,S11,16.79,B488,0.3485,0.3695
4,0.25,0,7,59,479,S62,True,,False,S50,11.21,B717,0.3325,0.3465
4,0.25,0,8,0,480,S47,True,,False,S37,13.13,B528,0.5346,0.551
4,0.25,0,8,1,481,S35,True,,False,S63,5.56,B386,0.4325,0.4395
4,0.25,0,8,1,481,S53,True,,False,S43,10.55,B599,0.6663,0.6795
4,0.25,0,8,2,482,S10,True,,False,S53,4.06,B100,0.1756,0.1807
4,0.25,0,8,2,482,S35,True,,False,S32,1.67,B387,0.2071,0.2091
4,0.25,0,8,2,482,S54,True,,False,S35,4.36,B703,0.4501,0.4555
4,0.25,0,8,4,484,S50,True,,False,S45,24.22,B559,0.3173,0.3476
4,0.25,0,8,4,484,S61,True,,False,S35,9.82,B113,0.6653,0.6775
4,0.25,0,8,6,486,S46,True,,False,S37,7.0,B522,0.1667,0.1755
4,0.25,0,8,6,486,S61,True,,False,S18,3.16,B300,0.415,0.4189
4,0.25,0,8,6,486,S62,True,,False,S61,2.84,B718,0.421,0.4246
4,0.25,0,8,9,489,S51,True,,False,S52,18.75,B574,0.2004,0.2238
4,0.25,0,8,9,489,S62,True,,False,S62,12.99,B719,0.4967,0.5129
4,0.25,0,8,11,491,S41,True,,False,S54,5.71,B460,0.0334,0.0405
4,0.25,0,8,11,491,S53,True,,False,S16,2.05,B600,0.1563,0.1589
4,0.25,0,8,12,492,S18,True,,False,S36,16.66,B179,0.4146,0.4355
4,0.25,0,8,12,492,S50,True,,False,S37,13.38,B560,0.3665,0.3832
4,0.25,0,8,12,492,S61,True,,False,S37,3.62,B718,0.4246,0.4291
4,0.25,0,8,14,494,S54,True,,False,S37,8.9,B484,0.4996,0.5107
4,0.25,0,8,17,497,S3,True,,False,S7,28.67,B29,0.2717,0.3076
