Seed,Vehicle ID,Visit Number,Station ID,Time (minutes),Day,Hour,Minute,Time Since Previous Visit (minutes)
1,V0,1,S0,420,0,7,0,0.0
1,V0,2,S21,439.35,0,7,19,19.35
1,V0,3,S0,447.35,0,7,27,8.0
1,V0,4,S11,462.25,0,7,42,14.89
1,V0,5,S42,481.73,0,8,1,19.48
1,V0,6,S35,494.23,0,8,14,12.5
1,V0,7,S29,499.68,0,8,19,5.45
1,V0,8,S10,517.18,0,8,37,17.5
1,V0,9,S54,521.89,0,8,41,4.71
1,V0,10,S55,528.81,0,8,48,6.92
1,V0,11,S56,532.84,0,8,52,4.03
1,V0,12,S57,547.66,0,9,7,14.82
1,V0,13,S35,551.39,0,9,11,3.73
1,V0,14,S1,557.92,0,9,17,6.53
1,V0,15,S53,569.92,0,9,29,12.0
1,V0,16,S45,578.47,0,9,38,8.56
1,V0,17,S52,584.43,0,9,44,5.96
1,V0,18,S37,592.11,0,9,52,7.68
1,V0,19,S4,598.36,0,9,58,6.25
1,V0,20,S18,602.66,0,10,2,4.3
1,V0,21,S60,608.12,0,10,8,5.46
1,V0,22,S59,618.27,0,10,18,10.15
1,V0,23,S37,625.26,0,10,25,6.98
1,V0,24,S52,632.94,0,10,32,7.68
1,V0,25,S44,641.77,0,10,41,8.83
1,V0,26,S63,650.24,0,10,50,8.47
1,V0,27,S45,659.4,0,10,59,9.16
1,V0,28,S29,667.99,0,11,7,8.59
1,V0,29,S54,676.92,0,11,16,8.93
1,V0,30,S10,686.13,0,11,26,9.21
1,V0,31,S29,694.63,0,11,34,8.5
1,V0,32,S55,704.75,0,11,44,10.12
1,V0,33,S46,712.64,0,11,52,7.88
1,V0,34,S16,718.46,0,11,58,5.83
1,V0,35,S37,725.93,0,12,5,7.47
1,V0,36,S4,744.68,0,12,24,18.75
1,V0,37,S61,753.05,0,12,33,8.37
1,V0,38,S66,761.18,0,12,41,8.13
1,V0,39,S27,768.09,0,12,48,6.91
1,V0,40,S15,778.09,0,12,58,10.0
1,V0,41,S40,786.59,0,13,6,8.5
1,V0,42,S33,796.1,0,13,16,9.51
1,V0,43,S61,803.27,0,13,23,7.17
1,V0,44,S4,809.15,0,13,29,5.87
1,V0,45,S59,817.93,0,13,37,8.79
1,V0,46,S38,825.68,0,13,45,7.74
1,V0,47,S49,834.89,0,13,54,9.22
1,V0,48,S60,844.94,0,14,4,10.05
1,V0,49,S66,850.18,0,14,10,5.23
1,V0,50,S4,859.02,0,14,19,8.85
1,V0,51,S37,866.77,0,14,26,7.75
1,V0,52,S45,874.28,0,14,34,7.51
1,V0,53,S36,882.08,0,14,42,7.8
1,V0,54,S48,891.8,0,14,51,9.72
1,V0,55,S12,900.98,0,15,0,9.18
1,V0,56,S51,906.49,0,15,6,5.52
1,V0,57,S63,912.92,0,15,12,6.43
1,V0,58,S52,922.18,0,15,22,9.26
1,V0,59,S44,929.01,0,15,29,6.83
1,V0,60,S63,935.98,0,15,35,6.97
1,V0,61,S31,943.69,0,15,43,7.71
1,V0,62,S60,955.08,0,15,55,11.39
1,V0,63,S4,964.69,0,16,4,9.61
1,V0,64,S58,972.91,0,16,12,8.21
1,V0,65,S43,978.69,0,16,18,5.78
1,V0,66,S51,991.31,0,16,31,12.62
1,V0,67,S19,1000.52,0,16,40,9.21
1,V0,68,S48,1006.04,0,16,46,5.52
1,V0,69,S19,1024.04,0,17,4,18.0
1,V0,70,S46,1031.13,0,17,11,7.09
1,V0,71,S46,1059.13,0,17,39,28.0
1,V0,72,S32,1074.28,0,17,54,15.16
1,V0,73,S33,1085.55,0,18,5,11.27
1,V0,74,S44,1094.58,0,18,14,9.03
1,V0,75,S61,1103.87,0,18,23,9.29
1,V0,76,S65,1112.56,0,18,32,8.69
1,V0,77,S65,1140.56,0,19,0,28.0
1,V0,78,S66,1151.26,0,19,11,10.7
1,V0,79,S15,1167.76,0,19,27,16.5
1,V0,80,S31,1180.79,0,19,40,13.03
1,V0,81,S61,1187.8,0,19,47,7.01
1,V0,82,S52,1195.8,0,19,55,8.0
1,V0,83,S44,1200.13,0,20,0,4.33
1,V0,84,S16,1203.86,0,20,3,3.73
1,V0,85,S63,1208.17,0,20,8,4.31
1,V0,86,S63,1236.17,0,20,36,28.0
1,V0,87,S44,1243.78,0,20,43,7.61
1,V0,88,S62,1256.58,0,20,56,12.81
1,V0,89,S40,1265.32,0,21,5,8.73
1,V0,90,S40,1293.32,0,21,33,28.0
1,V0,91,S44,1300.57,0,21,40,7.26
1,V0,92,S61,1309.86,0,21,49,9.29
1,V0,93,S31,1313.87,0,21,53,4.01
1,V0,94,S60,1320.76,0,22,0,6.89
1,V0,95,S66,1324.99,0,22,4,4.23
1,V0,96,S61,1329.12,0,22,9,4.13
1,V0,97,S64,1335.55,0,22,15,6.43
1,V0,98,S41,1342.37,0,22,22,6.81
1,V0,99,S30,1366.29,0,22,46,23.92
1,V0,100,S17,1862.29,1,7,2,496.0
1,V0,101,S54,1877.92,1,7,17,15.63
1,V0,102,S40,1887.59,1,7,27,9.67
1,V0,103,S62,1893.82,1,7,33,6.23
1,V0,104,S44,1902.52,1,7,42,8.7
1,V0,105,S43,1911.31,1,7,51,8.79
1,V0,106,S52,1920.91,1,8,0,9.59
1,V0,107,S52,1948.91,1,8,28,28.0
1,V0,108,S34,1956.26,1,8,36,7.35
1,V0,109,S54,1965.94,1,8,45,9.69
1,V0,110,S55,1975.89,1,8,55,9.95
1,V0,111,S56,1993.89,1,9,13,18.0
1,V0,112,S57,2008.71,1,9,28,14.82
1,V0,113,S50,2032.21,1,9,52,23.5
1,V0,114,S54,2042.43,1,10,2,10.21
1,V0,115,S54,2070.43,1,10,30,28.0
1,V0,116,S53,2078.89,1,10,38,8.46
1,V0,117,S33,2086.03,1,10,46,7.14
1,V0,118,S63,2100.58,1,11,0,14.55
1,V0,119,S44,2105.34,1,11,5,4.77
1,V0,120,S16,2109.58,1,11,9,4.23
1,V0,121,S63,2117.88,1,11,17,8.31
1,V0,122,S46,2133.88,1,11,33,16.0
1,V0,123,S46,2161.88,1,12,1,28.0
1,V0,124,S46,2189.88,1,12,29,28.0
1,V0,125,S52,2199.94,1,12,39,10.06
1,V0,126,S33,2205.67,1,12,45,5.73
1,V0,127,S33,2233.67,1,13,13,28.0
1,V0,128,S40,2238.68,1,13,18,5.01
1,V0,129,S29,2248.54,1,13,28,9.86
1,V0,130,S35,2265.99,1,13,45,17.45
1,V0,131,S34,2275.28,1,13,55,9.29
1,V0,132,S62,2285.41,1,14,5,10.13
1,V0,133,S64,2294.74,1,14,14,9.33
1,V0,134,S31,2302.11,1,14,22,7.37
1,V0,135,S60,2311.0,1,14,31,8.89
1,V0,136,S31,2324.0,1,14,44,13.0
1,V0,137,S41,2335.77,1,14,55,11.77
1,V0,138,S49,2346.27,1,15,6,10.5
1,V0,139,S39,2368.77,1,15,28,22.5
1,V0,140,S38,2378.55,1,15,38,9.78
1,V0,141,S49,2387.27,1,15,47,8.72
1,V0,142,S39,2396.11,1,15,56,8.84
1,V0,143,S58,2403.73,1,16,3,7.63
1,V0,144,S58,2431.73,1,16,31,28.0
1,V0,145,S4,2435.95,1,16,35,4.21
1,V0,146,S53,2442.88,1,16,42,6.93
1,V0,147,S63,2453.37,1,16,53,10.49
1,V0,148,S43,2472.0,1,17,12,18.64
1,V0,149,S44,2481.79,1,17,21,9.79
1,V0,150,S66,2504.29,1,17,44,22.5
1,V0,151,S31,2508.68,1,17,48,4.38
1,V0,152,S15,2524.35,1,18,4,15.68
1,V0,153,S34,2548.86,1,18,28,24.5
1,V0,154,S40,2555.54,1,18,35,6.69
1,V0,155,S53,2560.81,1,18,40,5.27
1,V0,156,S45,2578.81,1,18,58,18.0
1,V0,157,S43,2585.61,1,19,5,6.8
1,V0,158,S63,2600.61,1,19,20,15.0
1,V0,159,S33,2607.15,1,19,27,6.55
1,V0,160,S31,2614.33,1,19,34,7.18
1,V0,161,S31,2642.33,1,20,2,28.0
1,V0,162,S37,2649.54,1,20,9,7.21
1,V0,163,S58,2673.25,1,20,33,23.71
1,V0,164,S52,2681.68,1,20,41,8.43
1,V0,165,S46,2691.74,1,20,51,10.06
1,V0,166,S43,2699.7,1,20,59,7.96
1,V0,167,S44,2705.99,1,21,5,6.29
1,V0,168,S62,2713.69,1,21,13,7.7
1,V0,169,S62,2741.69,1,21,41,28.0
1,V0,170,S33,2765.62,1,22,5,23.92
1,V0,171,S45,2770.73,1,22,10,5.11
1,V0,172,S66,2791.07,1,22,31,20.34
1,V0,173,S66,2819.07,1,22,59,28.0
1,V0,174,S31,3302.46,2,7,2,483.38
1,V0,175,S66,3305.84,2,7,5,3.38
1,V0,176,S60,3316.07,2,7,16,10.23
1,V0,177,S41,3324.94,2,7,24,8.87
1,V0,178,S41,3352.94,2,7,52,28.0
1,V0,179,S47,3357.39,2,7,57,4.45
1,V0,180,S60,3363.07,2,8,3,5.68
1,V0,181,S31,3381.96,2,8,21,18.89
1,V0,182,S18,3391.17,2,8,31,9.21
1,V0,183,S61,3401.61,2,8,41,10.44
1,V0,184,S52,3407.11,2,8,47,5.5
1,V0,185,S52,3435.11,2,9,15,28.0
1,V0,186,S62,3440.16,2,9,20,5.05
1,V0,187,S32,3455.87,2,9,35,15.71
1,V0,188,S3,3464.86,2,9,44,8.99
1,V0,189,S54,3475.42,2,9,55,10.56
1,V0,190,S55,3483.37,2,10,3,7.95
1,V0,191,S55,3511.37,2,10,31,28.0
1,V0,192,S34,3517.99,2,10,37,6.63
1,V0,193,S29,3528.42,2,10,48,10.43
1,V0,194,S63,3536.67,2,10,56,8.25
1,V0,195,S60,3549.14,2,11,9,12.47
1,V0,196,S31,3569.14,2,11,29,20.0
1,V0,197,S66,3582.53,2,11,42,13.38
1,V0,198,S40,3590.94,2,11,50,8.42
1,V0,199,S62,3602.83,2,12,2,11.88
1,V0,200,S44,3613.53,2,12,13,10.7
1,V0,201,S45,3622.81,2,12,22,9.28
1,V0,202,S54,3629.51,2,12,29,6.7
1,V0,203,S63,3642.37,2,12,42,12.86
1,V0,204,S37,3647.15,2,12,47,4.78
1,V0,205,S64,3656.2,2,12,56,9.05
1,V0,206,S31,3662.06,2,13,2,5.87
1,V0,207,S66,3666.95,2,13,6,4.88
1,V0,208,S31,3678.35,2,13,18,11.4
1,V0,209,S41,3687.62,2,13,27,9.27
1,V0,210,S18,3694.45,2,13,34,6.83
1,V0,211,S52,3702.17,2,13,42,7.72
1,V0,212,S33,3709.4,2,13,49,7.23
1,V0,213,S46,3718.41,2,13,58,9.0
1,V0,214,S51,3727.55,2,14,7,9.14
1,V0,215,S36,3736.93,2,14,16,9.39
1,V0,216,S32,3747.62,2,14,27,10.69
1,V0,217,S53,3762.35,2,14,42,14.73
1,V0,218,S44,3772.07,2,14,52,9.73
1,V0,219,S16,3778.31,2,14,58,6.23
1,V0,220,S63,3784.61,2,15,4,6.31
1,V0,221,S45,3795.28,2,15,15,10.66
1,V0,222,S63,3800.94,2,15,20,5.66
1,V0,223,S52,3811.2,2,15,31,10.26
1,V0,224,S38,3821.3,2,15,41,10.1
1,V0,225,S59,3830.04,2,15,50,8.74
1,V0,226,S41,3836.99,2,15,56,6.94
1,V0,227,S66,3845.39,2,16,5,8.41
1,V0,228,S31,3852.78,2,16,12,7.38
1,V0,229,S66,3859.66,2,16,19,6.88
1,V0,230,S41,3869.21,2,16,29,9.55
1,V0,231,S30,3879.13,2,16,39,9.92
1,V0,232,S41,3883.55,2,16,43,4.42
1,V0,233,S41,3911.55,2,17,11,28.0
1,V0,234,S18,3916.88,2,17,16,5.33
1,V0,235,S64,3928.4,2,17,28,11.52
1,V0,236,S15,3950.4,2,17,50,22.0
1,V0,237,S64,3963.09,2,18,3,12.69
1,V0,238,S61,3968.02,2,18,8,4.93
1,V0,239,S41,3974.76,2,18,14,6.74
1,V0,240,S30,3981.26,2,18,21,6.5
1,V0,241,S60,3988.03,2,18,28,6.77
1,V0,242,S66,3995.76,2,18,35,7.73
1,V0,243,S44,4006.68,2,18,46,10.92
1,V0,244,S16,4024.91,2,19,4,18.23
1,V0,245,S37,4032.88,2,19,12,7.97
1,V0,246,S52,4044.56,2,19,24,11.68
1,V0,247,S37,4063.74,2,19,43,19.18
1,V0,248,S52,4080.06,2,20,0,16.32
1,V0,249,S33,4093.3,2,20,13,13.23
1,V0,250,S62,4105.8,2,20,25,12.5
1,V0,251,S62,4133.8,2,20,53,28.0
1,V0,252,S54,4140.58,2,21,0,6.78
1,V0,253,S55,4146.02,2,21,6,5.45
1,V0,254,S32,4160.2,2,21,20,14.17
1,V0,255,S29,4171.49,2,21,31,11.29
1,V0,256,S33,4183.81,2,21,43,12.32
1,V0,257,S31,4190.99,2,21,50,7.18
1,V0,258,S66,4195.37,2,21,55,4.38
1,V0,259,S31,4208.87,2,22,8,13.49
1,V0,260,S61,4215.87,2,22,15,7.01
1,V0,261,S40,4234.57,2,22,34,18.69
1,V0,262,S62,4247.83,2,22,47,13.27
1,V0,263,S46,4254.1,2,22,54,6.26
1,V0,264,S33,4740.1,3,7,0,486.0
1,V0,265,S61,4748.6,3,7,8,8.5
1,V0,266,S37,4758.14,3,7,18,9.54
1,V0,267,S37,4786.14,3,7,46,28.0
1,V0,268,S18,4790.57,3,7,50,4.43
1,V0,269,S31,4800.45,3,8,0,9.88
1,V0,270,S59,4811.04,3,8,11,10.6
1,V0,271,S59,4839.04,3,8,39,28.0
1,V0,272,S31,4847.66,3,8,47,8.62
