Seed,Day,Hour,Time (minutes),Station ID,Total Bikes,Usable Bikes,Unusable Bikes,Avg Maintenance Criticality,Capacity
1,0,7,420,S0,10,10,0,0.4555,21
1,0,7,420,S1,7,7,0,0.416,15
1,0,7,420,S2,12,12,0,0.4586,24
1,0,7,420,S3,8,8,0,0.4956,18
1,0,7,420,S4,8,8,0,0.4523,18
1,0,7,420,S5,12,12,0,0.4562,24
1,0,7,420,S6,10,10,0,0.4481,21
1,0,7,420,S7,13,13,0,0.5373,26
1,0,7,420,S8,11,11,0,0.418,22
1,0,7,420,S9,5,5,0,0.2644,12
1,0,7,420,S10,8,8,0,0.4655,18
1,0,7,420,S11,8,7,1,0.42,17
1,0,7,420,S12,12,12,0,0.4473,24
1,0,7,420,S13,15,15,0,0.473,29
1,0,7,420,S14,6,6,0,0.3157,13
1,0,7,420,S15,14,14,0,0.4336,27
1,0,7,420,S16,7,7,0,0.529,15
1,0,7,420,S17,13,12,1,0.4827,25
1,0,7,420,S18,12,11,1,0.4802,24
1,0,7,420,S19,6,6,0,0.3807,13
1,0,7,420,S20,8,8,0,0.4387,18
1,0,7,420,S21,5,5,0,0.4549,12
1,0,7,420,S22,12,12,0,0.4487,24
1,0,7,420,S23,7,7,0,0.2959,15
1,0,7,420,S24,12,12,0,0.4921,24
1,0,7,420,S25,12,12,0,0.3461,24
1,0,7,420,S26,16,16,0,0.3722,32
1,0,7,420,S27,13,13,0,0.3637,26
1,0,7,420,S28,15,15,0,0.4785,30
1,0,7,420,S29,15,15,0,0.4214,30
1,0,7,420,S30,7,7,0,0.4421,15
1,0,7,420,S31,22,22,0,0.3623,43
1,0,7,420,S32,12,12,0,0.4263,24
1,0,7,420,S33,14,14,0,0.4274,27
1,0,7,420,S34,13,13,0,0.4507,25
1,0,7,420,S35,12,12,0,0.4649,24
1,0,7,420,S36,10,9,1,0.5258,21
1,0,7,420,S37,19,18,1,0.4282,37
1,0,7,420,S38,9,9,0,0.3769,19
1,0,7,420,S39,18,18,0,0.4277,36
1,0,7,420,S40,10,10,0,0.4678,21
1,0,7,420,S41,15,15,0,0.4805,30
1,0,7,420,S42,10,10,0,0.519,21
1,0,7,420,S43,16,16,0,0.4257,31
1,0,7,420,S44,9,9,0,0.3549,20
1,0,7,420,S45,6,6,0,0.3471,13
1,0,7,420,S46,13,13,0,0.4684,25
1,0,7,420,S47,12,11,1,0.4971,24
1,0,7,420,S48,8,8,0,0.6185,17
1,0,7,420,S49,10,10,0,0.428,21
1,0,7,420,S50,15,15,0,0.3398,30
1,0,7,420,S51,10,10,0,0.4588,22
1,0,7,420,S52,9,8,1,0.6701,19
1,0,7,420,S53,16,16,0,0.3862,31
1,0,7,420,S54,12,12,0,0.4741,24
1,0,7,420,S55,16,16,0,0.4004,31
1,0,7,420,S56,5,5,0,0.3887,12
1,0,7,420,S57,13,12,1,0.5113,25
1,0,7,420,S58,15,15,0,0.4689,30
1,0,7,420,S59,19,19,0,0.4838,37
1,0,7,420,S60,16,15,1,0.5049,31
1,0,7,420,S61,7,7,0,0.3235,16
1,0,7,420,S62,13,13,0,0.4613,26
1,0,7,420,S63,14,14,0,0.4162,28
1,0,7,420,S64,6,6,0,0.3761,13
1,0,7,420,S65,13,13,0,0.5236,25
1,0,7,420,S66,12,12,0,0.5211,24
1,0,8,480,S0,12,12,0,0.227,21
1,0,8,480,S1,5,5,0,0.375,15
1,0,8,480,S2,10,10,0,0.4877,24
1,0,8,480,S3,11,11,0,0.513,18
1,0,8,480,S4,14,14,0,0.4683,18
1,0,8,480,S5,12,12,0,0.4562,24
1,0,8,480,S6,12,12,0,0.4359,21
1,0,8,480,S7,7,7,0,0.4898,26
1,0,8,480,S8,11,11,0,0.418,22
1,0,8,480,S9,6,6,0,0.2756,12
1,0,8,480,S10,5,5,0,0.4711,18
1,0,8,480,S11,7,6,1,0.3703,17
1,0,8,480,S12,12,12,0,0.4447,24
1,0,8,480,S13,11,11,0,0.5368,29
1,0,8,480,S14,8,8,0,0.2815,13
1,0,8,480,S15,12,12,0,0.4281,27
1,0,8,480,S16,3,3,0,0.4333,15
1,0,8,480,S17,13,12,1,0.4827,25
1,0,8,480,S18,11,10,1,0.5014,24
1,0,8,480,S19,7,7,0,0.3389,13
1,0,8,480,S20,9,9,0,0.4103,18
1,0,8,480,S21,5,5,0,0.2301,12
1,0,8,480,S22,11,11,0,0.4555,24
1,0,8,480,S23,8,8,0,0.323,15
1,0,8,480,S24,10,10,0,0.5413,24
1,0,8,480,S25,12,12,0,0.3461,24
1,0,8,480,S26,14,14,0,0.3705,32
1,0,8,480,S27,11,11,0,0.3805,26
1,0,8,480,S28,11,11,0,0.4944,30
1,0,8,480,S29,16,16,0,0.4543,30
1,0,8,480,S30,7,7,0,0.4421,15
1,0,8,480,S31,24,24,0,0.3615,43
1,0,8,480,S32,12,12,0,0.4263,24
1,0,8,480,S33,17,17,0,0.4567,27
1,0,8,480,S34,10,10,0,0.4384,25
1,0,8,480,S35,16,16,0,0.4585,24
1,0,8,480,S36,9,8,1,0.563,21
1,0,8,480,S37,25,24,1,0.456,37
1,0,8,480,S38,9,9,0,0.3769,19
1,0,8,480,S39,20,20,0,0.4231,36
1,0,8,480,S40,10,10,0,0.4827,21
1,0,8,480,S41,14,14,0,0.4652,30
1,0,8,480,S42,4,4,0,0.4497,21
1,0,8,480,S43,16,16,0,0.4878,31
1,0,8,480,S44,11,11,0,0.416,20
1,0,8,480,S45,6,6,0,0.3471,13
1,0,8,480,S46,14,14,0,0.439,25
1,0,8,480,S47,11,10,1,0.5338,24
1,0,8,480,S48,8,8,0,0.6185,17
1,0,8,480,S49,12,12,0,0.4444,21
1,0,8,480,S50,11,11,0,0.4427,30
1,0,8,480,S51,9,9,0,0.4691,22
1,0,8,480,S52,14,13,1,0.5255,19
1,0,8,480,S53,18,18,0,0.4005,31
1,0,8,480,S54,16,16,0,0.4213,24
1,0,8,480,S55,17,17,0,0.3653,31
1,0,8,480,S56,6,6,0,0.392,12
1,0,8,480,S57,13,12,1,0.5349,25
1,0,8,480,S58,14,14,0,0.4986,30
1,0,8,480,S59,20,20,0,0.4677,37
1,0,8,480,S60,1,0,1,0.934,31
1,0,8,480,S61,1,1,0,0.3571,16
1,0,8,480,S62,11,11,0,0.5114,26
1,0,8,480,S63,11,11,0,0.4109,28
1,0,8,480,S64,2,2,0,0.3251,13
1,0,8,480,S65,13,13,0,0.5236,25
1,0,8,480,S66,8,8,0,0.5218,24
1,0,9,540,S0,12,12,0,0.227,21
1,0,9,540,S1,8,8,0,0.3273,15
1,0,9,540,S2,10,10,0,0.4877,24
1,0,9,540,S3,12,12,0,0.5042,18
1,0,9,540,S4,14,14,0,0.4683,18
1,0,9,540,S5,12,12,0,0.4562,24
1,0,9,540,S6,10,10,0,0.3823,21
1,0,9,540,S7,7,7,0,0.4898,26
1,0,9,540,S8,13,13,0,0.4223,22
1,0,9,540,S9,4,4,0,0.2618,12
1,0,9,540,S10,10,10,0,0.4889,18
1,0,9,540,S11,7,6,1,0.3703,17
1,0,9,540,S12,13,12,1,0.4746,24
1,0,9,540,S13,10,10,0,0.5553,29
1,0,9,540,S14,9,9,0,0.2769,13
1,0,9,540,S15,11,11,0,0.4108,27
1,0,9,540,S16,3,3,0,0.4333,15
1,0,9,540,S17,13,12,1,0.4827,25
1,0,9,540,S18,9,8,1,0.5404,24
1,0,9,540,S19,7,7,0,0.2803,13
1,0,9,540,S20,10,10,0,0.4182,18
1,0,9,540,S21,3,3,0,0.2188,12
1,0,9,540,S22,12,12,0,0.452,24
1,0,9,540,S23,8,8,0,0.323,15
1,0,9,540,S24,10,10,0,0.5413,24
1,0,9,540,S25,11,11,0,0.3881,24
1,0,9,540,S26,12,12,0,0.3957,32
1,0,9,540,S27,11,11,0,0.3805,26
1,0,9,540,S28,10,10,0,0.4505,30
1,0,9,540,S29,14,14,0,0.4671,30
1,0,9,540,S30,7,7,0,0.4421,15
1,0,9,540,S31,24,24,0,0.3752,43
1,0,9,540,S32,4,4,0,0.4327,24
1,0,9,540,S33,17,17,0,0.4567,27
1,0,9,540,S34,8,8,0,0.4489,25
1,0,9,540,S35,12,11,1,0.3218,24
1,0,9,540,S36,12,11,1,0.5042,21
1,0,9,540,S37,25,24,1,0.4409,37
1,0,9,540,S38,9,9,0,0.3769,19
1,0,9,540,S39,18,18,0,0.424,36
1,0,9,540,S40,6,6,0,0.6569,21
1,0,9,540,S41,11,11,0,0.3868,30
1,0,9,540,S42,8,8,0,0.4197,21
1,0,9,540,S43,21,21,0,0.4858,31
1,0,9,540,S44,12,12,0,0.4652,20
1,0,9,540,S45,7,7,0,0.3384,13
1,0,9,540,S46,16,16,0,0.4552,25
1,0,9,540,S47,11,10,1,0.5351,24
1,0,9,540,S48,8,8,0,0.6185,17
1,0,9,540,S49,12,12,0,0.4444,21
1,0,9,540,S50,7,7,0,0.4471,30
1,0,9,540,S51,15,15,0,0.3931,22
1,0,9,540,S52,18,17,1,0.449,19
1,0,9,540,S53,22,22,0,0.4053,31
1,0,9,540,S54,14,14,0,0.4492,24
1,0,9,540,S55,13,13,0,0.4379,31
1,0,9,540,S56,6,6,0,0.4384,12
1,0,9,540,S57,14,14,0,0.4703,25
1,0,9,540,S58,17,17,0,0.5061,30
1,0,9,540,S59,21,21,0,0.4736,37
1,0,9,540,S60,1,0,1,0.934,31
1,0,9,540,S61,3,3,0,0.5604,16
1,0,9,540,S62,12,12,0,0.5212,26
1,0,9,540,S63,11,11,0,0.4284,28
1,0,9,540,S64,3,3,0,0.463,13
1,0,9,540,S65,11,11,0,0.5453,25
1,0,9,540,S66,8,8,0,0.5218,24
1,0,10,600,S0,12,12,0,0.227,21
1,0,10,600,S1,8,8,0,0.3273,15
1,0,10,600,S2,10,10,0,0.4877,24
1,0,10,600,S3,11,11,0,0.4678,18
1,0,10,600,S4,14,14,0,0.4683,18
1,0,10,600,S5,10,10,0,0.462,24
1,0,10,600,S6,12,12,0,0.4145,21
1,0,10,600,S7,2,2,0,0.433,26
1,0,10,600,S8,13,13,0,0.4223,22
1,0,10,600,S9,4,4,0,0.2618,12
1,0,10,600,S10,10,10,0,0.4832,18
1,0,10,600,S11,7,6,1,0.3703,17
1,0,10,600,S12,9,8,1,0.5019,24
1,0,10,600,S13,11,11,0,0.5782,29
1,0,10,600,S14,11,11,0,0.2823,13
1,0,10,600,S15,3,3,0,0.3541,27
1,0,10,600,S16,8,8,0,0.4138,15
1,0,10,600,S17,13,12,1,0.4827,25
1,0,10,600,S18,10,9,1,0.517,24
1,0,10,600,S19,8,8,0,0.2824,13
1,0,10,600,S20,11,11,0,0.4488,18
1,0,10,600,S21,5,5,0,0.2876,12
1,0,10,600,S22,13,13,0,0.4435,24
1,0,10,600,S23,7,7,0,0.3196,15
1,0,10,600,S24,10,10,0,0.5413,24
1,0,10,600,S25,13,13,0,0.3533,24
1,0,10,600,S26,10,10,0,0.4317,32
1,0,10,600,S27,11,11,0,0.3805,26
1,0,10,600,S28,10,10,0,0.4505,30
1,0,10,600,S29,9,8,1,0.5694,30
1,0,10,600,S30,10,10,0,0.415,15
1,0,10,600,S31,21,21,0,0.4178,43
1,0,10,600,S32,9,9,0,0.3591,24
1,0,10,600,S33,18,18,0,0.4962,27
1,0,10,600,S34,7,7,0,0.4574,25
1,0,10,600,S35,10,9,1,0.504,24
1,0,10,600,S36,10,9,1,0.5154,21
1,0,10,600,S37,32,31,1,0.4227,37
1,0,10,600,S38,9,9,0,0.3769,19
1,0,10,600,S39,20,20,0,0.4483,36
1,0,10,600,S40,5,5,0,0.6391,21
1,0,10,600,S41,8,8,0,0.2828,30
1,0,10,600,S42,0,0,0,0.0,21
1,0,10,600,S43,23,23,0,0.4701,31
1,0,10,600,S44,20,20,0,0.4333,20
1,0,10,600,S45,4,4,0,0.3936,13
1,0,10,600,S46,14,14,0,0.4411,25
1,0,10,600,S47,11,10,1,0.5351,24
1,0,10,600,S48,8,8,0,0.6185,17
1,0,10,600,S49,11,11,0,0.4415,21
1,0,10,600,S50,10,10,0,0.5218,30
1,0,10,600,S51,13,13,0,0.3779,22
1,0,10,600,S52,11,11,0,0.3351,19
1,0,10,600,S53,16,16,0,0.4038,31
1,0,10,600,S54,14,14,0,0.4781,24
1,0,10,600,S55,17,17,0,0.464,31
1,0,10,600,S56,0,0,0,0.0,12
1,0,10,600,S57,12,12,0,0.5031,25
1,0,10,600,S58,18,18,0,0.4941,30
1,0,10,600,S59,20,20,0,0.4691,37
1,0,10,600,S60,1,0,1,0.934,31
1,0,10,600,S61,8,7,1,0.4824,16
1,0,10,600,S62,18,18,0,0.4943,26
1,0,10,600,S63,18,18,0,0.3764,28
1,0,10,600,S64,3,3,0,0.6666,13
1,0,10,600,S65,5,5,0,0.4415,25
1,0,10,600,S66,9,9,0,0.5017,24
1,0,11,660,S0,12,12,0,0.227,21
1,0,11,660,S1,8,8,0,0.3273,15
1,0,11,660,S2,11,11,0,0.4718,24
1,0,11,660,S3,11,11,0,0.4678,18
1,0,11,660,S4,10,10,0,0.5066,18
1,0,11,660,S5,10,10,0,0.462,24
1,0,11,660,S6,13,13,0,0.4092,21
1,0,11,660,S7,0,0,0,0.0,26
1,0,11,660,S8,15,15,0,0.4276,22
1,0,11,660,S9,7,7,0,0.359,12
1,0,11,660,S10,1,1,0,0.4782,18
1,0,11,660,S11,7,6,1,0.3703,17
1,0,11,660,S12,8,7,1,0.4866,24
1,0,11,660,S13,10,10,0,0.5195,29
1,0,11,660,S14,11,11,0,0.383,13
1,0,11,660,S15,3,3,0,0.3541,27
1,0,11,660,S16,9,9,0,0.394,15
1,0,11,660,S17,13,12,1,0.4827,25
1,0,11,660,S18,12,11,1,0.4787,24
1,0,11,660,S19,9,9,0,0.3123,13
1,0,11,660,S20,11,11,0,0.4488,18
1,0,11,660,S21,5,5,0,0.2876,12
1,0,11,660,S22,14,14,0,0.4437,24
1,0,11,660,S23,8,8,0,0.3154,15
1,0,11,660,S24,10,10,0,0.5413,24
1,0,11,660,S25,9,9,0,0.3571,24
1,0,11,660,S26,8,8,0,0.4428,32
1,0,11,660,S27,12,12,0,0.3825,26
1,0,11,660,S28,11,11,0,0.4551,30
1,0,11,660,S29,1,0,1,0.922,30
1,0,11,660,S30,11,11,0,0.4256,15
1,0,11,660,S31,28,28,0,0.428,43
1,0,11,660,S32,8,8,0,0.4161,24
1,0,11,660,S33,17,17,0,0.4927,27
1,0,11,660,S34,2,2,0,0.4189,25
1,0,11,660,S35,5,4,1,0.5372,24
1,0,11,660,S36,7,6,1,0.4488,21
1,0,11,660,S37,25,24,1,0.4515,37
1,0,11,660,S38,9,9,0,0.3956,19
1,0,11,660,S39,20,20,0,0.4371,36
1,0,11,660,S40,9,9,0,0.5097,21
1,0,11,660,S41,6,6,0,0.3017,30
1,0,11,660,S42,3,3,0,0.5208,21
1,0,11,660,S43,20,20,0,0.4274,31
1,0,11,660,S44,8,8,0,0.4912,20
1,0,11,660,S45,6,6,0,0.4182,13
1,0,11,660,S46,9,9,0,0.4478,25
1,0,11,660,S47,11,10,1,0.5351,24
1,0,11,660,S48,17,17,0,0.5028,17
1,0,11,660,S49,11,11,0,0.4415,21
1,0,11,660,S50,3,3,0,0.522,30
1,0,11,660,S51,13,13,0,0.4779,22
1,0,11,660,S52,16,16,0,0.3887,19
1,0,11,660,S53,11,11,0,0.4357,31
1,0,11,660,S54,12,12,0,0.4703,24
1,0,11,660,S55,22,22,0,0.4436,31
1,0,11,660,S56,1,1,0,0.4533,12
1,0,11,660,S57,12,12,0,0.5031,25
1,0,11,660,S58,20,20,0,0.4766,30
1,0,11,660,S59,21,21,0,0.4654,37
